pool,pool_rate,rerank,n,size,target_size,inter,jaccard,online_recall,precision
docgen_rank_pool30,0.3,tail,250,244.16,244.16,73.552,0.1769299395064658,0.29892313756009403,0.29892313756009403
qk_freq_pool30,0.3,head,250,244.16,244.16,71.816,0.17627445661753569,0.29734923671772095,0.29734923671772095
qk_freq_pool30,0.3,tail,250,244.16,244.16,68.04,0.16262425255209187,0.2784009516329769,0.2784009516329769
draft_freq_pool50,0.5,oracle_upper_bound,250,710.384,244.16,177.72,0.2292090527753688,0.7243942912628457,0.25073404978261393
hybrid70_pool50,0.5,oracle_upper_bound,250,710.384,244.16,174.644,0.22472715224944637,0.7127712978377004,0.24675859899965163
docgen_rank_pool50,0.5,oracle_upper_bound,250,710.384,244.16,165.464,0.20939232075761843,0.6726125147424288,0.2326950407000466
qk_freq_pool50,0.5,oracle_upper_bound,250,710.384,244.16,163.584,0.20772652547782558,0.6681662060471202,0.23131997965305143
draft_freq_pool50,0.5,chunk_edge,250,244.16,244.16,109.936,0.29542753193020654,0.4532054750267204,0.4532054750267204
hybrid70_pool50,0.5,chunk_edge,250,244.16,244.16,109.056,0.2925259558271583,0.44979866563844506,0.44979866563844506
draft_freq_pool50,0.5,combined_edge,250,244.16,244.16,108.604,0.291469254381883,0.44787520421502824,0.44787520421502824
hybrid70_pool50,0.5,combined_edge,250,244.16,244.16,106.516,0.28465733084294337,0.43975902237029924,0.43975902237029924
qk_freq_pool50,0.5,chunk_edge,250,244.16,244.16,106.264,0.2829389473163108,0.43853913251639404,0.43853913251639404
draft_freq_pool50,0.5,chunk_rank_edge,250,244.16,244.16,103.72,0.274729083277082,0.4271587175215445,0.4271587175215445
docgen_rank_pool50,0.5,chunk_edge,250,244.16,244.16,102.672,0.2691813943153832,0.4215923601337607,0.4215923601337607
hybrid70_pool50,0.5,chunk_rank_edge,250,244.16,244.16,101.5,0.26753813360865414,0.418393318506983,0.418393318506983
draft_freq_pool50,0.5,global_edge,250,244.16,244.16,101.296,0.2668624280962286,0.41767995568254557,0.41767995568254557
docgen_rank_pool50,0.5,combined_edge,250,244.16,244.16,100.656,0.26278878354327173,0.41314330286644924,0.41314330286644924
qk_freq_pool50,0.5,combined_edge,250,244.16,244.16,99.72,0.26157157037551376,0.4116481010541901,0.4116481010541901
hybrid70_pool50,0.5,global_edge,250,244.16,244.16,99.348,0.2605622349715893,0.4099223159974816,0.4099223159974816
docgen_rank_pool50,0.5,chunk_rank_edge,250,244.16,244.16,96.248,0.24841011347979464,0.394774472970442,0.394774472970442
qk_freq_pool50,0.5,chunk_rank_edge,250,244.16,244.16,94.164,0.2435041930987337,0.38832618139072717,0.38832618139072717
docgen_rank_pool50,0.5,global_edge,250,244.16,244.16,94.552,0.24307079161906275,0.3879411471061072,0.3879411471061072
qk_freq_pool50,0.5,global_edge,250,244.16,244.16,92.2,0.23715110581483959,0.38033026740003373,0.38033026740003373
draft_freq_pool50,0.5,head,250,244.16,244.16,75.668,0.18802420074861956,0.31341244288433395,0.31341244288433395
hybrid70_pool50,0.5,head,250,244.16,244.16,74.032,0.18344559270983188,0.3071048938253122,0.3071048938253122
qk_freq_pool50,0.5,head,250,244.16,244.16,68.44,0.16724068577222637,0.2841991839310501,0.2841991839310501
docgen_rank_pool50,0.5,head,250,244.16,244.16,68.592,0.16686625917428843,0.2834910722746064,0.2834910722746064
draft_freq_pool50,0.5,tail,250,244.16,244.16,69.492,0.16620850176613708,0.28229207895991704,0.28229207895991704
hybrid70_pool50,0.5,tail,250,244.16,244.16,68.444,0.1634125588974868,0.2782269622225236,0.2782269622225236
docgen_rank_pool50,0.5,tail,250,244.16,244.16,66.4,0.1568453452483072,0.2685443830080734,0.2685443830080734
qk_freq_pool50,0.5,tail,250,244.16,244.16,64.508,0.1525592391089265,0.26234316524962104,0.26234316524962104
draft_freq_pool50,0.5,random,250,244.16,244.16,60.744,0.1426115941714843,0.24915547521352838,0.24915547521352838
hybrid70_pool50,0.5,random,250,244.16,244.16,59.812,0.14037367990795263,0.24572656655391165,0.24572656655391165
docgen_rank_pool50,0.5,random,250,244.16,244.16,56.744,0.1318038809036283,0.23241024896904014,0.23241024896904014
qk_freq_pool50,0.5,random,250,244.16,244.16,56.1,0.13083101408399994,0.2309485855739676,0.2309485855739676
