inter,jaccard,online_recall,precision,size,target_size,pool,pool_rate,rerank,example_id,sub_q_idx
103,0.4186991869918699,0.4497816593886463,0.8583333333333333,120,229,old_unrelated_offline15,0.15,none,82,0
99,0.559322033898305,0.5823529411764706,0.9339622641509434,106,170,old_unrelated_offline15,0.15,none,130,0
87,0.48333333333333334,0.5686274509803921,0.7631578947368421,114,153,old_unrelated_offline15,0.15,none,112,0
81,0.5225806451612903,0.5436241610738255,0.9310344827586207,87,149,old_unrelated_offline15,0.15,none,38,0
108,0.41379310344827586,0.45188284518828453,0.8307692307692308,130,239,old_unrelated_offline15,0.15,none,158,0
67,0.15192743764172337,0.23674911660777384,0.29777777777777775,225,283,old_unrelated_offline15,0.15,none,82,1
156,0.6023166023166023,0.6141732283464567,0.968944099378882,161,254,old_unrelated_offline15,0.15,none,10,0
119,0.4559386973180077,0.5920398009950248,0.664804469273743,179,201,old_unrelated_offline15,0.15,none,57,0
128,0.3240506329113924,0.512,0.46886446886446886,273,250,old_unrelated_offline15,0.15,none,130,1
98,0.30434782608695654,0.48756218905472637,0.4474885844748858,219,201,old_unrelated_offline15,0.15,none,112,1
155,0.3530751708428246,0.5381944444444444,0.5065359477124183,306,288,old_unrelated_offline15,0.15,none,10,1
94,0.2520107238605898,0.47959183673469385,0.34686346863468637,271,196,old_unrelated_offline15,0.15,none,158,1
79,0.2532051282051282,0.4438202247191011,0.37089201877934275,213,178,old_unrelated_offline15,0.15,none,38,1
114,0.4730290456431535,0.5816326530612245,0.7169811320754716,159,196,old_unrelated_offline15,0.15,none,58,0
139,0.5265151515151515,0.5673469387755102,0.879746835443038,158,245,old_unrelated_offline15,0.15,none,113,0
119,0.49583333333333335,0.5534883720930233,0.8263888888888888,144,215,old_unrelated_offline15,0.15,none,11,0
110,0.5583756345177665,0.6043956043956044,0.88,125,182,old_unrelated_offline15,0.15,none,39,0
101,0.5024875621890548,0.5804597701149425,0.7890625,128,174,old_unrelated_offline15,0.15,none,131,0
126,0.32142857142857145,0.56,0.4300341296928328,293,225,old_unrelated_offline15,0.15,none,113,1
103,0.4364406779661017,0.5421052631578948,0.6912751677852349,149,190,old_unrelated_offline15,0.15,none,160,0
132,0.3793103448275862,0.6285714285714286,0.4888888888888889,270,210,old_unrelated_offline15,0.15,none,11,1
103,0.29261363636363635,0.5,0.41365461847389556,249,206,old_unrelated_offline15,0.15,none,58,1
110,0.4583333333333333,0.49327354260089684,0.8661417322834646,127,223,old_unrelated_offline15,0.15,none,84,0
149,0.476038338658147,0.7028301886792453,0.596,250,212,old_unrelated_offline15,0.15,none,131,1
75,0.1740139211136891,0.31645569620253167,0.2788104089219331,269,237,old_unrelated_offline15,0.15,none,39,1
114,0.3665594855305466,0.3986013986013986,0.8201438848920863,139,286,old_unrelated_offline15,0.15,none,114,0
175,0.37154989384288745,0.5303030303030303,0.5537974683544303,316,330,old_unrelated_offline15,0.15,none,160,1
164,0.4823529411764706,0.486646884272997,0.9820359281437125,167,337,old_unrelated_offline15,0.15,none,12,0
121,0.5170940170940171,0.5525114155251142,0.8897058823529411,136,219,old_unrelated_offline15,0.15,none,59,0
118,0.3163538873994638,0.5488372093023256,0.427536231884058,276,215,old_unrelated_offline15,0.15,none,84,1
125,0.5102040816326531,0.5980861244019139,0.7763975155279503,161,209,old_unrelated_offline15,0.15,none,133,0
108,0.16047548291233285,0.30945558739255014,0.25,432,349,old_unrelated_offline15,0.15,none,12,1
143,0.33966745843230406,0.6244541484716157,0.42686567164179107,335,229,old_unrelated_offline15,0.15,none,114,1
146,0.437125748502994,0.6431718061674009,0.5770750988142292,253,227,old_unrelated_offline15,0.15,none,133,1
127,0.49034749034749037,0.635,0.6827956989247311,186,200,old_unrelated_offline15,0.15,none,161,0
177,0.44923857868020306,0.6232394366197183,0.6167247386759582,287,284,old_unrelated_offline15,0.15,none,186,1
194,0.43400447427293065,0.565597667638484,0.6510067114093959,298,343,old_unrelated_offline15,0.15,none,85,0
127,0.6018957345971564,0.6479591836734694,0.8943661971830986,142,196,old_unrelated_offline15,0.15,none,13,0
113,0.3210227272727273,0.551219512195122,0.4346153846153846,260,205,old_unrelated_offline15,0.15,none,59,1
103,0.5175879396984925,0.6560509554140127,0.7103448275862069,145,157,old_unrelated_offline15,0.15,none,86,0
116,0.4793388429752066,0.5065502183406113,0.8992248062015504,129,229,old_unrelated_offline15,0.15,none,117,0
105,0.45652173913043476,0.5555555555555556,0.7191780821917808,146,189,old_unrelated_offline15,0.15,none,40,0
136,0.6267281105990783,0.6476190476190476,0.951048951048951,143,210,old_unrelated_offline15,0.15,none,135,0
88,0.2328042328042328,0.4861878453038674,0.3087719298245614,285,181,old_unrelated_offline15,0.15,none,117,1
133,0.31666666666666665,0.5155038759689923,0.45084745762711864,295,258,old_unrelated_offline15,0.15,none,40,1
117,0.2947103274559194,0.4834710743801653,0.43014705882352944,272,242,old_unrelated_offline15,0.15,none,86,1
135,0.5172413793103449,0.625,0.75,180,216,old_unrelated_offline15,0.15,none,60,0
110,0.26506024096385544,0.5045871559633027,0.3583061889250814,307,218,old_unrelated_offline15,0.15,none,135,1
118,0.34911242603550297,0.4978902953586498,0.5388127853881278,219,237,old_unrelated_offline15,0.15,none,118,0
123,0.4785992217898833,0.5168067226890757,0.8661971830985915,142,238,old_unrelated_offline15,0.15,none,88,0
77,0.46107784431137727,0.49044585987261147,0.8850574712643678,87,157,old_unrelated_offline15,0.15,none,188,0
160,0.3516483516483517,0.4892966360856269,0.5555555555555556,288,327,old_unrelated_offline15,0.15,none,60,1
90,0.6,0.6,1.0,90,150,old_unrelated_offline15,0.15,none,43,0
99,0.6346153846153846,0.673469387755102,0.9166666666666666,108,147,old_unrelated_offline15,0.15,none,136,0
98,0.29518072289156627,0.4666666666666667,0.44545454545454544,220,210,old_unrelated_offline15,0.15,none,188,1
81,0.400990099009901,0.4426229508196721,0.81,100,183,old_unrelated_offline15,0.15,none,88,1
111,0.3415384615384615,0.6235955056179775,0.43023255813953487,258,178,old_unrelated_offline15,0.15,none,43,1
89,0.22418136020151133,0.4587628865979381,0.3047945205479452,292,194,old_unrelated_offline15,0.15,none,88,2
97,0.5,0.5159574468085106,0.941747572815534,103,188,old_unrelated_offline15,0.15,none,191,0
140,0.26119402985074625,0.41055718475073316,0.417910447761194,335,341,old_unrelated_offline15,0.15,none,13,1
114,0.30319148936170215,0.4730290456431535,0.4578313253012048,249,241,old_unrelated_offline15,0.15,none,136,1
134,0.319047619047619,0.5214007782101168,0.4511784511784512,297,257,old_unrelated_offline15,0.15,none,191,1
138,0.5328185328185329,0.6160714285714286,0.7976878612716763,173,224,old_unrelated_offline15,0.15,none,89,0
177,0.42961165048543687,0.5822368421052632,0.6210526315789474,285,304,old_unrelated_offline15,0.15,none,161,1
113,0.49130434782608695,0.6457142857142857,0.6726190476190477,168,175,old_unrelated_offline15,0.15,none,44,0
151,0.3199152542372881,0.5571955719557196,0.4289772727272727,352,271,old_unrelated_offline15,0.15,none,89,1
87,0.35655737704918034,0.4393939393939394,0.6541353383458647,133,198,old_unrelated_offline15,0.15,none,14,0
142,0.5017667844522968,0.5482625482625483,0.8554216867469879,166,259,old_unrelated_offline15,0.15,none,138,0
129,0.48863636363636365,0.5201612903225806,0.8896551724137931,145,248,old_unrelated_offline15,0.15,none,119,0
107,0.3203592814371258,0.4403292181069959,0.5404040404040404,198,243,old_unrelated_offline15,0.15,none,162,0
149,0.36253041362530414,0.5321428571428571,0.5321428571428571,280,280,old_unrelated_offline15,0.15,none,14,1
104,0.4351464435146444,0.5306122448979592,0.7074829931972789,147,196,old_unrelated_offline15,0.15,none,44,1
96,0.3490909090909091,0.35555555555555557,0.9504950495049505,101,270,old_unrelated_offline15,0.15,none,90,0
190,0.3327495621716287,0.5919003115264797,0.4318181818181818,440,321,old_unrelated_offline15,0.15,none,138,1
103,0.2641025641025641,0.5049019607843137,0.356401384083045,289,204,old_unrelated_offline15,0.15,none,119,1
150,0.5813953488372093,0.6072874493927125,0.9316770186335404,161,247,old_unrelated_offline15,0.15,none,63,0
67,0.47183098591549294,0.5234375,0.8271604938271605,81,128,old_unrelated_offline15,0.15,none,15,0
188,0.3900414937759336,0.5280898876404494,0.5987261146496815,314,356,old_unrelated_offline15,0.15,none,120,0
145,0.37275064267352187,0.5430711610486891,0.5430711610486891,267,267,old_unrelated_offline15,0.15,none,44,2
107,0.49767441860465117,0.6149425287356322,0.722972972972973,148,174,old_unrelated_offline15,0.15,none,141,0
97,0.4092827004219409,0.4369369369369369,0.8660714285714286,112,222,old_unrelated_offline15,0.15,none,163,0
89,0.2282051282051282,0.4238095238095238,0.3308550185873606,269,210,old_unrelated_offline15,0.15,none,90,1
76,0.24437299035369775,0.4935064935064935,0.3261802575107296,233,154,old_unrelated_offline15,0.15,none,63,1
105,0.2348993288590604,0.4251012145748988,0.3442622950819672,305,247,old_unrelated_offline15,0.15,none,141,1
54,0.15517241379310345,0.27,0.26732673267326734,202,200,old_unrelated_offline15,0.15,none,15,1
94,0.49473684210526314,0.562874251497006,0.8034188034188035,117,167,old_unrelated_offline15,0.15,none,64,0
146,0.4397590361445783,0.4882943143812709,0.8156424581005587,179,299,old_unrelated_offline15,0.15,none,142,0
168,0.3187855787476281,0.5316455696202531,0.44327176781002636,379,316,old_unrelated_offline15,0.15,none,163,1
143,0.5017543859649123,0.556420233463035,0.8362573099415205,171,257,old_unrelated_offline15,0.15,none,45,0
210,0.3888888888888889,0.5357142857142857,0.5865921787709497,358,392,old_unrelated_offline15,0.15,none,142,1
113,0.3633440514469453,0.4362934362934363,0.6848484848484848,165,259,old_unrelated_offline15,0.15,none,16,0
101,0.308868501529052,0.517948717948718,0.4334763948497854,233,195,old_unrelated_offline15,0.15,none,64,1
100,0.18484288354898337,0.32362459546925565,0.30120481927710846,332,309,old_unrelated_offline15,0.15,none,90,2
130,0.41009463722397477,0.4377104377104377,0.8666666666666667,150,297,old_unrelated_offline15,0.15,none,121,0
175,0.5368098159509203,0.6183745583038869,0.8027522935779816,218,283,old_unrelated_offline15,0.15,none,164,0
105,0.17326732673267325,0.2900552486187845,0.3008595988538682,349,362,old_unrelated_offline15,0.15,none,16,1
183,0.3395176252319109,0.5960912052117264,0.44096385542168676,415,307,old_unrelated_offline15,0.15,none,45,1
125,0.3472222222222222,0.4646840148698885,0.5787037037037037,216,269,old_unrelated_offline15,0.15,none,66,0
194,0.34458259325044405,0.4720194647201946,0.5606936416184971,346,411,old_unrelated_offline15,0.15,none,164,1
155,0.283363802559415,0.49206349206349204,0.4005167958656331,387,315,old_unrelated_offline15,0.15,none,121,1
114,0.42066420664206644,0.4672131147540984,0.8085106382978723,141,244,old_unrelated_offline15,0.15,none,17,0
119,0.4061433447098976,0.4576923076923077,0.7828947368421053,152,260,old_unrelated_offline15,0.15,none,46,0
214,0.4642082429501085,0.6604938271604939,0.6096866096866097,351,324,old_unrelated_offline15,0.15,none,17,1
108,0.5454545454545454,0.6067415730337079,0.84375,128,178,old_unrelated_offline15,0.15,none,68,0
103,0.4660633484162896,0.5819209039548022,0.7006802721088435,147,177,old_unrelated_offline15,0.15,none,91,0
171,0.3646055437100213,0.5277777777777778,0.5411392405063291,316,324,old_unrelated_offline15,0.15,none,46,1
143,0.34963325183374083,0.49825783972125437,0.539622641509434,265,287,old_unrelated_offline15,0.15,none,165,0
111,0.37,0.5967741935483871,0.49333333333333335,225,186,old_unrelated_offline15,0.15,none,68,1
61,0.28773584905660377,0.32972972972972975,0.6931818181818182,88,185,old_unrelated_offline15,0.15,none,18,0
175,0.5087209302325582,0.5520504731861199,0.8663366336633663,202,317,old_unrelated_offline15,0.15,none,123,0
111,0.3501577287066246,0.5388349514563107,0.5,222,206,old_unrelated_offline15,0.15,none,18,1
114,0.25675675675675674,0.4892703862660944,0.3507692307692308,325,233,old_unrelated_offline15,0.15,none,91,1
114,0.38127090301003347,0.41911764705882354,0.8085106382978723,141,272,old_unrelated_offline15,0.15,none,71,0
160,0.425531914893617,0.6130268199233716,0.5818181818181818,275,261,old_unrelated_offline15,0.15,none,123,1
116,0.47540983606557374,0.6408839779005525,0.6480446927374302,179,181,old_unrelated_offline15,0.15,none,19,0
121,0.5,0.5307017543859649,0.8962962962962963,135,228,old_unrelated_offline15,0.15,none,166,0
212,0.37258347978910367,0.5608465608465608,0.5260545905707196,403,378,old_unrelated_offline15,0.15,none,71,1
165,0.37585421412300685,0.6521739130434783,0.4700854700854701,351,253,old_unrelated_offline15,0.15,none,123,2
89,0.22879177377892032,0.332089552238806,0.4238095238095238,210,268,old_unrelated_offline15,0.15,none,19,1
178,0.4091954022988506,0.664179104477612,0.5159420289855072,345,268,old_unrelated_offline15,0.15,none,166,1
141,0.5145985401459854,0.5320754716981132,0.94,150,265,old_unrelated_offline15,0.15,none,72,0
104,0.4046692607003891,0.4642857142857143,0.7591240875912408,137,224,old_unrelated_offline15,0.15,none,93,0
107,0.26616915422885573,0.5144230769230769,0.3554817275747508,301,208,old_unrelated_offline15,0.15,none,72,1
202,0.3726937269372694,0.7087719298245614,0.4400871459694989,459,285,old_unrelated_offline15,0.15,none,123,3
121,0.29086538461538464,0.4745098039215686,0.42907801418439717,282,255,old_unrelated_offline15,0.15,none,93,1
107,0.46320346320346323,0.4885844748858447,0.8991596638655462,119,219,old_unrelated_offline15,0.15,none,143,0
158,0.5962264150943396,0.6147859922178989,0.9518072289156626,166,257,old_unrelated_offline15,0.15,none,20,0
122,0.5126050420168067,0.5674418604651162,0.8413793103448276,145,215,old_unrelated_offline15,0.15,none,167,0
90,0.26785714285714285,0.4712041884816754,0.3829787234042553,235,191,old_unrelated_offline15,0.15,none,143,1
217,0.36904761904761907,0.5651041666666666,0.5154394299287411,421,384,old_unrelated_offline15,0.15,none,20,1
131,0.3438320209973753,0.6150234741784038,0.43812709030100333,299,213,old_unrelated_offline15,0.15,none,167,1
146,0.47249190938511326,0.49829351535836175,0.9012345679012346,162,293,old_unrelated_offline15,0.15,none,21,0
102,0.4214876033057851,0.5513513513513514,0.6415094339622641,159,185,old_unrelated_offline15,0.15,none,95,0
92,0.4623115577889447,0.5054945054945055,0.8440366972477065,109,182,old_unrelated_offline15,0.15,none,144,0
96,0.4155844155844156,0.44651162790697674,0.8571428571428571,112,215,old_unrelated_offline15,0.15,none,74,0
118,0.21338155515370705,0.34502923976608185,0.3586626139817629,329,342,old_unrelated_offline15,0.15,none,21,1
129,0.6172248803827751,0.6789473684210526,0.8716216216216216,148,190,old_unrelated_offline15,0.15,none,96,0
123,0.29927007299270075,0.47307692307692306,0.4489051094890511,274,260,old_unrelated_offline15,0.15,none,74,1
120,0.47619047619047616,0.631578947368421,0.6593406593406593,182,190,old_unrelated_offline15,0.15,none,169,0
84,0.1995249406175772,0.3181818181818182,0.34854771784232363,241,264,old_unrelated_offline15,0.15,none,169,1
145,0.46774193548387094,0.69377990430622,0.5894308943089431,246,209,old_unrelated_offline15,0.15,none,96,1
118,0.41843971631205673,0.44866920152091255,0.8613138686131386,137,263,old_unrelated_offline15,0.15,none,24,0
195,0.40372670807453415,0.5945121951219512,0.5571428571428572,350,328,old_unrelated_offline15,0.15,none,24,1
118,0.5592417061611374,0.5756097560975609,0.9516129032258065,124,205,old_unrelated_offline15,0.15,none,97,0
108,0.3302752293577982,0.5070422535211268,0.4864864864864865,222,213,old_unrelated_offline15,0.15,none,144,1
97,0.45754716981132076,0.532967032967033,0.7637795275590551,127,182,old_unrelated_offline15,0.15,none,145,0
114,0.41155234657039713,0.44357976653696496,0.8507462686567164,134,257,old_unrelated_offline15,0.15,none,173,0
131,0.39104477611940297,0.5481171548117155,0.5770925110132159,227,239,old_unrelated_offline15,0.15,none,145,1
134,0.36314363143631434,0.6442307692307693,0.4542372881355932,295,208,old_unrelated_offline15,0.15,none,97,1
123,0.5278969957081545,0.5857142857142857,0.8424657534246576,146,210,old_unrelated_offline15,0.15,none,98,0
129,0.5758928571428571,0.7206703910614525,0.7413793103448276,174,179,old_unrelated_offline15,0.15,none,146,0
160,0.38929440389294406,0.5536332179930796,0.5673758865248227,282,289,old_unrelated_offline15,0.15,none,146,1
113,0.5485436893203883,0.6848484848484848,0.7337662337662337,154,165,old_unrelated_offline15,0.15,none,147,0
116,0.26976744186046514,0.46215139442231074,0.39322033898305087,295,251,old_unrelated_offline15,0.15,none,173,1
113,0.212406015037594,0.3343195266272189,0.36807817589576547,307,338,old_unrelated_offline15,0.15,none,147,1
111,0.33433734939759036,0.511520737327189,0.4911504424778761,226,217,old_unrelated_offline15,0.15,none,98,1
186,0.5166666666666667,0.62,0.7560975609756098,246,300,old_unrelated_offline15,0.15,none,149,0
101,0.45701357466063347,0.6196319018404908,0.6352201257861635,159,163,old_unrelated_offline15,0.15,none,174,0
96,0.30094043887147337,0.4507042253521127,0.4752475247524752,202,213,old_unrelated_offline15,0.15,none,174,1
140,0.23140495867768596,0.5072463768115942,0.29850746268656714,469,276,draft_freq_pool30,0.3,oracle_upper_bound,75,0
87,0.29692832764505117,0.5878378378378378,0.375,232,148,draft_freq_pool30,0.3,oracle_upper_bound,25,0
129,0.30641330166270786,0.6323529411764706,0.37283236994219654,346,204,draft_freq_pool30,0.3,oracle_upper_bound,176,0
85,0.2599388379204893,0.5214723926380368,0.3413654618473896,249,163,draft_freq_pool30,0.3,oracle_upper_bound,150,0
98,0.2273781902552204,0.494949494949495,0.29607250755287007,331,198,draft_freq_pool30,0.3,oracle_upper_bound,25,1
189,0.3073170731707317,0.65625,0.36627906976744184,516,288,draft_freq_pool30,0.3,oracle_upper_bound,150,1
204,0.3090909090909091,0.6559485530546624,0.3688969258589512,553,311,draft_freq_pool30,0.3,oracle_upper_bound,77,0
195,0.3373702422145329,0.7065217391304348,0.39235412474849096,497,276,draft_freq_pool30,0.3,oracle_upper_bound,50,0
121,0.24444444444444444,0.5330396475770925,0.3110539845758355,389,227,draft_freq_pool30,0.3,oracle_upper_bound,0,0
188,0.26895565092989987,0.5968253968253968,0.32867132867132864,572,315,draft_freq_pool30,0.3,oracle_upper_bound,50,1
