rate,example_id,m_queries,intersection_ratio_mean,intersection_ratio_std
0.5,3,16,0.8465931964573268,0.01388230078847793
0.5,3,32,0.8271437198067633,0.004538759805204276
0.5,3,35,0.8244766505636071,0.0
0.8,3,2,0.9691744215291751,0.0123064374742057
0.8,3,4,0.9442435865191148,0.01506464146909142
0.8,3,8,0.9264021629778673,0.010955404642273138
0.8,3,16,0.9105020749496981,0.00852389597587217
0.8,3,32,0.8982645875251509,0.0029545624055509834
0.8,3,35,0.8963782696177063,0.0
0.15,4,2,0.8363181089743592,0.02599668668466229
0.15,4,4,0.7666266025641028,0.017721154643233098
0.15,4,8,0.7279647435897434,0.013872828279792295
0.15,4,16,0.70556891025641,0.008624769378949938
0.15,4,32,0.6860977564102564,0.0023025533726764363
0.15,4,35,0.6846153846153846,0.0
0.25,4,2,0.8848046274961597,0.026110491649959752
0.25,4,4,0.8253408218125959,0.021253045116323678
0.25,4,8,0.7914866551459293,0.01925898197606156
0.25,4,16,0.7664650537634409,0.016296106252303457
0.25,4,32,0.7436995967741936,0.004684036747909406
0.25,4,35,0.7419354838709677,0.0
0.3,4,2,0.9033390685019207,0.025545094761483426
0.3,4,4,0.8534030889884763,0.018504437576732913
0.3,4,8,0.8255541773367479,0.015760572571415794
0.3,4,16,0.8033870838668374,0.012294609602327958
0.3,4,32,0.7826704545454546,0.003017652573248976
0.3,4,35,0.7810499359795134,0.0
0.5,4,2,0.9483186923963134,0.01382726885424088
0.5,4,4,0.9206029185867897,0.011637354606272533
0.5,4,8,0.9033458141321045,0.01133297027744646
0.5,4,16,0.889076900921659,0.009748576309259984
0.5,4,32,0.8736859158986174,0.002523523548496569
0.5,4,35,0.8725038402457758,0.0
0.8,4,2,0.9769748680422264,0.006987952961936204
0.8,4,4,0.9624970009596929,0.006192691453597321
0.8,4,8,0.95220654390595,0.004817672330298399
0.8,4,16,0.9445327495201535,0.003915987622031568
0.8,4,32,0.9359105086372359,0.00105904771971026
0.8,4,35,0.9352207293666027,0.0
0.15,5,2,0.8571210268948655,0.021235333759375467
0.15,5,4,0.8028919621026895,0.013831348375831852
0.15,5,8,0.7811353911980441,0.01007160056128497
0.15,5,16,0.7651283618581908,0.004982225057121365
0.15,5,32,0.7562843826405867,0.0012576542803623058
0.15,5,35,0.7555012224938875,0.0
0.25,5,2,0.8982539464023495,0.02703922828818569
0.25,5,4,0.8474210719530102,0.027458561466686165
0.25,5,8,0.8198421439060206,0.02452055543075708
0.25,5,16,0.7876858480176212,0.014084108745853623
0.25,5,32,0.7685733296622612,0.003929675663450249
0.25,5,35,0.7665198237885462,0.0
0.3,5,2,0.9132220354523227,0.023778303732650316
0.3,5,4,0.8693937194376529,0.021939943241602235
0.3,5,8,0.8453545232273839,0.018649293509326526
0.3,5,16,0.8199113691931541,0.010857970125938232
0.3,5,32,0.8029110635696823,0.0033337395844818415
0.3,5,35,0.8007334963325183,0.0
0.5,5,2,0.9511819057226706,0.015487472926656363
0.5,5,4,0.922132932868672,0.016178956062050057
0.5,5,8,0.9040031181217901,0.015644849085418754
0.5,5,16,0.881924064563463,0.012430523549297894
0.5,5,32,0.8634216801173882,0.005134450419017341
0.5,5,35,0.8606016140865738,0.0
0.8,5,2,0.9769708562585969,0.008443186388370199
0.8,5,4,0.9612276478679505,0.007880038330488493
0.8,5,8,0.950270088262265,0.0066823069394976896
0.8,5,16,0.9392946182943605,0.004764354302820582
0.8,5,32,0.9310271950939935,0.002038998577325228
0.8,5,35,0.9298486932599724,0.0
0.15,6,2,0.8571800595238097,0.025123674349271603
0.15,6,4,0.7994419642857145,0.02023477820987436
0.15,6,8,0.7642857142857143,0.017717709602544297
0.15,6,16,0.7375744047619047,0.012616160594614085
0.15,6,32,0.7162574404761903,0.0040163067445193115
0.15,6,34,0.7142857142857143,0.0
0.25,6,2,0.8766025641025641,0.023573642562139934
0.25,6,4,0.8261663105413106,0.02361190170422276
0.25,6,8,0.7962295227920229,0.023002403455207564
0.25,6,16,0.7736155626780628,0.015563543267387205
0.25,6,32,0.7518919159544158,0.006380782030116973
0.25,6,34,0.7492877492877493,0.0
0.3,6,2,0.883146526128266,0.02491773529285653
0.3,6,4,0.8328941508313539,0.02399591802913807
0.3,6,8,0.8027575712589073,0.023222631979016153
0.3,6,16,0.7789674881235154,0.01626609270191366
0.3,6,32,0.7595754156769595,0.005441982741469429
0.3,6,34,0.7577197149643705,0.0
0.5,6,2,0.9294871794871795,0.020247535231053885
0.5,6,4,0.889667913105413,0.023471781164443303
0.5,6,8,0.8591969373219372,0.021707175154526682
0.5,6,16,0.8347689636752137,0.015731609452929615
0.5,6,32,0.812366452991453,0.004258407197715073
0.5,6,34,0.8105413105413105,0.0
0.8,6,2,0.9748093833481744,0.008920811611494234
0.8,6,4,0.9562207813891362,0.012131034747394132
0.8,6,8,0.9388844056099734,0.012346205275945862
0.8,6,16,0.9255690672306323,0.009118188831840358
0.8,6,32,0.9120241540516474,0.0026419404221432945
0.8,6,34,0.9109528049866429,0.0
0.15,7,2,0.8476197429906542,0.017938266362287406
0.15,7,4,0.7902307242990655,0.014654774309783413
0.15,7,8,0.7514846183800623,0.011111545997561843
0.15,7,16,0.7278524143302181,0.008652700331206513
0.15,7,32,0.708917445482866,0.002295526893020171
0.15,7,35,0.7071651090342679,0.0
0.25,7,2,0.8711302570093458,0.020529272576009828
0.25,7,4,0.8182827102803738,0.01685798666335527
0.25,7,8,0.7846816588785047,0.009904609320782947
0.25,7,16,0.7680636682242991,0.006137469987700257
0.25,7,32,0.7563376168224298,0.0016805283155158848
0.25,7,35,0.7551401869158878,0.0
0.3,7,2,0.891038746105919,0.019202656069213862
0.3,7,4,0.8413405373831776,0.01608134567423829
0.3,7,8,0.8084477219626167,0.009397299429875928
0.3,7,16,0.7913502725856699,0.0055100192595577985
0.3,7,32,0.7801669587227416,0.0018611415152644535
0.3,7,35,0.778816199376947,0.0
0.5,7,2,0.9394275700934578,0.012161181286818114
0.5,7,4,0.9097400700934579,0.01136100946288225
0.5,7,8,0.8878577686915888,0.008214615766346042
0.5,7,16,0.8745546144859813,0.0062619599557326095
0.5,7,32,0.862317464953271,0.0026042064715128327
0.5,7,35,0.8607476635514019,0.0
0.8,7,2,0.9745819947429906,0.007557562666769794
0.8,7,4,0.9596323744158879,0.00779823709201332
0.8,7,8,0.9472108644859814,0.006179074209005751
0.8,7,16,0.9371577467873832,0.004882955369967423
0.8,7,32,0.9283915011682246,0.00113451075009202
0.8,7,35,0.927570093457944,0.0
0.15,8,2,0.8606267265193371,0.02157212331191956
0.15,8,4,0.8121762776243093,0.016872241278310243
0.15,8,8,0.7849620165745856,0.01300946927607193
0.15,8,16,0.7630783839779005,0.012327320862707342
0.15,8,32,0.7388855317679559,0.006422696894985351
0.15,8,35,0.7348066298342542,0.0
0.25,8,2,0.9040381829470199,0.018126353895728534
0.25,8,4,0.8655836092715232,0.01727009235807259
0.25,8,8,0.839869619205298,0.015251426876476442
0.25,8,16,0.8193682740066225,0.01069940292376001
0.25,8,32,0.8049591266556293,0.004414756295979108
0.25,8,35,0.8029801324503312,0.0
0.3,8,2,0.9172521551724139,0.01609692706856909
0.3,8,4,0.8827693965517242,0.014103718163834917
0.3,8,8,0.8597306034482759,0.012613996946173944
0.3,8,16,0.8416702586206897,0.01296851160368539
0.3,8,32,0.8226616379310346,0.006850457151981999
0.3,8,35,0.8193103448275862,0.0
0.5,8,2,0.9517550661703886,0.01215412613819835
0.5,8,4,0.9274645885028949,0.012075794353263511
0.5,8,8,0.9094228184449957,0.009764313146315215
0.5,8,16,0.8945667907361455,0.008569591202775513
0.5,8,32,0.8820629135649298,0.0043183973691835196
0.5,8,35,0.880066170388751,0.0
0.8,8,2,0.9768693475452197,0.0075702067182112
0.8,8,4,0.9617449935400517,0.0070153566053723325
0.8,8,8,0.9502139857881136,0.00609747857475077
0.8,8,16,0.9407097868217055,0.004689902390560499
0.8,8,32,0.9341489018087856,0.001561931312557643
0.8,8,35,0.9333333333333333,0.0
0.15,9,2,0.8457785675965666,0.025267857476833293
0.15,9,4,0.7840162285407725,0.016800048909878792
0.15,9,8,0.7567563036480687,0.010373620353932217
0.15,9,16,0.7382644849785407,0.009060559644847695
0.15,9,32,0.721616818669528,0.004289454502225186
0.15,9,35,0.7188841201716738,0.0
0.25,9,2,0.8940480025773196,0.02217851076164047
0.25,9,4,0.8400954413659794,0.020334087978674052
0.25,9,8,0.8142920425257731,0.014594849442750732
0.25,9,16,0.7919418492268042,0.01211642131258321
0.25,9,32,0.7735482442010311,0.005983330053095402
0.25,9,35,0.770618556701031,0.0
0.3,9,2,0.9175244769313304,0.017443034025201906
0.3,9,4,0.8770956276824033,0.02012690226876283
0.3,9,8,0.8586457215665236,0.016607763574474372
0.3,9,16,0.8373625268240342,0.016163906563233646
0.3,9,32,0.8147884254291847,0.008071896476683764
0.3,9,35,0.8111587982832618,0.0
0.5,9,2,0.9525213296844817,0.010842932965992532
0.5,9,4,0.9267848518995492,0.010907530819140242
0.5,9,8,0.9152396571152608,0.008610433875048637
0.5,9,16,0.9027537427559562,0.008624189560378472
0.5,9,32,0.8895333628461045,0.004776628127828624
0.5,9,35,0.8873148744365744,0.0
0.8,9,2,0.9763581488933601,0.007075052965461691
0.8,9,4,0.9603684607645876,0.006883446610399327
0.8,9,8,0.9517448440643863,0.005531833411041335
0.8,9,16,0.94286657444668,0.0043017504119389075
0.8,9,32,0.9351012323943662,0.001981479471182948
0.8,9,35,0.9340040241448692,0.0
0.15,10,2,0.8637251420454546,0.018870998922038203
0.15,10,4,0.8088156960227273,0.0172891820439104
0.15,10,8,0.7745250355113635,0.014909999463422375
0.15,10,16,0.7515980113636364,0.012279693989472113
0.15,10,32,0.7320667613636365,0.004029405439598806
0.15,10,35,0.7301136363636364,0.0
0.25,10,2,0.8936594974446337,0.021779625316535555
0.25,10,4,0.844428769165247,0.02136162147377633
0.25,10,8,0.8154812606473594,0.01729434047962072
0.25,10,16,0.7951847316865418,0.014859403653408659
0.25,10,32,0.7769245102214651,0.005013577326511244
0.25,10,35,0.7751277683134583,0.0
0.3,10,2,0.9096568714488636,0.02301559655488675
0.3,10,4,0.8579878373579546,0.026592336077662725
0.3,10,8,0.8214111328125,0.022747873051640825
0.3,10,16,0.7935125177556819,0.017193580514862028
0.3,10,32,0.7719282670454545,0.004676692894554656
0.3,10,35,0.7698863636363636,0.0
0.5,10,2,0.9495647891822827,0.014481447073490927
0.5,10,4,0.9174696550255537,0.017209649039191175
0.5,10,8,0.8933467312606473,0.015949251302381298
0.5,10,16,0.8745940694207837,0.013697162656523383
0.5,10,32,0.8579642248722317,0.0044718909710391675
0.5,10,35,0.8560477001703578,0.0
0.8,10,2,0.9807973908413206,0.006750773201489448
0.8,10,4,0.9676267971246006,0.00833581019842047
0.8,10,8,0.9573390907880723,0.007613977611341785
0.8,10,16,0.9483201876996805,0.005966817127971047
0.8,10,32,0.9402539270500532,0.001931804315540069
0.8,10,35,0.939297124600639,0.0
0.15,11,2,0.8517863538681948,0.02431237485217288
0.15,11,4,0.7884357091690544,0.024712889158326885
0.15,11,8,0.7515222063037249,0.019948080291600424
0.15,11,16,0.7262714899713467,0.010374075152584317
0.15,11,32,0.716981554441261,0.001350378862093091
0.15,11,35,0.7163323782234957,0.0
0.25,11,2,0.8912693298969074,0.02338792038814336
0.25,11,4,0.8355213702749142,0.027370932830051306
0.25,11,8,0.7981368127147768,0.02699784503270773
0.25,11,16,0.7654907646048111,0.016578174563516655
0.25,11,32,0.747999892611684,0.004959793497794427
0.25,11,35,0.7457044673539519,0.0
0.3,11,2,0.9068311874105865,0.02195569012799328
0.3,11,4,0.8591067596566523,0.02497884929759197
0.3,11,8,0.8286279506437768,0.02295307980084336
0.3,11,16,0.801669796137339,0.013909319972343898
0.3,11,32,0.786972460658083,0.003078927114605416
0.3,11,35,0.7854077253218884,0.0
0.5,11,2,0.9477400751072961,0.01463820604053925
0.5,11,4,0.9157926502145923,0.018166931239887257
0.5,11,8,0.8906182939914162,0.017344075807367278
0.5,11,16,0.8662486587982832,0.011024088668676981
0.5,11,32,0.8502212982832618,0.0027460183979739422
0.5,11,35,0.848068669527897,0.0
0.8,11,2,0.9785281987660944,0.008086641380582673
0.8,11,4,0.9631546740879828,0.010869927662686766
0.8,11,8,0.9502078862660944,0.010725369248319053
0.8,11,16,0.9369970493562232,0.007036117926045934
0.8,11,32,0.9286564511802575,0.0016684144713238038
0.8,11,35,0.9275751072961373,0.0
0.15,12,2,0.8559239498644986,0.01713897093481788
0.15,12,4,0.8020621612466123,0.016748271504483436
0.15,12,8,0.779662093495935,0.013152876648820904
0.15,12,16,0.7650533536585364,0.010455131428640579
0.15,12,32,0.7524136178861788,0.0036126802057573947
0.15,12,35,0.7506775067750677,0.0
0.25,12,2,0.8862677845528455,0.022889381385909246
0.25,12,4,0.8373475609756097,0.023475334792322063
0.25,12,8,0.8110899390243902,0.019202136774808976
0.25,12,16,0.7921875,0.015822434586828336
0.25,12,32,0.7723069105691058,0.005647106350411424
0.25,12,35,0.7691056910569106,0.0
0.3,12,2,0.9062076558265582,0.024549653091355594
0.3,12,4,0.8592056233062331,0.03123860860341395
0.3,12,8,0.8298293529810298,0.028254209223370925
0.3,12,16,0.8041581978319784,0.023525037163537894
0.3,12,32,0.7762428014905147,0.006690639024820152
0.3,12,35,0.7723577235772358,0.0
0.5,12,2,0.9479716693744922,0.01571460408874924
0.5,12,4,0.9191523659626321,0.020389503325637007
0.5,12,8,0.9001002741673436,0.017007079137122637
0.5,12,16,0.883834281072299,0.01456715177939016
0.5,12,32,0.8663243805848906,0.005915556852780502
0.5,12,35,0.8635255889520714,0.0
0.8,12,2,0.9775703085322498,0.007606373619057589
0.8,12,4,0.9608184674961908,0.011345195052067375
0.8,12,8,0.9488041201117317,0.009623650949396436
0.8,12,16,0.938095162519045,0.00877119067145104
0.8,12,32,0.9266045581513457,0.003871995596545808
0.8,12,35,0.9248349415947181,0.0
0.15,13,2,0.8548373287671234,0.02725989617131676
0.15,13,4,0.8039383561643836,0.024195999221097993
0.15,13,8,0.7683005136986302,0.020532767207503983
0.15,13,16,0.7441352739726028,0.012386822855031135
0.15,13,32,0.7254280821917807,0.003541458541086704
0.15,13,35,0.7232876712328767,0.0
0.25,13,2,0.8805290435139573,0.02922462929057999
0.25,13,4,0.8321659482758621,0.025190886234369176
0.25,13,8,0.7991969417077176,0.016696609385623177
0.25,13,16,0.7782994663382594,0.009736042734047289
0.25,13,32,0.7591851395730707,0.0027186539776169107
0.25,13,35,0.7569786535303776,0.0
0.3,13,2,0.8939274110807114,0.03239189959857077
0.3,13,4,0.8438889363885089,0.03206560451774844
0.3,13,8,0.8043241279069767,0.022698677080868822
0.3,13,16,0.7830668604651163,0.012239978131179495
0.3,13,32,0.7649089432284542,0.0023822867829221242
0.3,13,35,0.7633378932968536,0.0
0.5,13,2,0.9437999897456932,0.017899566232126036
0.5,13,4,0.9155557834290402,0.017980671872535946
0.5,13,8,0.8924579573420837,0.01357425362347603
0.5,13,16,0.878005793683347,0.0091477109167746
0.5,13,32,0.8647328753076291,0.0017589480467296926
0.5,13,35,0.8638228055783429,0.0
0.8,13,2,0.9724059777037417,0.011263297441492147
0.8,13,4,0.9542902678113788,0.011950406114765855
0.8,13,8,0.9397624615581752,0.009150752482905183
0.8,13,16,0.9305484366991287,0.005484232263610527
0.8,13,32,0.9222754356740134,0.0009940810566648483
0.8,13,35,0.9215786776012301,0.0
0.15,14,2,0.8378292059748428,0.024293863538518867
0.15,14,4,0.7787195361635221,0.01684240028998897
0.15,14,8,0.7409836871069182,0.014101016340653038
0.15,14,16,0.7130994496855345,0.010440627294602751
0.15,14,32,0.691897602201258,0.003939943097535881
0.15,14,35,0.6886792452830188,0.0
0.25,14,2,0.8639298349056603,0.02516479714346576
0.25,14,4,0.8062057783018868,0.021305085273109318
0.25,14,8,0.7647847877358491,0.018282907733378567
0.25,14,16,0.7363354952830188,0.010875291530666234
0.25,14,32,0.7149764150943395,0.004614150364743832
0.25,14,35,0.7113207547169811,0.0
0.3,14,2,0.881743808962264,0.02654804805520452
0.3,14,4,0.8282724056603773,0.023083253674632143
0.3,14,8,0.791371855345912,0.01862555406597788
0.3,14,16,0.7666199882075472,0.010659844673286047
0.3,14,32,0.749533215408805,0.004248918264894858
0.3,14,35,0.7468553459119497,0.0
0.5,14,2,0.9342791863207547,0.016985749070878124
0.5,14,4,0.9032208136792453,0.016200155357091146
0.5,14,8,0.876510908018868,0.014114457604013505
0.5,14,16,0.8586821933962263,0.008517024562590162
0.5,14,32,0.8440890330188677,0.0036679729788727435
0.5,14,35,0.8415094339622642,0.0
0.8,14,2,0.9719100088443395,0.009789926258251879
0.8,14,4,0.9552347435141509,0.00960164574982417
0.8,14,8,0.9405310288915095,0.00894927624595017
0.8,14,16,0.9275823629127359,0.00655641818570334
0.8,14,32,0.9162367334905659,0.002449718433758871
0.8,14,35,0.9145047169811321,0.0
0.15,15,2,0.8633822737068966,0.018035962075124312
0.15,15,4,0.8052936422413792,0.012204697030839278
0.15,15,8,0.7808459051724137,0.0071364666912444
0.15,15,16,0.7675107758620691,0.004901240678518381
0.15,15,32,0.7597992995689655,0.001995342533273955
0.15,15,35,0.7586206896551724,0.0
0.25,15,2,0.8711644056847545,0.02325073151603021
0.25,15,4,0.8154675387596899,0.019289538041172335
0.25,15,8,0.7847424095607236,0.013845850757311498
0.25,15,16,0.7651606912144703,0.010031766738810295
0.25,15,32,0.751312177002584,0.003225871000873758
0.25,15,35,0.7493540051679587,0.0
0.3,15,2,0.8965221774193548,0.019853603942381687
0.3,15,4,0.8508904569892473,0.018301847082785493
0.3,15,8,0.8182627688172043,0.016225063788678003
0.3,15,16,0.7926243279569892,0.012596269344463982
0.3,15,32,0.7727318548387097,0.004537627988755462
0.3,15,35,0.7698924731182796,0.0
0.5,15,2,0.9296875,0.020150317074261837
0.5,15,4,0.8921572580645161,0.019067497020791087
0.5,15,8,0.868538306451613,0.015562318993970118
0.5,15,16,0.8468649193548388,0.01095342233347901
0.5,15,32,0.8314112903225807,0.002289172246328579
0.5,15,35,0.8296774193548387,0.0
0.8,15,2,0.9722530241935483,0.008824703809866979
0.8,15,4,0.9530493951612903,0.008064476751415955
0.8,15,8,0.9410660282258063,0.005799314973785808
0.8,15,16,0.932459677419355,0.003571167254822244
0.8,15,32,0.927734375,0.0005542922743932351
0.8,15,35,0.9274193548387096,0.0
0.15,16,2,0.8462577160493827,0.02541835200773363
0.15,16,4,0.7751012731481481,0.02068409011267096
0.15,16,8,0.7375819830246914,0.012942881338090914
0.15,16,16,0.7178096064814814,0.006156948026076409
0.15,16,32,0.7079957561728394,0.002050001090550938
0.15,16,35,0.7067901234567902,0.0
0.25,16,2,0.8800202546296296,0.028364419092888216
0.25,16,4,0.8198784722222223,0.02452882940011547
0.25,16,8,0.7843460648148147,0.018396384539078697
0.25,16,16,0.7574074074074074,0.01028465735718661
0.25,16,32,0.7410300925925926,0.00378553621329311
0.25,16,35,0.7388888888888889,0.0
0.3,16,2,0.8914448302469136,0.028359392894022763
0.3,16,4,0.8319950810185186,0.02210665914326751
0.3,16,8,0.8023726851851851,0.014871859514958794
0.3,16,16,0.7810570987654322,0.008963163700222952
0.3,16,32,0.7651186342592592,0.0041969181408662536
0.3,16,35,0.7623456790123457,0.0
0.5,16,2,0.9431588228492136,0.01725028405109419
0.5,16,4,0.9090396623496763,0.013978819454923306
0.5,16,8,0.8882689639222943,0.009411144291532149
0.5,16,16,0.8731643154486587,0.005939378552954384
0.5,16,32,0.8606469703977796,0.0026963589957386823
0.5,16,35,0.8584643848288621,0.0
0.8,16,2,0.9773848684210525,0.008225202239387636
0.8,16,4,0.9617237203585888,0.00790855951630655
0.8,16,8,0.9493836755349914,0.0068138798107905815
0.8,16,16,0.9379699248120301,0.004663520365202466
0.8,16,32,0.9285669100636207,0.001962671484717834
0.8,16,35,0.9271255060728745,0.0
0.15,17,2,0.8421327627388535,0.021693791148341097
0.15,17,4,0.7885648885350319,0.01798567749084836
0.15,17,8,0.7598527070063694,0.017508853795456743
0.15,17,16,0.7391520700636942,0.013929921720953546
0.15,17,32,0.7154906449044585,0.004491133000790984
0.15,17,35,0.7133757961783439,0.0
0.25,17,2,0.8672322280534353,0.025479828109017815
0.25,17,4,0.8103977814885497,0.021536406777104104
0.25,17,8,0.7764939169847329,0.018105619167008206
0.25,17,16,0.7566644799618322,0.013076775922068108
0.25,17,32,0.7351204675572518,0.004134274626269624
0.25,17,35,0.732824427480916,0.0
0.3,17,2,0.8865759141494436,0.02358212100622485
0.3,17,4,0.8362728537360891,0.01939304045581584
0.3,17,8,0.805681140699523,0.018365119799642005
0.3,17,16,0.7847153219395866,0.015565028522967404
0.3,17,32,0.7602717607313197,0.004477571868698321
0.3,17,35,0.7583465818759937,0.0
0.5,17,2,0.9378798260247856,0.01699781167278538
0.5,17,4,0.9027794327931363,0.017390167970975322
0.5,17,8,0.8776811248808389,0.01672240491025523
0.5,17,16,0.8584663965681602,0.012827369259632057
0.5,17,32,0.8376876787416586,0.002989695805245204
0.5,17,35,0.8360343183984748,0.0
0.8,17,2,0.9733080676400476,0.009191915240948288
0.8,17,4,0.9549314660309893,0.008682561694324468
0.8,17,8,0.9416716328963053,0.007906839623263011
0.8,17,16,0.9316941671632897,0.006578712209199287
0.8,17,32,0.9198823003575683,0.001725854117729903
0.8,17,35,0.9189511323003575,0.0
0.15,18,2,0.8605248917748918,0.01745024997687834
0.15,18,4,0.8014745670995671,0.01649087854976039
0.15,18,8,0.7696496212121212,0.013295096033938013
0.15,18,16,0.7477002164502164,0.007651474968819954
0.15,18,32,0.737114448051948,0.0023409445996580617
0.15,18,35,0.7359307359307359,0.0
0.25,18,2,0.8733605893782381,0.017051711251341563
0.25,18,4,0.8169729598445594,0.013945903216352274
0.25,18,8,0.7887993847150256,0.009233334961250795
0.25,18,16,0.7690657383419688,0.005951279418184028
0.25,18,32,0.7576101036269428,0.0018532258973865993
0.25,18,35,0.7564766839378239,0.0
0.3,18,2,0.8875202483801297,0.017035635811971754
0.3,18,4,0.8328833693304536,0.017113308846372008
