example_id,chunk_id,method,rate,boundary_rate,chunk_len,selected_count,doc_len,total_target_count,base_budget,boundary_budget,boundary_selected_count_global
0,0,draft_smart_mean_boundary0p03_global,0.15,0.03,50,25,1171,175,140,35,35
0,1,draft_smart_mean_boundary0p03_global,0.15,0.03,92,11,1171,175,140,35,35
0,2,draft_smart_mean_boundary0p03_global,0.15,0.03,76,11,1171,175,140,35,35
0,3,draft_smart_mean_boundary0p03_global,0.15,0.03,98,9,1171,175,140,35,35
0,4,draft_smart_mean_boundary0p03_global,0.15,0.03,52,10,1171,175,140,35,35
0,5,draft_smart_mean_boundary0p03_global,0.15,0.03,214,11,1171,175,140,35,35
0,6,draft_smart_mean_boundary0p03_global,0.15,0.03,121,13,1171,175,140,35,35
0,7,draft_smart_mean_boundary0p03_global,0.15,0.03,301,16,1171,175,140,35,35
0,8,draft_smart_mean_boundary0p03_global,0.15,0.03,84,20,1171,175,140,35,35
0,9,draft_smart_mean_boundary0p03_global,0.15,0.03,83,49,1171,175,140,35,35
0,0,draft_smart_freq_boundary0p05_global,0.15,0.05,50,24,1171,175,117,58,58
0,1,draft_smart_freq_boundary0p05_global,0.15,0.05,92,12,1171,175,117,58,58
0,2,draft_smart_freq_boundary0p05_global,0.15,0.05,76,14,1171,175,117,58,58
0,3,draft_smart_freq_boundary0p05_global,0.15,0.05,98,13,1171,175,117,58,58
0,4,draft_smart_freq_boundary0p05_global,0.15,0.05,52,11,1171,175,117,58,58
0,5,draft_smart_freq_boundary0p05_global,0.15,0.05,214,12,1171,175,117,58,58
0,6,draft_smart_freq_boundary0p05_global,0.15,0.05,121,11,1171,175,117,58,58
0,7,draft_smart_freq_boundary0p05_global,0.15,0.05,301,12,1171,175,117,58,58
0,8,draft_smart_freq_boundary0p05_global,0.15,0.05,84,20,1171,175,117,58,58
0,9,draft_smart_freq_boundary0p05_global,0.15,0.05,83,46,1171,175,117,58,58
0,0,draft_smart_mean_boundary0p05_global,0.15,0.05,50,24,1171,175,117,58,58
0,1,draft_smart_mean_boundary0p05_global,0.15,0.05,92,13,1171,175,117,58,58
0,2,draft_smart_mean_boundary0p05_global,0.15,0.05,76,14,1171,175,117,58,58
0,3,draft_smart_mean_boundary0p05_global,0.15,0.05,98,12,1171,175,117,58,58
0,4,draft_smart_mean_boundary0p05_global,0.15,0.05,52,10,1171,175,117,58,58
0,5,draft_smart_mean_boundary0p05_global,0.15,0.05,214,11,1171,175,117,58,58
0,6,draft_smart_mean_boundary0p05_global,0.15,0.05,121,13,1171,175,117,58,58
0,7,draft_smart_mean_boundary0p05_global,0.15,0.05,301,17,1171,175,117,58,58
0,8,draft_smart_mean_boundary0p05_global,0.15,0.05,84,20,1171,175,117,58,58
0,9,draft_smart_mean_boundary0p05_global,0.15,0.05,83,41,1171,175,117,58,58
1,0,draft_smart_freq_boundary0p02_global,0.15,0.02,90,21,1205,180,156,24,24
1,1,draft_smart_freq_boundary0p02_global,0.15,0.02,85,9,1205,180,156,24,24
1,2,draft_smart_freq_boundary0p02_global,0.15,0.02,130,10,1205,180,156,24,24
1,3,draft_smart_freq_boundary0p02_global,0.15,0.02,86,8,1205,180,156,24,24
1,4,draft_smart_freq_boundary0p02_global,0.15,0.02,135,11,1205,180,156,24,24
1,5,draft_smart_freq_boundary0p02_global,0.15,0.02,217,15,1205,180,156,24,24
1,6,draft_smart_freq_boundary0p02_global,0.15,0.02,56,12,1205,180,156,24,24
1,7,draft_smart_freq_boundary0p02_global,0.15,0.02,216,14,1205,180,156,24,24
1,8,draft_smart_freq_boundary0p02_global,0.15,0.02,113,15,1205,180,156,24,24
1,9,draft_smart_freq_boundary0p02_global,0.15,0.02,77,65,1205,180,156,24,24
1,0,draft_smart_mean_boundary0p02_global,0.15,0.02,90,22,1205,180,156,24,24
1,1,draft_smart_mean_boundary0p02_global,0.15,0.02,85,9,1205,180,156,24,24
1,2,draft_smart_mean_boundary0p02_global,0.15,0.02,130,14,1205,180,156,24,24
1,3,draft_smart_mean_boundary0p02_global,0.15,0.02,86,10,1205,180,156,24,24
1,4,draft_smart_mean_boundary0p02_global,0.15,0.02,135,10,1205,180,156,24,24
1,5,draft_smart_mean_boundary0p02_global,0.15,0.02,217,15,1205,180,156,24,24
1,6,draft_smart_mean_boundary0p02_global,0.15,0.02,56,11,1205,180,156,24,24
1,7,draft_smart_mean_boundary0p02_global,0.15,0.02,216,17,1205,180,156,24,24
1,8,draft_smart_mean_boundary0p02_global,0.15,0.02,113,17,1205,180,156,24,24
1,9,draft_smart_mean_boundary0p02_global,0.15,0.02,77,55,1205,180,156,24,24
1,0,draft_smart_freq_boundary0p03_global,0.15,0.03,90,22,1205,180,144,36,36
1,1,draft_smart_freq_boundary0p03_global,0.15,0.03,85,10,1205,180,144,36,36
1,2,draft_smart_freq_boundary0p03_global,0.15,0.03,130,10,1205,180,144,36,36
1,3,draft_smart_freq_boundary0p03_global,0.15,0.03,86,10,1205,180,144,36,36
1,4,draft_smart_freq_boundary0p03_global,0.15,0.03,135,11,1205,180,144,36,36
1,5,draft_smart_freq_boundary0p03_global,0.15,0.03,217,14,1205,180,144,36,36
1,6,draft_smart_freq_boundary0p03_global,0.15,0.03,56,10,1205,180,144,36,36
1,7,draft_smart_freq_boundary0p03_global,0.15,0.03,216,15,1205,180,144,36,36
1,8,draft_smart_freq_boundary0p03_global,0.15,0.03,113,16,1205,180,144,36,36
1,9,draft_smart_freq_boundary0p03_global,0.15,0.03,77,62,1205,180,144,36,36
1,0,draft_smart_mean_boundary0p03_global,0.15,0.03,90,21,1205,180,144,36,36
1,1,draft_smart_mean_boundary0p03_global,0.15,0.03,85,9,1205,180,144,36,36
1,2,draft_smart_mean_boundary0p03_global,0.15,0.03,130,15,1205,180,144,36,36
1,3,draft_smart_mean_boundary0p03_global,0.15,0.03,86,12,1205,180,144,36,36
1,4,draft_smart_mean_boundary0p03_global,0.15,0.03,135,11,1205,180,144,36,36
1,5,draft_smart_mean_boundary0p03_global,0.15,0.03,217,17,1205,180,144,36,36
1,6,draft_smart_mean_boundary0p03_global,0.15,0.03,56,12,1205,180,144,36,36
1,7,draft_smart_mean_boundary0p03_global,0.15,0.03,216,16,1205,180,144,36,36
1,8,draft_smart_mean_boundary0p03_global,0.15,0.03,113,17,1205,180,144,36,36
1,9,draft_smart_mean_boundary0p03_global,0.15,0.03,77,50,1205,180,144,36,36
1,0,draft_smart_freq_boundary0p05_global,0.15,0.05,90,20,1205,180,120,60,60
1,1,draft_smart_freq_boundary0p05_global,0.15,0.05,85,13,1205,180,120,60,60
1,2,draft_smart_freq_boundary0p05_global,0.15,0.05,130,13,1205,180,120,60,60
1,3,draft_smart_freq_boundary0p05_global,0.15,0.05,86,12,1205,180,120,60,60
1,4,draft_smart_freq_boundary0p05_global,0.15,0.05,135,13,1205,180,120,60,60
1,5,draft_smart_freq_boundary0p05_global,0.15,0.05,217,14,1205,180,120,60,60
1,6,draft_smart_freq_boundary0p05_global,0.15,0.05,56,13,1205,180,120,60,60
1,7,draft_smart_freq_boundary0p05_global,0.15,0.05,216,15,1205,180,120,60,60
1,8,draft_smart_freq_boundary0p05_global,0.15,0.05,113,15,1205,180,120,60,60
1,9,draft_smart_freq_boundary0p05_global,0.15,0.05,77,52,1205,180,120,60,60
1,0,draft_smart_mean_boundary0p05_global,0.15,0.05,90,19,1205,180,120,60,60
1,1,draft_smart_mean_boundary0p05_global,0.15,0.05,85,11,1205,180,120,60,60
1,2,draft_smart_mean_boundary0p05_global,0.15,0.05,130,15,1205,180,120,60,60
1,3,draft_smart_mean_boundary0p05_global,0.15,0.05,86,13,1205,180,120,60,60
1,4,draft_smart_mean_boundary0p05_global,0.15,0.05,135,13,1205,180,120,60,60
1,5,draft_smart_mean_boundary0p05_global,0.15,0.05,217,19,1205,180,120,60,60
1,6,draft_smart_mean_boundary0p05_global,0.15,0.05,56,14,1205,180,120,60,60
1,7,draft_smart_mean_boundary0p05_global,0.15,0.05,216,16,1205,180,120,60,60
1,8,draft_smart_mean_boundary0p05_global,0.15,0.05,113,16,1205,180,120,60,60
1,9,draft_smart_mean_boundary0p05_global,0.15,0.05,77,44,1205,180,120,60,60
2,0,draft_smart_freq_boundary0p02_global,0.15,0.02,64,30,1377,206,179,27,27
2,1,draft_smart_freq_boundary0p02_global,0.15,0.02,122,15,1377,206,179,27,27
2,2,draft_smart_freq_boundary0p02_global,0.15,0.02,88,11,1377,206,179,27,27
2,3,draft_smart_freq_boundary0p02_global,0.15,0.02,48,12,1377,206,179,27,27
2,4,draft_smart_freq_boundary0p02_global,0.15,0.02,185,9,1377,206,179,27,27
2,5,draft_smart_freq_boundary0p02_global,0.15,0.02,63,10,1377,206,179,27,27
2,6,draft_smart_freq_boundary0p02_global,0.15,0.02,99,9,1377,206,179,27,27
2,7,draft_smart_freq_boundary0p02_global,0.15,0.02,106,10,1377,206,179,27,27
2,8,draft_smart_freq_boundary0p02_global,0.15,0.02,234,28,1377,206,179,27,27
2,9,draft_smart_freq_boundary0p02_global,0.15,0.02,368,72,1377,206,179,27,27
2,0,draft_smart_mean_boundary0p02_global,0.15,0.02,64,27,1377,206,179,27,27
2,1,draft_smart_mean_boundary0p02_global,0.15,0.02,122,14,1377,206,179,27,27
2,2,draft_smart_mean_boundary0p02_global,0.15,0.02,88,13,1377,206,179,27,27
2,3,draft_smart_mean_boundary0p02_global,0.15,0.02,48,12,1377,206,179,27,27
2,4,draft_smart_mean_boundary0p02_global,0.15,0.02,185,13,1377,206,179,27,27
2,5,draft_smart_mean_boundary0p02_global,0.15,0.02,63,14,1377,206,179,27,27
2,6,draft_smart_mean_boundary0p02_global,0.15,0.02,99,10,1377,206,179,27,27
2,7,draft_smart_mean_boundary0p02_global,0.15,0.02,106,11,1377,206,179,27,27
2,8,draft_smart_mean_boundary0p02_global,0.15,0.02,234,30,1377,206,179,27,27
2,9,draft_smart_mean_boundary0p02_global,0.15,0.02,368,62,1377,206,179,27,27
2,0,draft_smart_freq_boundary0p03_global,0.15,0.03,64,28,1377,206,165,41,41
2,1,draft_smart_freq_boundary0p03_global,0.15,0.03,122,15,1377,206,165,41,41
2,2,draft_smart_freq_boundary0p03_global,0.15,0.03,88,12,1377,206,165,41,41
2,3,draft_smart_freq_boundary0p03_global,0.15,0.03,48,13,1377,206,165,41,41
2,4,draft_smart_freq_boundary0p03_global,0.15,0.03,185,11,1377,206,165,41,41
2,5,draft_smart_freq_boundary0p03_global,0.15,0.03,63,11,1377,206,165,41,41
2,6,draft_smart_freq_boundary0p03_global,0.15,0.03,99,12,1377,206,165,41,41
2,7,draft_smart_freq_boundary0p03_global,0.15,0.03,106,11,1377,206,165,41,41
2,8,draft_smart_freq_boundary0p03_global,0.15,0.03,234,29,1377,206,165,41,41
2,9,draft_smart_freq_boundary0p03_global,0.15,0.03,368,64,1377,206,165,41,41
2,0,draft_smart_mean_boundary0p03_global,0.15,0.03,64,24,1377,206,165,41,41
2,1,draft_smart_mean_boundary0p03_global,0.15,0.03,122,14,1377,206,165,41,41
2,2,draft_smart_mean_boundary0p03_global,0.15,0.03,88,13,1377,206,165,41,41
2,3,draft_smart_mean_boundary0p03_global,0.15,0.03,48,13,1377,206,165,41,41
2,4,draft_smart_mean_boundary0p03_global,0.15,0.03,185,14,1377,206,165,41,41
2,5,draft_smart_mean_boundary0p03_global,0.15,0.03,63,15,1377,206,165,41,41
2,6,draft_smart_mean_boundary0p03_global,0.15,0.03,99,12,1377,206,165,41,41
2,7,draft_smart_mean_boundary0p03_global,0.15,0.03,106,13,1377,206,165,41,41
2,8,draft_smart_mean_boundary0p03_global,0.15,0.03,234,29,1377,206,165,41,41
2,9,draft_smart_mean_boundary0p03_global,0.15,0.03,368,59,1377,206,165,41,41
2,0,draft_smart_freq_boundary0p05_global,0.15,0.05,64,28,1377,206,138,68,68
2,1,draft_smart_freq_boundary0p05_global,0.15,0.05,122,17,1377,206,138,68,68
2,2,draft_smart_freq_boundary0p05_global,0.15,0.05,88,14,1377,206,138,68,68
2,3,draft_smart_freq_boundary0p05_global,0.15,0.05,48,14,1377,206,138,68,68
2,4,draft_smart_freq_boundary0p05_global,0.15,0.05,185,13,1377,206,138,68,68
2,5,draft_smart_freq_boundary0p05_global,0.15,0.05,63,14,1377,206,138,68,68
2,6,draft_smart_freq_boundary0p05_global,0.15,0.05,99,14,1377,206,138,68,68
2,7,draft_smart_freq_boundary0p05_global,0.15,0.05,106,14,1377,206,138,68,68
2,8,draft_smart_freq_boundary0p05_global,0.15,0.05,234,26,1377,206,138,68,68
2,9,draft_smart_freq_boundary0p05_global,0.15,0.05,368,52,1377,206,138,68,68
2,0,draft_smart_mean_boundary0p05_global,0.15,0.05,64,24,1377,206,138,68,68
2,1,draft_smart_mean_boundary0p05_global,0.15,0.05,122,17,1377,206,138,68,68
2,2,draft_smart_mean_boundary0p05_global,0.15,0.05,88,15,1377,206,138,68,68
2,3,draft_smart_mean_boundary0p05_global,0.15,0.05,48,14,1377,206,138,68,68
2,4,draft_smart_mean_boundary0p05_global,0.15,0.05,185,16,1377,206,138,68,68
2,5,draft_smart_mean_boundary0p05_global,0.15,0.05,63,17,1377,206,138,68,68
2,6,draft_smart_mean_boundary0p05_global,0.15,0.05,99,15,1377,206,138,68,68
2,7,draft_smart_mean_boundary0p05_global,0.15,0.05,106,14,1377,206,138,68,68
2,8,draft_smart_mean_boundary0p05_global,0.15,0.05,234,29,1377,206,138,68,68
2,9,draft_smart_mean_boundary0p05_global,0.15,0.05,368,45,1377,206,138,68,68
3,0,draft_smart_freq_boundary0p02_global,0.15,0.02,108,31,1243,186,162,24,24
3,1,draft_smart_freq_boundary0p02_global,0.15,0.02,92,24,1243,186,162,24,24
3,2,draft_smart_freq_boundary0p02_global,0.15,0.02,90,8,1243,186,162,24,24
3,3,draft_smart_freq_boundary0p02_global,0.15,0.02,170,7,1243,186,162,24,24
3,4,draft_smart_freq_boundary0p02_global,0.15,0.02,141,10,1243,186,162,24,24
3,5,draft_smart_freq_boundary0p02_global,0.15,0.02,200,10,1243,186,162,24,24
3,6,draft_smart_freq_boundary0p02_global,0.15,0.02,52,8,1243,186,162,24,24
3,7,draft_smart_freq_boundary0p02_global,0.15,0.02,143,7,1243,186,162,24,24
3,8,draft_smart_freq_boundary0p02_global,0.15,0.02,68,13,1243,186,162,24,24
3,9,draft_smart_freq_boundary0p02_global,0.15,0.02,90,16,1243,186,162,24,24
3,10,draft_smart_freq_boundary0p02_global,0.15,0.02,89,52,1243,186,162,24,24
3,0,draft_smart_mean_boundary0p02_global,0.15,0.02,108,26,1243,186,162,24,24
3,1,draft_smart_mean_boundary0p02_global,0.15,0.02,92,18,1243,186,162,24,24
3,2,draft_smart_mean_boundary0p02_global,0.15,0.02,90,13,1243,186,162,24,24
3,3,draft_smart_mean_boundary0p02_global,0.15,0.02,170,11,1243,186,162,24,24
3,4,draft_smart_mean_boundary0p02_global,0.15,0.02,141,15,1243,186,162,24,24
3,5,draft_smart_mean_boundary0p02_global,0.15,0.02,200,13,1243,186,162,24,24
3,6,draft_smart_mean_boundary0p02_global,0.15,0.02,52,7,1243,186,162,24,24
3,7,draft_smart_mean_boundary0p02_global,0.15,0.02,143,9,1243,186,162,24,24
3,8,draft_smart_mean_boundary0p02_global,0.15,0.02,68,12,1243,186,162,24,24
3,9,draft_smart_mean_boundary0p02_global,0.15,0.02,90,18,1243,186,162,24,24
3,10,draft_smart_mean_boundary0p02_global,0.15,0.02,89,44,1243,186,162,24,24
3,0,draft_smart_freq_boundary0p03_global,0.15,0.03,108,28,1243,186,149,37,37
3,1,draft_smart_freq_boundary0p03_global,0.15,0.03,92,21,1243,186,149,37,37
3,2,draft_smart_freq_boundary0p03_global,0.15,0.03,90,10,1243,186,149,37,37
3,3,draft_smart_freq_boundary0p03_global,0.15,0.03,170,9,1243,186,149,37,37
3,4,draft_smart_freq_boundary0p03_global,0.15,0.03,141,13,1243,186,149,37,37
3,5,draft_smart_freq_boundary0p03_global,0.15,0.03,200,11,1243,186,149,37,37
3,6,draft_smart_freq_boundary0p03_global,0.15,0.03,52,9,1243,186,149,37,37
3,7,draft_smart_freq_boundary0p03_global,0.15,0.03,143,9,1243,186,149,37,37
3,8,draft_smart_freq_boundary0p03_global,0.15,0.03,68,10,1243,186,149,37,37
3,9,draft_smart_freq_boundary0p03_global,0.15,0.03,90,16,1243,186,149,37,37
3,10,draft_smart_freq_boundary0p03_global,0.15,0.03,89,50,1243,186,149,37,37
3,0,draft_smart_mean_boundary0p03_global,0.15,0.03,108,25,1243,186,149,37,37
3,1,draft_smart_mean_boundary0p03_global,0.15,0.03,92,18,1243,186,149,37,37
3,2,draft_smart_mean_boundary0p03_global,0.15,0.03,90,14,1243,186,149,37,37
3,3,draft_smart_mean_boundary0p03_global,0.15,0.03,170,12,1243,186,149,37,37
3,4,draft_smart_mean_boundary0p03_global,0.15,0.03,141,14,1243,186,149,37,37
3,5,draft_smart_mean_boundary0p03_global,0.15,0.03,200,12,1243,186,149,37,37
3,6,draft_smart_mean_boundary0p03_global,0.15,0.03,52,9,1243,186,149,37,37
3,7,draft_smart_mean_boundary0p03_global,0.15,0.03,143,11,1243,186,149,37,37
3,8,draft_smart_mean_boundary0p03_global,0.15,0.03,68,12,1243,186,149,37,37
3,9,draft_smart_mean_boundary0p03_global,0.15,0.03,90,18,1243,186,149,37,37
3,10,draft_smart_mean_boundary0p03_global,0.15,0.03,89,41,1243,186,149,37,37
3,0,draft_smart_freq_boundary0p05_global,0.15,0.05,108,26,1243,186,124,62,62
3,1,draft_smart_freq_boundary0p05_global,0.15,0.05,92,19,1243,186,124,62,62
3,2,draft_smart_freq_boundary0p05_global,0.15,0.05,90,12,1243,186,124,62,62
3,3,draft_smart_freq_boundary0p05_global,0.15,0.05,170,12,1243,186,124,62,62
3,4,draft_smart_freq_boundary0p05_global,0.15,0.05,141,12,1243,186,124,62,62
3,5,draft_smart_freq_boundary0p05_global,0.15,0.05,200,11,1243,186,124,62,62
3,6,draft_smart_freq_boundary0p05_global,0.15,0.05,52,12,1243,186,124,62,62
3,7,draft_smart_freq_boundary0p05_global,0.15,0.05,143,12,1243,186,124,62,62
3,8,draft_smart_freq_boundary0p05_global,0.15,0.05,68,12,1243,186,124,62,62
3,9,draft_smart_freq_boundary0p05_global,0.15,0.05,90,17,1243,186,124,62,62
3,10,draft_smart_freq_boundary0p05_global,0.15,0.05,89,41,1243,186,124,62,62
3,0,draft_smart_mean_boundary0p05_global,0.15,0.05,108,25,1243,186,124,62,62
3,1,draft_smart_mean_boundary0p05_global,0.15,0.05,92,21,1243,186,124,62,62
3,2,draft_smart_mean_boundary0p05_global,0.15,0.05,90,16,1243,186,124,62,62
3,3,draft_smart_mean_boundary0p05_global,0.15,0.05,170,13,1243,186,124,62,62
3,4,draft_smart_mean_boundary0p05_global,0.15,0.05,141,15,1243,186,124,62,62
3,5,draft_smart_mean_boundary0p05_global,0.15,0.05,200,12,1243,186,124,62,62
3,6,draft_smart_mean_boundary0p05_global,0.15,0.05,52,10,1243,186,124,62,62
3,7,draft_smart_mean_boundary0p05_global,0.15,0.05,143,13,1243,186,124,62,62
3,8,draft_smart_mean_boundary0p05_global,0.15,0.05,68,11,1243,186,124,62,62
3,9,draft_smart_mean_boundary0p05_global,0.15,0.05,90,17,1243,186,124,62,62
3,10,draft_smart_mean_boundary0p05_global,0.15,0.05,89,33,1243,186,124,62,62
4,0,draft_smart_freq_boundary0p02_global,0.15,0.02,96,47,2605,390,338,52,52
4,1,draft_smart_freq_boundary0p02_global,0.15,0.02,139,16,2605,390,338,52,52
4,2,draft_smart_freq_boundary0p02_global,0.15,0.02,192,12,2605,390,338,52,52
4,3,draft_smart_freq_boundary0p02_global,0.15,0.02,126,16,2605,390,338,52,52
4,4,draft_smart_freq_boundary0p02_global,0.15,0.02,265,12,2605,390,338,52,52
4,5,draft_smart_freq_boundary0p02_global,0.15,0.02,74,16,2605,390,338,52,52
4,6,draft_smart_freq_boundary0p02_global,0.15,0.02,60,10,2605,390,338,52,52
4,7,draft_smart_freq_boundary0p02_global,0.15,0.02,45,11,2605,390,338,52,52
4,8,draft_smart_freq_boundary0p02_global,0.15,0.02,79,8,2605,390,338,52,52
4,9,draft_smart_freq_boundary0p02_global,0.15,0.02,102,10,2605,390,338,52,52
4,10,draft_smart_freq_boundary0p02_global,0.15,0.02,148,17,2605,390,338,52,52
4,11,draft_smart_freq_boundary0p02_global,0.15,0.02,139,12,2605,390,338,52,52
4,12,draft_smart_freq_boundary0p02_global,0.15,0.02,149,16,2605,390,338,52,52
4,13,draft_smart_freq_boundary0p02_global,0.15,0.02,228,18,2605,390,338,52,52
4,14,draft_smart_freq_boundary0p02_global,0.15,0.02,196,14,2605,390,338,52,52
4,15,draft_smart_freq_boundary0p02_global,0.15,0.02,72,12,2605,390,338,52,52
4,16,draft_smart_freq_boundary0p02_global,0.15,0.02,88,20,2605,390,338,52,52
4,17,draft_smart_freq_boundary0p02_global,0.15,0.02,86,44,2605,390,338,52,52
4,18,draft_smart_freq_boundary0p02_global,0.15,0.02,321,79,2605,390,338,52,52
4,0,draft_smart_mean_boundary0p02_global,0.15,0.02,96,36,2605,390,338,52,52
4,1,draft_smart_mean_boundary0p02_global,0.15,0.02,139,12,2605,390,338,52,52
4,2,draft_smart_mean_boundary0p02_global,0.15,0.02,192,16,2605,390,338,52,52
4,3,draft_smart_mean_boundary0p02_global,0.15,0.02,126,19,2605,390,338,52,52
4,4,draft_smart_mean_boundary0p02_global,0.15,0.02,265,12,2605,390,338,52,52
4,5,draft_smart_mean_boundary0p02_global,0.15,0.02,74,13,2605,390,338,52,52
4,6,draft_smart_mean_boundary0p02_global,0.15,0.02,60,10,2605,390,338,52,52
4,7,draft_smart_mean_boundary0p02_global,0.15,0.02,45,11,2605,390,338,52,52
4,8,draft_smart_mean_boundary0p02_global,0.15,0.02,79,10,2605,390,338,52,52
4,9,draft_smart_mean_boundary0p02_global,0.15,0.02,102,12,2605,390,338,52,52
4,10,draft_smart_mean_boundary0p02_global,0.15,0.02,148,16,2605,390,338,52,52
4,11,draft_smart_mean_boundary0p02_global,0.15,0.02,139,13,2605,390,338,52,52
4,12,draft_smart_mean_boundary0p02_global,0.15,0.02,149,17,2605,390,338,52,52
4,13,draft_smart_mean_boundary0p02_global,0.15,0.02,228,19,2605,390,338,52,52
4,14,draft_smart_mean_boundary0p02_global,0.15,0.02,196,15,2605,390,338,52,52
4,15,draft_smart_mean_boundary0p02_global,0.15,0.02,72,13,2605,390,338,52,52
4,16,draft_smart_mean_boundary0p02_global,0.15,0.02,88,25,2605,390,338,52,52
4,17,draft_smart_mean_boundary0p02_global,0.15,0.02,86,32,2605,390,338,52,52
4,18,draft_smart_mean_boundary0p02_global,0.15,0.02,321,89,2605,390,338,52,52
4,0,draft_smart_freq_boundary0p03_global,0.15,0.03,96,45,2605,390,312,78,78
4,1,draft_smart_freq_boundary0p03_global,0.15,0.03,139,15,2605,390,312,78,78
4,2,draft_smart_freq_boundary0p03_global,0.15,0.03,192,14,2605,390,312,78,78
4,3,draft_smart_freq_boundary0p03_global,0.15,0.03,126,15,2605,390,312,78,78
4,4,draft_smart_freq_boundary0p03_global,0.15,0.03,265,14,2605,390,312,78,78
4,5,draft_smart_freq_boundary0p03_global,0.15,0.03,74,17,2605,390,312,78,78
4,6,draft_smart_freq_boundary0p03_global,0.15,0.03,60,12,2605,390,312,78,78
4,7,draft_smart_freq_boundary0p03_global,0.15,0.03,45,13,2605,390,312,78,78
4,8,draft_smart_freq_boundary0p03_global,0.15,0.03,79,11,2605,390,312,78,78
4,9,draft_smart_freq_boundary0p03_global,0.15,0.03,102,11,2605,390,312,78,78
4,10,draft_smart_freq_boundary0p03_global,0.15,0.03,148,18,2605,390,312,78,78
4,11,draft_smart_freq_boundary0p03_global,0.15,0.03,139,12,2605,390,312,78,78
4,12,draft_smart_freq_boundary0p03_global,0.15,0.03,149,17,2605,390,312,78,78
4,13,draft_smart_freq_boundary0p03_global,0.15,0.03,228,19,2605,390,312,78,78
4,14,draft_smart_freq_boundary0p03_global,0.15,0.03,196,14,2605,390,312,78,78
4,15,draft_smart_freq_boundary0p03_global,0.15,0.03,72,13,2605,390,312,78,78
4,16,draft_smart_freq_boundary0p03_global,0.15,0.03,88,18,2605,390,312,78,78
4,17,draft_smart_freq_boundary0p03_global,0.15,0.03,86,40,2605,390,312,78,78
4,18,draft_smart_freq_boundary0p03_global,0.15,0.03,321,72,2605,390,312,78,78
4,0,draft_smart_mean_boundary0p03_global,0.15,0.03,96,35,2605,390,312,78,78
4,1,draft_smart_mean_boundary0p03_global,0.15,0.03,139,14,2605,390,312,78,78
4,2,draft_smart_mean_boundary0p03_global,0.15,0.03,192,18,2605,390,312,78,78
4,3,draft_smart_mean_boundary0p03_global,0.15,0.03,126,19,2605,390,312,78,78
4,4,draft_smart_mean_boundary0p03_global,0.15,0.03,265,14,2605,390,312,78,78
