base_method,example_id,sub_q_idx,num_chunks,budget_chunks,gate_method,residual_size,covered_residual,coverage
freq,176,0,12,3,oracle_residual,87,68,0.7816091954022989
freq,176,0,12,4,retrieval_first,87,19,0.21839080459770116
freq,176,0,12,4,longest,87,41,0.47126436781609193
freq,176,0,12,4,highest_base_count,87,39,0.4482758620689655
freq,176,0,12,4,highest_base_density,87,39,0.4482758620689655
freq,176,0,12,4,lowest_base_density,87,37,0.42528735632183906
freq,176,0,12,4,oracle_residual,87,74,0.8505747126436781
freq,176,0,12,5,retrieval_first,87,21,0.2413793103448276
freq,176,0,12,5,longest,87,47,0.5402298850574713
freq,176,0,12,5,highest_base_count,87,41,0.47126436781609193
freq,176,0,12,5,highest_base_density,87,45,0.5172413793103449
freq,176,0,12,5,lowest_base_density,87,39,0.4482758620689655
freq,176,0,12,5,oracle_residual,87,80,0.9195402298850575
freq,176,0,12,6,retrieval_first,87,27,0.3103448275862069
freq,176,0,12,6,longest,87,49,0.5632183908045977
freq,176,0,12,6,highest_base_count,87,42,0.4827586206896552
freq,176,0,12,6,highest_base_density,87,47,0.5402298850574713
freq,176,0,12,6,lowest_base_density,87,40,0.45977011494252873
freq,176,0,12,6,oracle_residual,87,82,0.9425287356321839
freq,150,0,11,1,retrieval_first,105,11,0.10476190476190476
freq,150,0,11,1,longest,105,0,0.0
freq,150,0,11,1,highest_base_count,105,11,0.10476190476190476
freq,150,0,11,1,highest_base_density,105,11,0.10476190476190476
freq,150,0,11,1,lowest_base_density,105,5,0.047619047619047616
freq,150,0,11,1,oracle_residual,105,37,0.3523809523809524
freq,150,0,11,2,retrieval_first,105,21,0.2
freq,150,0,11,2,longest,105,8,0.0761904761904762
freq,150,0,11,2,highest_base_count,105,11,0.10476190476190476
freq,150,0,11,2,highest_base_density,105,11,0.10476190476190476
freq,150,0,11,2,lowest_base_density,105,10,0.09523809523809523
freq,150,0,11,2,oracle_residual,105,49,0.4666666666666667
freq,150,0,11,3,retrieval_first,105,21,0.2
freq,150,0,11,3,longest,105,19,0.18095238095238095
freq,150,0,11,3,highest_base_count,105,21,0.2
freq,150,0,11,3,highest_base_density,105,21,0.2
freq,150,0,11,3,lowest_base_density,105,22,0.20952380952380953
freq,150,0,11,3,oracle_residual,105,60,0.5714285714285714
freq,150,0,11,4,retrieval_first,105,29,0.2761904761904762
freq,150,0,11,4,longest,105,31,0.29523809523809524
freq,150,0,11,4,highest_base_count,105,29,0.2761904761904762
freq,150,0,11,4,highest_base_density,105,29,0.2761904761904762
freq,150,0,11,4,lowest_base_density,105,59,0.5619047619047619
freq,150,0,11,4,oracle_residual,105,70,0.6666666666666666
freq,150,0,11,5,retrieval_first,105,35,0.3333333333333333
freq,150,0,11,5,longest,105,41,0.3904761904761905
freq,150,0,11,5,highest_base_count,105,35,0.3333333333333333
freq,150,0,11,5,highest_base_density,105,35,0.3333333333333333
freq,150,0,11,5,lowest_base_density,105,64,0.6095238095238096
freq,150,0,11,5,oracle_residual,105,78,0.7428571428571429
freq,150,0,11,6,retrieval_first,105,40,0.38095238095238093
freq,150,0,11,6,longest,105,46,0.4380952380952381
freq,150,0,11,6,highest_base_count,105,40,0.38095238095238093
freq,150,0,11,6,highest_base_density,105,40,0.38095238095238093
freq,150,0,11,6,lowest_base_density,105,70,0.6666666666666666
freq,150,0,11,6,oracle_residual,105,84,0.8
freq,25,1,13,1,retrieval_first,85,13,0.15294117647058825
freq,25,1,13,1,longest,85,0,0.0
freq,25,1,13,1,highest_base_count,85,0,0.0
freq,25,1,13,1,highest_base_density,85,4,0.047058823529411764
freq,25,1,13,1,lowest_base_density,85,29,0.3411764705882353
freq,25,1,13,1,oracle_residual,85,29,0.3411764705882353
freq,25,1,13,2,retrieval_first,85,22,0.25882352941176473
freq,25,1,13,2,longest,85,0,0.0
freq,25,1,13,2,highest_base_count,85,0,0.0
freq,25,1,13,2,highest_base_density,85,14,0.16470588235294117
freq,25,1,13,2,lowest_base_density,85,29,0.3411764705882353
freq,25,1,13,2,oracle_residual,85,47,0.5529411764705883
freq,25,1,13,3,retrieval_first,85,22,0.25882352941176473
freq,25,1,13,3,longest,85,2,0.023529411764705882
freq,25,1,13,3,highest_base_count,85,13,0.15294117647058825
freq,25,1,13,3,highest_base_density,85,27,0.3176470588235294
freq,25,1,13,3,lowest_base_density,85,29,0.3411764705882353
freq,25,1,13,3,oracle_residual,85,60,0.7058823529411765
freq,25,1,13,4,retrieval_first,85,22,0.25882352941176473
freq,25,1,13,4,longest,85,2,0.023529411764705882
freq,25,1,13,4,highest_base_count,85,31,0.36470588235294116
freq,25,1,13,4,highest_base_density,85,45,0.5294117647058824
freq,25,1,13,4,lowest_base_density,85,29,0.3411764705882353
freq,25,1,13,4,oracle_residual,85,70,0.8235294117647058
freq,25,1,13,5,retrieval_first,85,22,0.25882352941176473
freq,25,1,13,5,longest,85,2,0.023529411764705882
freq,25,1,13,5,highest_base_count,85,31,0.36470588235294116
freq,25,1,13,5,highest_base_density,85,45,0.5294117647058824
freq,25,1,13,5,lowest_base_density,85,29,0.3411764705882353
freq,25,1,13,5,oracle_residual,85,79,0.9294117647058824
freq,25,1,13,6,retrieval_first,85,22,0.25882352941176473
freq,25,1,13,6,longest,85,2,0.023529411764705882
freq,25,1,13,6,highest_base_count,85,35,0.4117647058823529
freq,25,1,13,6,highest_base_density,85,54,0.6352941176470588
freq,25,1,13,6,lowest_base_density,85,31,0.36470588235294116
freq,25,1,13,6,oracle_residual,85,83,0.9764705882352941
freq,150,1,13,1,retrieval_first,133,34,0.2556390977443609
freq,150,1,13,1,longest,133,3,0.022556390977443608
freq,150,1,13,1,highest_base_count,133,0,0.0
freq,150,1,13,1,highest_base_density,133,0,0.0
freq,150,1,13,1,lowest_base_density,133,28,0.21052631578947367
freq,150,1,13,1,oracle_residual,133,63,0.47368421052631576
freq,150,1,13,2,retrieval_first,133,34,0.2556390977443609
freq,150,1,13,2,longest,133,3,0.022556390977443608
freq,150,1,13,2,highest_base_count,133,3,0.022556390977443608
freq,150,1,13,2,highest_base_density,133,0,0.0
freq,150,1,13,2,lowest_base_density,133,28,0.21052631578947367
freq,150,1,13,2,oracle_residual,133,97,0.7293233082706767
freq,150,1,13,3,retrieval_first,133,34,0.2556390977443609
freq,150,1,13,3,longest,133,3,0.022556390977443608
freq,150,1,13,3,highest_base_count,133,3,0.022556390977443608
freq,150,1,13,3,highest_base_density,133,3,0.022556390977443608
freq,150,1,13,3,lowest_base_density,133,28,0.21052631578947367
freq,150,1,13,3,oracle_residual,133,125,0.9398496240601504
freq,150,1,13,4,retrieval_first,133,34,0.2556390977443609
freq,150,1,13,4,longest,133,37,0.2781954887218045
freq,150,1,13,4,highest_base_count,133,6,0.045112781954887216
freq,150,1,13,4,highest_base_density,133,3,0.022556390977443608
freq,150,1,13,4,lowest_base_density,133,28,0.21052631578947367
freq,150,1,13,4,oracle_residual,133,128,0.9624060150375939
freq,150,1,13,5,retrieval_first,133,34,0.2556390977443609
freq,150,1,13,5,longest,133,100,0.7518796992481203
freq,150,1,13,5,highest_base_count,133,6,0.045112781954887216
freq,150,1,13,5,highest_base_density,133,5,0.03759398496240601
freq,150,1,13,5,lowest_base_density,133,28,0.21052631578947367
freq,150,1,13,5,oracle_residual,133,131,0.9849624060150376
freq,150,1,13,6,retrieval_first,133,36,0.2706766917293233
freq,150,1,13,6,longest,133,100,0.7518796992481203
freq,150,1,13,6,highest_base_count,133,40,0.3007518796992481
freq,150,1,13,6,highest_base_density,133,8,0.06015037593984962
freq,150,1,13,6,lowest_base_density,133,62,0.46616541353383456
freq,150,1,13,6,oracle_residual,133,133,1.0
freq,77,0,11,1,retrieval_first,135,33,0.24444444444444444
freq,77,0,11,1,longest,135,4,0.02962962962962963
freq,77,0,11,1,highest_base_count,135,17,0.1259259259259259
freq,77,0,11,1,highest_base_density,135,2,0.014814814814814815
freq,77,0,11,1,lowest_base_density,135,32,0.23703703703703705
freq,77,0,11,1,oracle_residual,135,33,0.24444444444444444
freq,77,0,11,2,retrieval_first,135,47,0.34814814814814815
freq,77,0,11,2,longest,135,6,0.044444444444444446
freq,77,0,11,2,highest_base_count,135,27,0.2
freq,77,0,11,2,highest_base_density,135,12,0.08888888888888889
freq,77,0,11,2,lowest_base_density,135,34,0.2518518518518518
freq,77,0,11,2,oracle_residual,135,65,0.48148148148148145
freq,77,0,11,3,retrieval_first,135,63,0.4666666666666667
freq,77,0,11,3,longest,135,20,0.14814814814814814
freq,77,0,11,3,highest_base_count,135,29,0.21481481481481482
freq,77,0,11,3,highest_base_density,135,29,0.21481481481481482
freq,77,0,11,3,lowest_base_density,135,48,0.35555555555555557
freq,77,0,11,3,oracle_residual,135,82,0.6074074074074074
freq,77,0,11,4,retrieval_first,135,67,0.4962962962962963
freq,77,0,11,4,longest,135,24,0.17777777777777778
freq,77,0,11,4,highest_base_count,135,62,0.45925925925925926
freq,77,0,11,4,highest_base_density,135,62,0.45925925925925926
freq,77,0,11,4,lowest_base_density,135,64,0.4740740740740741
freq,77,0,11,4,oracle_residual,135,98,0.725925925925926
freq,77,0,11,5,retrieval_first,135,71,0.5259259259259259
freq,77,0,11,5,longest,135,40,0.2962962962962963
freq,77,0,11,5,highest_base_count,135,66,0.4888888888888889
freq,77,0,11,5,highest_base_density,135,66,0.4888888888888889
freq,77,0,11,5,lowest_base_density,135,68,0.5037037037037037
freq,77,0,11,5,oracle_residual,135,112,0.8296296296296296
freq,77,0,11,6,retrieval_first,135,81,0.6
freq,77,0,11,6,longest,135,57,0.4222222222222222
freq,77,0,11,6,highest_base_count,135,70,0.5185185185185185
freq,77,0,11,6,highest_base_density,135,67,0.4962962962962963
freq,77,0,11,6,lowest_base_density,135,69,0.5111111111111111
freq,77,0,11,6,oracle_residual,135,122,0.9037037037037037
freq,50,0,11,1,retrieval_first,106,9,0.08490566037735849
freq,50,0,11,1,longest,106,1,0.009433962264150943
freq,50,0,11,1,highest_base_count,106,9,0.08490566037735849
freq,50,0,11,1,highest_base_density,106,6,0.05660377358490566
freq,50,0,11,1,lowest_base_density,106,26,0.24528301886792453
freq,50,0,11,1,oracle_residual,106,26,0.24528301886792453
freq,50,0,11,2,retrieval_first,106,10,0.09433962264150944
freq,50,0,11,2,longest,106,10,0.09433962264150944
freq,50,0,11,2,highest_base_count,106,19,0.1792452830188679
freq,50,0,11,2,highest_base_density,106,16,0.1509433962264151
freq,50,0,11,2,lowest_base_density,106,27,0.25471698113207547
freq,50,0,11,2,oracle_residual,106,42,0.39622641509433965
freq,50,0,11,3,retrieval_first,106,16,0.1509433962264151
freq,50,0,11,3,longest,106,10,0.09433962264150944
freq,50,0,11,3,highest_base_count,106,35,0.330188679245283
freq,50,0,11,3,highest_base_density,106,25,0.2358490566037736
freq,50,0,11,3,lowest_base_density,106,27,0.25471698113207547
freq,50,0,11,3,oracle_residual,106,58,0.5471698113207547
freq,50,0,11,4,retrieval_first,106,16,0.1509433962264151
freq,50,0,11,4,longest,106,16,0.1509433962264151
freq,50,0,11,4,highest_base_count,106,41,0.3867924528301887
freq,50,0,11,4,highest_base_density,106,41,0.3867924528301887
freq,50,0,11,4,lowest_base_density,106,30,0.2830188679245283
freq,50,0,11,4,oracle_residual,106,71,0.6698113207547169
freq,50,0,11,5,retrieval_first,106,32,0.3018867924528302
freq,50,0,11,5,longest,106,32,0.3018867924528302
freq,50,0,11,5,highest_base_count,106,47,0.44339622641509435
freq,50,0,11,5,highest_base_density,106,47,0.44339622641509435
freq,50,0,11,5,lowest_base_density,106,43,0.4056603773584906
freq,50,0,11,5,oracle_residual,106,81,0.7641509433962265
freq,50,0,11,6,retrieval_first,106,38,0.3584905660377358
freq,50,0,11,6,longest,106,45,0.42452830188679247
freq,50,0,11,6,highest_base_count,106,48,0.4528301886792453
freq,50,0,11,6,highest_base_density,106,63,0.5943396226415094
freq,50,0,11,6,lowest_base_density,106,59,0.5566037735849056
freq,50,0,11,6,oracle_residual,106,90,0.8490566037735849
freq,0,0,13,1,retrieval_first,108,1,0.009259259259259259
freq,0,0,13,1,longest,108,0,0.0
freq,0,0,13,1,highest_base_count,108,0,0.0
freq,0,0,13,1,highest_base_density,108,0,0.0
freq,0,0,13,1,lowest_base_density,108,31,0.28703703703703703
freq,0,0,13,1,oracle_residual,108,50,0.46296296296296297
freq,0,0,13,2,retrieval_first,108,18,0.16666666666666666
freq,0,0,13,2,longest,108,0,0.0
freq,0,0,13,2,highest_base_count,108,1,0.009259259259259259
freq,0,0,13,2,highest_base_density,108,1,0.009259259259259259
freq,0,0,13,2,lowest_base_density,108,31,0.28703703703703703
freq,0,0,13,2,oracle_residual,108,81,0.75
freq,0,0,13,3,retrieval_first,108,18,0.16666666666666666
freq,0,0,13,3,longest,108,4,0.037037037037037035
freq,0,0,13,3,highest_base_count,108,6,0.05555555555555555
freq,0,0,13,3,highest_base_density,108,6,0.05555555555555555
freq,0,0,13,3,lowest_base_density,108,31,0.28703703703703703
freq,0,0,13,3,oracle_residual,108,98,0.9074074074074074
freq,0,0,13,4,retrieval_first,108,18,0.16666666666666666
freq,0,0,13,4,longest,108,4,0.037037037037037035
freq,0,0,13,4,highest_base_count,108,6,0.05555555555555555
freq,0,0,13,4,highest_base_density,108,6,0.05555555555555555
freq,0,0,13,4,lowest_base_density,108,31,0.28703703703703703
freq,0,0,13,4,oracle_residual,108,103,0.9537037037037037
freq,0,0,13,5,retrieval_first,108,18,0.16666666666666666
freq,0,0,13,5,longest,108,21,0.19444444444444445
freq,0,0,13,5,highest_base_count,108,23,0.21296296296296297
freq,0,0,13,5,highest_base_density,108,6,0.05555555555555555
freq,0,0,13,5,lowest_base_density,108,35,0.32407407407407407
freq,0,0,13,5,oracle_residual,108,107,0.9907407407407407
freq,0,0,13,6,retrieval_first,108,18,0.16666666666666666
freq,0,0,13,6,longest,108,71,0.6574074074074074
freq,0,0,13,6,highest_base_count,108,73,0.6759259259259259
freq,0,0,13,6,highest_base_density,108,6,0.05555555555555555
freq,0,0,13,6,lowest_base_density,108,52,0.48148148148148145
freq,0,0,13,6,oracle_residual,108,108,1.0
freq,50,1,11,1,retrieval_first,177,110,0.6214689265536724
freq,50,1,11,1,longest,177,4,0.022598870056497175
freq,50,1,11,1,highest_base_count,177,0,0.0
freq,50,1,11,1,highest_base_density,177,0,0.0
freq,50,1,11,1,lowest_base_density,177,27,0.15254237288135594
freq,50,1,11,1,oracle_residual,177,110,0.6214689265536724
freq,50,1,11,2,retrieval_first,177,110,0.6214689265536724
freq,50,1,11,2,longest,177,7,0.03954802259887006
freq,50,1,11,2,highest_base_count,177,3,0.01694915254237288
freq,50,1,11,2,highest_base_density,177,11,0.062146892655367235
freq,50,1,11,2,lowest_base_density,177,31,0.1751412429378531
freq,50,1,11,2,oracle_residual,177,137,0.7740112994350282
freq,50,1,11,3,retrieval_first,177,113,0.6384180790960452
freq,50,1,11,3,longest,177,7,0.03954802259887006
freq,50,1,11,3,highest_base_count,177,6,0.03389830508474576
freq,50,1,11,3,highest_base_density,177,14,0.07909604519774012
freq,50,1,11,3,lowest_base_density,177,31,0.1751412429378531
freq,50,1,11,3,oracle_residual,177,155,0.8757062146892656
freq,50,1,11,4,retrieval_first,177,117,0.6610169491525424
freq,50,1,11,4,longest,177,7,0.03954802259887006
freq,50,1,11,4,highest_base_count,177,17,0.096045197740113
freq,50,1,11,4,highest_base_density,177,17,0.096045197740113
freq,50,1,11,4,lowest_base_density,177,32,0.1807909604519774
freq,50,1,11,4,oracle_residual,177,166,0.9378531073446328
freq,50,1,11,5,retrieval_first,177,117,0.6610169491525424
freq,50,1,11,5,longest,177,10,0.05649717514124294
freq,50,1,11,5,highest_base_count,177,127,0.7175141242937854
freq,50,1,11,5,highest_base_density,177,17,0.096045197740113
freq,50,1,11,5,lowest_base_density,177,50,0.2824858757062147
freq,50,1,11,5,oracle_residual,177,170,0.96045197740113
freq,50,1,11,6,retrieval_first,177,128,0.7231638418079096
freq,50,1,11,6,longest,177,120,0.6779661016949152
freq,50,1,11,6,highest_base_count,177,127,0.7175141242937854
freq,50,1,11,6,highest_base_density,177,127,0.7175141242937854
freq,50,1,11,6,lowest_base_density,177,160,0.903954802259887
freq,50,1,11,6,oracle_residual,177,173,0.9774011299435028
freq,77,1,13,1,retrieval_first,212,38,0.1792452830188679
freq,77,1,13,1,longest,212,38,0.1792452830188679
freq,77,1,13,1,highest_base_count,212,8,0.03773584905660377
freq,77,1,13,1,highest_base_density,212,8,0.03773584905660377
freq,77,1,13,1,lowest_base_density,212,36,0.16981132075471697
freq,77,1,13,1,oracle_residual,212,87,0.41037735849056606
freq,77,1,13,2,retrieval_first,212,42,0.19811320754716982
freq,77,1,13,2,longest,212,125,0.589622641509434
freq,77,1,13,2,highest_base_count,212,8,0.03773584905660377
freq,77,1,13,2,highest_base_density,212,14,0.0660377358490566
freq,77,1,13,2,lowest_base_density,212,74,0.3490566037735849
freq,77,1,13,2,oracle_residual,212,125,0.589622641509434
freq,77,1,13,3,retrieval_first,212,47,0.22169811320754718
freq,77,1,13,3,longest,212,130,0.6132075471698113
freq,77,1,13,3,highest_base_count,212,18,0.08490566037735849
freq,77,1,13,3,highest_base_density,212,14,0.0660377358490566
freq,77,1,13,3,lowest_base_density,212,161,0.7594339622641509
freq,77,1,13,3,oracle_residual,212,161,0.7594339622641509
freq,77,1,13,4,retrieval_first,212,53,0.25
freq,77,1,13,4,longest,212,134,0.6320754716981132
freq,77,1,13,4,highest_base_count,212,24,0.11320754716981132
freq,77,1,13,4,highest_base_density,212,15,0.07075471698113207
freq,77,1,13,4,lowest_base_density,212,166,0.7830188679245284
freq,77,1,13,4,oracle_residual,212,175,0.8254716981132075
freq,77,1,13,5,retrieval_first,212,53,0.25
freq,77,1,13,5,longest,212,142,0.6698113207547169
freq,77,1,13,5,highest_base_count,212,25,0.1179245283018868
freq,77,1,13,5,highest_base_density,212,29,0.13679245283018868
freq,77,1,13,5,lowest_base_density,212,170,0.8018867924528302
freq,77,1,13,5,oracle_residual,212,185,0.8726415094339622
freq,77,1,13,6,retrieval_first,212,53,0.25
freq,77,1,13,6,longest,212,152,0.7169811320754716
freq,77,1,13,6,highest_base_count,212,39,0.18396226415094338
freq,77,1,13,6,highest_base_density,212,39,0.18396226415094338
freq,77,1,13,6,lowest_base_density,212,173,0.8160377358490566
freq,77,1,13,6,oracle_residual,212,193,0.910377358490566
freq,178,0,11,1,retrieval_first,95,16,0.16842105263157894
freq,178,0,11,1,longest,95,4,0.042105263157894736
freq,178,0,11,1,highest_base_count,95,16,0.16842105263157894
freq,178,0,11,1,highest_base_density,95,16,0.16842105263157894
freq,178,0,11,1,lowest_base_density,95,29,0.30526315789473685
freq,178,0,11,1,oracle_residual,95,29,0.30526315789473685
freq,178,0,11,2,retrieval_first,95,19,0.2
freq,178,0,11,2,longest,95,16,0.16842105263157894
freq,178,0,11,2,highest_base_count,95,17,0.17894736842105263
freq,178,0,11,2,highest_base_density,95,28,0.29473684210526313
freq,178,0,11,2,lowest_base_density,95,33,0.3473684210526316
freq,178,0,11,2,oracle_residual,95,45,0.47368421052631576
freq,178,0,11,3,retrieval_first,95,24,0.25263157894736843
freq,178,0,11,3,longest,95,17,0.17894736842105263
freq,178,0,11,3,highest_base_count,95,20,0.21052631578947367
freq,178,0,11,3,highest_base_density,95,32,0.3368421052631579
freq,178,0,11,3,lowest_base_density,95,45,0.47368421052631576
freq,178,0,11,3,oracle_residual,95,57,0.6
freq,178,0,11,4,retrieval_first,95,31,0.3263157894736842
freq,178,0,11,4,longest,95,20,0.21052631578947367
freq,178,0,11,4,highest_base_count,95,32,0.3368421052631579
freq,178,0,11,4,highest_base_density,95,37,0.3894736842105263
freq,178,0,11,4,lowest_base_density,95,47,0.49473684210526314
freq,178,0,11,4,oracle_residual,95,69,0.7263157894736842
freq,178,0,11,5,retrieval_first,95,32,0.3368421052631579
freq,178,0,11,5,longest,95,27,0.28421052631578947
freq,178,0,11,5,highest_base_count,95,44,0.4631578947368421
freq,178,0,11,5,highest_base_density,95,40,0.42105263157894735
freq,178,0,11,5,lowest_base_density,95,54,0.5684210526315789
freq,178,0,11,5,oracle_residual,95,76,0.8
freq,178,0,11,6,retrieval_first,95,36,0.37894736842105264
freq,178,0,11,6,longest,95,29,0.30526315789473685
freq,178,0,11,6,highest_base_count,95,49,0.5157894736842106
freq,178,0,11,6,highest_base_density,95,41,0.43157894736842106
freq,178,0,11,6,lowest_base_density,95,55,0.5789473684210527
freq,178,0,11,6,oracle_residual,95,81,0.8526315789473684
freq,100,0,11,1,retrieval_first,113,5,0.04424778761061947
freq,100,0,11,1,longest,113,0,0.0
freq,100,0,11,1,highest_base_count,113,4,0.035398230088495575
freq,100,0,11,1,highest_base_density,113,4,0.035398230088495575
freq,100,0,11,1,lowest_base_density,113,30,0.26548672566371684
freq,100,0,11,1,oracle_residual,113,51,0.45132743362831856
freq,100,0,11,2,retrieval_first,113,12,0.10619469026548672
freq,100,0,11,2,longest,113,3,0.02654867256637168
freq,100,0,11,2,highest_base_count,113,9,0.07964601769911504
freq,100,0,11,2,highest_base_density,113,9,0.07964601769911504
freq,100,0,11,2,lowest_base_density,113,30,0.26548672566371684
freq,100,0,11,2,oracle_residual,113,81,0.7168141592920354
freq,100,0,11,3,retrieval_first,113,16,0.1415929203539823
freq,100,0,11,3,longest,113,9,0.07964601769911504
freq,100,0,11,3,highest_base_count,113,60,0.5309734513274337
freq,100,0,11,3,highest_base_density,113,60,0.5309734513274337
freq,100,0,11,3,lowest_base_density,113,33,0.2920353982300885
freq,100,0,11,3,oracle_residual,113,88,0.7787610619469026
freq,100,0,11,4,retrieval_first,113,19,0.168141592920354
freq,100,0,11,4,longest,113,12,0.10619469026548672
freq,100,0,11,4,highest_base_count,113,63,0.5575221238938053
freq,100,0,11,4,highest_base_density,113,67,0.5929203539823009
freq,100,0,11,4,lowest_base_density,113,37,0.3274336283185841
freq,100,0,11,4,oracle_residual,113,94,0.831858407079646
freq,100,0,11,5,retrieval_first,113,23,0.20353982300884957
freq,100,0,11,5,longest,113,16,0.1415929203539823
freq,100,0,11,5,highest_base_count,113,70,0.6194690265486725
freq,100,0,11,5,highest_base_density,113,70,0.6194690265486725
freq,100,0,11,5,lowest_base_density,113,43,0.3805309734513274
freq,100,0,11,5,oracle_residual,113,99,0.8761061946902655
freq,100,0,11,6,retrieval_first,113,23,0.20353982300884957
freq,100,0,11,6,longest,113,23,0.20353982300884957
