dataset,method,rate,segments,main_correct,main_total,main_acc,sub_correct,sub_total,sub_acc,avg_f1,avg_em,sources
2wikimqa,online_draft,0.8,8,102,200,0.51,102,200,0.51,0.3671,0.21,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
2wikimqa,online_draft,0.9,8,105,200,0.525,105,200,0.525,0.3721000000000001,0.225,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_qk,0.0,11,216,260,0.8307692307692308,216,260,0.8307692307692308,0.5820115384615385,0.4346153846153846,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_qk,0.1,11,220,260,0.8461538461538461,220,260,0.8461538461538461,0.6162134615384615,0.4807692307692308,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_qk,0.15,11,220,260,0.8461538461538461,220,260,0.8461538461538461,0.6349923076923077,0.49230769230769234,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate015_canonical_20260714
hotpotqa,online_qk,0.3,11,224,260,0.8615384615384616,224,260,0.8615384615384616,0.6490692307692308,0.5038461538461538,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_qk,0.5,11,219,260,0.8423076923076923,219,260,0.8423076923076923,0.6259423076923077,0.47692307692307695,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_qk,0.8,11,223,260,0.8576923076923076,223,260,0.8576923076923076,0.6160192307692308,0.47307692307692306,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_qk,0.9,11,225,260,0.8653846153846154,225,260,0.8653846153846154,0.615376923076923,0.47692307692307695,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_draft,0.0,11,214,260,0.823076923076923,214,260,0.823076923076923,0.5820115384615385,0.4346153846153846,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_draft,0.1,11,225,260,0.8653846153846154,225,260,0.8653846153846154,0.5840384615384615,0.45384615384615384,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_draft,0.15,11,223,260,0.8576923076923076,223,260,0.8576923076923076,0.6227115384615385,0.49230769230769234,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate015_canonical_20260714
hotpotqa,online_draft,0.3,11,223,260,0.8576923076923076,223,260,0.8576923076923076,0.6181173076923075,0.48846153846153845,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_draft,0.5,11,225,260,0.8653846153846154,225,260,0.8653846153846154,0.6348557692307691,0.5076923076923077,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_draft,0.8,11,225,260,0.8653846153846154,225,260,0.8653846153846154,0.6110000000000001,0.47307692307692306,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
hotpotqa,online_draft,0.9,11,222,260,0.8538461538461538,222,260,0.8538461538461538,0.6017230769230768,0.46923076923076923,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_qk,0.0,11,235,270,0.8703703703703703,235,270,0.8703703703703703,0.5576574074074073,0.42962962962962964,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_qk,0.1,11,234,270,0.8666666666666667,234,270,0.8666666666666667,0.6302277777777777,0.5074074074074074,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_qk,0.15,11,238,270,0.8814814814814815,238,270,0.8814814814814815,0.6405055555555557,0.5185185185185185,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate015_canonical_20260714
triviaqa,online_qk,0.3,11,243,270,0.9,243,270,0.9,0.650162962962963,0.5259259259259259,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_qk,0.5,11,245,270,0.9074074074074074,245,270,0.9074074074074074,0.6584407407407408,0.5444444444444444,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_qk,0.8,11,246,270,0.9111111111111111,246,270,0.9111111111111111,0.656625925925926,0.5333333333333333,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_qk,0.9,11,243,270,0.9,243,270,0.9,0.6589870370370372,0.5370370370370371,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_draft,0.0,11,234,270,0.8666666666666667,234,270,0.8666666666666667,0.5576574074074074,0.42962962962962964,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_draft,0.1,11,237,270,0.8777777777777778,237,270,0.8777777777777778,0.63745,0.5333333333333333,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_draft,0.15,11,246,270,0.9111111111111111,246,270,0.9111111111111111,0.6512925925925926,0.5518518518518518,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate015_canonical_20260714
triviaqa,online_draft,0.3,11,242,270,0.8962962962962963,242,270,0.8962962962962963,0.6599314814814816,0.5592592592592592,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_draft,0.5,11,244,270,0.9037037037037037,244,270,0.9037037037037037,0.6655,0.5592592592592592,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_draft,0.8,11,241,270,0.8925925925925926,241,270,0.8925925925925926,0.6704351851851851,0.5703703703703704,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
triviaqa,online_draft,0.9,11,241,270,0.8925925925925926,241,270,0.8925925925925926,0.6606481481481481,0.5592592592592592,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_cross_dataset_online_qk_draft_rate_sweep_canonical_20260714
musique,online_qk,0.0,8,91,135,0.674074074074074,200,250,0.8,0.57672,0.2280112,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_qk,0.1,8,102,135,0.7555555555555555,210,250,0.84,0.5691776,0.2320108,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_qk,0.15,8,100,135,0.7407407407407407,209,250,0.836,0.5647212,0.23201080000000002,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate015_canonical_20260714
musique,online_qk,0.3,8,102,135,0.7555555555555555,207,250,0.828,0.5663112,0.23599839999999997,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_qk,0.5,8,108,135,0.8,213,250,0.852,0.5674008,0.2280004,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_qk,0.8,8,112,135,0.8296296296296296,222,250,0.888,0.5942924,0.24800000000000003,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_qk,0.9,8,112,135,0.8296296296296296,223,250,0.892,0.5912167999999999,0.2480072,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_draft,0.0,8,90,135,0.6666666666666666,199,250,0.796,0.57672,0.2280112,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_draft,0.1,8,104,135,0.7703703703703704,213,250,0.852,0.594296,0.2360116,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_draft,0.15,8,108,135,0.8,220,250,0.88,0.5940552,0.2319884,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate015_canonical_20260714
musique,online_draft,0.3,8,109,135,0.8074074074074075,222,250,0.888,0.5867572,0.2280104,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_draft,0.5,8,110,135,0.8148148148148148,222,250,0.888,0.5977132,0.232008,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_draft,0.8,8,112,135,0.8296296296296296,227,250,0.908,0.5983844,0.2240156,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
musique,online_draft,0.9,8,113,135,0.837037037037037,228,250,0.912,0.5956068,0.22800600000000004,/mnt/qjhs-sh-lab-03/lpl/hming/qwen3_musique_online_qk_draft_rate_sweep_reusecache_20260714
