example_id,query_idx,query_type,source_example,source_sub,query,doc_len,selected_count
4,2,related,4,1,When was King Henry III of England crowned?,2605,390
4,3,unrelated,62,1,Where was Saint Joseph (São José) born?,2605,390
4,4,unrelated,9,0,Which English king trusted William de Longchamp?,2605,390
4,5,unrelated,23,1,"When did Richard I, King of England, depart for the Holy Land on the Third Crusade?",2605,390
4,6,unrelated,9,1,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2605,390
4,7,unrelated,15,-1,What is the capital of the county that Pine Springs is located in?,2605,390
4,8,unrelated,8,0,Who performed the song 'The Place and the Time'?,2605,390
4,9,unrelated,50,3,When was John's eldest son crowned?,2605,390
4,10,unrelated,12,-1,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,2605,390
4,11,unrelated,59,0,Who starred in the movie No Escape?,2605,390
4,12,unrelated,73,0,What series is Steven the Sword Fighter a character in?,2605,390
4,13,unrelated,24,0,Who sang the song 'You Belong to Me'?,2605,390
4,14,unrelated,32,0,What was the regnal name adopted by King George VI?,2605,390
4,15,unrelated,41,-1,Who has played for West Ham Ajax and the team that David Currie plays for?,2605,390
4,16,unrelated,52,0,Who played Thelma in Thelma and Louise?,2605,390
4,17,unrelated,0,0,What network is National Cycle Route 57 part of?,2605,390
4,18,unrelated,33,0,Where is KPRM licensed to broadcast?,2605,390
4,19,unrelated,51,1,What character did Geena Davis play in the movie A League of Their Own?,2605,390
4,20,unrelated,38,0,Where is NRHEG High School located?,2605,390
4,21,unrelated,67,-1,What league does the team that occupies the Rabat Ajax Football Ground belong to?,2605,390
4,22,unrelated,24,-1,What record label does the artist who sang you belong to me belong to?,2605,390
4,23,unrelated,34,0,Who succeeded Tihomir of Serbia?,2605,390
4,24,unrelated,39,0,What is the name of the political party of Dimuthu Bandara Abayakoon?,2605,390
4,25,unrelated,14,0,Who played the little girl in the 1947 film Miracle on 34th Street?,2605,390
4,26,unrelated,49,-1,Who has played for West Ham Ajax and the team from the city where Malcolm Graham died?,2605,390
4,27,unrelated,50,0,Who is John's eldest son?,2605,390
4,28,unrelated,73,-1,When is the next episode of the series that Steven the Sword Fighter is a part of being released?,2605,390
4,29,unrelated,25,-1,What place does the administrative territorial entity that Juba is located in share a border with?,2605,390
4,30,unrelated,61,2,Sir Charles Tupper birthplace,2605,390
4,31,unrelated,44,2,Which counties border Hastings County in Ontario?,2605,390
4,32,unrelated,71,-1,Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,2605,390
4,33,unrelated,35,-1,What year did the author of Prince Prigio die?,2605,390
4,34,unrelated,19,1,What team did Kris Benson play for in Major League Baseball?,2605,390
5,0,related,5,-1,What company merged in 2002 with the CEMM developer?,2727,409
5,1,related,5,0,What does CEMM stand for?,2727,409
5,2,related,5,1,What company did Compaq merge with in 2002?,2727,409
5,3,unrelated,20,0,Who originally sang the song You Belong To Me?,2727,409
5,4,unrelated,58,0,Where was James Finch born?,2727,409
5,5,unrelated,40,-1,When did military instruction start at the place where Larry Alcala was educated?,2727,409
5,6,unrelated,32,-1,Who played king whose regal Name did Albert Adopt in the king's speech?,2727,409
5,7,unrelated,35,-1,What year did the author of Prince Prigio die?,2727,409
5,8,unrelated,54,0,Who played Thelma in the movie 'Thelma and Louise'?,2727,409
5,9,unrelated,36,0,Where was Mark Dismore born?,2727,409
5,10,unrelated,76,0,Who is a former member of The Sunnyboys?,2727,409
5,11,unrelated,28,1,Who is Jennifer Saunders' spouse?,2727,409
5,12,unrelated,56,-1,The territory containing Bansaan Island is located at which island?,2727,409
5,13,unrelated,18,-1,Whose sister played Susie in miracle on 34th street?,2727,409
5,14,unrelated,11,-1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,2727,409
5,15,unrelated,62,0,Who is São José dos Campos named after?,2727,409
5,16,unrelated,79,1,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,2727,409
5,17,unrelated,61,3,Sir Charles Tupper biography,2727,409
5,18,unrelated,42,-1,Who is the spouse of the creator of Absolutely Fabulous?,2727,409
5,19,unrelated,30,3,Was Joan Erikson the spouse of Erik Erikson?,2727,409
5,20,unrelated,4,0,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",2727,409
5,21,unrelated,48,0,Who is Mach's principle named after?,2727,409
5,22,unrelated,16,-1,"In 2002, what company merged with the top PC manufacturer from 1994?",2727,409
5,23,unrelated,74,-1,What film features Anil Devgan's sibling?,2727,409
5,24,unrelated,61,2,Sir Charles Tupper birthplace,2727,409
5,25,unrelated,43,0,Where is Cedar Springs located?,2727,409
5,26,unrelated,47,3,Jennifer Saunders married to,2727,409
5,27,unrelated,67,2,Rabat Ajax F.C. current league,2727,409
5,28,unrelated,64,0,Who is the publisher of In the Shadow of Greatness?,2727,409
5,29,unrelated,75,-1,"What political party was the candidate who garnered a million votes during the 1920 election despite being in prison, a member of?",2727,409
5,30,unrelated,15,1,"What is the county seat of Culberson County, Texas?",2727,409
5,31,unrelated,40,1,When did military instruction begin at the University of the Philippines?,2727,409
5,32,unrelated,67,0,Which team uses the Rabat Ajax Football Ground?,2727,409
5,33,unrelated,57,0,Where was Ernie Watts born?,2727,409
5,34,unrelated,1,0,Where is the headquarters of Julia's House located?,2727,409
6,0,related,6,-1,Which university employed the person that Mach bands are named after?,1404,210
6,1,related,6,0,Which university employed Ernst Mach?,1404,210
6,2,unrelated,77,-1,Who was the US physicist who directed the project that developed the first atomic bomb at the same place where Feynman worked on Water Boiler?,1404,210
6,3,unrelated,10,1,Which organization did George Packer volunteer for?,1404,210
6,4,unrelated,40,0,Where did Larry Alcala study?,1404,210
6,5,unrelated,17,1,Which actor played King George VI in the film 'The King's Speech'?,1404,210
6,6,unrelated,24,-1,What record label does the artist who sang you belong to me belong to?,1404,210
6,7,unrelated,46,1,Which actor played King George VI in the film 'The King's Speech'?,1404,210
6,8,unrelated,9,0,Which English king trusted William de Longchamp?,1404,210
6,9,unrelated,47,3,Jennifer Saunders married to,1404,210
6,10,unrelated,55,0,"Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn",1404,210
6,11,unrelated,48,3,Where was Ernst Mach employed as a professor?,1404,210
6,12,unrelated,48,1,Who was Ernst Mach's employer during the period when he was associated with Mach's principle?,1404,210
6,13,unrelated,20,1,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,1404,210
6,14,unrelated,56,-1,The territory containing Bansaan Island is located at which island?,1404,210
6,15,unrelated,10,-1,The Unwinding author volunteered for which organisation?,1404,210
6,16,unrelated,25,1,What places share a border with Central Equatoria?,1404,210
6,17,unrelated,41,0,Which team does David Currie play for?,1404,210
6,18,unrelated,43,0,Where is Cedar Springs located?,1404,210
6,19,unrelated,7,0,Who is the physicist that the Mach number is named after?,1404,210
6,20,unrelated,60,0,Who is the father of Chian Hsiao-chang?,1404,210
6,21,unrelated,4,1,When was King Henry III of England crowned?,1404,210
6,22,unrelated,26,0,Who played King George VI in The King's Speech?,1404,210
6,23,unrelated,61,3,Sir Charles Tupper biography,1404,210
6,24,unrelated,49,1,Where did Malcolm Graham die?,1404,210
6,25,unrelated,3,0,Who is the child of Peter Andreas Heiberg?,1404,210
6,26,unrelated,35,0,Who is the author of Prince Prigio?,1404,210
6,27,unrelated,28,1,Who is Jennifer Saunders' spouse?,1404,210
6,28,unrelated,2,-1,What body of water includes the terrain feature where Coffee Swamp is located?,1404,210
6,29,unrelated,11,-1,Who is the lead singer of the band performing Bang Bang Rock & Roll?,1404,210
6,30,unrelated,18,-1,Whose sister played Susie in miracle on 34th street?,1404,210
6,31,unrelated,49,3,Where did Malcolm Graham die?,1404,210
6,32,unrelated,28,3,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,1404,210
6,33,unrelated,5,-1,What company merged in 2002 with the CEMM developer?,1404,210
7,0,related,7,-1,Who is the employer of the physicist who Mach number is named after?,2140,321
7,1,related,7,0,Who is the physicist that the Mach number is named after?,2140,321
7,2,related,7,1,Who was Ernst Mach's employer or academic institution during his career?,2140,321
7,3,unrelated,67,2,Rabat Ajax F.C. current league,2140,321
7,4,unrelated,56,0,Where is Bansaan Island located?,2140,321
7,5,unrelated,21,-1,When did the crowning of the person under whom the Chapter House was built happen?,2140,321
7,6,unrelated,61,3,Sir Charles Tupper biography,2140,321
7,7,unrelated,20,-1,What is the record label for the singer who originally sang You Belong To Me.,2140,321
7,8,unrelated,30,-1,Who is the spouse of Young Man Luther's author?,2140,321
7,9,unrelated,58,1,"Which county is Lynn Haven, Florida located in?",2140,321
7,10,unrelated,42,0,Who created Absolutely Fabulous?,2140,321
7,11,unrelated,30,0,Who is the author of 'Young Man Luther'?,2140,321
7,12,unrelated,71,-1,Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,2140,321
7,13,unrelated,9,1,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,2140,321
7,14,unrelated,11,0,Which band performed the song 'Bang Bang Rock & Roll'?,2140,321
7,15,unrelated,41,-1,Who has played for West Ham Ajax and the team that David Currie plays for?,2140,321
7,16,unrelated,27,-1,Who is the spouse of a cast member from King of the Mountain?,2140,321
7,17,unrelated,5,0,What does CEMM stand for?,2140,321
7,18,unrelated,22,2,Was Jackie Jackson a member of a musical group?,2140,321
7,19,unrelated,79,1,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,2140,321
7,20,unrelated,54,1,Which character did Geena Davis play in the movie 'A League of Their Own'?,2140,321
7,21,unrelated,43,0,Where is Cedar Springs located?,2140,321
7,22,unrelated,62,1,Where was Saint Joseph (São José) born?,2140,321
7,23,unrelated,44,2,Which counties border Hastings County in Ontario?,2140,321
7,24,unrelated,52,-1,"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",2140,321
7,25,unrelated,77,0,Where did Richard Feynman work on the Water Boiler reactor?,2140,321
7,26,unrelated,65,0,Who played Thelma in the movie Thelma and Louise?,2140,321
7,27,unrelated,23,-1,What month did the person who retained trust in Longchamp go away to the Holy Land?,2140,321
7,28,unrelated,72,0,Who performed the song Full Cooperation?,2140,321
7,29,unrelated,60,-1,Who is the other child of Chian Hsiao-chang's father?,2140,321
7,30,unrelated,13,1,What year was King Henry III of England crowned?,2140,321
7,31,unrelated,79,0,Who are the cast members of the movie U Me Aur Hum?,2140,321
7,32,unrelated,76,1,Where was Jeremy Oxley born?,2140,321
7,33,unrelated,58,-1,In which county was James Finch born?,2140,321
7,34,unrelated,69,0,Who played the female lead in Spider-Man: Homecoming?,2140,321
8,0,related,8,-1,What record label did the performer of The Place and the Time belong to?,2419,362
8,1,related,8,0,Who performed the song 'The Place and the Time'?,2419,362
8,2,related,8,1,What record label is Moby Grape associated with?,2419,362
8,3,unrelated,5,0,What does CEMM stand for?,2419,362
8,4,unrelated,34,2,Children of Stefan Nemanja,2419,362
8,5,unrelated,4,0,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",2419,362
8,6,unrelated,16,1,What company did Compaq merge with in 2002?,2419,362
8,7,unrelated,17,1,Which actor played King George VI in the film 'The King's Speech'?,2419,362
8,8,unrelated,74,-1,What film features Anil Devgan's sibling?,2419,362
8,9,unrelated,79,1,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,2419,362
8,10,unrelated,51,1,What character did Geena Davis play in the movie A League of Their Own?,2419,362
8,11,unrelated,63,0,Where was Snappy Tomato Pizza founded?,2419,362
8,12,unrelated,10,0,Who is the author of The Unwinding?,2419,362
8,13,unrelated,14,1,Who is the sibling of actress Natalie Wood?,2419,362
8,14,unrelated,35,0,Who is the author of Prince Prigio?,2419,362
8,15,unrelated,64,1,Where are the headquarters of the United States Naval Institute located?,2419,362
8,16,unrelated,41,0,Which team does David Currie play for?,2419,362
8,17,unrelated,5,-1,What company merged in 2002 with the CEMM developer?,2419,362
8,18,unrelated,69,1,Which record label is Zendaya signed to?,2419,362
8,19,unrelated,34,0,Who succeeded Tihomir of Serbia?,2419,362
8,20,unrelated,69,-1,The actor who plays the girl in Spiderman Homecoming is signed to which record label?,2419,362
8,21,unrelated,62,3,Who was the person São José dos Campos was named after?,2419,362
8,22,unrelated,69,0,Who played the female lead in Spider-Man: Homecoming?,2419,362
8,23,unrelated,68,1,"Which county does Eldon, Missouri belong to?",2419,362
8,24,unrelated,34,-1,Who is the child of the person who followed Tihomir of Serbia?,2419,362
8,25,unrelated,30,-1,Who is the spouse of Young Man Luther's author?,2419,362
8,26,unrelated,31,0,Which university did Paulo Manalo attend?,2419,362
8,27,unrelated,54,0,Who played Thelma in the movie 'Thelma and Louise'?,2419,362
8,28,unrelated,27,1,Who is Harry Hamlin's spouse?,2419,362
8,29,unrelated,45,1,Who was the father of Yang Pu (Emperor Rui of Wu)?,2419,362
8,30,unrelated,0,0,What network is National Cycle Route 57 part of?,2419,362
8,31,unrelated,31,1,When did military instruction start at the University of the Philippines?,2419,362
8,32,unrelated,54,-1,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",2419,362
8,33,unrelated,62,1,Where was Saint Joseph (São José) born?,2419,362
8,34,unrelated,23,2,When did Richard I leave Messina for the Holy Land?,2419,362
9,0,related,9,-1,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,3107,466
9,1,related,9,0,Which English king trusted William de Longchamp?,3107,466
9,2,related,9,1,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,3107,466
9,3,unrelated,52,2,Who played the husband of Dottie Hinson in the film A League of Their Own?,3107,466
9,4,unrelated,26,-1,Who played the monarch at the end of WW2 in The King's Speech?,3107,466
9,5,unrelated,59,-1,Who was married to the star of No Escape?,3107,466
9,6,unrelated,18,-1,Whose sister played Susie in miracle on 34th street?,3107,466
9,7,unrelated,75,0,Who was the candidate that received a million votes in the 1920 election while in prison?,3107,466
9,8,unrelated,36,1,"Which county is Greenfield, Indiana located in?",3107,466
9,9,unrelated,52,0,Who played Thelma in Thelma and Louise?,3107,466
9,10,unrelated,1,-1,What district is the headquarter of Julia's House located?,3107,466
9,11,unrelated,77,1,Which atomic bomb development project took place at Los Alamos and who was its director?,3107,466
9,12,unrelated,6,-1,Which university employed the person that Mach bands are named after?,3107,466
9,13,unrelated,8,1,What record label is Moby Grape associated with?,3107,466
9,14,unrelated,31,-1,When did the military instruction start in the university that Paulo Manalo attended?,3107,466
9,15,unrelated,11,0,Which band performed the song 'Bang Bang Rock & Roll'?,3107,466
9,16,unrelated,34,0,Who succeeded Tihomir of Serbia?,3107,466
9,17,unrelated,71,-1,Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,3107,466
9,18,unrelated,21,-1,When did the crowning of the person under whom the Chapter House was built happen?,3107,466
9,19,unrelated,63,1,"Which county is Fort Mitchell, Kentucky located in?",3107,466
9,20,unrelated,66,-1,What political party was the socialist candidate part of who ran for president in 1912?,3107,466
9,21,unrelated,78,-1,What award was received by the person who authored Missing Person?,3107,466
9,22,unrelated,19,-1,What team was Anna Benson's husband on?,3107,466
9,23,unrelated,28,-1,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,3107,466
9,24,unrelated,78,0,Who is the author of Missing Person?,3107,466
9,25,unrelated,76,-1,What's the place of birth of the former member of The Sunnyboys?,3107,466
9,26,unrelated,64,-1,Where are the headquarters for the publisher of In the Shadow of Greatness?,3107,466
9,27,unrelated,47,1,Who is Jennifer Saunders' spouse?,3107,466
9,28,unrelated,41,2,Which football players have played for both West Ham and Ajax?,3107,466
9,29,unrelated,72,-1,Who is part of the band that performed Full Cooperation?,3107,466
9,30,unrelated,60,-1,Who is the other child of Chian Hsiao-chang's father?,3107,466
9,31,unrelated,38,-1,What county is the NRHEG High School located in?,3107,466
9,32,unrelated,3,-1,Who is the spouse of the child of Peter Andreas Heiberg?,3107,466
9,33,unrelated,28,3,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,3107,466
9,34,unrelated,49,-1,Who has played for West Ham Ajax and the team from the city where Malcolm Graham died?,3107,466
10,0,related,10,-1,The Unwinding author volunteered for which organisation?,2348,352
10,1,related,10,0,Who is the author of The Unwinding?,2348,352
10,2,related,10,1,Which organization did George Packer volunteer for?,2348,352
10,3,unrelated,38,1,"Which county is New Richland, Minnesota located in?",2348,352
10,4,unrelated,44,-1,Bancroft's county borders what county?,2348,352
10,5,unrelated,50,-1,When was John's eldest son crowned?,2348,352
10,6,unrelated,43,0,Where is Cedar Springs located?,2348,352
10,7,unrelated,37,-1,Who was the sibling of Nannina de' Medici?,2348,352
10,8,unrelated,52,0,Who played Thelma in Thelma and Louise?,2348,352
10,9,unrelated,8,1,What record label is Moby Grape associated with?,2348,352
10,10,unrelated,4,1,When was King Henry III of England crowned?,2348,352
10,11,unrelated,5,-1,What company merged in 2002 with the CEMM developer?,2348,352
10,12,unrelated,30,3,Was Joan Erikson the spouse of Erik Erikson?,2348,352
10,13,unrelated,12,-1,What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,2348,352
