group,k,mean_intersection_ratio,p50,example_id
unrelated,2,0.8617276278409095,0.8607954545454546,10
unrelated,4,0.8068181818181814,0.8068181818181818,10
unrelated,8,0.7771218039772727,0.78125,10
unrelated,16,0.7507768110795453,0.75,10
unrelated,32,0.7329545454545464,0.7329545454545454,10
all,2,0.8456527578796561,0.8452722063037249,11
all,4,0.7865553366762178,0.7879656160458453,11
all,8,0.7527086318051572,0.7507163323782235,11
all,16,0.7267863538681948,0.7220630372492837,11
all,32,0.7167353151862477,0.7163323782234957,11
related,2,0.8692693409742124,0.8624641833810889,11
unrelated,2,0.8470854226361035,0.8452722063037249,11
unrelated,4,0.7843615687679081,0.7851002865329513,11
unrelated,8,0.748992657593123,0.7449856733524355,11
unrelated,16,0.7261595630372493,0.7220630372492837,11
unrelated,32,0.7163323782234973,0.7163323782234957,11
all,2,0.8556275406504067,0.8563685636856369,12
all,4,0.8003472222222221,0.8008130081300813,12
all,8,0.7796620934959344,0.7777777777777778,12
all,16,0.7647146002710022,0.7642276422764228,12
all,32,0.7525618224932242,0.7506775067750677,12
related,2,0.8556698848238482,0.8536585365853658,12
unrelated,2,0.856728489159892,0.8563685636856369,12
unrelated,4,0.8083290989159894,0.8102981029810298,12
unrelated,8,0.7851244918699184,0.7859078590785907,12
unrelated,16,0.77051575203252,0.7696476964769647,12
unrelated,32,0.7615176151761505,0.7615176151761518,12
all,2,0.857084760273973,0.8575342465753425,13
all,4,0.8075342465753421,0.8054794520547945,13
all,8,0.7722816780821918,0.7684931506849315,13
all,16,0.7438570205479452,0.7424657534246575,13
all,32,0.7250856164383567,0.7232876712328767,13
related,2,0.8802011986301393,0.8657534246575342,13
unrelated,2,0.8564640410958907,0.8575342465753425,13
unrelated,4,0.8050727739726028,0.8,13
unrelated,8,0.7674015410958909,0.7657534246575342,13
unrelated,16,0.7461044520547948,0.7424657534246575,13
unrelated,32,0.7315068493150677,0.7315068493150685,13
all,2,0.8411212657232705,0.8427672955974843,14
all,4,0.7759433962264151,0.7735849056603774,14
all,8,0.7424577437106918,0.7421383647798742,14
all,16,0.7143769654088052,0.7138364779874213,14
all,32,0.6915045204402507,0.6918238993710691,14
related,2,0.8306308962264151,0.8333333333333334,14
unrelated,2,0.8437499999999998,0.8459119496855346,14
unrelated,4,0.7833382468553457,0.7830188679245284,14
unrelated,8,0.7458972091194968,0.7452830188679245,14
unrelated,16,0.7205188679245286,0.720125786163522,14
unrelated,32,0.6949685534591196,0.6949685534591195,14
all,2,0.8628771551724135,0.8620689655172413,15
all,4,0.8076508620689646,0.8060344827586207,15
all,8,0.7798356681034484,0.7801724137931034,15
all,16,0.7677464978448285,0.7672413793103449,15
all,32,0.7596982758620702,0.7586206896551724,15
related,2,0.8753030711206898,0.875,15
unrelated,2,0.8682987607758619,0.8663793103448276,15
unrelated,4,0.8100754310344821,0.8060344827586207,15
unrelated,8,0.7800377155172423,0.7801724137931034,15
unrelated,16,0.7689251077586219,0.7672413793103449,15
unrelated,32,0.7629310344827605,0.7629310344827587,15
all,2,0.8441599151234567,0.8425925925925926,16
all,4,0.7757282021604938,0.7746913580246914,16
all,8,0.737991898148148,0.7361111111111112,16
all,16,0.7179301697530862,0.7160493827160493,16
all,32,0.7077546296296285,0.7067901234567902,16
related,2,0.8510079089506183,0.8518518518518519,16
unrelated,2,0.8432436342592595,0.8425925925925926,16
unrelated,4,0.777850115740741,0.7746913580246914,16
unrelated,8,0.7394145447530861,0.7376543209876543,16
unrelated,16,0.71997974537037,0.7191358024691358,16
unrelated,32,0.7098765432098744,0.7098765432098766,16
all,2,0.8430782245222928,0.8439490445859873,17
all,4,0.7892864251592355,0.7898089171974523,17
all,8,0.7592804538216561,0.7579617834394905,17
all,16,0.7391769506369427,0.7372611464968153,17
all,32,0.7155652866242039,0.7133757961783439,17
related,2,0.8344944267515929,0.8343949044585988,17
unrelated,2,0.8435758359872607,0.8455414012738853,17
unrelated,4,0.7900577229299361,0.7929936305732485,17
unrelated,8,0.7635599124203823,0.7611464968152867,17
unrelated,16,0.7449990047770704,0.7420382165605095,17
unrelated,32,0.7197452229299348,0.7197452229299363,17
all,2,0.8577854437229435,0.8571428571428571,18
all,4,0.8017113095238101,0.8008658008658008,18
all,8,0.7694466991341988,0.7662337662337663,18
all,16,0.7486471861471858,0.7489177489177489,18
all,32,0.7370806277056284,0.7359307359307359,18
related,2,0.8449337121212136,0.8398268398268398,18
unrelated,2,0.8629261363636362,0.8571428571428571,18
unrelated,4,0.8059726731601732,0.8051948051948052,18
unrelated,8,0.7736742424242421,0.7705627705627706,18
unrelated,16,0.7512175324675323,0.7489177489177489,18
unrelated,32,0.7402597402597412,0.7402597402597403,18
all,2,0.8296777950310562,0.8229813664596274,19
all,4,0.7604085791925466,0.7608695652173914,19
all,8,0.7221224767080745,0.7236024844720497,19
all,16,0.6992915372670807,0.6987577639751553,19
all,32,0.6815314440993797,0.6801242236024845,19
related,2,0.832734860248448,0.8416149068322981,19
unrelated,2,0.8259171195652173,0.8260869565217391,19
unrelated,4,0.7602630046583847,0.7608695652173914,19
unrelated,8,0.7213218167701868,0.7236024844720497,19
unrelated,16,0.6988062888198759,0.6987577639751553,19
unrelated,32,0.6801242236024855,0.6801242236024845,19
