main_question,online_qk,online_draft,offline_hybrid70
What place does the administrative territorial entity that Juba is located in share a border with?,False,False,True
What political party does the person that Adversary in the House is based on a member of?,True,True,True
"What political party was the candidate who garnered a million votes during the 1920 election despite being in prison, a member of?",True,True,True
What political party was the socialist candidate part of who ran for president in 1912?,True,True,True
What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,False,False,False
What province shares a border with the province where Lago District is located?,False,False,True
What recognition did the actor of Truman Capote from Capote receive?,True,True,True
What record label did the person who is part of The Bruce Lee Band start?,False,True,False
What record label does the artist who sang you belong to me belong to?,True,True,True
What record label is the performer of Almost Made Ya signed to?,False,False,False
What team was Anna Benson's husband on?,True,True,True
What type of animal is Xiao Liwu's mother?,True,False,True
What university did the author of 1967: The Last Good Year attend?,True,True,True
What university did the author of The Secret World of Og go to?,True,True,True
What was the old show that was named after a character that Walt Disney created in 1928 called?,True,True,True
What was the show named after the character featured in the video game Mickey's Safari in Letterland?,True,True,True
What year did the author of Prince Prigio die?,False,False,False
What year was the father of Katherine of England crowned?,True,False,False
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,True,True,True
When did military instruction start at the place where Larry Alcala was educated?,True,True,True
When did the crowning of the person under whom the Chapter House was built happen?,False,False,False
When did the person who first brought a postal service into Umayyad lands become caliph?,True,False,False
When was John's eldest son crowned?,False,True,True
"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?",False,False,False
Where are the headquarters for the publisher of In the Shadow of Greatness?,False,True,True
Where did the author of The National Dream go to university?,False,True,False
Where did the producer of Julius Caesar study or work?,True,True,True
Where did the producer of On Dangerous Ground study or work?,True,True,True
Where is Amílcar Cabral International Airport?,True,True,True
Where is Ulrich Walter's employer headquartered?,True,True,False
Where is the country with ISO code ISO 3166-2:CV located?,True,True,False
Where was Tyler MacDuff's child educated?,False,True,False
Where was the author of Hannibal and Scipio educated at?,True,True,True
Where was the founder of the National Women's Party born?,True,True,True
Where was the person featured on the Chester Arthur coin born?,False,False,False
Which county does Lloyd Dane's birthplace belong to?,True,True,False
Which university employed the person that Mach bands are named after?,True,True,True
Who founded the company that distributed the film UHF?,True,True,True
Who founded the political party of Dimuthu Bandara Abayakoon?,False,False,False
Who founded the publisher of The Final Testament of the Holy Bible?,False,True,False
Who is part of the band that performed Full Cooperation?,True,True,True
Who is the child of Caroline LeRoy's spouse?,True,True,True
Who is the child of Chiang Hsiao-wen's father?,True,True,True
Who is the child of Sigrid Eskilsdotter's child?,False,True,False
Who is the child of the Victim of Romance performer?,False,False,False
Who is the child of the actor who is a cast member of Love in Pawn?,False,True,False
Who is the city that AvtoVAZ's headquarters is located in named after?,False,False,False
Who is the city where Lesnoye Sanatorium is located named after?,True,True,True
Who is the employer of the physicist who Mach number is named after?,False,True,True
Who is the father of Empress Wang's husband?,True,True,True
Who is the father of the Labo M performer?,True,True,True
Who is the father of the performer of Je dis aime?,False,True,False
Who is the father of the performer of Qui de noux deux?,True,True,True
"Who is the grandmother of Philippe, Duke of Orléans?",True,True,True
Who is the lead singer of the band performing Bang Bang Rock & Roll?,True,True,True
Who is the other child of Chian Hsiao-chang's father?,True,True,False
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,True,True,True
Who is the spouse of a cast member from King of the Mountain?,True,True,True
Who is the spouse of the child of Peter Andreas Heiberg?,True,True,True
Who is the spouse of the first nominated African American presidential candidate?,False,False,False
Who is the voice of the character in Spongebob Squarepants with the same name as the creature that annelid larvae live like?,True,True,True
Who married the publisher of abolitionist newspaper The North Star?,False,True,False
Who played king whose regal Name did Albert Adopt in the king's speech?,True,True,True
Who played the king that was king of england in 1951 in the king's speech?,True,True,True
Who played the monarch at the end of WW2 in The King's Speech?,True,True,True
Who was honoured with the highest award a citizen without military experience in India before becoming a president?,False,False,False
Who was married to the star of No Escape?,False,True,False
Who was the US physicist who directed the project that developed the first atomic bomb at the same place where Feynman worked on Water Boiler?,False,True,True
Who was the sibling of Nannina de' Medici?,False,False,True
Who was the spouse of a leading speaker against slavery and publisher of an antislavery newspaper?,False,False,False
Whom is the birth place of Ravil Aryapov named after?,True,True,True
Whose sister played Susie in miracle on 34th street?,False,False,False
