example,chunk_id,layer,top_m,score_mode,tokens,mean_cos_o_proj_to_delta_hidden_next,mean_scalar_fit_rel_l2_hidden_next,mean_scalar_fit_r2_hidden_next,mean_cos_readout_to_delta_value,mean_scalar_fit_rel_l2_value,mean_scalar_fit_r2_value
1,2,57,32,value_norm,16,-0.010365171867306344,0.9995023049414158,0.0009948760271072388,-0.00976419156177144,0.9990224540233612,0.0019516050815582275
1,2,58,16,uniform,16,-0.0028259784739930183,0.9994099885225296,0.0011778026819229126,-0.04168136487714946,0.9957232065498829,0.00850735604763031
1,2,58,16,recency,16,0.0007317701092688367,0.9996185526251793,0.0007623955607414246,-0.05559369409456849,0.992461659014225,0.01478058472275734
1,2,58,16,value_norm,16,-3.9710887904220726e-05,0.9999225027859211,0.0001549459993839264,-0.014098234823904932,0.998773068189621,0.0024496465921401978
1,2,58,32,uniform,16,-0.004765560621308396,0.9994513392448425,0.0010959804058074951,-0.026358691276982427,0.9973043762147427,0.005374941974878311
1,2,58,32,recency,16,-0.0007636594455107115,0.9995989091694355,0.0008015967905521393,-0.05148928789822094,0.9933461993932724,0.01308320090174675
1,2,58,32,value_norm,16,-3.9710887904220726e-05,0.9999225027859211,0.0001549459993839264,-0.014098234823904932,0.998773068189621,0.0024496465921401978
1,3,56,16,uniform,16,-0.027225539794017095,0.9988413602113724,0.0023137740790843964,-0.0642238111468032,0.9938589185476303,0.012110177427530289
1,3,56,16,recency,16,-0.02679204920423217,0.9988037087023258,0.0023891404271125793,-0.08082208389532752,0.9920308589935303,0.015704654157161713
1,3,56,16,value_norm,16,-0.015002088754044962,0.999754473567009,0.0004909224808216095,-0.005530312191694975,0.9992804601788521,0.001437745988368988
1,3,56,32,uniform,16,-0.029338745262066368,0.9986589550971985,0.0026763752102851868,-0.06150726755731739,0.9949839897453785,0.009942825883626938
1,3,56,32,recency,16,-0.028738060384057462,0.9986654743552208,0.00266445055603981,-0.08151857511256821,0.9923876784741879,0.015033211559057236
1,3,56,32,value_norm,16,-0.015002088754044962,0.999754473567009,0.0004909224808216095,-0.005530312191694975,0.9992804601788521,0.001437745988368988
1,3,57,16,uniform,16,0.020382806247653207,0.9995255917310715,0.0009482353925704956,-0.0504110035544727,0.995334692299366,0.009213939309120178
1,3,57,16,recency,16,0.020957032800652087,0.9994444474577904,0.001110117882490158,-0.07285859649709892,0.9921380504965782,0.015511427074670792
1,3,57,16,value_norm,16,-0.025610775002860464,0.999412041157484,0.0011749789118766785,-0.017060596408555284,0.9988034404814243,0.0023904740810394287
1,3,57,32,uniform,16,0.025047451170394197,0.9994503073394299,0.0010986439883708954,-0.040213921412942,0.9972581453621387,0.005452316254377365
1,3,57,32,recency,16,0.023731614688585978,0.9994049668312073,0.0011890120804309845,-0.07111060892930254,0.9928967095911503,0.014033988118171692
1,3,57,32,value_norm,16,-0.025610775002860464,0.999412041157484,0.0011749789118766785,-0.017060596408555284,0.9988034404814243,0.0023904740810394287
1,3,58,16,uniform,16,0.006141085000990643,0.9997226223349571,0.0005542263388633728,-0.07757053180830553,0.993678592145443,0.012456014752388
1,3,58,16,recency,16,0.010730112073360942,0.9996015653014183,0.0007957033812999725,-0.09662427930743434,0.9908075332641602,0.018107827752828598
1,3,58,16,value_norm,16,-0.003625134311732836,0.9999234564602375,0.00015304982662200928,-0.015893521944235545,0.9983846731483936,0.0032243654131889343
1,3,58,32,uniform,16,0.008377661456506758,0.9997012428939342,0.0005973055958747864,-0.07579644466750324,0.9950190484523773,0.009891800582408905
1,3,58,32,recency,16,0.011326299965730868,0.9995791241526604,0.0008408427238464355,-0.09845020825014217,0.9910428747534752,0.0176701657474041
1,3,58,32,value_norm,16,-0.003625134311732836,0.9999234564602375,0.00015304982662200928,-0.015893521944235545,0.9983846731483936,0.0032243654131889343
1,4,56,16,uniform,16,0.002968449654872529,0.9996022433042526,0.0007946789264678955,-0.012964623747393489,0.99839211627841,0.0032010823488235474
1,4,56,16,recency,16,0.000913769085855165,0.9995638951659203,0.0008713528513908386,-0.012406747380737215,0.9983182996511459,0.00334930419921875
1,4,56,16,value_norm,16,0.01132589761982672,0.9998033195734024,0.0003932863473892212,0.010647719842381775,0.9993297047913074,0.0013385266065597534
1,4,56,32,uniform,16,0.0033751377193311782,0.999497827142477,0.001002814620733261,-0.014034601795657409,0.9982743635773659,0.0034338459372520447
1,4,56,32,recency,16,0.0016216617324289473,0.9995633065700531,0.000872340053319931,-0.013192725986300502,0.9982368797063828,0.0035098791122436523
1,4,56,32,value_norm,16,0.01132589761982672,0.9998033195734024,0.0003932863473892212,0.010647719842381775,0.9993297047913074,0.0013385266065597534
1,4,57,16,uniform,16,0.040947548870462924,0.9986099675297737,0.002775922417640686,0.014217670686775818,0.9973777160048485,0.005231451243162155
1,4,57,16,recency,16,0.03786378893710207,0.9987255893647671,0.002545643597841263,0.012586873985128477,0.9969855844974518,0.006004992872476578
1,4,57,16,value_norm,16,-0.0016239712131209671,0.999763086438179,0.00047362595796585083,0.019784880794759374,0.9983118921518326,0.003367256373167038
1,4,57,32,uniform,16,0.040443664154736325,0.998649351298809,0.002696063369512558,-0.0025745294988155365,0.9977528564631939,0.004479113966226578
1,4,57,32,recency,16,0.03985337768608588,0.9986274540424347,0.002740945667028427,0.007206588168628514,0.9973185621201992,0.005344901233911514
1,4,57,32,value_norm,16,-0.0016239712131209671,0.999763086438179,0.00047362595796585083,0.019784880794759374,0.9983118921518326,0.003367256373167038
1,4,58,16,uniform,16,0.005402916547609493,0.9995531961321831,0.0008930005133152008,-0.007031914661638439,0.9976824522018433,0.004616949707269669
1,4,58,16,recency,16,0.0013305708125699311,0.9996560774743557,0.0006874389946460724,-0.016201257585635176,0.9964766316115856,0.006997976452112198
1,4,58,16,value_norm,16,-0.0013599540034192614,0.9999466948211193,0.00010656937956809998,0.0044716322590829805,0.9985206797719002,0.002952512353658676
1,4,58,32,uniform,16,0.003726450369867962,0.9994878619909286,0.0010234303772449493,-0.01457825145462266,0.9980237670242786,0.003939621150493622
1,4,58,32,recency,16,0.0014225184550014092,0.9995964355766773,0.0008065402507781982,-0.018507392262108624,0.9966759085655212,0.00660334900021553
1,4,58,32,value_norm,16,-0.0013599540034192614,0.9999466948211193,0.00010656937956809998,0.0044716322590829805,0.9985206797719002,0.002952512353658676
1,5,56,16,uniform,16,-0.014516562863718718,0.9988349974155426,0.0023271292448043823,-0.03914588093175553,0.9962549433112144,0.007455386221408844
1,5,56,16,recency,16,-0.018114423204679042,0.9986231103539467,0.002748936414718628,-0.037719703221227974,0.9953779838979244,0.009184863418340683
1,5,56,16,value_norm,16,0.005914908193517476,0.9998402372002602,0.0003194771707057953,0.005756820100941695,0.9994630850851536,0.0010729990899562836
1,5,56,32,uniform,16,-0.01659385512175504,0.9989260472357273,0.0021451041102409363,-0.04166752035962418,0.9962307177484035,0.007502645254135132
1,5,56,32,recency,16,-0.019242275433498435,0.9986181557178497,0.0027588531374931335,-0.04085144912824035,0.9953272603452206,0.0092889703810215
1,5,56,32,value_norm,16,0.005914908193517476,0.9998402372002602,0.0003194771707057953,0.005756820100941695,0.9994630850851536,0.0010729990899562836
1,5,57,16,uniform,16,-4.092729068361223e-05,0.9996814467012882,0.0006368383765220642,-0.015239298296364723,0.9963367693126202,0.007260140031576157
1,5,57,16,recency,16,-0.0018805503204930574,0.9996809177100658,0.0006378777325153351,-0.010958884893625509,0.9949452020227909,0.01002548262476921
1,5,57,16,value_norm,16,0.0005795618999400176,0.9996742270886898,0.0006512440741062164,0.006054478813894093,0.9991915225982666,0.0016149058938026428
1,5,57,32,uniform,16,0.0016772748494986445,0.9996061436831951,0.0007874369621276855,-0.015665176848415285,0.997273825109005,0.005424764007329941
1,5,57,32,recency,16,-0.0014445900451391935,0.999651487916708,0.0006966963410377502,-0.012337564256085898,0.9952440932393074,0.00943722203373909
1,5,57,32,value_norm,16,0.0005795618999400176,0.9996742270886898,0.0006512440741062164,0.006054478813894093,0.9991915225982666,0.0016149058938026428
1,5,58,16,uniform,16,0.013129513085004874,0.9994907602667809,0.0010179728269577026,-0.020568987354636192,0.9957743920385838,0.008395731449127197
1,5,58,16,recency,16,0.010507921244425233,0.9996354170143604,0.0007288753986358643,-0.011646715982351452,0.9948908053338528,0.010127682238817215
1,5,58,16,value_norm,16,0.0023633961100131273,0.9998625367879868,0.00027486681938171387,0.01392799748282414,0.9986643493175507,0.0026646070182323456
1,5,58,32,uniform,16,0.013652330002514645,0.9994435086846352,0.0011119693517684937,-0.018696184673899552,0.9969870448112488,0.006006594747304916
1,5,58,32,recency,16,0.01141459122300148,0.9995940215885639,0.0008115880191326141,-0.012318398570641875,0.9951604455709457,0.009603813290596008
1,5,58,32,value_norm,16,0.0023633961100131273,0.9998625367879868,0.00027486681938171387,0.01392799748282414,0.9986643493175507,0.0026646070182323456
1,6,56,16,uniform,16,0.0003588629806472454,0.9992876909673214,0.001423332840204239,-0.004340138817497063,0.998145267367363,0.0036925561726093292
1,6,56,16,recency,16,0.0013640679826494306,0.9993092156946659,0.0013799630105495453,0.0005678639281541109,0.9978150874376297,0.004349943250417709
1,6,56,16,value_norm,16,0.006812130872276612,0.9998529851436615,0.0002939552068710327,0.015521168184932321,0.9993037208914757,0.0013918466866016388
1,6,56,32,uniform,16,-0.0011865310370922089,0.9990464560687542,0.0019050873816013336,-0.005054102395661175,0.9987793192267418,0.0024385862052440643
1,6,56,32,recency,16,0.0005369158461689949,0.9992393180727959,0.0015198476612567902,-5.804322427138686e-05,0.9981609918177128,0.003665611147880554
1,6,56,32,value_norm,16,0.006812130872276612,0.9998529851436615,0.0002939552068710327,0.015521168184932321,0.9993037208914757,0.0013918466866016388
1,6,57,16,uniform,16,0.00045015370415057987,0.9996557384729385,0.0006881505250930786,-0.034660689503652975,0.9974922351539135,0.004999168217182159
1,6,57,16,recency,16,-0.0014364051748998463,0.9996361844241619,0.0007272027432918549,-0.03555113894981332,0.9969403818249702,0.006093524396419525
1,6,57,16,value_norm,16,0.0005354595632525161,0.9997594617307186,0.00048093870282173157,0.019164428591466276,0.9987734332680702,0.0024504512548446655
1,6,57,32,uniform,16,0.001152645709225908,0.999710351228714,0.000579100102186203,-0.04054243557038717,0.9974183812737465,0.005147244781255722
1,6,57,32,recency,16,-0.001031856815870924,0.9996687471866608,0.0006621405482292175,-0.03898042171567795,0.9969809763133526,0.006013873964548111
1,6,57,32,value_norm,16,0.0005354595632525161,0.9997594617307186,0.00048093870282173157,0.019164428591466276,0.9987734332680702,0.0024504512548446655
1,6,58,16,uniform,16,-0.0005666209617629647,0.9996475614607334,0.000704541802406311,-0.014381904038600624,0.998049333691597,0.0038874074816703796
1,6,58,16,recency,16,0.0007724854058324127,0.9996459223330021,0.0007077008485794067,-0.009596311821951531,0.9977319277822971,0.0045188479125499725
1,6,58,16,value_norm,16,0.00629160739845247,0.999881949275732,0.0002360604703426361,0.011275399767328054,0.9994563460350037,0.0010866113007068634
1,6,58,32,uniform,16,-0.0017322620115010068,0.9998400211334229,0.00031988322734832764,-0.014986235997639596,0.9985660873353481,0.0028624311089515686
1,6,58,32,recency,16,1.1594602256081998e-05,0.999746847897768,0.0005060695111751556,-0.010731110261986032,0.9981004670262337,0.003789607435464859
1,6,58,32,value_norm,16,0.00629160739845247,0.999881949275732,0.0002360604703426361,0.011275399767328054,0.9994563460350037,0.0010866113007068634
1,7,56,16,uniform,16,0.0196229705325095,0.9991516545414925,0.0016949847340583801,0.007629015570273623,0.9984300583600998,0.0031324848532676697
1,7,56,16,recency,16,0.0202980679605389,0.99920454621315,0.0015895813703536987,0.0075382546965556685,0.9983697831630707,0.003253623843193054
1,7,56,16,value_norm,16,0.009412371160578914,0.9997428134083748,0.0005141459405422211,-0.0013491880526999012,0.999241016805172,0.0015169009566307068
1,7,56,32,uniform,16,0.025037496263394132,0.9990344569087029,0.0019288435578346252,0.017146726335340645,0.998585645109415,0.002824753522872925
1,7,56,32,recency,16,0.02289441200946385,0.9991229921579361,0.0017522722482681274,0.011404123390093446,0.9984698817133904,0.0030545294284820557
1,7,56,32,value_norm,16,0.009412371160578914,0.9997428134083748,0.0005141459405422211,-0.0013491880526999012,0.999241016805172,0.0015169009566307068
1,7,57,16,uniform,16,0.02672765984243597,0.9986569359898567,0.0026814639568328857,0.007737105992418947,0.9954274222254753,0.009035199880599976
1,7,57,16,recency,16,0.0274755333784924,0.9986507371068001,0.0026941001415252686,0.018074065672408324,0.9956159330904484,0.00866151973605156
1,7,57,16,value_norm,16,-0.003637027650256641,0.9996266216039658,0.0007464513182640076,0.0008535649249097332,0.9986753016710281,0.002642575651407242
1,7,57,32,uniform,16,0.03014353517210111,0.9985677860677242,0.0028593577444553375,0.007515596313169226,0.9962929897010326,0.0073525309562683105
1,7,57,32,recency,16,0.02987001535075251,0.9985446855425835,0.002905655652284622,0.017879501567222178,0.9958376847207546,0.008227609097957611
1,7,57,32,value_norm,16,-0.003637027650256641,0.9996266216039658,0.0007464513182640076,0.0008535649249097332,0.9986753016710281,0.002642575651407242
1,7,58,16,uniform,16,0.014644767361460254,0.9995152950286865,0.0009689964354038239,-0.005570755383814685,0.9991564601659775,0.001685556024312973
1,7,58,16,recency,16,0.01464654932533449,0.9994613528251648,0.0010767467319965363,0.007630838008481078,0.9983777590095997,0.0032260343432426453
1,7,58,16,value_norm,16,0.006947316907826462,0.9998492039740086,0.0003014765679836273,0.0035231283691246063,0.9984654150903225,0.003064259886741638
1,7,58,32,uniform,16,0.016021078925405163,0.9995222501456738,0.0009550154209136963,-0.01147558372849744,0.9992061704397202,0.0015864074230194092
1,7,58,32,recency,16,0.015892300783889368,0.9994360357522964,0.001127343624830246,0.004130046603677329,0.9987346343696117,0.0025199539959430695
1,7,58,32,value_norm,16,0.006947316907826462,0.9998492039740086,0.0003014765679836273,0.0035231283691246063,0.9984654150903225,0.003064259886741638
1,8,56,16,uniform,16,0.005288336498779245,0.9991755299270153,0.0016471333801746368,-0.04873269749805331,0.9972992949187756,0.0053864046931266785
1,8,56,16,recency,16,0.005424269395007286,0.9993085116147995,0.0013818331062793732,-0.03889284236356616,0.9978044033050537,0.004382137209177017
1,8,56,16,value_norm,16,-0.00980943191825645,0.9994275495409966,0.00114431232213974,0.0037106265444890596,0.999190803617239,0.0016166679561138153
1,8,56,32,uniform,16,0.0065024720861401875,0.9991929493844509,0.0016125775873661041,-0.0403384292148985,0.9978521354496479,0.004285421222448349
1,8,56,32,recency,16,0.0059242506249574944,0.9992641918361187,0.0014703460037708282,-0.038604504079557955,0.9977143444120884,0.004560939967632294
1,8,56,32,value_norm,16,-0.00980943191825645,0.9994275495409966,0.00114431232213974,0.0037106265444890596,0.999190803617239,0.0016166679561138153
1,8,57,16,uniform,16,0.01823002654418815,0.9995136260986328,0.0009717009961605072,-0.029085443762596697,0.9985444433987141,0.00290650874376297
1,8,57,16,recency,16,0.015196367639873642,0.9996016025543213,0.0007958672940731049,-0.024201750333304517,0.9985544756054878,0.0028864704072475433
1,8,57,16,value_norm,16,-0.009606598629034124,0.999850157648325,0.0002995990216732025,0.0010242541320621967,0.9988320544362068,0.0023307427763938904
1,8,57,32,uniform,16,0.018975440270878607,0.9995717816054821,0.0008557960391044617,-0.0227416263660416,0.9986754059791565,0.0026455186307430267
1,8,57,32,recency,16,0.016393620528106112,0.9995915777981281,0.0008159317076206207,-0.02354105416452512,0.9984166659414768,0.0031608380377292633
1,8,57,32,value_norm,16,-0.009606598629034124,0.999850157648325,0.0002995990216732025,0.0010242541320621967,0.9988320544362068,0.0023307427763938904
1,8,58,16,uniform,16,0.030320089936139993,0.9992985986173153,0.001401316374540329,-0.03489194246958505,0.9980303905904293,0.0039239563047885895
1,8,58,16,recency,16,0.02447561216649774,0.9995198585093021,0.0009595826268196106,-0.02680653432616964,0.9976758100092411,0.004628218710422516
1,8,58,16,value_norm,16,-0.0010735178220784292,0.9999576359987259,8.469820022583008e-05,0.012605665542650968,0.9989598989486694,0.002078115940093994
1,8,58,32,uniform,16,0.03197043848922476,0.9992725066840649,0.0014538094401359558,-0.030855165037792176,0.9978199973702431,0.004344336688518524
1,8,58,32,recency,16,0.02695716606467613,0.9994534850120544,0.0010922588407993317,-0.02737671387512819,0.9973489493131638,0.0052748508751392365
1,8,58,32,value_norm,16,-0.0010735178220784292,0.9999576359987259,8.469820022583008e-05,0.012605665542650968,0.9989598989486694,0.002078115940093994
1,9,56,16,uniform,16,0.001576234441017732,0.9997381456196308,0.0005235373973846436,-0.014599994639866054,0.998502541333437,0.002990398555994034
1,9,56,16,recency,16,-0.0006539833993883803,0.9997257553040981,0.0005482695996761322,-0.028108156111557037,0.9980675727128983,0.0038578249514102936
1,9,56,16,value_norm,16,-0.03379388171015307,0.9990235306322575,0.0019512325525283813,0.003482150539639406,0.9992888681590557,0.001420687884092331
1,9,56,32,uniform,16,0.0024534303520340472,0.9996327459812164,0.000734187662601471,-0.014142627478577197,0.9979072324931622,0.004173398017883301
1,9,56,32,recency,16,-0.00019613904441939667,0.999749481678009,0.0005008839070796967,-0.0265304985223338,0.9979403428733349,0.0041095539927482605
1,9,56,32,value_norm,16,-0.03379388171015307,0.9990235306322575,0.0019512325525283813,0.003482150539639406,0.9992888681590557,0.001420687884092331
1,9,57,16,uniform,16,0.02749118355131941,0.9991356171667576,0.0017266348004341125,-0.03563461564772297,0.9980192556977272,0.003952603787183762
1,9,57,16,recency,16,0.0299319002951961,0.9991104304790497,0.0017774328589439392,-0.049152291408972815,0.9967997148633003,0.006365962326526642
1,9,57,16,value_norm,16,-0.01192089444884914,0.9997192807495594,0.0005611330270767212,-0.024699149682419375,0.9986800402402878,0.002635739743709564
1,9,57,32,uniform,16,0.028534372177091427,0.9991500899195671,0.0016984157264232635,-0.03190768106651376,0.9984322711825371,0.0031282268464565277
1,9,57,32,recency,16,0.030770026992286148,0.999121118336916,0.0017561838030815125,-0.048083352605317486,0.997139859944582,0.005696788430213928
1,9,57,32,value_norm,16,-0.01192089444884914,0.9997192807495594,0.0005611330270767212,-0.024699149682419375,0.9986800402402878,0.002635739743709564
1,9,58,16,uniform,16,0.020858421208686195,0.9993953481316566,0.0012071318924427032,-0.03194630306097679,0.9975945092737675,0.004796646535396576
1,9,58,16,recency,16,0.019990610824606847,0.9996021538972855,0.0007951743900775909,-0.04375803979928605,0.9958177097141743,0.00830436497926712
1,9,58,16,value_norm,16,0.0014434314880418242,0.9999167360365391,0.00016649439930915833,0.0020904905104544014,0.9989100880920887,0.0021761134266853333
1,9,58,32,uniform,16,0.018911028557340614,0.9994553327560425,0.001087244600057602,-0.02883044519694522,0.9984155185520649,0.0031634755432605743
1,9,58,32,recency,16,0.019696604220371228,0.9995860420167446,0.000827152281999588,-0.04278168831660878,0.9962664693593979,0.0074186548590660095
1,9,58,32,value_norm,16,0.0014434314880418242,0.9999167360365391,0.00016649439930915833,0.0020904905104544014,0.9989100880920887,0.0021761134266853333
1,10,56,16,uniform,16,0.027678773694788106,0.9989618584513664,0.0020725540816783905,0.03867274121148512,0.9978044517338276,0.004376944154500961
1,10,56,16,recency,16,0.02571680035907775,0.9989241696894169,0.0021475963294506073,0.016491372953169048,0.9967345781624317,0.006495434790849686
1,10,56,16,value_norm,16,0.0035494456024025567,0.9997230507433414,0.000553622841835022,-0.006355165038257837,0.9994870312511921,0.001025378704071045
1,10,56,32,uniform,16,0.030718697227712255,0.9987886101007462,0.0024188868701457977,0.04418068069207948,0.9978889152407646,0.004211656749248505
1,10,56,32,recency,16,0.027850670681800693,0.9988916590809822,0.0022125840187072754,0.022733851583325304,0.9973254427313805,0.005329754203557968
1,10,56,32,value_norm,16,0.0035494456024025567,0.9997230507433414,0.000553622841835022,-0.006355165038257837,0.9994870312511921,0.001025378704071045
1,10,57,16,uniform,16,0.031458459299756214,0.9993213675916195,0.001356467604637146,-0.002095074247336015,0.9974426664412022,0.005094926804304123
1,10,57,16,recency,16,0.02814694424159825,0.9994139671325684,0.0011714808642864227,-0.015596997418469982,0.9963387586176395,0.007284518331289291
1,10,57,16,value_norm,16,0.0029045660921838135,0.9998146146535873,0.000370662659406662,0.013982546002807794,0.9991146363317966,0.0017673447728157043
1,10,57,32,uniform,16,0.03299455145315733,0.999250553548336,0.001497901976108551,0.003997387982963119,0.9985030367970467,0.002988111227750778
1,10,57,32,recency,16,0.03034662190475501,0.9993645772337914,0.001270148903131485,-0.01300518328207545,0.9971185997128487,0.005738783627748489
1,10,57,32,value_norm,16,0.0029045660921838135,0.9998146146535873,0.000370662659406662,0.013982546002807794,0.9991146363317966,0.0017673447728157043
1,10,58,16,uniform,16,0.010977110447129235,0.9997120462357998,0.0005756691098213196,-0.03233100302168168,0.997172798961401,0.005631756037473679
1,10,58,16,recency,16,0.008419754027272575,0.9997031986713409,0.0005933754146099091,-0.039896474845591,0.995969220995903,0.00802602618932724
1,10,58,16,value_norm,16,-0.0006168758336571045,0.9999445229768753,0.00011093541979789734,-0.004166951923252782,0.9987325668334961,0.0025318339467048645
1,10,58,32,uniform,16,0.015965233335009543,0.9996015317738056,0.0007964558899402618,-0.033539157069753855,0.9978951960802078,0.00419970229268074
1,10,58,32,recency,16,0.010860492495339713,0.999665405601263,0.0006688609719276428,-0.04148349353636149,0.9964958243072033,0.006983313709497452
1,10,58,32,value_norm,16,-0.0006168758336571045,0.9999445229768753,0.00011093541979789734,-0.004166951923252782,0.9987325668334961,0.0025318339467048645
1,11,56,16,uniform,16,0.019030893985927833,0.9993577413260937,0.001283310353755951,0.015481536684092134,0.9991597980260849,0.0016770176589488983
1,11,56,16,recency,16,0.018742534884950146,0.9994808994233608,0.0010376684367656708,0.006538825953612104,0.9989826753735542,0.002032686024904251
1,11,56,16,value_norm,16,-0.004408661421621218,0.9995669759809971,0.0008656159043312073,-0.012761158692228491,0.9993633665144444,0.0012722723186016083
1,11,56,32,uniform,16,0.028490995631727856,0.9991190657019615,0.0017598606646060944,0.027841363567858934,0.9989235699176788,0.002149786800146103
1,11,56,32,recency,16,0.02327932063053595,0.9993469156324863,0.0013052895665168762,0.012950808966706973,0.9990561902523041,0.0018858611583709717
1,11,56,32,value_norm,16,-0.004408661421621218,0.9995669759809971,0.0008656159043312073,-0.012761158692228491,0.9993633665144444,0.0012722723186016083
1,11,57,16,uniform,16,0.03442389155077308,0.9989616833627224,0.0020735524594783783,0.019088953355094418,0.9974954053759575,0.004994906485080719
1,11,57,16,recency,16,0.03144619247177616,0.9991035498678684,0.0017903335392475128,0.010302702256012708,0.9969957135617733,0.00598597526550293
1,11,57,16,value_norm,16,0.0018876704525609966,0.9999180883169174,0.00016378611326217651,0.003814032068476081,0.9977741725742817,0.004432693123817444
1,11,57,32,uniform,16,0.03950482308391656,0.9987976066768169,0.0024010762572288513,0.026022434001788497,0.9975432120263577,0.004903413355350494
1,11,57,32,recency,16,0.035245922685135156,0.9989481419324875,0.0021005049347877502,0.014621736778281047,0.9969045706093311,0.006168041378259659
1,11,57,32,value_norm,16,0.0018876704525609966,0.9999180883169174,0.00016378611326217651,0.003814032068476081,0.9977741725742817,0.004432693123817444
1,11,58,16,uniform,16,0.011566855711862445,0.9996480233967304,0.0007036887109279633,-0.003483841964680323,0.9986675754189491,0.0026595108211040497
1,11,58,16,recency,16,0.005903618119191378,0.9997635371983051,0.0004728250205516815,-0.017989488536841236,0.9983056113123894,0.003376200795173645
1,11,58,16,value_norm,16,0.0009411796627318836,0.9999692365527153,6.148964166641235e-05,-0.01920965692261234,0.9979147687554359,0.004156883805990219
1,11,58,32,uniform,16,0.015482751943636686,0.9995037280023098,0.0009914226830005646,-0.004143829799431842,0.9988098219037056,0.0023770034313201904
1,11,58,32,recency,16,0.008466342376777902,0.9997393377125263,0.0005212053656578064,-0.017198309322111527,0.998458806425333,0.0030709803104400635
1,11,58,32,value_norm,16,0.0009411796627318836,0.9999692365527153,6.148964166641235e-05,-0.01920965692261234,0.9979147687554359,0.004156883805990219
1,12,56,16,uniform,16,0.024550058064050972,0.9991077482700348,0.0017825737595558167,-0.0013163718358555343,0.9985469505190849,0.002901792526245117
