Question,Real Answer,Pred Answer
"Which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,X-Paroni
"Which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,Vasantha Raagam
Who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,Lee Kun-hee
Who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon","Louis I, Duke of Bourbon"
What is the date of death of Duleep Singh's father?,27 June 1839,27 June 1839
What is the place of birth of the director of film Gunsmoke (Film)?,Gura Humorului,"Marshall, Indiana"
"Who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",Françoise Hardy,Jacques Lanzmann
"Who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,Charles Wheatstone
Where was the place of death of Thomas E. Noell's father?,Washington,"St. Mary's Cemetery, Perryville, Missouri"
"Which film has the director died first, Our Agent Tiger or London Melody?",London Melody,London Melody
Who is the paternal grandfather of Diego Fernández De Oviedo?,Flaín Muñoz,Fernando Flaínez
Who is the child of the director of film The Trouble With Cali?,Mira Sorvino,Mira Sorvino
Are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,yes,no
"Which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Norway,Denmark
What is the cause of death of Heonjong Of Goryeo's father?,illness,"Answer: His father, Seonjong of Goryeo, died of illness."
Where did Mary Of Woodstock's mother die?,Harby,"Harby, Nottinghamshire"
Which award the director of film Tiramisu (2002 Film) earned?,Hong Kong Film Award for Best Director,Hong Kong Film Award for Best Director
What is the date of death of the director of film Nallavan Vazhvan?,3 September 1992,3 September 1992
"Who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",Nathaniel Mclenaghan,Frederick Cleveland Morgan
Where did the director of film Balls Out (2014 Film) graduate from?,Tisch,Tisch School of the Arts
"Which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",Cuchillos De Fuego,Cuchillos De Fuego
"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment of Danger
"Which magazine was established first, Rock Street Journal or De As?",De As,Rock Street Journal
"Which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,The Piper's Price
Are H. H. Hunnewell and Bob Flanigan (Singer) of the same nationality?,yes,yes
"When was Antoine Philippe, Duke Of Montpensier's mother born?",13 March 1753,15 October 1605
"Which film has the director who died later, True To The Navy or No Trees In The Street?",No Trees In The Street,True to the Navy
What is the place of birth of the director of film Ninamaninja Kalpadukal?,Methala,"Marshall, Indiana"
"Which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,Alkohol
"Which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",Do Musafir,Do Musafir
Are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,no,no
Where was the composer of film Consenting Adults (1992 Film) born?,New York,United States
"Which film has the director who died earlier, Tiger In The Smoke or Contragolpe?",Contragolpe,Tiger In The Smoke
Where was the place of death of the director of film Jail Yatra?,Mumbai,Mumbai
"Which film came out first, F The Prom or The Comedians Of Comedy?",The Comedians Of Comedy,The Comedians of Comedy
"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Tombstone Rashomon,Tombstone Rashomon
