dataset,flip,main,sub,gt,old_pred,new_pred,old_reason,new_reason,old_file,new_file
2wikimqa,old_correct_new_wrong,Where was the father of Muhammad Al-Nasir born?,Where was the father of Muhammad Al-Nasir born?,Morocco,"Answer: The father of Muhammad Al-Nasir was Abu Yusuf Yaqub al-Mansur, who was born in the Almohad Caliphate, likely in ",1184,预测答案指出其父亲出生在马格里布地区（北非），而摩洛哥正位于该地区且是阿尔摩哈德哈里发国的核心地带。两者在地理和历史上语义等价，因此预测答案正确包含了标准答案的关键信息。,预测答案“1184”是一个年份，而问题询问的是地点，标准答案为“Morocco”（摩洛哥）。预测答案完全没有包含标准答案的关键信息，且在语义上完全不同，因此是错误的。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,Where was the husband of Maude Smith born?,Where was the husband of Maude Smith born?,"Toronto, Ontario","Answer: Toronto, Ontario","1896 in Paris, France.","预测答案明确指出了“Toronto, Ontario”，这与标准答案完全一致。虽然预测答案多出了“Answer: ”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义，包含了标准答案的所有关键信息，因此判定为正确。","预测答案提供的是出生年份和地点（1896年，法国巴黎），而问题询问的是丈夫的出生地，标准答案为“Toronto, Ontario”。预测答案不仅未包含标准答案的关键信息，且语义上完全不一致。",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,Where was the place of death of Randi Monsen's father?,Where was the place of death of Randi Monsen's father?,Kristiania,Answer: Kristiania,31 January 1954,预测答案明确指出了“Kristiania”，这与标准答案完全一致。虽然预测答案多出了“Answer:”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义的表达，因此预测答案正确回答了问题。,预测答案“31 January 1954”是一个日期，而问题询问的是Randi Monsen父亲去世的地点。标准答案“Kristiania”是一个地名。预测答案完全没有包含标准答案的关键信息，两者在语义上完全无关，因此预测答案是错误的。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?","Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",Palencia,"Sancha of Castile, Queen of Navarre's mother was Berengaria of Barcelona. Berengaria of Barcelona died in Palencia.",1179,"预测答案明确指出了Sancha of Castile, Queen of Navarre的母亲是Berengaria of Barcelona，并准确回答了她去世的地点是Palencia。这与标准答案完全一致，包含了关键信息，语义上完全等价",预测答案“1179”是一个年份，而问题询问的是死亡地点。标准答案“Palencia”是一个地名，两者在语义上完全不同，预测答案没有包含标准答案的关键信息。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,Where was the place of death of the composer of film Miracle Of Marcelino?,Where was the place of death of the composer of film Miracle Of Marcelino?,Madrid,The composer of the film *Miracle of Marcelino* was Pablo Sorozábal. According to the provided document on Pablo Sorozáb,Seville,预测答案明确指出了电影《Marcelino的奇迹》的作曲家是Pablo Sorozábal，并准确提取了他去世的地点为马德里（Madrid）。这与标准答案完全一致，包含了关键信息，语义上完全等价，因此回答正确。,预测答案给出的地点是“Seville”（塞维利亚），而标准答案为“Madrid”（马德里）。这两个是西班牙完全不同的两个城市，在语义上不等价，预测答案没有包含标准答案的关键信息，因此回答错误。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_wrong_new_correct,Where was the wife of Lou Breslow born?,Where was the wife of Lou Breslow born?,"Dayton, Ohio",Answer: Leeds,"1911 in Dayton, Ohio","预测答案给出的地点是“Leeds”，而标准答案是“Dayton, Ohio”。两者在地理位置和名称上完全不同，预测答案没有包含标准答案的关键信息，且在语义上不等价，因此回答错误。","预测答案中明确包含了“Dayton, Ohio”这一关键信息，虽然多出了年份“1911”，但并未改变问题所问的出生地语义，符合允许措辞细微差异的评判标准。",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film came out earlier, Above Rubies or The Magic Aster?","Which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,Answer: Above Rubies,1932,预测答案明确指出了“Above Rubies”，这与标准答案完全一致。虽然预测答案多包含了“Answer:”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义的表达，因此正确回答了问题。,预测答案“1932”仅仅提供了一个年份，并没有指出哪一部电影上映得更早。标准答案是具体的电影名称“Above Rubies”，预测答案在语义上与标准答案不一致，且未包含标准答案的关键信息，因此未能正确回答该问题。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film came out earlier, Alkohol or Night Of Dark Shadows?","Which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,Answer: Alkohol,1971,预测答案“Answer: Alkohol”明确指出了电影“Alkohol”，包含了标准答案的关键信息。虽然多出了“Answer: ”这样的前缀，但这属于措辞上的细微差异，两者在语义上完全等价，正确回答了哪部电影上映更早的问题。,预测答案“1971”仅仅提供了一个年份，并没有明确指出哪一部电影上映得更早。标准答案是“Alkohol”，预测答案既没有包含标准答案的关键信息，在语义上也不等价，因此未能正确回答问题。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film came out earlier, Indradhanura Chhai or The Death Of Black King?","Which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,Answer: The Death of Black King,1932,预测答案明确指出了“The Death of Black King”这部电影，这与标准答案完全一致。虽然预测答案多包含了“Answer:”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义的表达，因此判定为正确回答了问题。,预测答案“1932”仅仅提供了一个年份，并没有回答问题所问的“哪一部电影上映得更早”。标准答案是具体的电影名称“The Death Of Black King”，两者在语义上完全不一致，因此预测答案是错误的。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?","Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,Answer: The Drover's Sweetheart,1911,预测答案明确指出了“The Drover's Sweetheart”，这与标准答案完全一致。尽管预测答案中包含了“Answer:”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义，预测答案已经准确回答了哪部电影上映更早的问题。,预测答案“1911”仅仅提供了一个年份，而问题询问的是哪一部电影上映得更早。标准答案明确指出了具体的电影名称“The Drover'S Sweetheart”，预测答案在语义上并不等价，也没有包含标准答案的关键信息，因此未能正确回答问题。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film came out earlier, X-Paroni or Mi Novia Está De Madre?","Which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,Answer: X-Paroni,1964,预测答案明确指出了“X-Paroni”，这与标准答案完全一致。它准确地回答了关于哪部电影上映更早的问题，包含了标准答案的关键信息，且在语义上完全等价，因此判断为正确。,预测答案“1964”仅仅提供了一个年份，并没有回答问题所问的“哪部电影”上映更早。标准答案是具体的电影名称“X-Paroni”，预测答案完全缺失了这一关键信息，两者在语义上并不等价。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film came out first, The Pyrammmid or Revolt Of The Praetorians?","Which film came out first, The Pyrammmid or Revolt Of The Praetorians?",Revolt Of The Praetorians,Answer: Revolt of the Praetorians,1964,预测答案明确指出了“Revolt of the Praetorians”，这与标准答案完全一致。两者在语义上完全等价，仅仅是大小写和前缀词“Answer:”的细微措辞差异，准确回答了哪部电影先上映的问题。,预测答案“1964”仅仅提供了一个年份，而问题询问的是哪部电影先上映。预测答案没有包含标准答案“Revolt Of The Praetorians”的关键信息，也没有指明具体的电影名称，因此未能正确回答问题。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?","Which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato,Answer: Una prostituta al servizio del pubblico e in regola con le leggi dello stato came out first.,1970,预测答案明确指出了“Una prostituta al servizio del pubblico e in regola con le leggi dello stato”这部电影先上映，这与标准答案完全一致。虽然预测答案在大小写上与标准,预测答案“1970”仅仅提供了一个年份，而问题询问的是哪一部电影先上映。标准答案明确指出了电影名称“Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_wrong_new_correct,"Which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?","Which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",The Wind'S Fierce,Answer: Special Delivery (1927 Film),"1. Identify the directors of the two films: - ""The Wind's Fierce"" is directed by Mario Camus. - ""Special Delivery (1927 ",预测答案给出的是“Special Delivery (1927 Film)”，而标准答案是“The Wind'S Fierce”。两者不仅文本不一致，且在语义上完全相反，预测答案未能包含标准答案的关键信息，因此判断为错误。,预测答案通过推理两位导演的出生日期，得出了《The Wind's Fierce》的导演出生更晚的结论，这与标准答案完全一致。预测答案不仅包含了标准答案的关键信息，而且在语义上与标准答案等价，正确地回答了问题。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_correct_new_wrong,"Which film has the director who died earlier, Il Gaucho or Bomgay?","Which film has the director who died earlier, Il Gaucho or Bomgay?",Bomgay,Answer: Bomgay,"1. Determine the directors of the films ""Il Gaucho"" and ""Bomgay."" - ""Il Gaucho"" is not mentioned in the provided documen",预测答案“Answer: Bomgay”明确指出了电影名称“Bomgay”，这与标准答案完全一致。虽然预测答案中包含了“Answer: ”这样的前缀，但这属于措辞上的细微差异，不影响核心语义，因此预测答案正确地回答了问题。,预测答案未能给出明确的结论，它表示由于缺乏《Il Gaucho》导演的信息，无法判断哪位导演去世得更早。这与标准答案“Bomgay”直接矛盾，未能包含标准答案的关键信息，因此回答错误。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,old_wrong_new_correct,"Which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?","Which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,The Year of the Rabbit,"1. Identify the directors of the two films:  - ""The Year of the Rabbit"" was directed by Fernando Ayala. - ""Monster on th",预测答案与标准答案完全不同。标准答案明确指出《Monster On The Campus》的导演去世时间更早，而预测答案给出的是《The Year of the Rabbit》，未包含标准答案的关键信息，语义上也不等价，因此回答错误。,预测答案不仅给出了正确的最终结论“Monster On The Campus”，还详细列出了两部电影的导演及其去世日期，通过逻辑推理得出了与标准答案完全一致的结果，语义上完全等价。,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
