dataset,main_question,sub_question,ground_truth,old_correct,new_correct,old_f1,new_f1,old_predicted,new_predicted,old_file,new_file
2wikimqa,"Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?","Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,True,True,1,1,<think> </think> no,no,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,"Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?","Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",yes,False,True,1,0,</think> Answer: yes,"The Hatton Garden Job is a 2017 British film, and Carry On Cleo is a 1964 British film. Therefore, they are from the same country.",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,Do Nick Varner and Carl Duser share the same nationality?,Do Nick Varner and Carl Duser share the same nationality?,yes,True,True,1,1,<think> </think> yes,yes,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_50_75/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,False,False,0,0,Answer: yes,"1. The film ""Wild Child"" is directed by Nick Moore. 2. The document about ""Wild Child"" does not mention the country of origin for Nick Moore. 3. The document titled ""William Worthington (actor)"" provides information about William Worthington, an American silent film actor and director. 4. There is no direct information about the director of ""Beauty And The Bad Man"" in the provided documents. 5. Based on the available information, it cannot be determined if both ""Beauty And The Bad Man"" and ""Wild",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,no,True,True,0,1,Answer: no,no,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,"Do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?","Do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",yes,False,False,0,1,Answer: no,no,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,Do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,Do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,yes,False,False,0,1,Answer: no,no,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,Does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,Does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,False,False,1,1,</think> Answer: no,no,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,Were Jake Eisenhart and Michael T. Ullman of the same nationality?,Were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,True,True,1,1,<think> </think> yes,yes,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the cause of death of Constantia Eriksdotter's father?,What is the cause of death of Constantia Eriksdotter's father?,poisoning,False,False,0,0,"The cause of death of Constantia Eriksdotter's father, Eric XIV of Sweden, is not explicitly mentioned in the provided text. However, it does state that he was deposed and imprisoned, and Constantia visited him in prison in 1573, possibly being the last family member to see him alive. This implies that he may have died while in prison, but the specific cause of death is not detailed.","The cause of death of Constantia Eriksdotter's father, Eric XIV of Sweden, is not explicitly mentioned in the provided text. However, it does mention that Constantia visited her deposed father in prison in 1573 and was possibly the last family member to see him alive, indicating that he died while in prison.",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the cause of death of Heonjong Of Goryeo's father?,What is the cause of death of Heonjong Of Goryeo's father?,illness,True,False,0,0,"Answer: Heonjong of Goryeo's father was King Seonjong of Goryeo, and the cause of his death was illness.","1092, he calmly accepted his nearing death on lieu of Buddhist virtues.",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,"What is the cause of death of director of film I Will, I Will... For Now?","What is the cause of death of director of film I Will, I Will... For Now?",Parkinson,True,True,0.044444444444444446,0.2857142857142857,"The director of the film ""I Will, I Will... For Now"" is Norman Panama. According to the provided information, Norman Panama died in 2003 in Los Angeles, California, aged 88, from complications of Parkinson's disease. Answer: complications of Parkinson's disease.",complications of Parkinson's disease,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?","What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,False,False,0.3333333333333333,0.3333333333333333,"1532 </think> The father of William Paulet, 3rd Marquess of Winchester, is William Paulet, 2nd Marquess of Winchester. According to the document titled ""William Paulet, 3rd Marquess of Winchester,"" William Paulet, 3rd Marquess of Winchester, was the son of William Paulet, 3rd Marquess of Winchester and Anne or Agnes Howard. The document titled ""William Paulet, 1st Marquess of Winchester Part 1"" provides information about the family origins and early career of William Paulet, 1st Marquess of Winc",1532,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the date of death of Duleep Singh's father?,What is the date of death of Duleep Singh's father?,27 June 1839,False,False,0.625,0.625,"23 October 1893 </think> Duleep Singh's father is Sir Duleep Singh, the last Maharaja of Lahore and the Sikh Empire. According to the document titled ""Victor Duleep Singh,"" Sir Duleep Singh died on 23 October 1893. This date is explicitly mentioned in the biography section of the document, confirming the date of death of Duleep Singh's father.",23 October 1893,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?","What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,False,False,0.2,0.2,"1373 </think> Humphrey de Bohun, 7th Earl of Hereford's father was William de Bohun, 1st Earl of Northampton. William de Bohun died on 16 September 1360.",1373,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_0_25/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,"What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","November 3, 1867",True,True,0.7142857142857143,0.7142857142857143,3 November 1867 </think> Answer: 3 November 1867,3 November 1867,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the date of death of the director of film Nallavan Vazhvan?,What is the date of death of the director of film Nallavan Vazhvan?,3 September 1992,True,True,0.19999999999999998,1.0,"The director of the film *Nallavan Vazhvan* is P. Neelakantan. According to the provided document, Palaniyaandi Neelakantan (P. Neelakantan) was born on 2 October 1916 and died on 3 September 1992. Answer: 3 September 1992",3 September 1992,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_100_125/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,What is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,Abu Dhabi,True,True,0,1.0,</think> Abu Dhabi,Abu Dhabi,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of Aleksey Greig's father?,What is the place of birth of Aleksey Greig's father?,Inverkeithing,True,True,0.6153846153846153,0.4,"Answer: Inverkeithing, Fife, Scotland","30 November 1735, Inverkeithing, Fife, Scotland",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of Bernard (Son Of Charles The Fat)'s father?,What is the place of birth of Bernard (Son Of Charles The Fat)'s father?,East Francia,False,False,0,0,Answer: Melun,839,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of Carrie Watson Fleming's husband?,What is the place of birth of Carrie Watson Fleming's husband?,"Fairmont, West Virginia",True,True,0,0.03137254901960784,"<think> </think> Aretas B. Fleming, the husband of Carrie Watson Fleming, was born on October 15, 1839, in Fairmont, West Virginia.","1839 – October 13, 1923) was the 8th governor of West Virginia. In 1865, he married Carrie Watson. When he ran as the Democratic nominee in the election of 1888, the election was disputed by the Legislature. In 1890, the Legislature agreed that Fleming had defeated Nathan Goff, Jr. Both Fleming and Goff were sworn in as governor on March 4, 1889.The Supreme Court of Appeals of West Virginia ruled that outgoing governor Emmanuel Willis Wilson would remain governor; State Senate President Robert S",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_125_150/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of Frank Wartenberg's wife?,What is the place of birth of Frank Wartenberg's wife?,Prenzlau,True,False,1.0,0,Prenzlau </think> Prenzlau,22 December 1871 in Ottensen,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_175_200/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of Ratna Malla's father?,What is the place of birth of Ratna Malla's father?,Nepal,False,False,0,0,Answer: Kathmandu Valley,Kathmandu Valley,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of Sextus Barbour's father?,What is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia",True,True,0.14035087719298248,0.8333333333333333,"Sextus Barbour's father is Philip Pendleton Barbour. According to the provided documents, Philip Pendleton Barbour was born near Gordonsville, Orange County, Virginia. Therefore, the place of birth of Sextus Barbour's father is Gordonsville, Orange County, Virginia.","Gordonsville, Orange County, Virginia",MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_150_175/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,What is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,Buenos Aires,True,True,0.75,1.0,Answer: Buenos Aires,Buenos Aires,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_25_50/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
2wikimqa,What is the place of birth of the director of film Bhagirathi (Film)?,What is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,False,False,0,0,"<think> </think> The director of the film *Bhagirathi* is Baraguru Ramachandrappa. The provided documents do not explicitly mention his place of birth. Therefore, based on the given information, the place of birth of the director of *Bhagirathi* cannot be determined.",Fredrikstad,MOTIVATION_EXPERIMENTS/cross_dataset_offline_generalization/results/full_rate1/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,/mnt/qjhs-sh-lab-04/lpl/hming/qwen3_attention_alpha_rate1_same_pipeline/full_rate1_draft_layout/2wikimqa/seg_75_100/Qwen3-32B/2wikimqa/DraftModel_global_topk10_bge/rate_1.0_draft_Qwen2.5-3B-Instruct_revert_rope.csv
