source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,delta_cosine,explained_variance
raw,k,6,8,0.1484379388366097,0.6295437081720748,0.09344817044861892,0.7769650696787812,0.6036747195009534
raw,k,6,16,0.1484379388366097,0.5491884257627863,0.08152039795315044,0.8356985539105549,0.6983920730081926
raw,k,6,32,0.1484379388366097,0.4650027576124197,0.06902405089332721,0.8853092315190468,0.7837724354128452
raw,k,6,64,0.1484379388366097,0.3766986051646508,0.05591636451326662,0.9263358790778896,0.8580981608670065
raw,k,6,128,0.1484379388366097,0.2856042733113332,0.04239450965326204,0.9583476399857753,0.9184301990663053
raw,k,7,1,0.09628621930109832,0.8230939690211091,0.07925260640657794,0.5679052017379992,0.3225163181610775
raw,k,7,2,0.09628621930109832,0.7792251991380276,0.07502864840914615,0.6267440378881168,0.39280808902830117
raw,k,7,4,0.09628621930109832,0.719208950528714,0.06924991073392053,0.6947938438698099,0.4827384854793858
raw,k,7,8,0.09628621930109832,0.6542440670572888,0.06299468771712058,0.7562834790740426,0.5719647007203379
raw,k,7,16,0.09628621930109832,0.5915017855964951,0.05695347064493537,0.8063036882193694,0.6501256376361579
raw,k,7,32,0.09628621930109832,0.5230030623080059,0.05035798755253464,0.85233080245668,0.7264677968164481
raw,k,7,64,0.09628621930109832,0.44396446539492723,0.042747659876910836,0.8960443925758347,0.8028955534665965
raw,k,7,128,0.09628621930109832,0.3529205123241721,0.03398138184550121,0.9356533075775685,0.8754471119808439
raw,k,8,1,0.06739800090685803,0.878786730968552,0.05922846889075327,0.4772147121303008,0.22773388147360585
raw,k,8,2,0.06739800090685803,0.8384233774326384,0.05650805955253593,0.5450194860502214,0.29704624017444753
raw,k,8,4,0.06739800090685803,0.7850727786282524,0.052912335845936506,0.6194035294191622,0.383660732256915
raw,k,8,8,0.06739800090685803,0.720876513629115,0.048585635919307736,0.6930635267404658,0.48033705209793237
raw,k,8,16,0.06739800090685803,0.6566324237567919,0.04425571269183264,0.7542107530864837,0.5688338600712809
raw,k,8,32,0.06739800090685803,0.5883460828117075,0.03965334982288984,0.8086092299993362,0.6538488868401193
raw,k,8,64,0.06739800090685803,0.5033948172082805,0.03392780434671132,0.864056513202604,0.7465936580078418
raw,k,8,128,0.06739800090685803,0.4028065249793123,0.02714835453584402,0.9152851487018079,0.8377469034340906
raw,k,9,1,0.10080986444176535,0.8932934844103213,0.09005279507011672,0.4494738598740389,0.20202675071006715
raw,k,9,2,0.10080986444176535,0.8579492482040865,0.08648974740936846,0.513734452325365,0.2639230875060427
raw,k,9,4,0.10080986444176535,0.8070066499426785,0.0813542309843246,0.5905423498347052,0.34874026694829535
raw,k,9,8,0.10080986444176535,0.7549623579137807,0.07610765295992378,0.6557681283298727,0.4300318381332644
raw,k,9,16,0.10080986444176535,0.6913224925473953,0.06969212675924626,0.7225463385126635,0.5220732112980565
raw,k,9,32,0.10080986444176535,0.6198687636184086,0.062488886032056455,0.7847054962788177,0.6157627158901855
raw,k,9,64,0.10080986444176535,0.5297593177685841,0.05340496501101306,0.848148020829716,0.7193550652373644
raw,k,9,128,0.10080986444176535,0.42478953793070023,0.04282297573507403,0.9052921343216356,0.8195538484646222
raw,k,10,1,0.06646613589432837,0.8778383759842191,0.05834652479142363,0.4789569768250472,0.2293997856493888
raw,k,10,2,0.06646613589432837,0.8399657874268939,0.05582928017370247,0.5426393608579443,0.29445747595231825
raw,k,10,4,0.06646613589432837,0.7915424238057527,0.05261076630679922,0.6111142211695898,0.37346059131571435
raw,k,10,8,0.06646613589432837,0.7368753284290681,0.04897725571654429,0.6760286608957885,0.45701475035255296
raw,k,10,16,0.06646613589432837,0.6752789782200683,0.04488318433295827,0.7375624052065429,0.5439983015740606
raw,k,10,32,0.06646613589432837,0.6010605229075973,0.03995017039629243,0.7992035083769626,0.6387262478020458
raw,k,10,64,0.06646613589432837,0.508111123700043,0.03377218299726695,0.8612915220599119,0.7418230859722796
raw,k,10,128,0.06646613589432837,0.4049411406836614,0.02691487288588458,0.9143427544317367,0.8360226725818152
raw,k,11,1,0.11465492447211902,0.892930748182515,0.10237890749169899,0.45019404588489825,0.20267467895021385
raw,k,11,2,0.11465492447211902,0.8466691545937304,0.09707478797281702,0.5321196694913071,0.2831513426595379
raw,k,11,4,0.11465492447211902,0.8014069491007002,0.09188525322057212,0.5981194712873906,0.35774690193310765
raw,k,11,8,0.11465492447211902,0.7472079155592977,0.08567106712342075,0.6645903482037108,0.4416803309255295
raw,k,11,16,0.11465492447211902,0.6894733086638221,0.07905151013039252,0.72431109106527,0.5246265566401619
raw,k,11,32,0.11465492447211902,0.6177527007406984,0.07082838924587231,0.7863724313120172,0.6183816007275731
raw,k,11,64,0.11465492447211902,0.5248465916094318,0.06017624632042849,0.8511968369748341,0.7245360552759623
raw,k,11,128,0.11465492447211902,0.4208704438500396,0.04825486895217349,0.9071207579443162,0.8228680694934707
raw,k,12,1,0.16730296924088892,0.907216864721231,0.15178007521327178,0.4206632386664893,0.17695756036537974
raw,k,12,2,0.16730296924088892,0.8647333358679098,0.14467245469228018,0.5022312792317466,0.25223625783875664
raw,k,12,4,0.16730296924088892,0.8086419641644081,0.13528820165748998,0.5883010911024457,0.34609817379232805
raw,k,12,8,0.16730296924088892,0.7445129777109222,0.12455923180941304,0.6676079882835555,0.44570042602001597
raw,k,12,16,0.16730296924088892,0.6822086807629895,0.11413553793355784,0.7311575178384078,0.5345913158916216
raw,k,12,32,0.16730296924088892,0.6052456846163999,0.10125940015655831,0.7960387310007129,0.6336776612532253
raw,k,12,64,0.16730296924088892,0.5099602083826734,0.08531785705712372,0.8601979922473083,0.7399405858663003
raw,k,12,128,0.16730296924088892,0.40358141144291126,0.06752036846482791,0.9149437383455595,0.8371220443377476
raw,k,13,1,0.16261638298137743,0.8988302253737521,0.14616452016461587,0.4382969609232648,0.1921042259545699
raw,k,13,2,0.16261638298137743,0.8595487576065244,0.13977670995810973,0.5110537479532662,0.2611759332970805
raw,k,13,4,0.16261638298137743,0.8058432771937435,0.13104331898710608,0.5921288817492756,0.35061661260164756
raw,k,13,8,0.16261638298137743,0.7446156042573682,0.12108669627582597,0.667493521988367,0.4455476018964345
raw,k,13,16,0.16261638298137743,0.6790076383839757,0.11041776617072924,0.7341312055867235,0.538948627016216
raw,k,13,32,0.16261638298137743,0.6012475196875096,0.09777269692810733,0.799062838623858,0.6385014200696177
raw,k,13,64,0.16261638298137743,0.509886276726185,0.0829158620530539,0.860241817634035,0.7400159848063083
raw,k,13,128,0.16261638298137743,0.4071126563436876,0.06620318764055101,0.9133779530100267,0.8342592850447865
raw,k,14,1,0.14750332165028568,0.9135882157970661,0.13475729645062523,0.4066405931000169,0.1653565719567335
raw,k,14,2,0.14750332165028568,0.8760739290963663,0.1292238145529309,0.4821768044583387,0.23249447075765503
raw,k,14,4,0.14750332165028568,0.8285672733652181,0.12221642503208995,0.5598895190197152,0.31347627350812796
raw,k,14,8,0.14750332165028568,0.772058886648655,0.11388125029029801,0.6355510015308287,0.4039250755468394
raw,k,14,16,0.14750332165028568,0.7069880641655719,0.10428308783152716,0.707225478279323,0.5001678771274173
raw,k,14,32,0.14750332165028568,0.6268093134405817,0.09245645577382086,0.7791726924014641,0.6071100845841466
raw,k,14,64,0.14750332165028568,0.5306287092083853,0.07826949717124038,0.8476043729027375,0.7184331729638428
raw,k,14,128,0.14750332165028568,0.4210421067254866,0.06210510929664336,0.9070410929854082,0.822723544364164
raw,k,15,1,0.1472784454423866,0.9104416403545555,0.13408842945743538,0.4136375460575432,0.17109601950850617
raw,k,15,2,0.1472784454423866,0.8652185318294934,0.1274280403357919,0.5013949463036259,0.2513968921788159
raw,k,15,4,0.1472784454423866,0.8140900232110261,0.11989791306867637,0.5807386969268288,0.337257434108271
raw,k,15,8,0.1472784454423866,0.7582549613620183,0.11167461195837498,0.6519581378968163,0.4250494135698842
raw,k,15,16,0.1472784454423866,0.6923347909088596,0.10196599173073663,0.7215764251257005,0.5206725372971857
raw,k,15,32,0.1472784454423866,0.6103600421687776,0.0898928781707671,0.7921241183828,0.6274606189237281
raw,k,15,64,0.1472784454423866,0.5114114814710223,0.07531988797244007,0.859335962601132,0.7384582966196142
raw,k,15,128,0.1472784454423866,0.4033203854615518,0.0594003993860015,0.9150588323551362,0.8373326666711453
raw,k,16,1,0.1392139028864591,0.9125654623014468,0.12704179964637027,0.408930650617616,0.16722427701454676
raw,k,16,2,0.1392139028864591,0.8708961145758735,0.12124084711876021,0.4914671480543202,0.2415399576166471
raw,k,16,4,0.1392139028864591,0.8086791131479415,0.1125793755240854,0.5882500250388936,0.3460380919582589
raw,k,16,8,0.1392139028864591,0.7485059847110852,0.10420243946550246,0.6631280350367406,0.43973879085168865
raw,k,16,16,0.1392139028864591,0.6857533744058314,0.09546640366859503,0.7278339848420212,0.5297423094910156
raw,k,16,32,0.1392139028864591,0.606651028182468,0.08445425732336466,0.7949682572311642,0.6319745300051545
raw,k,16,64,0.1392139028864591,0.508914453143715,0.07084796725746458,0.8608170998426051,0.7410060793814336
raw,k,16,128,0.1392139028864591,0.3977500666080986,0.055372339145862474,0.9174938062533464,0.8417948845132531
raw,k,17,1,0.1808112873232197,0.8918356787420707,0.1612539571541312,0.4523595053966149,0.20462912212267007
raw,k,17,2,0.1808112873232197,0.8512140164035205,0.1539091020934888,0.5248187289704772,0.2754346982781872
raw,k,17,4,0.1808112873232197,0.7923838712897792,0.1432719478220614,0.6100227868857218,0.37212780051982264
raw,k,17,8,0.1808112873232197,0.7353902767120734,0.13296686261728874,0.6776438156711386,0.45920114091734016
raw,k,17,16,0.1808112873232197,0.6698848210115931,0.12112273684539075,0.7424650339095208,0.5512543265782659
raw,k,17,32,0.1808112873232197,0.5871939567777936,0.10617129523340788,0.8094462657419816,0.6552032571236387
raw,k,17,64,0.1808112873232197,0.49005073196073023,0.08860670369950573,0.8716939142295033,0.7598502801047525
raw,k,17,128,0.1808112873232197,0.3828178604183085,0.069217790152555,0.9238238391299223,0.8534504857447485
raw,k,18,1,0.24995218502768163,0.8518155500306857,0.21291315797072632,0.5238418356010911,0.27441026872592056
raw,k,18,2,0.24995218502768163,0.7906696843266726,0.19762961523259912,0.6122429667107331,0.3748414502867598
raw,k,18,4,0.24995218502768163,0.7365694061517711,0.18410713249217708,0.6763619666430299,0.45746550992122714
raw,k,18,8,0.24995218502768163,0.6829887228754473,0.1707145236319838,0.7304289181193234,0.5335264044249654
raw,k,18,16,0.24995218502768163,0.6183229185352126,0.15455116454056958,0.7859241492752954,0.6176767684140968
raw,k,18,32,0.24995218502768163,0.5405910274036335,0.1351219085058975,0.8412855288727389,0.707761341090684
raw,k,18,64,0.24995218502768163,0.4486539306269287,0.11214203028145873,0.8937055726205398,0.798709650533007
raw,k,18,128,0.24995218502768163,0.3471405213049836,0.08676853181182911,0.9378131255575943,0.8794934584681042
raw,k,19,1,0.23064321964581905,0.8934903818037688,0.20607749838179337,0.44908232833652606,0.2016749376241554
raw,k,19,2,0.23064321964581905,0.8398650789075599,0.19370918586732946,0.5427952185047307,0.29462664923159826
raw,k,19,4,0.23064321964581905,0.7787678855094078,0.1796175324706564,0.6273121874307926,0.3935205804992059
raw,k,19,8,0.23064321964581905,0.7213685034727463,0.1663787541920404,0.6925514292797975,0.47962748219749035
raw,k,19,16,0.23064321964581905,0.6577845893428315,0.15171355551943355,0.7532061032832134,0.5673194340230826
raw,k,19,32,0.23064321964581905,0.5791817409605898,0.13358434149522122,0.8151984488073196,0.6645485109378602
raw,k,19,64,0.23064321964581905,0.4864451574231919,0.11219527728920227,0.8737111129083377,0.7633711088195261
raw,k,19,128,0.23064321964581905,0.38224738860026186,0.08816276840797094,0.9240600272213274,0.8538869339082804
raw,k,20,1,0.25835928930424307,0.8462945844415204,0.21864806737834097,0.5327151925231289,0.2837854763449543
raw,k,20,2,0.25835928930424307,0.7954218231700781,0.20550461693130673,0.6060562046747718,0.36730412322478895
raw,k,20,4,0.25835928930424307,0.7265201003044093,0.18770321677989457,0.6871452130762982,0.4721685438536712
raw,k,20,8,0.25835928930424307,0.6638862219725314,0.1715211724877022,0.7478335939733108,0.5592550842750387
raw,k,20,16,0.25835928930424307,0.6021138663372784,0.15556171058712925,0.7984102278680892,0.6374588919643741
raw,k,20,32,0.25835928930424307,0.5297931230386221,0.13687697474653382,0.8481269048797966,0.7193192467809835
raw,k,20,64,0.25835928930424307,0.4407985669834117,0.11388440449216303,0.8976060513083514,0.8056966233453707
raw,k,20,128,0.25835928930424307,0.3429654767542987,0.08860831683013153,0.9393480088629009,0.8823746817546966
raw,k,21,1,0.29536312239679213,0.8053868441350052,0.23788157302101368,0.5927495519140077,0.35135203129425685
raw,k,21,2,0.29536312239679213,0.7481924117512668,0.22098844688844052,0.6634818121077795,0.4402081149978228
raw,k,21,4,0.29536312239679213,0.6709635047644927,0.19817787578153548,0.7414903743637866,0.5498079752741485
raw,k,21,8,0.29536312239679213,0.6094178727513184,0.17999956574024037,0.7928492015328373,0.6286098563712578
raw,k,21,16,0.29536312239679213,0.5462080965360664,0.161329728871301,0.8376495181628455,0.7016567152784472
raw,k,21,32,0.29536312239679213,0.47579167460322025,0.14053131462120566,0.8795580039873796,0.7736222823782634
raw,k,21,64,0.29536312239679213,0.39753445502777124,0.11741701789730964,0.917587247658648,0.8419663570657729
raw,k,21,128,0.29536312239679213,0.31173305975263355,0.09207444988284362,0.9501697213957415,0.902822499457261
raw,k,22,1,0.27707852447781384,0.8654797149465575,0.23980584238287111,0.5009439719330152,0.2509448630160255
raw,k,22,2,0.27707852447781384,0.8115406356575297,0.22486048188177543,0.5842959837929512,0.3414017966765727
raw,k,22,4,0.27707852447781384,0.7448542827582677,0.20638312561764116,0.6672271708021689,0.44519209745666666
raw,k,22,8,0.27707852447781384,0.6836429603086615,0.18942278271196858,0.7298166227350608,0.53263230282041
raw,k,22,16,0.27707852447781384,0.6206595696915735,0.17197143777317608,0.7840801607936977,0.6147816985502708
raw,k,22,32,0.27707852447781384,0.5461223130741589,0.15131876469099867,0.8377054489273246,0.7017504191625303
raw,k,22,64,0.27707852447781384,0.45813433350898,0.12693918514129485,0.8888829689336402,0.7901129324602827
raw,k,22,128,0.27707852447781384,0.3599634085375788,0.09973813010359685,0.9329664219649109,0.8704263445140081
raw,k,23,1,0.3003560903238116,0.8503985423961705,0.2554223814111819,0.5261390682039004,0.2768223190904686
raw,k,23,2,0.3003560903238116,0.7906856962080827,0.23748726438802076,0.6122222879085174,0.3748161298119395
raw,k,23,4,0.3003560903238116,0.7173746688092573,0.21546785082088768,0.6966875803046934,0.4853735845508085
raw,k,23,8,0.3003560903238116,0.6623074319085406,0.1989280708404533,0.7492321840649359,0.5613488656387139
raw,k,23,16,0.3003560903238116,0.599990597882256,0.18021083021096057,0.8000070515019808,0.6400112824528931
raw,k,23,32,0.3003560903238116,0.5232606827950357,0.15716453290448504,0.8521726690295066,0.7261982578408731
raw,k,23,64,0.3003560903238116,0.4363249939601065,0.1310528692964183,0.8997891417691776,0.809620499645713
raw,k,23,128,0.3003560903238116,0.33872988643873675,0.10173958436656765,0.9408836612638145,0.8852620640332005
raw,k,24,1,0.347030638657892,0.8264798864671977,0.2868138428386137,0.5629662487797719,0.31693099726516794
raw,k,24,2,0.347030638657892,0.7666623980819205,0.2660553416413599,0.642050439893377,0.4122287673672788
raw,k,24,4,0.347030638657892,0.6931320367515084,0.2405380533881214,0.7208106406183983,0.5195679796287057
raw,k,24,8,0.347030638657892,0.6264507782353711,0.2173976136587543,0.7794609819922341,0.607559422448298
raw,k,24,16,0.347030638657892,0.5607630397304537,0.19460195581340023,0.8279763361789162,0.6855448132722616
raw,k,24,32,0.347030638657892,0.48445706216433004,0.16812144368521353,0.8748150404051741,0.7653013549191064
raw,k,24,64,0.347030638657892,0.4007699463194826,0.13907945042613915,0.9161787217170453,0.839383450127079
raw,k,24,128,0.347030638657892,0.310764721601435,0.10784487980968799,0.9504868688245949,0.9034252878079826
raw,k,25,1,0.13801862709653911,0.8512150757045561,0.11748353611261943,0.5248170108650125,0.27543289489328665
raw,k,25,2,0.13801862709653911,0.7868549295313673,0.10860063709806334,0.6171380071525225,0.380859319872187
raw,k,25,4,0.13801862709653911,0.7188558778400521,0.09921550133976141,0.6951591378201168,0.4832462268948082
raw,k,25,8,0.13801862709653911,0.6568756874139289,0.09066108054996583,0.7539988934239084,0.5685143312844784
raw,k,25,16,0.13801862709653911,0.5922130567942717,0.08173643304739012,0.8057814190972541,0.6492836953623847
raw,k,25,32,0.13801862709653911,0.5166196031343625,0.0713031283557636,0.856215034706407,0.7331041856572937
raw,k,25,64,0.13801862709653911,0.4316270057667459,0.059572566753716236,0.9020521758151429,0.8136981278928335
raw,k,25,128,0.13801862709653911,0.3373927364717391,0.04656648228017385,0.9413639792216991,0.8861661413761116
raw,k,26,1,0.31960349800859406,0.8470757107205307,0.2707283602243975,0.5314722385104493,0.28246274030730795
raw,k,26,2,0.31960349800859406,0.794417885065193,0.2538987349474249,0.6073715698718092,0.368900223888546
raw,k,26,4,0.31960349800859406,0.7194937639405362,0.22995272375076503,0.6944989011155309,0.48232872365067997
raw,k,26,8,0.31960349800859406,0.6569411907223107,0.20996070254078145,0.7539418226443951,0.5684282719323526
raw,k,26,16,0.31960349800859406,0.5931327595025374,0.18956730472050115,0.8051046699683868,0.6481935296049051
raw,k,26,32,0.31960349800859406,0.5193711890800591,0.1659928487948698,0.854548751068987,0.7302535679535656
raw,k,26,64,0.31960349800859406,0.43524085592920764,0.1391045000312293,0.9003140548330959,0.8105653973300108
raw,k,26,128,0.31960349800859406,0.34231526806888357,0.10940515709656479,0.9395851516743591,0.8828202572469284
raw,k,27,1,0.25834165790532393,0.8708870623495136,0.22498640753567054,0.4914831885550455,0.24155572463223443
raw,k,27,2,0.25834165790532393,0.8235348275763449,0.21275335269884801,0.567265711786637,0.3217903877687999
raw,k,27,4,0.25834165790532393,0.7626819122391575,0.1970325096622667,0.6467737631840225,0.418316300743222
raw,k,27,8,0.25834165790532393,0.701898532979998,0.18132963069136737,0.7122769471213614,0.5073384494005266
raw,k,27,16,0.25834165790532393,0.637345947883207,0.16465300883538786,0.770577797965174,0.5937901427168565
raw,k,27,32,0.25834165790532393,0.5610280432325839,0.1449369148200855,0.8277967955401965,0.6852475347066179
raw,k,27,64,0.25834165790532393,0.47123661391501215,0.12174004810449528,0.8820068331401485,0.7779360537059138
raw,k,27,128,0.25834165790532393,0.36990240163287313,0.09556119970099745,0.929070618019014,0.8631722132662326
raw,k,28,1,0.30959572640929356,0.8550190361640649,0.26471023959498774,0.5185966137539594,0.2689424477970733
raw,k,28,2,0.30959572640929356,0.8113660621783789,0.2511954654039633,0.5845383761098589,0.34168511314515093
raw,k,28,4,0.30959572640929356,0.7492983073466619,0.23197955376024393,0.6622326227296775,0.43855204660742736
raw,k,28,8,0.30959572640929356,0.6864088862602382,0.21250925775553262,0.7272158145028058,0.5288428408629793
raw,k,28,16,0.30959572640929356,0.6194715061734526,0.19178573094362927,0.7850191418297989,0.616255053039194
raw,k,28,32,0.30959572640929356,0.5448726178074349,0.16869023391062618,0.8385188312516738,0.703113830363673
raw,k,28,64,0.30959572640929356,0.45749735374872785,0.14163922556416694,0.889210982451809,0.7906961713129114
raw,k,28,128,0.30959572640929356,0.35951153235745714,0.1113032340127252,0.9331406421874427,0.8707514581019931
raw,k,29,1,0.24568900674264324,0.8949911987636813,0.21988949866765645,0.446083797212529,0.19899075413554868
raw,k,29,2,0.24568900674264324,0.8549570769577556,0.21005355504534456,0.5186987531890264,0.26904839655985047
raw,k,29,4,0.24568900674264324,0.7972125948717355,0.1958663705967619,0.6036986653769197,0.36445207857787415
raw,k,29,8,0.24568900674264324,0.7407037516273783,0.1819827690278801,0.6718317887128645,0.451357952325127
raw,k,29,16,0.24568900674264324,0.6755518294986483,0.1659756579926984,0.7373125020376565,0.5436297256610292
raw,k,29,32,0.24568900674264324,0.6005171765090175,0.14754046862839706,0.7996118562888107,0.6393791207176376
raw,k,29,64,0.24568900674264324,0.509765030963948,0.12524366412966514,0.8603136714049854,0.7401396132063252
raw,k,29,128,0.24568900674264324,0.4043094782376548,0.09933439412484574,0.9146222421345303,0.8365338458071954
raw,k,30,1,0.21352460090058367,0.8946453534240887,0.1910287920374402,0.4467770043284316,0.19960969159668737
raw,k,30,2,0.21352460090058367,0.8605773447629396,0.1837544340845907,0.5093197754660314,0.2594066336807686
raw,k,30,4,0.21352460090058367,0.8115137701378473,0.17327815389401185,0.5843332960534229,0.3414454008766571
raw,k,30,8,0.21352460090058367,0.7557465399941097,0.16137047833423926,0.6548642357671791,0.4288471672869316
raw,k,30,16,0.21352460090058367,0.6964405706097337,0.14870719489041817,0.7176144728256172,0.5149705316087885
raw,k,30,32,0.21352460090058367,0.6228865049088725,0.13300159236702647,0.7823122151688603,0.6120124020024091
raw,k,30,64,0.21352460090058367,0.5306611527332801,0.11330921085081731,0.8475840613058898,0.7183987409797864
raw,k,30,128,0.21352460090058367,0.4215469411636281,0.09001064237282552,0.9068065815793293,0.8222981763955887
raw,k,31,1,0.2097305673225535,0.915317664004391,0.19197009295199532,0.40273263334567855,0.16219357396154474
raw,k,31,2,0.2097305673225535,0.8831954015241754,0.18523307261833574,0.4690052054365181,0.21996588272655052
raw,k,31,4,0.2097305673225535,0.8340649049816727,0.17492890570563788,0.5516663251258982,0.3043357342779133
raw,k,31,8,0.2097305673225535,0.7848383751893798,0.16460459768497973,0.6197005122073841,0.38402872483009426
raw,k,31,16,0.2097305673225535,0.7290120386874329,0.15289610845888663,0.6845008746881138,0.46854144744879284
raw,k,31,32,0.2097305673225535,0.6555984702291433,0.1374990390969564,0.7551096912589634,0.5701906458332071
raw,k,31,64,0.2097305673225535,0.5606574926142404,0.11758701399962498,0.8280478101990929,0.685663175975513
raw,k,31,128,0.2097305673225535,0.4485485730641028,0.09407434670045611,0.8937584559612051,0.7988041776021573
raw,k,32,1,0.11756537882036408,0.906705426411221,0.10659716693451494,0.4217644718518215,0.1778852697164459
raw,k,32,2,0.11756537882036408,0.8610842245891788,0.10123369306006627,0.5084623468494522,0.2585339581636527
