example,target,source,kind,tokens,original_gap,internal_rank4_explained,internal_rank8_explained,internal_rank16_explained,internal_rank32_explained,internal_rank64_explained
3,5,preprocess,v,141,0.41502339868285243,0.41784475082609274,0.5454085837558122,0.6763579068911497,0.8059901753442227,0.9154283476483713
3,6,preprocess,v,200,0.9513103410759118,0.3786059042463811,0.4674246819291822,0.5737758633336782,0.697124182221856,0.8282232651829847
3,7,preprocess,v,52,0.8475061764702033,0.48029631535712336,0.6116513739557339,0.7655733826147336,0.9202400094094109,0.9999997907255621
3,8,preprocess,v,143,0.8956118442930529,0.3966455720929634,0.49062881607071446,0.6041260020465279,0.7351468913755685,0.8706781769170451
3,9,preprocess,v,68,0.9015434604968597,0.44563606831443425,0.568180809955535,0.7118060371463026,0.8676312617626745,0.994024155625153
3,10,preprocess,v,90,0.46947352097540357,0.4762133537147993,0.6256111180785523,0.7693264558643006,0.8867989421859188,0.9761244033337797
4,4,preprocess,v,126,0.9340713230756207,0.41533932368570703,0.5131420715209268,0.6333364785527715,0.7711051424852111,0.9092304437502222
4,5,preprocess,v,265,0.9667429661515792,0.3970262438283934,0.4763830634744776,0.5710045032584943,0.6825056954097176,0.8035005222713716
4,6,preprocess,v,74,0.38493676722662407,0.46298500411071686,0.6236146147218875,0.7773455466777353,0.9030159398718751,0.9909539609168324
4,7,preprocess,v,60,0.8897284728715865,0.4783751779942413,0.6071730298198471,0.7537079965969788,0.9008901977566888,0.9999999103680882
4,8,preprocess,v,45,0.8527623907673461,0.49962930548405127,0.6401294421504398,0.7958880221216805,0.9472611417932555,0.9999997608572986
4,9,preprocess,v,79,0.8854421321572706,0.46523759519114266,0.5849186658751976,0.717965504335966,0.8575811968512578,0.9778327231078829
4,10,preprocess,v,102,0.3648944278608717,0.4488963026906552,0.5832370581107666,0.7147115368497813,0.8420732224303723,0.9541788800336629
6,4,preprocess,v,244,0.9817771294975328,0.35689967021418023,0.43330138515327155,0.5295375824019631,0.6474935641506784,0.7810161700838177
6,5,preprocess,v,86,0.9094547344173326,0.4606625229248984,0.5739047009842264,0.7055525516764299,0.8449619319566439,0.9668412013145162
6,6,preprocess,v,49,1.0011872786958673,0.5110704244672215,0.6436707838946867,0.7898705965576764,0.9345219237451934,0.9999999170674762
6,7,preprocess,v,203,0.9003358379980079,0.3877257220560181,0.4668769422678113,0.5662805380255608,0.6858048644142742,0.8173968553360529
6,8,preprocess,v,140,0.9150718020465616,0.39913542853243783,0.4933329251425479,0.6071019767320682,0.7392106760177819,0.8745932942862241
6,9,preprocess,v,113,0.4354495715018155,0.4280399027772812,0.5677049496234565,0.7146432104024151,0.8496877203276479,0.953670915116614
6,10,preprocess,v,148,0.9344612962941159,0.40177487731550643,0.4928228052054015,0.6032644879523342,0.732167014728962,0.8659032908023128
7,4,preprocess,v,254,0.3474199567929131,0.37102531515655335,0.49621819777865805,0.6220295254664134,0.7407788199229225,0.8487612193887709
7,5,preprocess,v,49,0.9920206392025162,0.505425297345316,0.6379483071908815,0.7868227243094177,0.9335279938647641,0.999999916289328
7,6,preprocess,v,203,0.899053859672538,0.3840840321241283,0.463385376614561,0.5633118022191616,0.6837005787276353,0.8161241935972501
7,7,preprocess,v,37,0.3589426231459116,0.6266925423008533,0.7782498735156228,0.9030373967820009,0.9914516436297437,0.999999758183527
7,8,preprocess,v,183,0.9292589017171379,0.38041418378323755,0.46905430129925124,0.5751010266609743,0.6997233422803556,0.8334336458862435
7,9,preprocess,v,244,0.968688838808757,0.35764528251506644,0.4347145352412986,0.5315684240837665,0.6496059457538417,0.7828798870192129
7,10,preprocess,v,227,0.9813138708231128,0.4020026762535287,0.4938808963961284,0.5974115386614306,0.7130109989708365,0.8328043709253063
9,4,preprocess,v,212,0.8762193197500343,0.3964328442477646,0.4779579111003902,0.5765989973217778,0.6936575709748899,0.8210125913384699
9,5,preprocess,v,228,0.9431615662869081,0.40493928707063787,0.4846669315939691,0.581942850576946,0.6954393969877181,0.81839346170604
9,6,preprocess,v,154,0.9173355896783091,0.4188208713512059,0.5053610911549805,0.6107483308732601,0.7343356882370538,0.8634145858402059
9,7,preprocess,v,139,0.9201120456535153,0.4094940233698466,0.49960888428569333,0.6108328374449626,0.7401954705105521,0.8743339899755816
9,8,preprocess,v,265,0.9561117293154622,0.3973715321175714,0.47762562068872716,0.5727259458263418,0.6840990442275083,0.8046532673549386
9,9,preprocess,v,196,0.950397205321846,0.40651249395717426,0.48801212474496863,0.5876348987445396,0.7053357020832614,0.8325334611009396
9,10,preprocess,v,126,0.930520452364791,0.4144914067268775,0.5123304625168188,0.6325149876812249,0.7704987788680348,0.9087343296024085
