base_method,example_id,sub_q_idx,chunk_order,chunk_id,chunk_len,residual_count,residual_frac
freq,50,0,5,5,57,6,0.05660377358490566
freq,50,0,6,6,139,3,0.02830188679245283
freq,50,0,10,10,26,26,0.24528301886792453
freq,0,0,11,1,92,50,0.46296296296296297
freq,0,0,12,2,31,31,0.28703703703703703
freq,0,0,0,0,50,1,0.009259259259259259
freq,0,0,1,1,92,17,0.1574074074074074
freq,0,0,6,6,121,4,0.037037037037037035
freq,0,0,10,10,50,5,0.046296296296296294
freq,50,1,9,13,154,18,0.1016949152542373
freq,50,1,7,7,196,3,0.01694915254237288
freq,50,1,10,10,27,27,0.15254237288135594
freq,50,1,2,11,265,3,0.01694915254237288
freq,50,1,0,0,189,110,0.6214689265536724
freq,50,1,3,1,321,4,0.022598870056497175
freq,50,1,5,4,57,11,0.062146892655367235
freq,50,1,6,6,139,1,0.005649717514124294
freq,77,1,0,0,253,38,0.1792452830188679
freq,77,1,3,2,101,6,0.02830188679245283
freq,77,1,1,9,243,4,0.018867924528301886
freq,77,1,9,14,133,1,0.0047169811320754715
freq,77,1,10,1,133,14,0.0660377358490566
freq,77,1,7,13,138,3,0.014150943396226415
freq,77,1,11,1,253,87,0.41037735849056606
freq,77,1,8,8,207,8,0.03773584905660377
freq,77,1,2,11,244,5,0.02358490566037736
freq,77,1,6,10,202,10,0.04716981132075472
freq,77,1,12,9,36,36,0.16981132075471697
freq,178,0,8,8,52,12,0.12631578947368421
freq,178,0,4,4,178,1,0.010526315789473684
freq,178,0,9,9,192,12,0.12631578947368421
freq,178,0,5,5,36,4,0.042105263157894736
freq,178,0,0,0,41,16,0.16842105263157894
freq,178,0,6,6,79,2,0.021052631578947368
freq,178,0,7,7,281,4,0.042105263157894736
freq,178,0,10,10,29,29,0.30526315789473685
freq,178,0,1,1,118,3,0.031578947368421054
freq,178,0,2,2,56,5,0.05263157894736842
freq,178,0,3,3,92,7,0.07368421052631578
freq,100,0,9,9,85,51,0.45132743362831856
freq,100,0,10,10,30,30,0.26548672566371684
freq,100,0,3,3,171,3,0.02654867256637168
freq,100,0,6,6,163,6,0.05309734513274336
freq,100,0,4,4,55,4,0.035398230088495575
freq,100,0,0,0,57,5,0.04424778761061947
freq,100,0,1,1,108,7,0.061946902654867256
freq,100,0,7,7,149,3,0.02654867256637168
freq,100,0,2,2,143,4,0.035398230088495575
freq,125,0,10,10,263,54,0.3624161073825503
freq,125,0,4,4,72,2,0.013422818791946308
freq,125,0,1,1,162,2,0.013422818791946308
freq,125,0,2,2,213,5,0.03355704697986577
freq,125,0,11,1,162,20,0.1342281879194631
freq,125,0,0,0,263,34,0.22818791946308725
freq,125,0,12,2,31,31,0.2080536912751678
freq,125,0,3,3,140,1,0.006711409395973154
freq,1,0,10,10,90,21,0.23595505617977527
freq,1,0,6,6,56,2,0.02247191011235955
freq,1,0,11,1,29,29,0.3258426966292135
freq,1,0,7,7,216,6,0.06741573033707865
freq,1,0,3,3,86,2,0.02247191011235955
freq,1,0,4,4,135,7,0.07865168539325842
freq,1,0,0,0,90,11,0.12359550561797752
freq,1,0,1,1,85,11,0.12359550561797752
freq,100,1,13,3,55,23,0.3108108108108108
freq,100,1,14,5,25,25,0.33783783783783783
freq,100,1,12,2,143,5,0.06756756756756757
freq,100,1,6,12,97,4,0.05405405405405406
freq,100,1,0,0,55,13,0.17567567567567569
freq,100,1,11,1,108,2,0.02702702702702703
freq,100,1,5,3,134,2,0.02702702702702703
freq,50,2,9,13,154,18,0.1016949152542373
freq,50,2,7,7,196,3,0.01694915254237288
freq,50,2,10,10,27,27,0.15254237288135594
freq,50,2,2,11,265,3,0.01694915254237288
freq,50,2,0,0,189,110,0.6214689265536724
freq,50,2,3,1,321,4,0.022598870056497175
freq,50,2,5,4,57,11,0.062146892655367235
freq,50,2,6,6,139,1,0.005649717514124294
freq,26,0,5,5,72,4,0.047619047619047616
freq,26,0,7,7,123,1,0.011904761904761904
freq,26,0,2,2,285,1,0.011904761904761904
freq,26,0,10,10,114,28,0.3333333333333333
freq,26,0,11,1,30,30,0.35714285714285715
freq,26,0,3,3,127,7,0.08333333333333333
freq,26,0,0,0,114,6,0.07142857142857142
freq,26,0,1,1,116,5,0.05952380952380952
freq,26,0,8,8,214,1,0.011904761904761904
freq,26,0,4,4,65,1,0.011904761904761904
freq,126,0,1,1,91,14,0.11764705882352941
freq,126,0,4,4,84,11,0.09243697478991597
freq,126,0,5,5,95,1,0.008403361344537815
freq,126,0,9,9,170,3,0.025210084033613446
freq,126,0,10,10,30,30,0.25210084033613445
freq,126,0,2,2,102,11,0.09243697478991597
freq,126,0,3,3,305,11,0.09243697478991597
freq,126,0,0,0,204,37,0.31092436974789917
freq,126,0,8,8,87,1,0.008403361344537815
freq,151,0,9,9,70,14,0.21212121212121213
freq,151,0,7,7,61,20,0.30303030303030304
freq,151,0,3,3,32,1,0.015151515151515152
freq,151,0,0,0,55,2,0.030303030303030304
freq,151,0,6,6,233,1,0.015151515151515152
freq,151,0,10,10,28,28,0.42424242424242425
freq,2,0,3,3,48,5,0.06329113924050633
freq,2,0,4,4,185,6,0.0759493670886076
freq,2,0,10,10,64,14,0.17721518987341772
freq,2,0,11,1,25,25,0.31645569620253167
freq,2,0,0,0,64,8,0.10126582278481013
freq,2,0,5,5,63,3,0.0379746835443038
freq,2,0,1,1,122,10,0.12658227848101267
freq,2,0,2,2,88,8,0.10126582278481013
freq,101,0,8,8,51,9,0.10344827586206896
freq,101,0,9,9,52,22,0.25287356321839083
freq,101,0,10,10,27,27,0.3103448275862069
freq,101,0,3,3,126,2,0.022988505747126436
freq,101,0,0,0,135,12,0.13793103448275862
freq,101,0,5,5,79,1,0.011494252873563218
freq,101,0,1,1,77,9,0.10344827586206896
freq,101,0,2,2,176,3,0.034482758620689655
freq,101,0,7,7,58,2,0.022988505747126436
freq,78,0,7,7,117,23,0.4107142857142857
freq,78,0,10,10,27,27,0.48214285714285715
freq,78,0,6,6,113,3,0.05357142857142857
freq,78,0,8,8,127,1,0.017857142857142856
freq,78,0,9,9,33,2,0.03571428571428571
freq,27,0,9,9,134,27,0.226890756302521
freq,27,0,6,6,190,3,0.025210084033613446
freq,27,0,10,10,30,30,0.25210084033613445
freq,27,0,4,4,308,1,0.008403361344537815
freq,27,0,0,0,41,3,0.025210084033613446
freq,27,0,7,7,153,5,0.04201680672268908
freq,27,0,1,1,152,5,0.04201680672268908
freq,27,0,8,8,61,34,0.2857142857142857
freq,27,0,2,2,112,11,0.09243697478991597
freq,151,1,11,1,84,27,0.39705882352941174
freq,151,1,0,0,84,14,0.20588235294117646
freq,151,1,10,3,55,1,0.014705882352941176
freq,151,1,12,11,26,26,0.38235294117647056
freq,50,3,11,1,189,91,0.3285198555956679
freq,50,3,13,1,189,48,0.17328519855595667
freq,50,3,14,3,27,27,0.09747292418772563
freq,50,3,7,7,196,2,0.007220216606498195
freq,50,3,12,3,265,11,0.039711191335740074
freq,50,3,2,11,265,3,0.010830324909747292
freq,50,3,10,10,265,13,0.04693140794223827
freq,50,3,0,0,189,76,0.2743682310469314
freq,50,3,3,1,321,5,0.018050541516245487
freq,50,3,6,6,139,1,0.0036101083032490976
freq,178,1,11,1,56,47,0.5222222222222223
freq,178,1,12,3,27,27,0.3
freq,178,1,0,0,56,16,0.17777777777777778
freq,78,1,7,16,205,2,0.009852216748768473
freq,78,1,1,11,117,13,0.06403940886699508
freq,78,1,11,8,171,77,0.3793103448275862
freq,78,1,12,11,27,27,0.1330049261083744
freq,78,1,4,13,154,10,0.04926108374384237
freq,78,1,2,8,119,6,0.029556650246305417
freq,78,1,10,19,117,18,0.08866995073891626
freq,78,1,3,12,232,1,0.0049261083743842365
freq,78,1,0,0,171,49,0.2413793103448276
freq,101,1,10,16,135,16,0.11267605633802817
freq,101,1,1,1,176,22,0.15492957746478872
freq,101,1,2,3,126,12,0.08450704225352113
freq,101,1,11,1,176,37,0.2605633802816901
freq,101,1,6,12,127,1,0.007042253521126761
freq,101,1,0,0,135,15,0.1056338028169014
freq,101,1,12,3,39,39,0.2746478873239437
freq,3,0,3,3,170,5,0.050505050505050504
freq,3,0,1,1,92,15,0.15151515151515152
freq,3,0,4,4,141,1,0.010101010101010102
freq,3,0,8,8,68,2,0.020202020202020204
freq,3,0,0,0,108,37,0.37373737373737376
freq,3,0,5,5,200,8,0.08080808080808081
freq,3,0,9,9,90,1,0.010101010101010102
freq,3,0,10,10,30,30,0.30303030303030304
freq,51,0,2,2,162,7,0.07446808510638298
freq,51,0,3,3,78,4,0.0425531914893617
freq,51,0,8,8,109,4,0.0425531914893617
freq,51,0,4,4,106,1,0.010638297872340425
freq,51,0,9,9,62,14,0.14893617021276595
freq,51,0,0,0,83,17,0.18085106382978725
freq,51,0,5,5,95,1,0.010638297872340425
freq,51,0,10,10,31,31,0.32978723404255317
freq,51,0,1,1,94,15,0.1595744680851064
freq,179,0,8,8,96,38,0.36538461538461536
freq,179,0,3,3,91,4,0.038461538461538464
freq,179,0,9,9,130,10,0.09615384615384616
freq,179,0,0,0,108,2,0.019230769230769232
freq,179,0,10,10,28,28,0.2692307692307692
freq,179,0,1,1,97,11,0.10576923076923077
freq,179,0,6,6,42,9,0.08653846153846154
freq,179,0,7,7,126,1,0.009615384615384616
freq,179,0,2,2,159,1,0.009615384615384616
freq,3,1,11,1,92,27,0.2755102040816326
freq,3,1,2,1,170,2,0.02040816326530612
freq,3,1,12,2,31,31,0.3163265306122449
freq,3,1,7,7,141,2,0.02040816326530612
freq,3,1,0,0,92,21,0.21428571428571427
freq,3,1,4,8,200,1,0.01020408163265306
freq,3,1,10,10,108,14,0.14285714285714285
freq,152,0,2,2,155,5,0.037037037037037035
freq,152,0,7,7,71,12,0.08888888888888889
freq,152,0,4,4,194,6,0.044444444444444446
freq,152,0,5,5,156,9,0.06666666666666667
freq,152,0,8,8,160,9,0.06666666666666667
freq,152,0,6,6,314,2,0.014814814814814815
freq,152,0,0,0,71,19,0.14074074074074075
freq,152,0,9,9,109,33,0.24444444444444444
freq,152,0,1,1,123,6,0.044444444444444446
freq,152,0,10,10,34,34,0.2518518518518518
freq,102,0,9,9,136,48,0.48
freq,102,0,10,10,27,27,0.27
freq,102,0,0,0,124,12,0.12
freq,102,0,4,4,147,1,0.01
freq,102,0,5,5,78,12,0.12
freq,79,0,10,10,32,32,0.367816091954023
freq,79,0,2,2,89,3,0.034482758620689655
freq,79,0,8,8,127,21,0.2413793103448276
freq,79,0,0,0,158,11,0.12643678160919541
freq,79,0,9,9,140,19,0.21839080459770116
freq,79,0,1,1,118,1,0.011494252873563218
freq,51,1,12,2,71,6,0.05825242718446602
freq,51,1,3,11,208,1,0.009708737864077669
freq,51,1,13,11,208,10,0.0970873786407767
freq,51,1,7,14,95,1,0.009708737864077669
freq,51,1,14,12,35,35,0.33980582524271846
freq,51,1,0,0,94,21,0.20388349514563106
freq,51,1,4,12,162,8,0.07766990291262135
freq,51,1,10,16,83,10,0.0970873786407767
freq,51,1,5,3,116,1,0.009708737864077669
freq,51,1,11,1,94,5,0.04854368932038835
freq,51,1,1,2,83,3,0.02912621359223301
freq,51,1,2,1,71,2,0.019417475728155338
freq,152,1,5,1,314,3,0.026785714285714284
freq,152,1,1,11,224,13,0.11607142857142858
freq,152,1,2,12,155,5,0.044642857142857144
freq,152,1,10,15,71,1,0.008928571428571428
freq,152,1,11,1,224,23,0.20535714285714285
freq,152,1,6,7,116,1,0.008928571428571428
freq,152,1,0,0,180,28,0.25
freq,152,1,3,3,71,1,0.008928571428571428
freq,152,1,7,13,123,6,0.05357142857142857
freq,152,1,12,12,30,30,0.26785714285714285
freq,152,1,4,8,71,1,0.008928571428571428
freq,27,1,10,19,112,19,0.152
freq,27,1,5,14,75,1,0.008
freq,27,1,11,3,46,29,0.232
freq,27,1,12,12,27,27,0.216
freq,27,1,4,13,297,1,0.008
freq,27,1,0,0,147,21,0.168
freq,27,1,1,11,46,20,0.16
freq,27,1,2,12,112,7,0.056
freq,102,1,2,1,121,1,0.0078125
freq,102,1,3,12,165,3,0.0234375
freq,102,1,0,0,73,39,0.3046875
freq,102,1,10,19,124,9,0.0703125
freq,102,1,11,1,73,48,0.375
freq,102,1,12,11,24,24,0.1875
freq,102,1,1,11,124,4,0.03125
freq,4,0,2,2,192,1,0.010638297872340425
freq,4,0,5,5,74,3,0.031914893617021274
freq,4,0,6,6,60,3,0.031914893617021274
freq,4,0,7,7,45,1,0.010638297872340425
freq,4,0,3,3,126,4,0.0425531914893617
freq,4,0,8,8,79,4,0.0425531914893617
freq,4,0,0,0,96,12,0.1276595744680851
freq,4,0,9,9,102,30,0.3191489361702128
freq,4,0,10,10,36,36,0.3829787234042553
freq,179,1,13,12,30,30,0.2777777777777778
freq,179,1,4,1,115,2,0.018518518518518517
freq,179,1,10,17,108,1,0.009259259259259259
freq,179,1,0,0,78,7,0.06481481481481481
freq,179,1,11,1,78,26,0.24074074074074073
freq,179,1,1,11,34,11,0.10185185185185185
freq,179,1,12,11,34,26,0.24074074074074073
freq,179,1,2,12,159,5,0.046296296296296294
freq,52,0,2,2,162,5,0.07575757575757576
freq,52,0,9,9,62,14,0.21212121212121213
freq,52,0,1,1,94,8,0.12121212121212122
freq,52,0,8,8,109,1,0.015151515151515152
freq,52,0,0,0,83,6,0.09090909090909091
freq,52,0,10,10,31,31,0.4696969696969697
freq,52,0,3,3,78,1,0.015151515151515152
freq,32,0,1,1,72,12,0.0916030534351145
freq,32,0,8,8,182,6,0.04580152671755725
freq,32,0,2,2,114,6,0.04580152671755725
freq,32,0,9,9,100,27,0.20610687022900764
freq,32,0,3,3,78,5,0.03816793893129771
freq,32,0,10,10,31,31,0.2366412213740458
freq,32,0,4,4,285,8,0.061068702290076333
freq,32,0,0,0,221,24,0.183206106870229
freq,32,0,6,6,90,4,0.030534351145038167
freq,32,0,7,7,65,8,0.061068702290076333
freq,79,1,2,11,51,11,0.05612244897959184
freq,79,1,9,17,135,50,0.25510204081632654
freq,79,1,3,12,121,8,0.04081632653061224
freq,79,1,4,13,95,6,0.030612244897959183
freq,79,1,7,15,92,4,0.02040816326530612
freq,79,1,0,0,128,46,0.23469387755102042
freq,79,1,10,4,38,38,0.19387755102040816
freq,79,1,5,14,76,8,0.04081632653061224
freq,79,1,1,6,147,25,0.12755102040816327
freq,153,0,11,1,29,29,0.42028985507246375
freq,153,0,2,2,124,1,0.014492753623188406
freq,153,0,1,1,112,7,0.10144927536231885
freq,153,0,10,10,82,25,0.36231884057971014
freq,153,0,8,8,188,1,0.014492753623188406
freq,153,0,0,0,82,5,0.07246376811594203
freq,153,0,6,6,83,1,0.014492753623188406
freq,4,1,1,11,139,5,0.024154589371980676
freq,4,1,11,1,148,85,0.4106280193236715
freq,4,1,3,13,265,3,0.014492753623188406
freq,4,1,0,0,148,32,0.15458937198067632
freq,4,1,12,11,139,53,0.2560386473429952
freq,4,1,13,12,28,28,0.13526570048309178
freq,4,1,5,14,196,1,0.004830917874396135
freq,180,0,8,8,126,17,0.1297709923664122
freq,180,0,1,1,159,38,0.2900763358778626
freq,180,0,10,10,25,25,0.19083969465648856
freq,180,0,4,4,160,4,0.030534351145038167
freq,180,0,9,9,178,9,0.06870229007633588
freq,180,0,3,3,322,4,0.030534351145038167
freq,180,0,0,0,115,31,0.2366412213740458
freq,180,0,7,7,60,3,0.022900763358778626
freq,103,0,9,9,96,19,0.11515151515151516
freq,103,0,10,10,38,38,0.23030303030303031
freq,103,0,3,3,143,3,0.01818181818181818
freq,103,0,6,6,113,5,0.030303030303030304
freq,103,0,4,4,221,14,0.08484848484848485
freq,103,0,7,7,108,6,0.03636363636363636
freq,103,0,0,0,57,19,0.11515151515151516
freq,103,0,1,1,118,44,0.26666666666666666
freq,103,0,8,8,157,10,0.06060606060606061
freq,103,0,2,2,171,7,0.04242424242424243
freq,32,1,6,2,78,1,0.0070921985815602835
freq,32,1,7,4,127,6,0.0425531914893617
freq,32,1,3,7,285,7,0.04964539007092199
freq,32,1,10,14,221,2,0.014184397163120567
freq,32,1,0,0,114,28,0.19858156028368795
freq,32,1,11,1,114,48,0.3404255319148936
freq,32,1,1,3,116,13,0.09219858156028368
freq,32,1,4,5,65,1,0.0070921985815602835
freq,32,1,12,3,33,33,0.23404255319148937
freq,32,1,5,8,72,2,0.014184397163120567
freq,52,1,9,17,71,35,0.29411764705882354
freq,52,1,3,12,208,9,0.07563025210084033
freq,52,1,10,18,35,35,0.29411764705882354
freq,52,1,0,0,94,17,0.14285714285714285
freq,52,1,7,15,116,1,0.008403361344537815
freq,52,1,1,2,110,2,0.01680672268907563
freq,52,1,8,16,130,9,0.07563025210084033
freq,52,1,2,11,71,11,0.09243697478991597
freq,103,1,4,12,143,1,0.010638297872340425
freq,103,1,5,4,97,1,0.010638297872340425
freq,103,1,0,0,55,19,0.20212765957446807
freq,103,1,10,17,57,10,0.10638297872340426
freq,103,1,11,1,55,34,0.3617021276595745
freq,103,1,12,11,29,29,0.30851063829787234
freq,33,0,10,10,63,14,0.2028985507246377
freq,33,0,6,6,42,5,0.07246376811594203
freq,33,0,2,2,96,4,0.057971014492753624
freq,33,0,11,1,28,28,0.4057971014492754
freq,33,0,0,0,63,2,0.028985507246376812
freq,33,0,7,7,67,1,0.014492753623188406
freq,33,0,1,1,112,9,0.13043478260869565
freq,33,0,3,3,62,1,0.014492753623188406
freq,33,0,4,4,51,5,0.07246376811594203
freq,52,2,2,19,208,36,0.1956521739130435
freq,52,2,10,2,83,2,0.010869565217391304
freq,52,2,12,2,71,28,0.15217391304347827
freq,52,2,13,12,208,54,0.29347826086956524
freq,52,2,0,0,71,26,0.14130434782608695
freq,52,2,4,20,190,1,0.005434782608695652
freq,52,2,14,13,37,37,0.20108695652173914
freq,126,1,11,1,95,49,0.28994082840236685
freq,126,1,3,7,170,12,0.07100591715976332
freq,126,1,12,6,61,5,0.029585798816568046
freq,126,1,13,11,93,12,0.07100591715976332
freq,126,1,4,10,93,4,0.023668639053254437
freq,126,1,14,12,30,30,0.17751479289940827
freq,126,1,0,0,95,52,0.3076923076923077
freq,126,1,10,14,204,1,0.005917159763313609
freq,126,1,2,11,96,4,0.023668639053254437
freq,154,0,1,1,190,1,0.011111111111111112
freq,154,0,10,10,111,36,0.4
freq,154,0,11,1,28,28,0.3111111111111111
freq,154,0,0,0,111,22,0.24444444444444444
freq,154,0,9,9,204,3,0.03333333333333333
freq,79,2,11,1,128,52,0.3561643835616438
freq,79,2,12,6,38,38,0.2602739726027397
freq,79,2,3,5,135,2,0.0136986301369863
freq,79,2,8,18,92,1,0.00684931506849315
freq,79,2,4,4,127,3,0.02054794520547945
freq,79,2,0,0,128,27,0.18493150684931506
freq,79,2,9,16,51,1,0.00684931506849315
freq,79,2,1,6,147,21,0.14383561643835616
freq,79,2,5,9,89,1,0.00684931506849315
freq,6,0,6,6,203,1,0.01020408163265306
freq,6,0,10,10,86,48,0.4897959183673469
freq,6,0,11,5,25,25,0.25510204081632654
freq,6,0,7,7,140,6,0.061224489795918366
freq,6,0,0,0,183,2,0.02040816326530612
freq,6,0,3,3,244,2,0.02040816326530612
freq,6,0,8,8,113,2,0.02040816326530612
freq,6,0,4,4,86,11,0.11224489795918367
freq,6,0,1,1,84,1,0.01020408163265306
freq,53,0,10,10,148,67,0.5403225806451613
freq,53,0,1,1,154,9,0.07258064516129033
freq,53,0,2,2,140,1,0.008064516129032258
freq,53,0,11,1,31,31,0.25
freq,53,0,0,0,148,10,0.08064516129032258
freq,53,0,4,4,108,6,0.04838709677419355
freq,35,0,7,7,125,5,0.052083333333333336
freq,35,0,3,3,119,1,0.010416666666666666
freq,35,0,8,8,136,1,0.010416666666666666
freq,35,0,9,9,150,27,0.28125
freq,35,0,0,0,45,10,0.10416666666666667
freq,35,0,5,5,117,11,0.11458333333333333
freq,35,0,1,1,70,10,0.10416666666666667
freq,35,0,2,2,113,2,0.020833333333333332
freq,35,0,10,10,29,29,0.3020833333333333
freq,104,0,10,10,155,8,0.04419889502762431
freq,104,0,1,1,156,12,0.06629834254143646
freq,104,0,4,4,292,1,0.0055248618784530384
freq,104,0,11,1,156,23,0.1270718232044199
freq,104,0,2,2,129,5,0.027624309392265192
freq,104,0,6,6,164,26,0.143646408839779
freq,104,0,13,7,41,41,0.2265193370165746
freq,104,0,12,2,164,45,0.24861878453038674
freq,104,0,0,0,155,20,0.11049723756906077
freq,127,0,10,10,67,25,0.3968253968253968
freq,127,0,11,1,25,25,0.3968253968253968
freq,127,0,0,0,67,11,0.1746031746031746
freq,127,0,1,1,58,2,0.031746031746031744
freq,7,0,0,0,154,36,0.3050847457627119
freq,7,0,9,9,227,22,0.1864406779661017
freq,7,0,6,6,37,10,0.0847457627118644
freq,7,0,10,10,31,31,0.2627118644067797
freq,7,0,7,7,183,1,0.00847457627118644
freq,7,0,1,1,84,18,0.15254237288135594
freq,180,1,12,2,78,27,0.19148936170212766
freq,180,1,13,11,34,25,0.1773049645390071
freq,180,1,3,2,108,6,0.0425531914893617
freq,180,1,14,12,34,34,0.24113475177304963
freq,180,1,4,3,115,2,0.014184397163120567
freq,180,1,10,17,115,3,0.02127659574468085
freq,180,1,5,1,122,2,0.014184397163120567
freq,180,1,0,0,78,8,0.05673758865248227
freq,180,1,11,1,159,7,0.04964539007092199
freq,180,1,1,11,34,9,0.06382978723404255
freq,180,1,2,12,159,18,0.1276595744680851
freq,35,1,0,0,70,27,0.23684210526315788
freq,35,1,1,2,45,1,0.008771929824561403
freq,35,1,10,17,45,11,0.09649122807017543
freq,35,1,11,1,70,48,0.42105263157894735
freq,35,1,2,1,93,1,0.008771929824561403
freq,35,1,12,2,26,26,0.22807017543859648
freq,80,0,11,1,91,20,0.19801980198019803
freq,80,0,12,2,27,27,0.26732673267326734
freq,80,0,4,4,130,1,0.009900990099009901
freq,80,0,0,0,51,15,0.1485148514851485
freq,80,0,1,1,91,11,0.10891089108910891
freq,80,0,2,2,107,7,0.06930693069306931
freq,80,0,10,10,51,20,0.19801980198019803
freq,54,0,2,2,162,7,0.08235294117647059
freq,54,0,8,8,62,1,0.011764705882352941
freq,54,0,3,3,95,5,0.058823529411764705
freq,54,0,9,9,78,16,0.18823529411764706
freq,54,0,10,10,34,34,0.4
freq,54,0,0,0,83,16,0.18823529411764706
freq,54,0,1,1,94,6,0.07058823529411765
freq,183,0,8,8,139,14,0.10294117647058823
freq,183,0,4,4,81,4,0.029411764705882353
freq,183,0,1,1,133,42,0.3088235294117647
freq,183,0,5,5,173,5,0.03676470588235294
freq,183,0,9,9,152,20,0.14705882352941177
freq,183,0,2,2,162,1,0.007352941176470588
freq,183,0,0,0,331,5,0.03676470588235294
freq,183,0,6,6,127,8,0.058823529411764705
freq,183,0,10,10,27,27,0.19852941176470587
freq,183,0,7,7,112,10,0.07352941176470588
freq,7,1,10,15,154,2,0.019417475728155338
freq,7,1,11,1,86,45,0.4368932038834951
freq,7,1,8,6,148,5,0.04854368932038835
freq,7,1,12,11,32,32,0.3106796116504854
freq,7,1,0,0,86,17,0.1650485436893204
freq,7,1,1,11,84,2,0.019417475728155338
freq,155,0,10,10,35,35,0.3465346534653465
freq,155,0,6,6,112,3,0.0297029702970297
freq,155,0,3,3,150,4,0.039603960396039604
freq,155,0,0,0,86,1,0.009900990099009901
freq,155,0,8,8,43,8,0.07920792079207921
freq,155,0,4,4,106,4,0.039603960396039604
freq,155,0,1,1,99,3,0.0297029702970297
freq,155,0,9,9,124,37,0.36633663366336633
freq,155,0,2,2,250,6,0.0594059405940594
freq,36,0,8,8,101,4,0.038834951456310676
freq,36,0,0,0,382,7,0.06796116504854369
freq,36,0,9,9,111,35,0.33980582524271846
freq,36,0,6,6,196,2,0.019417475728155338
freq,36,0,1,1,115,7,0.06796116504854369
freq,36,0,10,10,27,27,0.2621359223300971
freq,36,0,2,2,109,19,0.18446601941747573
freq,36,0,7,7,174,2,0.019417475728155338
freq,183,1,2,11,131,28,0.18421052631578946
freq,183,1,10,19,133,15,0.09868421052631579
freq,183,1,3,12,45,1,0.006578947368421052
freq,183,1,11,2,131,77,0.506578947368421
freq,183,1,0,0,133,3,0.019736842105263157
freq,183,1,12,12,28,28,0.18421052631578946
freq,155,1,10,19,86,5,0.04310344827586207
freq,155,1,11,1,122,54,0.46551724137931033
freq,155,1,12,11,26,26,0.22413793103448276
freq,155,1,0,0,122,28,0.2413793103448276
freq,155,1,5,14,151,3,0.02586206896551724
freq,54,1,13,12,208,13,0.104
freq,54,1,14,13,36,36,0.288
freq,54,1,3,12,208,9,0.072
freq,54,1,10,18,83,5,0.04
freq,54,1,11,1,94,5,0.04
freq,54,1,12,2,71,17,0.136
freq,54,1,0,0,94,28,0.224
freq,54,1,7,15,116,1,0.008
