Question,Real Answer,Pred Answer
Who became the youngest World Heavyweight Boxing Champion in 1956?,Floyd Patterson,Floyd Patterson
"Born in Gibraltar, which designer was named British Designer of the Year in 1987, 1994 and 1995?",John Galliano,Giles Deacon
In which country was designer Oscar de la Renta born?,Dominican Rep,Dominican Republic
"Anthea Turner presented Blue Peter in 1992. She is currently married to Grant Bovey, but she was first married to a Radio 1 DJ from 1990-98. Who was he?",Peter Powell,Peter Powell
How many reeds does an oboe have?,2,2
‘Hen Wlad FY Nhadau’ is the national anthem of which European country?,Welsh nation,Wales
"In the US television show ‘The Sopranos’, what did Janice Soprano change her name to after joining an ashram in Los Angeles?",Parvati Wasatch,Parvati Wasatch
Fotheringhay Castle is in which English county?,Northamptonshire,Northamptonshire
"The Bay of Fundy, which has the highest tides in the world, is mainly in which country?",Canada,Canada
Which American footballer player was nicknamed ‘The Refrigerator’?,William Perry,William Anthony Perry
Which US soap actress's real name is Patsy Mclenny?,Morgan Fairchild,Patsy Ann McClenny
The Flying Nun was based on which book?,Fifteenth Pelican,The Fifteenth Pelican
Who wrote the poem The Owl and the Pussycat?,Edward Lear,Edward Lear
What is the name of the helicopter used to transport the President of the USA?,Marine Two,Air Force One
How many hurdles are in a 100 metre women’s hurdle race?,10,10
Whipsnade Zoo is in which English county?,"Bedfordshire, England",Bedfordshire
"What was the surname of British horticulturalist and garden designer Gertrude, who died in 1932?",Jekyll,Jekyll
Pico da Neblina is the highest mountain in which South American country?,Brazil,Brazil
"Reggie, Jughead, Betty and Veronica were members of which fictional band?",The Archies,The Archies
Which 1969 novel by Alistair MacLean centres on a veteran Interpol natcotics expert named Paul Sherman and a violent struggle on the streets of Amsterdam ?,Puppet on a Chain,Puppet on a Chain
How many Cardinal Virtues are there?,Four,4
The Pedro Miguel lock is on which canal?,The Panama Canal,Panama Canal
From which country does the Lambada dance originate?,Brazil,Brazil
What was the first name of 18th Century English cabinet maker and furniture designer Chippendale?,Thomas,Thomas
