Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,King Richard I of England,Richard I,True,0.5,0.0,预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价。虽然预测答案省略了“英格兰国王”这一头衔，但“Richard I”已经准确包含了标准答案的核心人物信息，且在语境中明确指代理查一世，因此判定为正确回答了问题。
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted led a large fleet from Messina in April 1191 to reach Acre, which was dispersed by a storm.",True,0.8749999999999999,0.0,预测答案包含了标准答案的所有关键信息，即理查一世率领大型舰队于1191年4月从墨西拿出发前往阿卡，并被风暴吹散。虽然使用了“Richard the Lion-hearted”代替“King Richard I”，但两者在语义上完全等价，准确回答了问题。
The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,George Packer,George Packer,True,1.0,1.0,预测答案“George Packer”与标准答案完全一致，准确包含了问题所问的《The Unwinding》一书作者的关键信息，语义上完全等价，因此判断为正确。
The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,Peace Corps,Peace Corps,True,1.0,1.0,预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所要求的关键信息，语义上完全等价，因此正确回答了问题。
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,True,0.15384615384615385,0.0,预测答案“Art Brut”准确提取了标准答案中的核心实体信息，即演唱歌曲“Bang Bang Rock & Roll”的乐队名称。虽然它省略了关于“British rock band”的修饰性描述，但在回答“Which band”这一问题上语义完全等价，正确回答了问题。
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,Eddie Argos,Eddie Argos,True,1.0,1.0,预测答案与标准答案完全一致，均为“Eddie Argos”。预测答案准确且完整地包含了标准答案的关键信息，在语义上完全等价，正确地回答了关于Art Brut乐队主唱的问题。
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,True,0.13333333333333333,0.0,预测答案“Compaq”准确提取了标准答案中的核心实体信息，直接回答了问题中关于哪家公司在1994年发起价格战的询问，与标准答案在语义上完全等价，符合正确回答的标准。
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,Hewlett Packard,"2002, when Compaq merged with Hewlett Packard.",True,0.47058823529411764,0.0,预测答案明确指出了康柏在2002年合并的公司是惠普，包含了标准答案的核心信息，且语义完全一致，尽管在表述上存在细微差异，但意思保持一致。
What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England (Old English: ""Katerine""; 25 November 1253 – 3 May 1257) was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly. She possibly had a degenerative disease, did not survive her fourth year and died at Windsor.",True,0.861111111111111,0.0,预测答案包含了标准答案的所有关键信息，如出生和死亡日期、父母身份、健康状况以及死亡地点等。两者在语义上完全等价，仅存在措辞上的细微差异，不影响对问题的正确回答。
What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216 and 1220,True,0.5806451612903226,0.0,预测答案包含了标准答案中的两个关键年份“1216”和“1220”，准确回答了亨利三世加冕的时间。虽然缺少了完整的句子结构，但核心语义与标准答案完全一致，符合评估标准。
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",1994 version: Natalie Wood; 1947 version: not specified in the documents provided.,False,0.43902439024390244,0.0,预测答案明确表示1947版本中饰演小女孩的演员“not specified in the documents provided”（在提供的文档中未指定），这与标准答案中明确指出的“Natalie Wood played the little girl... in the 1947 film”完全矛盾。因此，预测答案未能包含标准答案的关键信息，未能正确回答问题。
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,Lana Wood,True,0.33333333333333337,0.0,预测答案“Lana Wood”直接给出了问题所询问的核心人物，包含了标准答案中的关键信息。虽然预测答案省略了部分陈述性语句，但在语义上与标准答案完全等价，准确回答了问题。
What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas",Culberson County,True,0.8571428571428571,0.0,"预测答案“Culberson County”包含了标准答案“Culberson County, Texas”中的核心地理信息。虽然预测答案省略了州名“Texas”，但已经准确回答了Pine Springs所在的县，两者在语义上等价，符合允许细微差异的判断标准。"
What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",Van Horn,Van Horn,True,1.0,1.0,预测答案“Van Horn”与标准答案完全一致，准确包含了问题所要求的关键信息，正确回答了美国得克萨斯州卡尔伯森县的县治所在地，符合所有的判断标准。
"In 2002, what company merged with the top PC manufacturer from 1994?",Who was the top PC manufacturer in 1994?,Compaq was the top PC manufacturer in 1994.,"1994: Compaq became the top PC manufacturer in 1994, overtaking a struggling IBM and relegating Apple to third place.",True,0.5263157894736842,0.0,预测答案明确指出了“Compaq became the top PC manufacturer in 1994”，包含了标准答案中关于1994年最大PC制造商是Compaq的核心信息。尽管预测答案还额外补充了关于IBM和Apple的背景细节，但这并不影响其与标准答案在核心语义上完全等价，正确回答了问题。
"In 2002, what company merged with the top PC manufacturer from 1994?",What company did Compaq merge with in 2002?,Compaq merged with Hewlett Packard (HP) in 2002.,"2002, when Compaq merged with Hewlett Packard.",True,0.7857142857142856,0.0,预测答案明确指出了Compaq在2002年与Hewlett Packard合并的关键信息，这与标准答案的核心内容完全一致。尽管预测答案在语法结构上是一个短语而非完整的句子，但其语义与标准答案等价，准确回答了问题。
"In the King's Speech, who played the person who was the King of England in 1950?",Who was the King of England in 1950?,George VI was the King of the United Kingdom in 1950.,George VI,True,0.2666666666666667,0.0,预测答案“George VI”准确包含了标准答案中的核心人物信息，直接回答了1950年的英国国王是谁。虽然缺少了部分修饰性词语，但语义与标准答案完全一致，符合正确回答的标准。
"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,Colin Firth,True,1.0,1.0,预测答案“Colin Firth”与标准答案完全一致，准确包含了问题所询问的在电影《国王的演讲》中饰演乔治六世的演员信息，符合所有判断标准，因此判断为正确。
Whose sister played Susie in miracle on 34th street?,Who played Susie in Miracle on 34th Street?,Natalie Wood played Susan Walker in Miracle on 34th Street.,Natalie Wood,True,0.25,0.0,预测答案“Natalie Wood”准确给出了问题中询问的演员名字，包含了标准答案的核心关键信息。虽然标准答案中提到了角色的全名Susan Walker，但问题中的Susie显然是该角色的昵称，两者在语义上完全等价，因此判定为正确回答了问题。
Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,Lana Wood,False,0.2857142857142857,0.0,预测答案“Lana Wood”提供的是娜塔莉·伍德的姐妹，而问题询问的是她的兄弟。标准答案明确指出文档中并未提及她有兄弟，因此预测答案未能正确回答问题，且与标准答案的语义不符。
What team was Anna Benson's husband on?,Who is Anna Benson's husband?,"Kris Benson, a former Major League Baseball pitcher.",Kris Benson,True,0.5454545454545454,0.0,预测答案“Kris Benson”准确包含了标准答案中的核心人物信息，直接回答了问题。虽然它省略了关于其职业背景的补充描述，但在回答“丈夫是谁”这一核心语义上与标准答案完全等价，因此判定为正确。
What team was Anna Benson's husband on?,What team did Kris Benson play for in Major League Baseball?,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.","1. Pittsburgh Pirates, 2. New York Mets, 3. Baltimore Orioles",True,0.7222222222222222,0.0,预测答案完整地包含了标准答案中的三支棒球队名称，即匹兹堡海盗队、纽约大都会队和巴尔的摩金莺队。虽然预测答案采用了数字列表的形式且省略了主语，但在语义上与标准答案完全等价，准确回答了问题。
What is the record label for the singer who originally sang You Belong To Me.,Who originally sang the song You Belong To Me?,Joni James,Joni James,True,1.0,1.0,预测答案“Joni James”与标准答案完全一致，准确包含了问题所询问的演唱者的关键信息，在语义上完全等价，正确地回答了谁最初演唱了这首歌的问题。
What is the record label for the singer who originally sang You Belong To Me.,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,MGM Records,M-G-M Records,True,1.0,1.0,预测答案“M-G-M Records”与标准答案“MGM Records”在语义上完全等价，仅仅是连字符的书写格式存在细微差异。两者都准确指出了Joni James在1952年发行歌曲《You Belong To Me》时所属的唱片公司，符合允许措辞细微差异的评判标准。
When did the crowning of the person under whom the Chapter House was built happen?,Who was the person under whom the Chapter House was built?,Henry III,Henry III,True,1.0,1.0,预测答案“Henry III”与标准答案完全一致，准确包含了标准答案的关键信息，且在语义上完全等价，正确地回答了关于Chapter House是在谁手下建造的问题。
When did the crowning of the person under whom the Chapter House was built happen?,When was Henry III crowned?,"Henry III was first crowned in 1216 at Gloucester Cathedral, and then again at Westminster Abbey in 1220.",1216 and 1220,True,0.4615384615384615,0.0,预测答案准确地提取了标准答案中关于亨利三世加冕时间的核心信息，即1216年和1220年。虽然预测答案省略了加冕地点等具体细节，但针对“When”这一时间提问，其提供的时间信息与标准答案完全一致，语义上正确回答了问题。
What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,Joni James sang the song 'You Belong to Me'.,Sue Thompson,False,0,0.0,预测答案给出的歌手是Sue Thompson，而标准答案明确指出演唱歌曲'You Belong to Me'的歌手是Joni James。两者给出的演唱者信息完全不同，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此判断为错误。
What record label does the artist who sang you belong to me belong to?,What record label is Joni James signed to?,Joni James was signed to MGM Records.,M-G-M Records,True,0.4,0.0,预测答案“M-G-M Records”与标准答案中的关键信息“MGM Records”完全一致，仅仅是连字符的拼写形式存在细微差异，两者在语义上完全等价，准确地回答了Joni James签约的唱片公司名称。
What place does the administrative territorial entity that Juba is located in share a border with?,What is the administrative territorial entity that contains Juba?,Central Equatoria,Central Equatoria,True,1.0,1.0,预测答案“Central Equatoria”与标准答案完全一致，准确包含了标准答案的关键信息，且在语义上完全等价，因此正确地回答了关于朱巴所在行政领土实体的问题。
What place does the administrative territorial entity that Juba is located in share a border with?,What places share a border with Central Equatoria?,Eastern Equatoria shares a border with Central Equatoria.,"1. Eastern Equatoria  
2. Terekeka  
3. Lafon",False,0.3333333333333333,0.0,虽然预测答案中包含了标准答案的关键信息“Eastern Equatoria”，但同时也包含了“Terekeka”和“Lafon”等额外信息。Terekeka实际上是位于中赤道省内部的一个县，而不是与之接壤的独立地区，因此预测答案引入了事实性错误，在语义上与标准答案并不等价。
Who played the monarch at the end of WW2 in The King's Speech?,Who played King George VI in The King's Speech?,Colin Firth,Colin Firth,True,1.0,1.0,预测答案“Colin Firth”与标准答案完全一致，准确包含了问题所询问的在电影《国王的演讲》中饰演乔治六世的演员信息，语义上完全等价，因此判断为正确。
Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,1. Harry Hamlin as Steve 2. Deborah Van Valkenburgh as Tina,True,0.8947368421052632,0.0,预测答案完整包含了标准答案中的所有关键信息，即Harry Hamlin饰演Steve以及Deborah Van Valkenburgh饰演Tina。虽然预测答案采用了数字列表的形式，与标准答案的句子结构不同，但两者在语义上完全等价，准确回答了问题。
Who is the spouse of a cast member from King of the Mountain?,Who is Harry Hamlin's spouse?,Lisa Rinna,Lisa Rinna,True,1.0,1.0,预测答案“Lisa Rinna”与标准答案完全一致，准确包含了问题所询问的关键信息，在语义上完全等价，因此正确地回答了Harry Hamlin的配偶是谁这个问题。
Who played king whose regal Name did Albert Adopt in the king's speech?,What was the regnal name adopted by King George VI?,Albert assumed the regnal name 'George VI'.,George VI,True,0.4,0.0,预测答案“George VI”直接给出了问题所询问的国王采用的尊号名称，包含了标准答案的核心关键信息。虽然它省略了“Albert assumed the regnal name”这一背景细节，但在回答“具体采用了什么尊号”这一核心语义上与标准答案完全一致。
Who played king whose regal Name did Albert Adopt in the king's speech?,Who played King George VI in the film 'The King's Speech'?,Colin Firth,Colin Firth,True,1.0,1.0,预测答案“Colin Firth”与标准答案完全一致，准确包含了问题所询问的在电影《国王的演讲》中饰演国王乔治六世的演员信息，语义上完全等价，因此判断为正确。
What administrative territorial entity contains the place where KPRM is licensed to broadcast to?,Where is KPRM licensed to broadcast?,"Park Rapids, Minnesota","Park Rapids, Minnesota",True,1.0,1.0,"预测答案“Park Rapids, Minnesota”与标准答案完全一致，准确包含了问题所询问的KPRM广播电台的播出许可地点这一关键信息，语义完全等价，因此判断为正确。"
What year did the author of Prince Prigio die?,Who is the author of Prince Prigio?,The author of Prince Prigio is Andrew Lang.,Andrew Lang,True,0.3636363636363636,0.0,预测答案“Andrew Lang”直接给出了《Prince Prigio》的作者名字，包含了标准答案的核心关键信息。虽然预测答案省略了“作者”这一修饰语，但在语义上与标准答案完全等价，准确且完整地回答了问题。
What year did the author of Prince Prigio die?,What year did Andrew Lang die?,Andrew Lang died in 1912.,1912,True,0.5,0.0,预测答案“1912”直接且准确地提供了问题所询问的安德鲁·朗格去世的年份。它包含了标准答案中的核心关键信息，在语义上与标准答案完全等价，尽管缺少了完整的句子结构，但意思表达清晰且完全正确。
In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,"Greenfield, Indiana","Greenfield, Indiana",True,1.0,1.0,"预测答案“Greenfield, Indiana”与标准答案完全一致，准确包含了问题所询问的Mark Dismore的出生地信息，语义上完全等价，因此判断为正确。"
In which county is Mark Dismore's birthplace located?,"Which county is Greenfield, Indiana located in?","Greenfield, Indiana is located in Hancock County.",Hancock County,True,0.1818181818181818,0.0,预测答案“Hancock County”直接且准确地提供了问题所询问的县名，包含了标准答案中的核心关键信息。虽然它没有像标准答案那样包含完整的句子结构，但在语义上与标准答案完全等价，正确地回答了问题。
Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,Piero di Cosimo de' Medici and Lucrezia Tornabuoni,True,0.7368421052631579,0.0,预测答案准确地给出了南尼娜·德·美第奇的父母名字，即Piero di Cosimo de' Medici和Lucrezia Tornabuoni。虽然它省略了标准答案中的主语和谓语，但所包含的关键信息与标准答案完全一致，语义上完全等价，正确回答了问题。
Who was the sibling of Nannina de' Medici?,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",Nannina de' Medici's siblings were Lorenzo de' Medici and Giuliano de' Medici.,1. Lorenzo de' Medici.,False,0.4615384615384615,0.0,预测答案仅包含了标准答案中的部分关键信息，只提到了Lorenzo de' Medici，而遗漏了另一个兄弟姐妹Giuliano de' Medici。因此，预测答案与标准答案在语义上并不完全等价，未能完整回答问题。
What county is the NRHEG High School located in?,Where is NRHEG High School located?,"NRHEG High School is located in New Richland, Minnesota.","New Richland, Minnesota",True,0.5,0.0,"预测答案“New Richland, Minnesota”直接且准确地提供了问题所询问的地理位置信息，包含了标准答案中的所有关键信息。虽然它省略了主语和谓语等句子成分，但在语义上与标准答案完全等价，正确回答了问题。"
What county is the NRHEG High School located in?,"Which county is New Richland, Minnesota located in?","New Richland is located in Waseca County, Minnesota.",Waseca County,True,0.42857142857142855,0.0,预测答案“Waseca County”直接且准确地给出了问题所询问的县名，包含了标准答案的核心关键信息。虽然其表述比标准答案简短，但在语义上完全等价，正确地回答了New Richland所在的县。
Who founded the political party of Dimuthu Bandara Abayakoon?,What is the name of the political party of Dimuthu Bandara Abayakoon?,Janatha Vimukthi Peramuna,Janatha Vimukthi Peramuna,True,1.0,1.0,预测答案与标准答案完全一致，均为“Janatha Vimukthi Peramuna”。预测答案准确且完整地包含了标准答案的关键信息，在语义上完全等价，正确地回答了关于Dimuthu Bandara Abayakoon所属政党名称的问题。
Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,"Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna political party.",True,0.5833333333333334,0.0,预测答案不仅包含了标准答案的关键信息，指出Rohana Wijeweera创立了该政党，还提供了其全名，两者在语义上完全等价，正确回答了问题。
When did military instruction start at the place where Larry Alcala was educated?,Where did Larry Alcala study?,"Larry Alcala estudió en la Universidad de Filipinas, donde obtuvo un título de Licenciado en Bellas Artes en Pintura.",University of the Philippines,True,0,0.0,预测答案“University of the Philippines”准确包含了标准答案中的核心关键信息。标准答案中的“Universidad de Filipinas”正是“University of the Philippines”的西班牙语表述，两者在语义上完全等价，正确回答了问题所问的地点。
When did military instruction start at the place where Larry Alcala was educated?,When did military instruction begin at the University of the Philippines?,Military instruction began at the University of the Philippines in 1912.,1912,True,0.375,0.0,预测答案“1912”直接提供了问题所询问的时间，包含了标准答案中的核心关键信息。虽然它没有使用完整的句子结构，但在语义上与标准答案完全等价，准确地回答了军事训练在菲律宾大学开始的年份。
What county shares a border with Cedar Springs?,Where is Cedar Springs located?,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.","1. The question asks about the location of Cedar Springs.  
2. Referring to the document titled ""Cedar Springs, Texas,"" it states that Cedar Springs is an unincorporated community in west Falls County, Texas, United States.  
3. Therefore, the location of Cedar Springs is in west Falls County, Texas.  

Answer: Cedar Springs is located in west Falls County, Texas, United States.",True,0.060606060606060615,0.0,"预测答案明确指出了Cedar Springs位于west Falls County, Texas, United States，这包含了标准答案中的核心地理位置信息。虽然预测答案省略了关于具体道路的补充细节，但在主要语义和回答问题的核心诉求上与标准答案完全等价。"
What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",Bell County shares a border with Falls County.,"Bell County and Knox County share a border with Falls County, Texas.",False,0.5882352941176471,0.0,虽然预测答案包含了标准答案中的“Bell County”，但它额外添加了“Knox County”。事实上，Knox County并不与Falls County接壤，这属于事实性错误。因此，预测答案包含了不准确的信息，未能正确回答问题。
Bancroft's county borders what county?,Where is Bancroft located?,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada.",True,1.0,1.0,预测答案与标准答案的文本完全一致，都明确指出了Bancroft位于加拿大安大略省。该答案不仅包含了标准答案的所有关键信息，而且在语义上完全等价，准确无误地回答了问题。
Bancroft's county borders what county?,"Which county is Bancroft, Ontario located in?","Bancroft, Ontario is located in Hastings County.",Hastings County,True,0.28571428571428575,0.0,预测答案直接给出了“Hastings County”，这与标准答案中的核心关键信息完全一致。虽然预测答案省略了主语和谓语等修饰性词语，但在语义上与标准答案完全等价，准确地回答了问题所询问的县名。
Bancroft's county borders what county?,Which counties border Hastings County in Ontario?,Renfrew County and Haliburton County border Hastings County in Ontario.,"Renfrew County, Haliburton County, and Prince Edward County.",False,0.6666666666666665,0.0,预测答案虽然包含了标准答案中的Renfrew County和Haliburton County，但额外添加了“Prince Edward County”。这一信息与标准答案不符，导致两者在语义上并非完全等价，因此判定为错误。
Who is the father of Empress Wang's husband?,Who is Empress Wang's husband?,"Empress Wang's husband was Yang Pu (Emperor Rui), the final ruler of the Chinese state Wu during the Five Dynasties and Ten Kingdoms period.","1. The question asks for the husband of Empress Wang.  
2. From the document titled ""Empress Wang (Yang Pu),"" it is stated that Empress Wang was the wife of Yang Pu (Emperor Rui).  
3. Therefore, the husband of Empress Wang is Yang Pu.  

Answer: Yang Pu",True,0.1764705882352941,0.0,预测答案明确指出了Empress Wang的丈夫是Yang Pu，这与标准答案的核心信息完全一致。虽然预测答案省略了关于杨溥作为五代十国时期吴国末代君主的背景描述，但已经准确包含了回答该问题所需的关键人物信息，语义上与标准答案等价。
Who is the father of Empress Wang's husband?,Who was the father of Yang Pu (Emperor Rui of Wu)?,"Yang Pu's father was Yang Xingmi, a late-Tang Dynasty warlord and military governor of Huainan Circuit.","1. Yang Pu was the final ruler of the Wu state.  
2. Empress Dowager Wang was the mother of Yang Pu.  
3. Empress Dowager Wang was a concubine of Yang Xingmi.  
4. Therefore, Yang Xingmi was the father of Yang Pu.  
Answer: Yang Xingmi",True,0.2,0.0,预测答案的最终结论是“Yang Xingmi”，这与标准答案中的核心人物完全一致。虽然预测答案通过列举其生母及生母与杨行密的关系来进行逻辑推导，且未包含标准答案中关于杨行密是晚唐军阀和淮南节度使的背景描述，但就“杨溥的父亲是谁”这一核心问题而言，预测答案已经准确无误地给出了关键信息，语义上与标准答案等价。
Who played the king that was king of england in 1951 in the king's speech?,Who was the king of England in 1951?,George VI was the King of the United Kingdom in 1951.,George VI,True,0.2666666666666667,0.0,预测答案“George VI”准确给出了问题所问的君主名字，包含了标准答案的核心关键信息。虽然缺少了完整的陈述句式，但在语义上与标准答案完全等价，正确回答了1951年英格兰（英国）的国王是谁这一问题。
Who played the king that was king of england in 1951 in the king's speech?,Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,Colin Firth,True,1.0,1.0,预测答案“Colin Firth”与标准答案完全一致，准确包含了问题所询问的在电影《国王的演讲》中饰演乔治六世的演员信息，符合所有判断标准，因此判断为正确。
