source,kind,method,n,original_gap_mean,recovery_mean,final_error_mean,energy_mean,cosine_mean
preprocess,v,cached_v_top8,10,0.36533744266059415,0.9437717083417759,0.34396242548668277,0.09848694822664668,0.5173718810598437
preprocess,v,hybrid_top1,10,0.36533744266059415,0.9281481156220069,0.33447763513525347,0.03313729991472993,0.5662925442739073
preprocess,v,hybrid_top2,10,0.36533744266059415,0.8718931165343079,0.31445444895032626,0.14964430382583113,0.5789143746217306
preprocess,v,hybrid_top4,10,0.36533744266059415,0.8687592651436832,0.31489606831271305,0.21965340901547775,0.5895858336018188
preprocess,v,hybrid_top8,10,0.36533744266059415,0.8453329409665671,0.3072009004391037,0.2754803085354577,0.6044431925619157
preprocess,v,mean_anchor,10,0.36533744266059415,0.8422992828483304,0.308252646867603,0.28700739269026593,0.5858455075795239
preprocess,v,no_update,10,0.36533744266059415,1.0,0.36533744266059415,0.0,0.0
preprocess,v,oracle_anchor,10,0.36533744266059415,0.7705041219725934,0.2783982713764509,0.334846831609679,0.6664261619472323
preprocess,v,position_top1,10,0.36533744266059415,0.9781800716570114,0.352160490057662,-0.07893742453282034,0.5322864440230413
preprocess,v,position_top2,10,0.36533744266059415,0.8586447033367632,0.3089890911503569,0.1719646809690542,0.5968163655047646
preprocess,v,position_top4,10,0.36533744266059415,0.8218726807059724,0.29807171654015396,0.30497037159164153,0.6254867568151519
preprocess,v,position_top8,10,0.36533744266059415,0.8181163535987601,0.29735740918135123,0.31927040488418273,0.6259806629513103
preprocess,v,random_anchor,10,0.36533744266059415,1.0881129034082906,0.3975448553282622,-0.18845031327450595,0.4494085720545563
raw,k,cached_v_top1,10,0.24265643438816947,0.6563792505501477,0.1763449368189891,0.5180752220370823,0.7841193211797219
raw,k,cached_v_top2,10,0.24265643438816947,0.6384191493847864,0.17148565523475584,0.5444278237129849,0.7894216154212891
raw,k,cached_v_top4,10,0.24265643438816947,2.428928322042133,0.18317082952503502,-31.74667285362154,0.7021659133775676
raw,k,cached_v_top8,10,0.24265643438816947,3.0939689069873046,0.18029288626276094,-61.524005577722576,0.7105769671349973
raw,k,hybrid_top1,10,0.24265643438816947,0.5802658755345227,0.15607701274455224,0.6192190440394955,0.8167902504577281
raw,k,hybrid_top2,10,0.24265643438816947,0.5599711851232508,0.1506583733718297,0.6470446901712984,0.8270184798543951
raw,k,hybrid_top4,10,0.24265643438816947,1.9429200314176178,0.1574218564035627,-18.864746780138738,0.742481199905406
raw,k,hybrid_top8,10,0.24265643438816947,2.5132401065554566,0.1582467961112164,-38.545658442708685,0.744545837929803
raw,k,mean_anchor,10,0.24265643438816947,3.657173181439115,0.16764337292318396,-96.71571906515945,0.7293867790301992
raw,k,no_update,10,0.24265643438816947,1.0,0.24265643438816947,0.0,0.0
raw,k,oracle_anchor,10,0.24265643438816947,0.49710641813498224,0.13328158372034177,0.7235642732048417,0.8622505884161017
raw,k,position_top1,10,0.24265643438816947,0.6271054160039788,0.16811092723439136,0.5518770791630458,0.7908410314329012
raw,k,position_top2,10,0.24265643438816947,0.5515357439836038,0.14827972073012446,0.6591005000559477,0.8292227134023203
raw,k,position_top4,10,0.24265643438816947,1.902335968848694,0.1490427002483443,-18.53227430139184,0.7535791556125132
raw,k,position_top8,10,0.24265643438816947,2.3426177686819742,0.1520379903753292,-32.7440688202097,0.7503406722522311
raw,k,random_anchor,10,0.24265643438816947,4.104801802933736,0.22060715373408563,-113.80974940387344,0.6101358901019951
raw,v,cached_v_top1,10,0.37066652305466674,0.8513433070175754,0.3483575069026191,0.1899499261320689,0.6435307240245923
raw,v,cached_v_top2,10,0.37066652305466674,0.8166646163575629,0.33426910250305625,0.25622748101629556,0.6591686163614425
raw,v,cached_v_top4,10,0.37066652305466674,1.804271347189213,0.3465715804988036,-9.867276262154123,0.5808654064776945
raw,v,cached_v_top8,10,0.37066652305466674,2.128567969870491,0.339860296910419,-18.33492580377114,0.5931480313524603
raw,v,hybrid_top1,10,0.37066652305466674,0.807379560954557,0.3306269018973742,0.27059330247030666,0.6684869315498062
raw,v,hybrid_top2,10,0.37066652305466674,0.7485302025348759,0.3064761126400874,0.37445949246036914,0.6964255304299989
raw,v,hybrid_top4,10,0.37066652305466674,1.5878278475092007,0.3110162247802394,-7.1772057805697695,0.6265561451193451
raw,v,hybrid_top8,10,0.37066652305466674,1.8751185123496186,0.3071330985682387,-13.560880962028387,0.6344008965235787
raw,v,mean_anchor,10,0.37066652305466674,2.428728098881556,0.30730649614259614,-30.715471255925774,0.6364073658186037
raw,v,no_update,10,0.37066652305466674,1.0,0.37066652305466674,0.0,0.0
raw,v,oracle_anchor,10,0.37066652305466674,0.6765432547277241,0.27754364070319815,0.4873834114689609,0.733782280399334
raw,v,position_top1,10,0.37066652305466674,0.8556856794950715,0.35107945092007675,0.18066340263722985,0.6337983221056397
raw,v,position_top2,10,0.37066652305466674,0.7522838954135701,0.3080405632119292,0.36733477895974154,0.6885891407663374
raw,v,position_top4,10,0.37066652305466674,1.5465876765475353,0.2971567569054699,-6.99030686649036,0.6394834607713966
raw,v,position_top8,10,0.37066652305466674,1.768217230972332,0.29644464964770784,-11.589998761806402,0.6432634390609753
raw,v,random_anchor,10,0.37066652305466674,3.049597664567262,0.4147369408178874,-45.874374580220916,0.49777061083179086
