example_id,sub_q_idx,offline10_count,draft15_count,offline10_inter_draft15,offline10_cover_draft15,draft15_remaining_after_offline10,remaining_frac_of_draft15,offline10_precision_vs_draft15,jaccard_offline10_draft15,residual5_budget_est,ideal_residual5_cover_remaining,ideal_final15_cover_draft15
14,1,162,280,88,0.3142857142857143,192,0.6857142857142857,0.5432098765432098,0.24858757062146894,81,0.421875,0.6035714285714285
15,0,64,128,38,0.296875,90,0.703125,0.59375,0.24675324675324675,32,0.35555555555555557,0.546875
15,1,107,200,60,0.3,140,0.7,0.5607476635514018,0.242914979757085,54,0.38571428571428573,0.57
16,0,147,259,88,0.33976833976833976,171,0.6602316602316602,0.5986394557823129,0.27672955974842767,74,0.4327485380116959,0.6254826254826255
16,1,213,362,99,0.27348066298342544,263,0.7265193370165746,0.4647887323943662,0.20798319327731093,106,0.40304182509505704,0.5662983425414365
17,0,138,244,76,0.3114754098360656,168,0.6885245901639344,0.5507246376811594,0.24836601307189543,69,0.4107142857142857,0.5942622950819673
17,1,187,324,118,0.36419753086419754,206,0.6358024691358025,0.6310160427807486,0.30025445292620867,94,0.4563106796116505,0.654320987654321
18,0,99,185,70,0.3783783783783784,115,0.6216216216216216,0.7070707070707071,0.32710280373831774,50,0.43478260869565216,0.6486486486486487
18,1,114,206,72,0.34951456310679613,134,0.6504854368932039,0.631578947368421,0.2903225806451613,57,0.4253731343283582,0.6262135922330098
19,0,99,181,58,0.32044198895027626,123,0.6795580110497238,0.5858585858585859,0.26126126126126126,50,0.4065040650406504,0.5966850828729282
19,1,153,268,65,0.24253731343283583,203,0.7574626865671642,0.42483660130718953,0.18258426966292135,76,0.37438423645320196,0.5261194029850746
20,0,147,257,115,0.4474708171206226,142,0.5525291828793775,0.782312925170068,0.39792387543252594,74,0.5211267605633803,0.7354085603112841
20,1,220,384,143,0.3723958333333333,241,0.6276041666666666,0.65,0.31019522776572667,110,0.45643153526970953,0.6588541666666666
21,0,170,293,120,0.40955631399317405,173,0.590443686006826,0.7058823529411765,0.3498542274052478,85,0.4913294797687861,0.6996587030716723
21,1,204,342,107,0.3128654970760234,235,0.6871345029239766,0.5245098039215687,0.2437357630979499,102,0.4340425531914894,0.6111111111111112
24,0,152,263,112,0.42585551330798477,151,0.5741444866920152,0.7368421052631579,0.3696369636963696,76,0.5033112582781457,0.714828897338403
24,1,194,328,141,0.4298780487804878,187,0.5701219512195121,0.7268041237113402,0.3700787401574803,97,0.5187165775401069,0.725609756097561
25,0,76,148,50,0.33783783783783783,98,0.6621621621621622,0.6578947368421053,0.28735632183908044,38,0.3877551020408163,0.5945945945945946
25,1,107,198,56,0.2828282828282828,142,0.7171717171717171,0.5233644859813084,0.2248995983935743,54,0.38028169014084506,0.5555555555555556
26,0,148,260,98,0.3769230769230769,162,0.6230769230769231,0.6621621621621622,0.3161290322580645,74,0.4567901234567901,0.6615384615384615
27,0,131,230,81,0.3521739130434783,149,0.6478260869565218,0.6183206106870229,0.2892857142857143,66,0.4429530201342282,0.6391304347826087
27,1,139,243,78,0.32098765432098764,165,0.6790123456790124,0.5611510791366906,0.2565789473684211,70,0.42424242424242425,0.6090534979423868
32,0,141,246,84,0.34146341463414637,162,0.6585365853658537,0.5957446808510638,0.27722772277227725,70,0.43209876543209874,0.6260162601626016
32,1,167,291,104,0.35738831615120276,187,0.6426116838487973,0.6227544910179641,0.2937853107344633,84,0.44919786096256686,0.6460481099656358
33,0,73,144,48,0.3333333333333333,96,0.6666666666666666,0.6575342465753424,0.28402366863905326,36,0.375,0.5833333333333334
35,0,113,205,72,0.35121951219512193,133,0.6487804878048781,0.6371681415929203,0.2926829268292683,56,0.42105263157894735,0.624390243902439
35,1,117,208,59,0.28365384615384615,149,0.7163461538461539,0.5042735042735043,0.22180451127819548,58,0.38926174496644295,0.5625
36,0,142,246,106,0.43089430894308944,140,0.5691056910569106,0.7464788732394366,0.375886524822695,71,0.5071428571428571,0.7195121951219512
36,1,176,302,108,0.3576158940397351,194,0.6423841059602649,0.6136363636363636,0.2918918918918919,88,0.4536082474226804,0.6490066225165563
37,0,102,192,45,0.234375,147,0.765625,0.4411764705882353,0.18072289156626506,51,0.3469387755102041,0.5
37,1,123,247,40,0.16194331983805668,207,0.8380566801619433,0.3252032520325203,0.12121212121212122,62,0.2995169082125604,0.41295546558704455
38,0,78,149,57,0.3825503355704698,92,0.6174496644295302,0.7307692307692307,0.3352941176470588,39,0.42391304347826086,0.6442953020134228
38,1,94,178,44,0.24719101123595505,134,0.7528089887640449,0.46808510638297873,0.19298245614035087,47,0.35074626865671643,0.5112359550561798
39,0,93,182,60,0.32967032967032966,122,0.6703296703296703,0.6451612903225806,0.27906976744186046,46,0.3770491803278688,0.5824175824175825
39,1,128,237,43,0.18143459915611815,194,0.8185654008438819,0.3359375,0.13354037267080746,64,0.32989690721649484,0.45147679324894513
40,0,105,189,66,0.3492063492063492,123,0.6507936507936508,0.6285714285714286,0.2894736842105263,52,0.42276422764227645,0.6243386243386243
40,1,148,258,81,0.313953488372093,177,0.686046511627907,0.5472972972972973,0.24923076923076923,74,0.4180790960451977,0.6007751937984496
43,0,79,150,55,0.36666666666666664,95,0.6333333333333333,0.6962025316455697,0.3160919540229885,40,0.42105263157894735,0.6333333333333333
43,1,95,178,58,0.3258426966292135,120,0.6741573033707865,0.6105263157894737,0.26976744186046514,48,0.4,0.5955056179775281
44,0,95,175,69,0.3942857142857143,106,0.6057142857142858,0.7263157894736842,0.34328358208955223,48,0.4528301886792453,0.6685714285714286
44,1,107,196,69,0.3520408163265306,127,0.6479591836734694,0.6448598130841121,0.2948717948717949,54,0.4251968503937008,0.6275510204081632
44,2,156,267,91,0.3408239700374532,176,0.6591760299625468,0.5833333333333334,0.2740963855421687,78,0.4431818181818182,0.6329588014981273
45,0,148,257,87,0.33852140077821014,170,0.6614785992217899,0.5878378378378378,0.27358490566037735,74,0.43529411764705883,0.6264591439688716
45,1,174,307,87,0.28338762214983715,220,0.7166123778501629,0.5,0.22081218274111675,87,0.39545454545454545,0.5667752442996743
46,0,149,260,87,0.3346153846153846,173,0.6653846153846154,0.5838926174496645,0.2701863354037267,74,0.4277456647398844,0.6192307692307693
46,1,187,324,117,0.3611111111111111,207,0.6388888888888888,0.6256684491978609,0.2969543147208122,94,0.45410628019323673,0.6512345679012346
50,0,162,276,112,0.4057971014492754,164,0.5942028985507246,0.691358024691358,0.34355828220858897,81,0.49390243902439024,0.6992753623188406
50,1,187,315,110,0.3492063492063492,205,0.6507936507936508,0.5882352941176471,0.28061224489795916,94,0.4585365853658537,0.6476190476190476
50,2,187,315,110,0.3492063492063492,205,0.6507936507936508,0.5882352941176471,0.28061224489795916,94,0.4585365853658537,0.6476190476190476
50,3,275,451,158,0.35033259423503327,293,0.6496674057649667,0.5745454545454546,0.27816901408450706,138,0.4709897610921502,0.656319290465632
51,0,102,191,75,0.39267015706806285,116,0.6073298429319371,0.7352941176470589,0.3440366972477064,51,0.4396551724137931,0.6596858638743456
51,1,148,264,105,0.3977272727272727,159,0.6022727272727273,0.7094594594594594,0.34201954397394135,74,0.46540880503144655,0.678030303030303
52,0,102,191,70,0.36649214659685864,121,0.6335078534031413,0.6862745098039216,0.31390134529147984,51,0.4214876033057851,0.6335078534031413
52,1,130,235,85,0.3617021276595745,150,0.6382978723404256,0.6538461538461539,0.30357142857142855,65,0.43333333333333335,0.6382978723404256
52,2,168,296,90,0.30405405405405406,206,0.6959459459459459,0.5357142857142857,0.24064171122994651,84,0.4077669902912621,0.5878378378378378
53,0,137,243,77,0.3168724279835391,166,0.6831275720164609,0.5620437956204379,0.25412541254125415,68,0.40963855421686746,0.5967078189300411
54,0,93,180,58,0.32222222222222224,122,0.6777777777777778,0.6236559139784946,0.26976744186046514,46,0.3770491803278688,0.5777777777777777
54,1,174,305,115,0.3770491803278688,190,0.6229508196721312,0.6609195402298851,0.3159340659340659,87,0.45789473684210524,0.6622950819672131
55,0,143,261,88,0.3371647509578544,173,0.6628352490421456,0.6153846153846154,0.27848101265822783,72,0.4161849710982659,0.6130268199233716
56,0,123,219,87,0.3972602739726027,132,0.6027397260273972,0.7073170731707317,0.3411764705882353,62,0.4696969696969697,0.680365296803653
57,0,111,201,76,0.3781094527363184,125,0.6218905472636815,0.6846846846846847,0.3220338983050847,56,0.448,0.6567164179104478
58,0,110,196,73,0.37244897959183676,123,0.6275510204081632,0.6636363636363637,0.3133047210300429,55,0.44715447154471544,0.6530612244897959
58,1,112,206,64,0.3106796116504854,142,0.6893203883495146,0.5714285714285714,0.25196850393700787,56,0.39436619718309857,0.5825242718446602
59,0,124,219,78,0.3561643835616438,141,0.6438356164383562,0.6290322580645161,0.2943396226415094,62,0.4397163120567376,0.639269406392694
59,1,102,205,48,0.23414634146341465,157,0.7658536585365854,0.47058823529411764,0.18532818532818532,51,0.3248407643312102,0.48292682926829267
60,0,119,216,83,0.38425925925925924,133,0.6157407407407407,0.6974789915966386,0.32936507936507936,60,0.45112781954887216,0.6620370370370371
60,1,191,327,99,0.30275229357798167,228,0.6972477064220184,0.518324607329843,0.23627684964200477,96,0.42105263157894735,0.5963302752293578
63,0,143,247,94,0.3805668016194332,153,0.6194331983805668,0.6573426573426573,0.31756756756756754,72,0.47058823529411764,0.6720647773279352
63,1,79,154,36,0.23376623376623376,118,0.7662337662337663,0.45569620253164556,0.18274111675126903,40,0.3389830508474576,0.4935064935064935
64,0,88,167,50,0.2994011976047904,117,0.7005988023952096,0.5681818181818182,0.24390243902439024,44,0.37606837606837606,0.562874251497006
64,1,105,195,55,0.28205128205128205,140,0.717948717948718,0.5238095238095238,0.22448979591836735,52,0.37142857142857144,0.5487179487179488
66,0,152,269,95,0.35315985130111527,174,0.6468401486988847,0.625,0.29141104294478526,76,0.4367816091954023,0.6356877323420075
68,0,100,178,71,0.398876404494382,107,0.601123595505618,0.71,0.34299516908212563,50,0.4672897196261682,0.6797752808988764
68,1,99,186,55,0.2956989247311828,131,0.7043010752688172,0.5555555555555556,0.2391304347826087,50,0.3816793893129771,0.5645161290322581
71,0,157,272,89,0.3272058823529412,183,0.6727941176470589,0.5668789808917197,0.26176470588235295,78,0.4262295081967213,0.6139705882352942
71,1,217,378,147,0.3888888888888889,231,0.6111111111111112,0.6774193548387096,0.328125,108,0.4675324675324675,0.6746031746031746
72,0,157,265,109,0.41132075471698115,156,0.5886792452830188,0.6942675159235668,0.34824281150159747,78,0.5,0.7056603773584905
72,1,112,208,61,0.2932692307692308,147,0.7067307692307693,0.5446428571428571,0.23552123552123552,56,0.38095238095238093,0.5625
74,0,121,215,69,0.3209302325581395,146,0.6790697674418604,0.5702479338842975,0.25842696629213485,60,0.410958904109589,0.6
74,1,148,260,90,0.34615384615384615,170,0.6538461538461539,0.6081081081081081,0.2830188679245283,74,0.43529411764705883,0.6307692307692307
75,0,151,276,83,0.3007246376811594,193,0.6992753623188406,0.5496688741721855,0.24127906976744187,76,0.39378238341968913,0.5760869565217391
77,0,182,311,119,0.38263665594855306,192,0.617363344051447,0.6538461538461539,0.3181818181818182,91,0.4739583333333333,0.6752411575562701
77,1,216,367,123,0.335149863760218,244,0.6648501362397821,0.5694444444444444,0.2673913043478261,108,0.4426229508196721,0.6294277929155313
78,0,83,159,60,0.37735849056603776,99,0.6226415094339622,0.7228915662650602,0.32967032967032966,42,0.42424242424242425,0.6415094339622641
78,1,174,295,109,0.3694915254237288,186,0.6305084745762712,0.6264367816091954,0.30277777777777776,87,0.46774193548387094,0.6644067796610169
79,0,121,221,77,0.34841628959276016,144,0.6515837104072398,0.6363636363636364,0.29056603773584905,60,0.4166666666666667,0.6199095022624435
79,1,152,273,69,0.25274725274725274,204,0.7472527472527473,0.45394736842105265,0.19382022471910113,76,0.37254901960784315,0.5311355311355311
79,2,131,244,90,0.36885245901639346,154,0.6311475409836066,0.6870229007633588,0.3157894736842105,66,0.42857142857142855,0.639344262295082
80,0,128,226,68,0.3008849557522124,158,0.6991150442477876,0.53125,0.23776223776223776,64,0.4050632911392405,0.584070796460177
81,0,130,233,87,0.37339055793991416,146,0.6266094420600858,0.6692307692307692,0.31521739130434784,65,0.4452054794520548,0.6523605150214592
81,1,158,275,89,0.3236363636363636,186,0.6763636363636364,0.5632911392405063,0.25872093023255816,79,0.42473118279569894,0.610909090909091
82,0,126,229,81,0.3537117903930131,148,0.6462882096069869,0.6428571428571429,0.2956204379562044,63,0.42567567567567566,0.62882096069869
82,1,157,283,77,0.27208480565371024,206,0.7279151943462897,0.49044585987261147,0.21212121212121213,78,0.3786407766990291,0.5477031802120141
84,0,124,223,78,0.34977578475336324,145,0.6502242152466368,0.6290322580645161,0.2899628252788104,62,0.42758620689655175,0.6278026905829597
84,1,122,215,69,0.3209302325581395,146,0.6790697674418604,0.5655737704918032,0.2574626865671642,61,0.4178082191780822,0.6046511627906976
85,0,199,343,143,0.41690962099125367,200,0.5830903790087464,0.7185929648241206,0.3583959899749373,100,0.5,0.7084548104956269
86,0,81,157,62,0.39490445859872614,95,0.6050955414012739,0.7654320987654321,0.3522727272727273,40,0.42105263157894735,0.6496815286624203
86,1,133,242,77,0.3181818181818182,165,0.6818181818181818,0.5789473684210527,0.25838926174496646,66,0.4,0.5909090909090909
88,0,136,238,77,0.3235294117647059,161,0.6764705882352942,0.5661764705882353,0.25925925925925924,68,0.422360248447205,0.6092436974789915
88,1,92,183,64,0.34972677595628415,119,0.6502732240437158,0.6956521739130435,0.3033175355450237,46,0.3865546218487395,0.6010928961748634
88,2,105,194,48,0.24742268041237114,146,0.7525773195876289,0.45714285714285713,0.19123505976095617,52,0.3561643835616438,0.5154639175257731
89,0,125,224,74,0.33035714285714285,150,0.6696428571428571,0.592,0.2690909090909091,62,0.41333333333333333,0.6071428571428571
89,1,156,271,95,0.3505535055350554,176,0.6494464944649446,0.6089743589743589,0.286144578313253,78,0.4431818181818182,0.6383763837638377
90,0,156,270,102,0.37777777777777777,168,0.6222222222222222,0.6538461538461539,0.3148148148148148,78,0.4642857142857143,0.6666666666666666
90,1,113,210,63,0.3,147,0.7,0.5575221238938053,0.2423076923076923,56,0.38095238095238093,0.5666666666666667
90,2,169,309,67,0.2168284789644013,242,0.7831715210355987,0.39644970414201186,0.1630170316301703,84,0.34710743801652894,0.4886731391585761
91,0,93,177,66,0.3728813559322034,111,0.6271186440677966,0.7096774193548387,0.3235294117647059,46,0.4144144144144144,0.632768361581921
91,1,118,233,58,0.24892703862660945,175,0.7510729613733905,0.4915254237288136,0.19795221843003413,59,0.33714285714285713,0.5021459227467812
93,0,123,224,70,0.3125,154,0.6875,0.5691056910569106,0.2527075812274368,62,0.4025974025974026,0.5892857142857143
93,1,147,255,80,0.3137254901960784,175,0.6862745098039216,0.54421768707483,0.2484472049689441,74,0.4228571428571429,0.6039215686274509
95,0,101,185,64,0.34594594594594597,121,0.654054054054054,0.6336633663366337,0.2882882882882883,50,0.4132231404958678,0.6162162162162163
96,0,104,190,69,0.3631578947368421,121,0.6368421052631579,0.6634615384615384,0.30666666666666664,52,0.4297520661157025,0.6368421052631579
96,1,115,209,59,0.2822966507177033,150,0.7177033492822966,0.5130434782608696,0.22264150943396227,58,0.38666666666666666,0.5598086124401914
97,0,111,205,71,0.3463414634146341,134,0.6536585365853659,0.6396396396396397,0.2897959183673469,56,0.417910447761194,0.6195121951219512
97,1,114,208,64,0.3076923076923077,144,0.6923076923076923,0.5614035087719298,0.24806201550387597,57,0.3958333333333333,0.5817307692307693
98,0,115,210,67,0.319047619047619,143,0.680952380952381,0.5826086956521739,0.2596899224806202,58,0.40559440559440557,0.5952380952380952
98,1,119,217,70,0.3225806451612903,147,0.6774193548387096,0.5882352941176471,0.2631578947368421,60,0.40816326530612246,0.5990783410138248
100,0,128,229,78,0.3406113537117904,151,0.6593886462882096,0.609375,0.27956989247311825,64,0.423841059602649,0.6200873362445415
100,1,132,233,77,0.33047210300429186,156,0.6695278969957081,0.5833333333333334,0.2673611111111111,66,0.4230769230769231,0.6137339055793991
101,0,84,160,59,0.36875,101,0.63125,0.7023809523809523,0.31891891891891894,42,0.4158415841584158,0.63125
101,1,151,275,108,0.3927272727272727,167,0.6072727272727273,0.7152317880794702,0.33962264150943394,76,0.4550898203592814,0.6690909090909091
102,0,119,216,73,0.33796296296296297,143,0.6620370370370371,0.6134453781512605,0.2786259541984733,60,0.4195804195804196,0.6157407407407407
102,1,165,277,90,0.3249097472924188,187,0.6750902527075813,0.5454545454545454,0.2556818181818182,82,0.4385026737967914,0.6209386281588448
103,0,132,243,82,0.3374485596707819,161,0.6625514403292181,0.6212121212121212,0.27986348122866894,66,0.40993788819875776,0.6090534979423868
103,1,106,197,50,0.25380710659898476,147,0.7461928934010152,0.4716981132075472,0.1976284584980237,53,0.36054421768707484,0.5228426395939086
104,0,210,366,126,0.3442622950819672,240,0.6557377049180327,0.6,0.28,105,0.4375,0.6311475409836066
105,0,237,396,144,0.36363636363636365,252,0.6363636363636364,0.6075949367088608,0.294478527607362,118,0.46825396825396826,0.6616161616161617
105,1,303,500,177,0.354,323,0.646,0.5841584158415841,0.2827476038338658,152,0.47058823529411764,0.658
109,0,186,318,91,0.2861635220125786,227,0.7138364779874213,0.489247311827957,0.22033898305084745,93,0.40969162995594716,0.5786163522012578
112,0,77,153,49,0.3202614379084967,104,0.6797385620915033,0.6363636363636364,0.27071823204419887,38,0.36538461538461536,0.5686274509803921
112,1,111,201,48,0.23880597014925373,153,0.7611940298507462,0.43243243243243246,0.18181818181818182,56,0.3660130718954248,0.5174129353233831
113,0,143,245,90,0.3673469387755102,155,0.6326530612244898,0.6293706293706294,0.30201342281879195,72,0.4645161290322581,0.6612244897959184
113,1,129,225,85,0.37777777777777777,140,0.6222222222222222,0.6589147286821705,0.3159851301115242,64,0.45714285714285713,0.6622222222222223
114,0,169,286,109,0.3811188811188811,177,0.6188811188811189,0.6449704142011834,0.315028901734104,84,0.4745762711864407,0.6748251748251748
114,1,128,229,73,0.31877729257641924,156,0.6812227074235808,0.5703125,0.25704225352112675,64,0.41025641025641024,0.5982532751091703
117,0,129,229,92,0.4017467248908297,137,0.5982532751091703,0.7131782945736435,0.3458646616541353,64,0.46715328467153283,0.6812227074235808
117,1,97,181,52,0.287292817679558,129,0.712707182320442,0.5360824742268041,0.23008849557522124,48,0.37209302325581395,0.5524861878453039
118,0,135,237,81,0.34177215189873417,156,0.6582278481012658,0.6,0.27835051546391754,68,0.4358974358974359,0.6286919831223629
119,0,136,248,83,0.3346774193548387,165,0.6653225806451613,0.6102941176470589,0.2757475083056478,68,0.4121212121212121,0.6088709677419355
119,1,113,204,63,0.3088235294117647,141,0.6911764705882353,0.5575221238938053,0.24803149606299213,56,0.3971631205673759,0.5833333333333334
120,0,211,356,134,0.37640449438202245,222,0.6235955056179775,0.6350710900473934,0.3094688221709007,106,0.4774774774774775,0.6741573033707865
121,0,176,297,103,0.3468013468013468,194,0.6531986531986532,0.5852272727272727,0.27837837837837837,88,0.4536082474226804,0.6430976430976431
121,1,182,315,115,0.36507936507936506,200,0.6349206349206349,0.6318681318681318,0.3010471204188482,91,0.455,0.653968253968254
123,0,191,317,107,0.33753943217665616,210,0.6624605678233438,0.5602094240837696,0.26683291770573564,96,0.45714285714285713,0.6403785488958991
123,1,150,261,92,0.3524904214559387,169,0.6475095785440613,0.6133333333333333,0.2884012539184953,75,0.4437869822485207,0.6398467432950191
123,2,142,253,81,0.3201581027667984,172,0.6798418972332015,0.5704225352112676,0.25796178343949044,71,0.4127906976744186,0.6007905138339921
123,3,162,285,86,0.3017543859649123,199,0.6982456140350877,0.5308641975308642,0.23822714681440443,81,0.40703517587939697,0.5859649122807018
125,0,213,354,153,0.4322033898305085,201,0.5677966101694916,0.7183098591549296,0.3695652173913043,106,0.527363184079602,0.731638418079096
126,0,128,227,69,0.3039647577092511,158,0.6960352422907489,0.5390625,0.24125874125874125,64,0.4050632911392405,0.5859030837004405
126,1,147,257,68,0.26459143968871596,189,0.7354085603112841,0.46258503401360546,0.20238095238095238,74,0.3915343915343915,0.5525291828793775
127,0,97,179,62,0.3463687150837989,117,0.6536312849162011,0.6391752577319587,0.2897196261682243,48,0.41025641025641024,0.6145251396648045
128,0,163,280,90,0.32142857142857145,190,0.6785714285714286,0.5521472392638037,0.254957507082153,82,0.43157894736842106,0.6142857142857143
129,0,192,322,113,0.35093167701863354,209,0.6490683229813664,0.5885416666666666,0.2817955112219451,96,0.45933014354066987,0.6490683229813664
130,0,90,170,64,0.3764705882352941,106,0.6235294117647059,0.7111111111111111,0.32653061224489793,45,0.42452830188679247,0.6411764705882353
130,1,143,250,79,0.316,171,0.684,0.5524475524475524,0.2515923566878981,72,0.42105263157894735,0.604
131,0,93,174,57,0.3275862068965517,117,0.6724137931034483,0.6129032258064516,0.2714285714285714,46,0.39316239316239315,0.5919540229885057
131,1,116,212,80,0.37735849056603776,132,0.6226415094339622,0.6896551724137931,0.3225806451612903,58,0.4393939393939394,0.6509433962264151
133,0,115,209,64,0.3062200956937799,145,0.69377990430622,0.5565217391304348,0.24615384615384617,58,0.4,0.583732057416268
133,1,127,227,73,0.32158590308370044,154,0.6784140969162996,0.5748031496062992,0.2597864768683274,64,0.4155844155844156,0.6035242290748899
135,0,118,210,88,0.41904761904761906,122,0.580952380952381,0.7457627118644068,0.36666666666666664,59,0.48360655737704916,0.7
135,1,117,218,53,0.24311926605504589,165,0.7568807339449541,0.452991452991453,0.1879432624113475,58,0.3515151515151515,0.5091743119266054
136,0,74,147,51,0.3469387755102041,96,0.6530612244897959,0.6891891891891891,0.3,37,0.3854166666666667,0.5986394557823129
136,1,132,241,71,0.2946058091286307,170,0.7053941908713693,0.5378787878787878,0.23509933774834438,66,0.38823529411764707,0.5684647302904564
138,0,152,259,87,0.3359073359073359,172,0.6640926640926641,0.5723684210526315,0.26851851851851855,76,0.4418604651162791,0.6293436293436293
138,1,189,321,106,0.3302180685358255,215,0.6697819314641744,0.5608465608465608,0.2623762376237624,94,0.4372093023255814,0.6230529595015576
141,0,90,174,50,0.28735632183908044,124,0.7126436781609196,0.5555555555555556,0.2336448598130841,45,0.3629032258064516,0.5459770114942529
141,1,139,247,75,0.30364372469635625,172,0.6963562753036437,0.539568345323741,0.24115755627009647,70,0.4069767441860465,0.5870445344129555
142,0,176,299,129,0.431438127090301,170,0.568561872909699,0.7329545454545454,0.37283236994219654,88,0.5176470588235295,0.725752508361204
142,1,231,392,162,0.413265306122449,230,0.5867346938775511,0.7012987012987013,0.351409978308026,116,0.5043478260869565,0.7091836734693877
143,0,124,219,84,0.3835616438356164,135,0.6164383561643836,0.6774193548387096,0.32432432432432434,62,0.45925925925925926,0.6666666666666666
143,1,98,191,65,0.3403141361256545,126,0.6596858638743456,0.6632653061224489,0.29017857142857145,49,0.3888888888888889,0.5968586387434555
144,0,96,182,55,0.3021978021978022,127,0.6978021978021978,0.5729166666666666,0.24663677130044842,48,0.3779527559055118,0.5659340659340659
144,1,113,213,70,0.3286384976525822,143,0.6713615023474179,0.6194690265486725,0.2734375,56,0.3916083916083916,0.5915492957746479
145,0,97,182,56,0.3076923076923077,126,0.6923076923076923,0.5773195876288659,0.25112107623318386,48,0.38095238095238093,0.5714285714285714
145,1,135,239,95,0.39748953974895396,144,0.602510460251046,0.7037037037037037,0.34050179211469533,68,0.4722222222222222,0.6820083682008368
146,0,98,179,59,0.329608938547486,120,0.6703910614525139,0.6020408163265306,0.2706422018348624,49,0.4083333333333333,0.6033519553072626
146,1,168,289,77,0.2664359861591695,212,0.7335640138408305,0.4583333333333333,0.2026315789473684,84,0.39622641509433965,0.5570934256055363
147,0,88,165,59,0.3575757575757576,106,0.6424242424242425,0.6704545454545454,0.30412371134020616,44,0.41509433962264153,0.6242424242424243
147,1,196,338,100,0.2958579881656805,238,0.7041420118343196,0.5102040816326531,0.2304147465437788,98,0.4117647058823529,0.5857988165680473
149,0,175,300,127,0.42333333333333334,173,0.5766666666666667,0.7257142857142858,0.3649425287356322,88,0.5086705202312138,0.7166666666666667
150,0,83,163,39,0.2392638036809816,124,0.7607361963190185,0.46987951807228917,0.18840579710144928,42,0.3387096774193548,0.49693251533742333
150,1,169,288,99,0.34375,189,0.65625,0.5857988165680473,0.276536312849162,84,0.4444444444444444,0.6354166666666666
151,0,91,168,58,0.34523809523809523,110,0.6547619047619048,0.6373626373626373,0.2885572139303483,46,0.41818181818181815,0.6190476190476191
151,1,129,225,66,0.29333333333333333,159,0.7066666666666667,0.5116279069767442,0.22916666666666666,64,0.4025157232704403,0.5777777777777777
152,0,166,288,105,0.3645833333333333,183,0.6354166666666666,0.6325301204819277,0.3008595988538682,83,0.453551912568306,0.6527777777777778
