Question,Real Answer,Pred Answer
What shows work is the stand-up comedian he played St. Geegland in the Kroll Show best known for?,Saturday Night Live,"The Oh, Hello Show"
"Which 1999 movie, directed by Joe Johnston, is based onthe memoirs of a veitnam veteran and formaer NASA engineer?",October Sky,October Sky
"What is a 1995 American epic crime drama film directed by Martin Scorsese, that was based of of episodes from a British documentary/docudrama television series created by Bart Layton ?",Casino,Casino
"Who played Jeanne Murray's cousin in the sitcom ""All in the Family""?",Beatrice Arthur,Edith Bunker
Under what union did the king who created Duchy of Holstein serve?,the Kalmar Union,Kalmar Union
When was the American actress and singer died who was a star in both Clueless (1995) and Drop Dead Gorgeous?,"December 20, 2009","December 20, 2009"
"Cliff Bennett and the Rebel Rousers are a 1960s British rhythm and blues, soul and beat group who had two Top 10 hits, one being, Got to Get You into My Life, a song by who, first released in 1966 on the album ""Revolver""?",Beatles,the Beatles
Which South Korean mixed martial artist has been defeated by George Roop?,Chan Sung Jung,Chan Sung Jung
"Donald Molosi won an award for his performance as the first President of what country in ""Blue, Black and White""?",Botswana,Botswana
Are George Abbott and Leo McCarey both film directors?,yes,yes
"What are are commonly known as milkworts or snakeroots, Nothofagus or Polygala ?",Polygala,Polygala
Which movie staring Isabel Lucas also starred Ethan Hawke as a hematologist?,Daybreakers,Daybreakers
On what date did this series premier that is an American animated superhero action-comedy television series and stars a fictional character named Blisstina Utonium?,"April 4, 2016","April 4, 2016"
"In which year was the drama, based on the true story of the Odones and directed by Australian film director, screenwriter, producer, and former medical doctor, released?",1992,1992
Did Skin and Laura Stoica both sing?,yes,yes
The birthplace of Bernhard Cathrinus Pauss is the capital of which county in Norway?,Buskerud,Akershus
"Was Brave New Films founded by Robert Greenwald or Alexander Kluge, a German author and film director?",Robert Greenwald,Robert Greenwald
Do the bands Peter Bjorn and John and Shihad both play indie pop?,no,yes
"Benjamin Saunders (born April 13, 1983), is an American mixed martial artist who currently fights in the Welterweight division of the UFC he was on fighting on Team Serra, Matthew John Serra (born June 2, 1974) is an American former professional mixed martial artist, Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship and which occupation?",stand up comic,"co-host of the official podcast of the UFC, UFC Unfiltered"
Who directed Julia Stiles in the role that won the  MTV Movie Award for Best Breakthrough Performance?,Gil Junger,Gil Junger
Was Flubber or The Sorcerer's Apprentice released first?,Flubber,Flubber
"Which is a type of flowering plant, Dieffenbachia or Encephalartos?",Dieffenbachia,Dieffenbachia
Tarik Azzougarh conceptualized this album for which only one copy was made in 2015.,Once Upon a Time in Shaolin,Once Upon a Time in Shaolin
Bride of Chucky is a sequel to a movie directed by who?,Jack Bender,John Lafia
"Who is younger, Max Cavalera or Jon Fratelli?",Jon Fratelli,Jon Fratelli
"Which magazine, launched in 1934 by the Communist Party, was known to publish work by Emil Draitser?",Partisan Review,Partisan Review
Are Meg Myers and a founding member of American rock band Wavves considered singer-songwriters?,yes,yes
What Baltimore Ravens retiree scored 8 touchdowns for the Tennessee Titans in 2003?,Derrick Mason,Derrick Mason
"Which hospital located in Washington D.C. specializes in treating persons with physical disabilities,George Washington University Hospital or MedStar National Rehabilitation Hospital?",MedStar National Rehabilitation Network,MedStar National Rehabilitation Hospital
"In which city do maritime pilots operating along the Hudson River and Long Island Sound, one of the wealthiest being Joseph Henderson, function?",New York,New York City
"Jon Fratelli and Morten Harket, have which occupation in common?",musician,musician
How many rooms does the second most famous hotel in Las Vegas have?,106,"The second most famous hotel in Las Vegas is the Golden Gate Hotel & Casino, which has 106 rooms."
Which actress from Love Rain was also known by the mononym Yoona?,Im Yoon-ah,Im Yoon-ah
"The season of what follows the adventures of Finn, a human boy, and his best friend and adoptive brother Jake, the season also includes guest stars Miguel Ferrer as Death; Ferrer would later reprise his role in the fourth season episode ""Sons of Mars""?",Adventure Time,Adventure Time
Which of the two bands Kill Hannah and Warpaint is from California?,Warpaint,Warpaint
Red Bull Stratos was a project involving the skydiver of what nationality?,Austrian,Austrian
"The Talented Mr. Ripley is a 1999 film about what fictional character in a series of crime novels by American novelist Patricia Highsmith, as well as several film adaptations?",Tom Ripley,Tom Ripley
"On season eighteen of a show that premiered on March 17, 2014 Brooke Burke-Charvet was replaced as co-host by an American sportscaster who is a sideline reporter for who?",Fox NFL,Erin Andrews
What two occupations do  Alberto Cavalcanti and Oscar Apfel have in common?,film director and producer,film director and producer
What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,Walt Disney Productions
Can both Robert Hayden and Chitra Banerjee Divakaruni be classed as members of American minorities?,yes,yes
What American actor starred in the 2006 movie Click?,Adam Sandler,Adam Sandler
what opening day attraction at EPCOT Center in 1982 was closed down for refurbishment in 1995,World of Motion,World of Motion
WHICH MIKE WILL MADE IT SONG WAS CO-WRITTEN BY ROCK CITY?,Pour It Up,Pour It Up
"Who starred in a 1999 film based on the memoir ""Rocket Boys""?","Jake Gyllenhaal, Chris Cooper, Chris Owen, and Laura Dern","Jake Gyllenhaal, Chris Cooper, Chris Owen, and Laura Dern"
What garland or wreath is used in the statewide celebration of Hawaii?,Lei,Lei
"What motor racing circuit in Montreal, Quebec, Canada that is the venue for the FIA Formula One Canadian Grand Prix did the 2005 Canadian Grand Prix, Formula One motor race, held on 12 June 2005 get held at?",Circuit Gilles Villeneuve,Circuit Gilles Villeneuve
"The Editor is a 2014 Canadian horror comedy-mystery film by who, and starring Paz de la Huerta, is an American actress and model?",Astron-6,Astron-6
In what year did the field where the 2016 TaxSlayer Bowl was held assumed its name?,2010,2010
