mode,row_id,main_question,sub_question,ground_truth,strict_kv_correct,mode_correct,strict_kv_predicted,mode_predicted
strict_v_only_rate0.15,29,Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,False,False,Lana Wood,Edmund Gwenn
strict_v_only_rate0.15,30,What team was Anna Benson's husband on?,Who is Anna Benson's husband?,"Kris Benson, a former Major League Baseball pitcher.",True,True,Kris Benson,"Document: Anna Benson (born February 12, 1976) is an American model, former stripper, and ex-wife of former Major League Baseball pitcher Kris Benson. Kris Benson."
strict_v_only_rate0.15,36,What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,Joni James sang the song 'You Belong to Me'.,False,True,"Sue Thompson
Answer: Joni James
Answer: Jessica Simpson","1952: Joni James
1952: Sue Thompson
1952: Patti Page"
strict_v_only_rate0.15,37,What record label does the artist who sang you belong to me belong to?,What record label is Joni James signed to?,Joni James was signed to MGM Records.,True,False,M-G-M Records,Kirtland Records
strict_v_only_rate0.15,39,What place does the administrative territorial entity that Juba is located in share a border with?,What places share a border with Central Equatoria?,Eastern Equatoria shares a border with Central Equatoria.,False,False,"The Badigeru Swamp and The Citizen (South Sudan) share a border with Central Equatoria. However, based on the provided documents, there is no explicit statement about direct border sharing. The Badigeru Swamp is located in Central Equatoria and Eastern Equatoria states of South Sudan, and The Citizen is based in Juba, the capital of Central Equatoria. Therefore, these places are in proximity to Central Equatoria but not explicitly stated to share a border.",The Badigeru Swamp and the Hadiya Zone share borders with Central Equatoria.
strict_v_only_rate0.15,41,Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,False,False,Harry Hamlin as Steve,"Erin Cottrell, Missie LaHaye, Logan Bartholomew, Willie LaHaye, Frank McRae, Cookie Irene Bedard, Miriam McClain, Gil Birmingham, Sharp Claw W. Morgan, Sheppard Scottie James Tupper, Henry Kline, Johann Urb Fyn Anders, Jeff Kober, Pacey Richard Lee Jackson, Sonny Huff, Graham Phillips, Stephen Bridgewater, Mr. Taylorsen, Diane Salinger, Diane Louise Salinger, John Savage, Trent Dale Midkiff, Clark Davis."
strict_v_only_rate0.15,44,Who played king whose regal Name did Albert Adopt in the king's speech?,Who played King George VI in the film 'The King's Speech'?,Colin Firth,True,True,Colin Firth,George VI was played by Colin Firth in the film 'The King's Speech'.
strict_v_only_rate0.15,48,In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,"Greenfield, Indiana",True,True,"1956 in Greenfield, Indiana","1956 in Greenfield, Indiana."
strict_v_only_rate0.15,50,Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,True,True,Piero de' Medici and Lucrezia Tornabuoni,Piero di Cosimo de' Medici and Lucrezia Tornabuoni
strict_v_only_rate0.15,55,Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,True,True,"Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna.",Rohana Wijeweera
strict_v_only_rate0.15,58,What county shares a border with Cedar Springs?,Where is Cedar Springs located?,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.",False,False,"Cedar Springs is located in west Falls County, Texas, United States. It is an unincorporated community near the headquarters of Guadalupe Mountains National Park.","Cedar Springs is located in Lincoln County, Wisconsin."
strict_v_only_rate0.15,59,What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",Bell County shares a border with Falls County.,False,False,"Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into a small portion of Falls County and serves communities in Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where Vera is located.","Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into a small portion of Falls County and serves communities in Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where Cedar Springs, Texas is located."
strict_v_only_rate0.15,60,Bancroft's county borders what county?,Where is Bancroft located?,"Bancroft is located in Ontario, Canada.",True,False,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada. Specifically, it is in the West Kootenay region and is home to North Hastings High School, which is located on the west side of the Fraser River just south of the town of Yale, in the Canadian province of British Columbia. However, there seems to be a geographical discrepancy as Bancroft is in Ontario, not British Columbia. This might indicate an error in the provided information or a need for clarification on the specific Bancroft being referred to."
strict_v_only_rate0.15,62,Bancroft's county borders what county?,Which counties border Hastings County in Ontario?,Renfrew County and Haliburton County border Hastings County in Ontario.,True,True,"Renfrew County, Haliburton County",Renfrew County and Haliburton County
strict_v_only_rate0.15,66,Who played the king that was king of england in 1951 in the king's speech?,Which actor played King George VI in the film 'The King's Speech'?,Colin Firth,True,True,Colin Firth,"Document: The King's Speech is a 2010 British historical drama film directed by Tom Hooper and written by David Seidler. Colin Firth plays the future King George VI who, to cope with a stammer, sees Lionel Logue, an Australian speech and language therapist played by Geoffrey Rush. Therefore, the actor who played King George VI in the film 'The King's Speech' is Colin Firth."
strict_v_only_rate0.15,67,When was John's eldest son crowned?,Who is John's eldest son?,Henry III,False,False,"John III, Margrave of Brandenburg-Salzwedel","John II of Jerusalem's eldest son is John of Ibelin, though he is not mentioned directly in the provided documents. The eldest son of John III, Margrave of Brandenburg-Salzwedel, is John from Prague. The eldest son of John Bigelow, Senior is John Bigelow Jr. The eldest son of John Petgwood is not mentioned. The eldest son of John Wedgwood is not mentioned. The eldest son of John, King of England (likely referring to John of England) is not mentioned. The eldest son of John, Margrave of Brandenburg-Salzwedel is not mentioned. The eldest son of John, King of Jerusalem (likely referring to John II of Jerusalem) is John of Ibelin, though he is not mentioned directly in the provided documents."
strict_v_only_rate0.15,72,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,What character did Geena Davis play in the movie A League of Their Own?,Geena Davis played the character Dottie Hinson.,True,False,Dottie Hinson,Thelma
strict_v_only_rate0.15,74,"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Which character did Geena Davis play in the film A League of Their Own?,Geena Davis played the character Dottie Hinson.,False,False,Thelma,Louise
strict_v_only_rate0.15,77,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",Who played Thelma in the movie 'Thelma and Louise'?,Geena Davis played Thelma in the movie 'Thelma & Louise'.,True,False,Geena Davis,Susan Sarandon
strict_v_only_rate0.15,78,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",Which character did Geena Davis play in the movie 'A League of Their Own'?,Geena Davis played the character Dottie Hinson.,True,False,Dottie Hinson,Thelma
strict_v_only_rate0.15,79,"What is the movie starring Preity Zinta, Madhuri Dixit and the spouse of Kajol?","Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn","The movie 'Yeh Raaste Hain Pyaar Ke' (2001) stars Preity Zinta, Madhuri Dixit, and Ajay Devgn.",True,False,"Yeh Raaste Hain Pyaar Ke, Dil Kya Karega","Yeh Raaste Hain Pyaar Ke, Dil Kya Kare Document: Yeh Raaste Hain Pyaar Ke is a 2001 Indian Hindi comedy film directed by Rahat Kazmi, starring Jennifer Winget, Vinod Dixit, Pawan Malhotra, Saurabh Shukla, Mukesh Tiwari, Dev Singh, and Gagandeep Singh. However, it does not list Preity Zinta, Madhuri Dixit, and Ajay Devgn as its cast. 
Document: Dil Kya Kare (English: ""What Should The Heart Do?"") is a 2008 Indian romantic drama film directed by Ajay Devgn, starring Ajay Devgn, Kajol, and others. This film features Ajay Devgn and Kajol, but not Madhuri Dixit or Preity Zinta.
Given the information, there is no direct mention of a film that stars all three: Preity Zinta, Madhuri Dixit, and Ajay Devgn. However, based on the provided documents, we can infer that these actors have appeared in different films. Since no specific film is mentioned that includes all three, the answer is that there is no movie starring Preity Zinta, Madhuri Dixit, and Ajay Devgn in the given context."
strict_v_only_rate0.15,85,Who was married to the star of No Escape?,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",Valerie Hobson was married to John Profumo.,False,True,无法确定，因为提供的信息中没有提到这些演员的婚姻状况或他们的配偶。,"Document: Profumo was born in London, the son of former British government minister John Profumo and his wife, actress Valerie Hobson. The Profumo family is of Italian origin. David Profumo would have succeeded his father as 6th Baron Profumo in the nobility of the Kingdom of Sardinia, if the nobility of Italy had not been legally abolished after WW2. Like his father, he does not use this title. Therefore, Valerie Hobson was married to John Profumo."
strict_v_only_rate0.15,87,Who is the other child of Chian Hsiao-chang's father?,What are all the children of Chiang Ching-kuo?,"Chiang Ching-kuo had four legitimate children with his wife Faina Ipatyevna Vakhreva (Chiang Fang-liang): Chiang Hsiao-wen (eldest son), Chiang Hsiao-chang (daughter), Chiang Hsiao-wu (second son), and Chiang Hsiao-yung (youngest son). He also had two half-brothers with other mothers: Winston Chang and John Chiang.",True,True,"Chiang Hsiao-wen, Chiang Hsiao-wen's younger sister Hsiao-chang, Chiang Hsiao-wen's two younger brothers Hsiao-wu and Hsiao-yung, Chiang Hsiao-wen's two half-brothers Winston Chang and John Chiang.","Chiang Hsiao-wen, Chiang Hsiao-wen's younger sister Hsiao-chang, Chiang Hsiao-wen's two younger brothers Hsiao-wu and Hsiao-yung, Chiang Hsiao-wen's half-brothers Winston Chang and John Chiang"
strict_v_only_rate0.15,98,Who is part of the band that performed Full Cooperation?,Who are the members of the American hip hop group Def Squad?,"The American hip hop group Def Squad consists of Erick Sermon, Redman, and Keith Murray. Jamal is considered an honorary member.",True,True,"Erick Sermon, Redman and Keith Murray","Erick Sermon, Redman and Keith Murray."
strict_v_only_rate0.15,100,What film features Anil Devgan's sibling?,Which films feature Ajay Devgan?,"The films featuring Ajay Devgan are: U Me Aur Hum, Yeh Raaste Hain Pyaar Ke, and Dil Kya Kare.",False,False,"U Me Aur Hum, Dil Kya Kare, Raju Chacha, Blackmail (2005 film)","U Me Aur Hum, Dil Kya Kare, Blackmail (2005 film), Raju Chacha, Har Dil Jo Pyar Karega"
strict_v_only_rate0.15,106,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Who are the cast members of the movie U Me Aur Hum?,"The cast includes Ajay Devgan, Kajol, Karan Khanna, Isha Sharvani, Sumeet Raghavan, and Divya Dutta.",False,False,"Ajay Devgn, Mahima Chaudhry, Kajol, and Chandrachur Singh starred in the movie U Me Aur Hum.","Ajay Devgn, Mahima Chaudhry, Kajol and Chandrachur Singh starred in the lead roles of the movie U Me Aur Hum."
strict_v_only_rate0.15,107,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,The only Bollywood movie featuring both Preity Zinta and Madhuri Dixit is 'Yeh Raaste Hain Pyaar Ke'.,False,False,Diya Aur Toofan (1995 film),"Diya Aur Toofan, Dil Kya Kare"
strict_v_only_rate0.15,110,What political party does the person that Adversary in the House is based on a member of?,Who is the book 'Adversary in the House' based on?,The book 'Adversary in the House' is based on the life of Eugene V. Debs and his wife Kate.,False,True,1912 United States presidential election,Eugene V. Debs
strict_v_only_rate0.15,113,What event caused the Liberal Party of Australia's longest-serving leader to become Prime Minister?,What specific political event or circumstance caused Robert Menzies to become Prime Minister of Australia?,"Robert Menzies became Prime Minister following the death of the incumbent Prime Minister, Joseph Lyons, in 1939.",False,True,"Menzies became Prime Minister after defeating the Labor government of Ben Chifley in 1949, partly due to Labor's proposal to nationalize banks and following a crippling coal strike led by the Australian Communist Party.","Menzies became Prime Minister of Australia following the death of Joseph Lyons in 1939, leading the Liberal Party of Australia which had won every federal election until 1972."
strict_v_only_rate0.15,116,The Nicole and Natalie album's band is named after who?,What is the name of the band that released the album 'Nicole and Natalie'?,Nina Sky,False,True,Nicole and Natalie,Nina Sky
strict_v_only_rate0.15,117,Of which river is the river Kichi Sipi Bridge crosses a tributary?,Which river does the Kichi Sipi Bridge cross?,The Kichi Sipi Bridge crosses the Nelson River.,True,True,The Nelson River,The Kichi Sipi Bridge crosses the Nelson River.
strict_v_only_rate0.15,118,Of which river is the river Kichi Sipi Bridge crosses a tributary?,Into which larger river does the Nelson River flow as a tributary?,"The Nelson River flows directly into Hudson Bay, not into a larger river as a tributary.",False,False,The Nelson River flows as a tributary into the Hudson Bay.,Fraser River
strict_v_only_rate0.15,119,Who is the child of the actor who is a cast member of Love in Pawn?,Who are the cast members of Love in Pawn?,Bernard Braden and Barbara Kelly,True,False,Bernard Braden and Barbara Kelly,"Vincent Gallo, Delfine Bafort, Sage Stallone, Lisa Love and Hope Tomaselli"
strict_v_only_rate0.15,122,Who is the spouse of the first nominated African American presidential candidate?,Who was the first nominated African American presidential candidate?,"Frederick Douglass was the first African American to be nominated as a presidential candidate, receiving one vote at the 1888 Republican National Convention.",True,False,"Frederick Douglass was invited to speak at the Republican National Convention in 1888 and received one vote, making him the first nominated African American presidential candidate, though he was not a serious candidate in contemporary terms.",Barack Obama
strict_v_only_rate0.15,124,What event caused the founder of Australia's liberal party to become Prime Minister?,Who founded the Liberal Party of Australia?,Robert Menzies founded the Liberal Party of Australia.,False,False,Joseph Lyons,"Joseph Lyons founded the Liberal Party of Australia as the Australian Free Trade and Liberal Association, which later became known as the Liberal Party of Australia."
strict_v_only_rate0.15,125,What event caused the founder of Australia's liberal party to become Prime Minister?,When did Robert Menzies serve as Prime Minister of Australia?,"Robert Menzies served as Prime Minister of Australia from 1939 to 1941 and again from 1949 to 1966 (his tenure ended before the 1972 election, making him the longest-serving PM).",True,False,1939 to 1941 and again from 1949 to 1966,1939 to 1941
strict_v_only_rate0.15,126,What event caused the founder of Australia's liberal party to become Prime Minister?,What specific political event or circumstance led to Robert Menzies first becoming Prime Minister of Australia in 1939?,"Robert Menzies first became Prime Minister of Australia in 1939 following the death of the previous Prime Minister, Joseph Lyons.",True,True,"Menzies became the Prime Minister of Australia in 1939 following the death of Joseph Lyons, who led the United Australia Party (UAP) government.",Lyons' death in 1939 saw Robert Menzies assume the Prime Ministership on the eve of war.
strict_v_only_rate0.15,128,What is the river that the Kettle Generating Station is located on a tributary of?,"Is the Lower Nelson River a tributary of a larger river system, and if so, which main river does it flow into?","Yes, the Lower Nelson River is part of the Nelson River system, and it flows into Hudson Bay.",False,False,Lower Nelson River flows into the Fraser River through the Nechako River.,Lower Nelson River flows into the Fraser River through the Nelson River system.
strict_v_only_rate0.15,132,Who is the city where Lesnoye Sanatorium is located named after?,Where is Lesnoye Sanatorium located?,"Lesnoye Sanatorium is located in the city of Tolyatti, Russia.",True,True,"Lesnoye Sanatorium is located in Tolyatti, Russia.","Lesnoye Sanatorium is located in the city of Tolyatti, Russia."
strict_v_only_rate0.15,134,Whom is the birth place of Ravil Aryapov named after?,Who is Ravil Aryapov and where was he born?,"Ravil Aryapov is a Russian professional football coach and former player. He was born in Stavropol, which is now the city of Tolyatti.",True,True,"Ravil Velimukayevich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti.","Ravil Velimukhamedovich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti. However, the exact current location of his birth is not specified as Tolyakov is mentioned instead of Tolyatti in the provided documents. Given the information, it is reasonable to infer he was born in Tolyakov, now part of Tolyatti, Russia."
strict_v_only_rate0.15,141,What administrative territorial entity is the owner of Ciudad Deportiva located?,"What administrative territorial entity owns the Ciudad Deportiva sports complex in Nuevo Laredo, Mexico?",The Ciudad Deportiva sports complex is owned by the Nuevo Laredo Municipality.,True,True,Municipality of Nuevo Laredo,The Municipality of Nuevo Laredo
strict_v_only_rate0.15,143,Who founded the company that distributed the film UHF?,Who founded Orion Pictures?,Morris Mike Medavoy was a co-founder of Orion Pictures.,True,True,Morris Mike Medavoy,Morris Mike Medavoy co-founded Orion Pictures in 1978.
strict_v_only_rate0.15,147,When did the person who first brought a postal service into Umayyad lands become caliph?,Who first introduced the postal service in the Umayyad Caliphate?,Mu'awiyah introduced the postal service in the Umayyad Caliphate.,True,True,Mu'awiyah,"Umar bin Abdul-Aziz developed the postal service further by building caravanserais at stages along the Khurasan highway, but the initial development and extension of the postal service under the Umayyad Caliphate is attributed to Abd al-Malik, who extended it throughout the empire after Umar. However, the introduction of the postal service in the broader context of the Umayyad Caliphate can be traced back to Mu'awiyah, the first Umayyad caliph, who is noted for his efforts in establishing and improving the postal system."
strict_v_only_rate0.15,156,Where did the author of The National Dream go to university?,Who is the author of The National Dream?,Pierre Berton,True,False,Pierre Berton,Ludwig von Mises
strict_v_only_rate0.15,158,What type of animal is Xiao Liwu's mother?,What is Xiao Liwu?,"Xiao Liwu is a giant panda, the sixth cub born to his mother Bai Yun and the fifth for his father Gao Gao at the San Diego Zoo.",True,True,"Xiao Liwu is the sixth cub born to his mother Bai Yun, and the fifth for his father Gao Gao. He has one half-sister, Hua Mei, and four full siblings, Mei Sheng, Su Lin, Yun Zi, and Zhen Zhen. Like his full siblings, he was conceived via natural mating.",Xiao Liwu is a male giant panda.
strict_v_only_rate0.15,159,What university did the author of 1967: The Last Good Year attend?,Who is the author of the book '1967: The Last Good Year'?,Pierre Berton,True,False,"1967: The Last Good Year was not directly mentioned in the provided documents, but based on the information given about 1967: The Last Good Year being a book by Pierre Berton, the correct answer would be Pierre Berton. However, since Pierre Berton is not listed in the provided documents, and given the format, I will state that the author is not explicitly provided in the given documents.",Ludwig von Mises
strict_v_only_rate0.15,161,Who was honoured with the highest award a citizen without military experience in India before becoming a president?,Which Indian Presidents received the Bharat Ratna award before becoming President?,Sarvepalli Radhakrishnan received the Bharat Ratna in 1954 before becoming President.,False,False,"Radhakrishnan, Kalam","C. Rajagopalachari, Sarvepalli Radhakrishnan, and Lal Bahadur Shastri received the Bharat Ratna award before becoming President of India."
strict_v_only_rate0.15,162,The Directory of Public Worship was approved by a parliament whose modern equivalent has been based where since 2004?,Which parliament approved the Directory of Public Worship?,The Scottish Parliament approved the Directory of Public Worship.,False,True,Westminster Assembly,Scottish Parliament
strict_v_only_rate0.15,167,What city is located in the county containing Qiantong?,"What cities are located in Ninghai County, Zhejiang province?","Qiantong is a town located in Ninghai County, Zhejiang province.",False,False,"Qiantong, Qiantong, Zhejiang and Qiantong, Zhejiang",Qiantong and Qianjiang
strict_v_only_rate0.15,175,What province shares a border with the province where Lago District is located?,Which provinces share a border with Niassa Province?,Niassa Province borders Cabo Delgado Province and Tanzania.,False,False,"Cabo Delgado Province, Inhambane Province, Gaza Province, and Maputo Province share a border with Niassa Province.","Cabo Delgado Province, Gaza Province, and Inhambane Province share a border with Niassa Province."
strict_v_only_rate0.15,177,What is the record label of the Metalworks Studio founder?,What record label is Gil Moore associated with?,Gil Moore is associated with the record label TRC (later renamed TML Entertainment).,True,False,TML Entertainment,Three Gut Records
strict_v_only_rate0.15,181,The city which contains Broadhurst Park shares a border with what town?,"Which towns share a border with the city of Manchester, England?",Moston shares a border with the city of Manchester.,False,True,Middleton and Moston,"Middleton, Chadderton, and Moston share a border with the city of Manchester, England."
strict_v_only_rate0.15,182,In which state is Vera Barbosa's place of birth located?,What is Vera Barbosa's place of birth?,"Vila Franca de Xira, Portugal",True,False,Vila Franca de Xira,13 January 1989
strict_v_only_rate0.15,184,What company succeeded the owner of Empire Sports Network?,Who owned Empire Sports Network?,Empire Sports Network was owned by the Adelphia Communications Corporation.,True,False,21st Century Fox (through Adelphia Communications Corporation),21st Century Fox
strict_v_only_rate0.15,186,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,What body of water is Bartram's Covered Bridge located on?,Crum Creek,True,False,Crum Creek,Mad River
strict_v_only_rate0.15,187,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,What watercourse does Crum Creek flow into?,Crum Creek flows into the Delaware River.,True,True,Delaware River,the Delaware River
strict_v_only_rate0.15,189,What is the ruler of the underworld in ancient Egypt a part of?,"What broader mythological system, pantheon, or conceptual framework is Osiris a part of in ancient Egyptian religion?",Osiris is a part of the ancient Egyptian mythological system and pantheon of deities.,True,True,Egyptian mythology,Egyptian pantheon
strict_v_only_rate0.15,190,What other county does the county where Imperial is located share a border with?,In which county is Imperial located?,"Imperial is located in Pecos County, Texas.",False,True,"Imperial County
The reference text states ""Imperial, Texas: Imperial is a census-designated place (CDP) in Pecos County, Texas, United States."" However, since the question does not specify Texas and the document about Imperial, Wyoming is not provided, we can infer that the question likely refers to Imperial, Texas, which is in Pecos County, Texas. But based on the provided documents, there is no direct mention of Imperial being in a specific county. Given the question's phrasing and the provided documents, the most logical answer is Imperial County, assuming the question is about Imperial, Texas.","Imperial is located in Pecos County, Texas."
strict_v_only_rate0.15,191,What other county does the county where Imperial is located share a border with?,"What other counties share a border with Pecos County, Texas?",Crockett County shares a border with Pecos County.,False,False,"Crockett County and Randall County share borders with Pecos County, Texas.","Crockett County and Culberson County share a border with Pecos County, Texas."
strict_v_only_rate0.15,193,In which state is Póvoa de Santa Iria's municipality located?,In which district is the municipality of Vila Franca de Xira located?,Lisbon District,False,True,"Vila Franca de Xira is located in the Inhambane Province. 

However, based on the provided documents, the correct answer should be:
Answer: Vila Franca de Xira is located in the Lisbon District.","Vila Franca de Xira is located in the municipality of Vila Franca de Xira, Portugal. However, based on the provided documents, Vila Franca de Xira municipality is in the Lisbon District."
strict_v_only_rate0.15,198,How old was Mary when engaged to the person from whom São José dos Campos takes it's name?,Who is São José dos Campos named after?,São José dos Campos é nomeada em homenagem a São José (Saint Joseph).,False,True,José Antunes Sobrinho,Saint Joseph
strict_v_only_rate0.15,200,What was the old show that was named after a character that Walt Disney created in 1928 called?,What is the name of the old show named after Mickey Mouse?,The Mickey Mouse Club,True,True,Mickey Mouse Club,The Mickey Mouse Club
strict_v_only_rate0.15,201,Where is the country with ISO code ISO 3166-2:CV located?,What country has the ISO 3166-1 alpha-2 code CV?,Cabo Verde,True,True,Cabo Verde,"Document: ISO 3166-2:CV is the entry for Cabo Verde in ISO 3166-2, part of the ISO 3166 standard published by the International Organization for Standardization (ISO), which defines codes for the names of the principal subdivisions (e.g., provinces or states) of all countries coded in ISO 3166-1. Therefore, the country with the ISO 3166-1 alpha-2 code CV is Cabo Verde."
strict_v_only_rate0.15,204,What award did the author of The Red Tree receive?,What award did Shaun Tan receive?,Shaun Tan received an Academy Award for Best Animated Short Film in 2011.,True,True,Academy Award for Best Animated Short Film,2011 Academy Award for Best Animated Short Film
strict_v_only_rate0.15,209,Where was the author of Hannibal and Scipio educated at?,Who is the author of the book 'Hannibal and Scipio'?,Thomas Nabbes,True,False,Thomas Nabbes,Ross Leckie
strict_v_only_rate0.15,211,Where was Tyler MacDuff's child educated?,Who is Tyler MacDuff?,Tyler MacDuff is an actor and the father of Dana MacDuff.,False,False,"Tyler MacDuff is the son of Dana MacDuff, who served in the United States Navy and worked as a page at the American Broadcasting Company before becoming a floor and stage manager with the BBC in Belfast, Northern Ireland, and later returning to Hollywood to produce films. There is no direct information provided about Tyler MacDuff himself in the given documents, only his familial connection to Dana MacDuff.","Tyler MacDuff is an American actor born in Pasadena, California. He is the son of actor Tyler MacDuff and Beverlie May Anderson. Like his father, Tyler MacDuff served in the United States Navy. He graduated from Blair International Baccalaureate School in Pasadena in 1974 and later worked as a page at the American Broadcasting Company and as a floor and stage manager with the BBC in Belfast, Northern Ireland. He returned to Hollywood in 1995 to produce films."
strict_v_only_rate0.15,212,Where was Tyler MacDuff's child educated?,Where was Dana MacDuff educated?,He graduated from Blair International Baccalaureate School in Pasadena.,True,True,"Blair International Baccalaureate School in Pasadena, California",Blair International Baccalaureate School in Pasadena
strict_v_only_rate0.15,213,In which county is Kimbrough Memorial Stadium located?,In which city is Kimbrough Memorial Stadium located?,"Canyon, Texas",True,False,"Kimbrough Memorial Stadium is located in Canyon, Texas.",Broken Bow
strict_v_only_rate0.15,215,What military overran much of Erich Zakowski's place of birth?,Where was Erich Zakowski born?,Erich Zakowski was born in East Prussia.,False,True,Berlin,Germany
strict_v_only_rate0.15,216,What military overran much of Erich Zakowski's place of birth?,Which military force overran much of East Prussia during World War II?,The Soviet Union overran much of East Prussia during World War II.,True,False,Soviet Union,Imperial Russian troops
