row_id,mode,main_question,sub_question,ground_truth,kv_predicted,mode_predicted,kv_correct,mode_correct,kv_f1,mode_f1,kv_em,mode_em
56,v_only,Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,"Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna.",Patabendi Don Jinadasa Nandasiri Wijeweera,True,False,0.608695652173913,0.20689655172413793,0.0,0.0
59,v_only,What county shares a border with Cedar Springs?,Where is Cedar Springs located?,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.","Cedar Springs is located in west Falls County, Texas, United States. It is an unincorporated community near the headquarters of Guadalupe Mountains National Park.","Cedar Springs is located in Lincoln County, Wisconsin.",False,False,0.5925925925925927,0.33333333333333337,0.0,0.0
60,v_only,What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",Bell County shares a border with Falls County.,"Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into a small portion of Falls County and serves communities in Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where the Sam Houston National Forest is located.","Bell County and Knox County share a border with Falls County, Texas. Document: Troy Independent School District: Located in Bell County, the district extends into a small portion of Falls County. Document: Cedar Springs, Texas: Cedar Springs is in west Falls County and is located on Farm-to-market road #2027. Document: Vera, Texas: Vera is in north Falls County. Document: Pineville, Texas: Pineville is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document: Granger, Texas: Granger is in north Falls County. Document",False,False,0.14492753623188404,0.026525198938992044,0.0,0.0
61,v_only,Bancroft's county borders what county?,Where is Bancroft located?,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada. Specifically, it is in the West Kootenay region and is the location of North Hastings High School, which is described as being just north of the US-Canada border, approximately 500 km from Vancouver, British Columbia, and 200 km from Kelowna, British Columbia.","Bancroft is located in Ontario, Canada. Specifically, it is in the West Kootenay region and is home to North Hastings High School, which is near the Fraser River and south of the town of Yale.",False,False,0.24324324324324326,0.36,0.0,0.0
63,v_only,Bancroft's county borders what county?,Which counties border Hastings County in Ontario?,Renfrew County and Haliburton County border Hastings County in Ontario.,"Renfrew County, Haliburton County",Renfrew County and Haliburton County,True,True,0.6363636363636364,0.6956521739130436,0.0,0.0
68,v_only,When was John's eldest son crowned?,Who is John's eldest son?,Henry III,"John III, Margrave of Brandenburg-Salzwedel",John II of Jerusalem,False,False,0.15384615384615385,0,0.0,0.0
75,v_only,"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Which character did Geena Davis play in the film A League of Their Own?,Geena Davis played the character Dottie Hinson.,Thelma,Thelma & Louise,False,False,0,0,0.0,0.0
80,v_only,"What is the movie starring Preity Zinta, Madhuri Dixit and the spouse of Kajol?","Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn","The movie 'Yeh Raaste Hain Pyaar Ke' (2001) stars Preity Zinta, Madhuri Dixit, and Ajay Devgn.","Yeh Raaste Hain Pyaar Ke, Dil Kya Karega","Yeh Raaste Hain Pyaar Ke, Dil Kya Kare Document",False,False,0.36363636363636365,0.36363636363636365,0.0,0.0
88,v_only,Who is the other child of Chian Hsiao-chang's father?,What are all the children of Chiang Ching-kuo?,"Chiang Ching-kuo had four legitimate children with his wife Faina Ipatyevna Vakhreva (Chiang Fang-liang): Chiang Hsiao-wen (eldest son), Chiang Hsiao-chang (daughter), Chiang Hsiao-wu (second son), and Chiang Hsiao-yung (youngest son). He also had two half-brothers with other mothers: Winston Chang and John Chiang.","Chiang Hsiao-wen, Chiang Hsiao-wen's younger sister Hsiao-chang, Chiang Hsiao-wen's two younger brothers Hsiao-wu and Hsiao-yung, Chiang Hsiao-wen's two half-brothers Winston Chang and John Chiang","Chiang Hsiao-wen, Chiang Hsiao-wen's younger sister Hsiao-chang, Chiang Hsiao-wen's two younger brothers Hsiao-wu and Hsiao-yung, Chiang Hsiao-wen's half-brothers Winston Chang and John Chiang",True,True,0.5426356589147286,0.546875,0.0,0.0
107,v_only,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Who are the cast members of the movie U Me Aur Hum?,"The cast includes Ajay Devgan, Kajol, Karan Khanna, Isha Sharvani, Sumeet Raghavan, and Divya Dutta.","Ajay Devgn, Mahima Chaudhry, Kajol, and Chandrachur Singh starred in the lead roles of the movie U Me Aur Hum.","Ajay Devgn, Mahima Chaudhry, Kajol and Chandrachur Singh",False,False,0.25,0.30434782608695654,0.0,0.0
108,v_only,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,The only Bollywood movie featuring both Preity Zinta and Madhuri Dixit is 'Yeh Raaste Hain Pyaar Ke'.,Diya Aur Toofan (1995 film),Diya Aur Toofan (1995),False,False,0,0,0.0,0.0
110,v_only,Who married the publisher of abolitionist newspaper The North Star?,Who was Frederick Douglass married to?,Frederick Douglass was married first to Anna Murray Douglass and second to Helen Pitts Douglass.,Helen Pitts,Helen Pitts and Mary Ann Evans (aka George Eliot),False,False,0.2857142857142857,0.3157894736842105,0.0,0.0
123,v_only,Who is the spouse of the first nominated African American presidential candidate?,Who was the first nominated African American presidential candidate?,"Frederick Douglass was the first African American to be nominated as a presidential candidate, receiving one vote at the 1888 Republican National Convention.","Frederick Douglass was invited to speak at the Republican National Convention in 1888 and received one vote, making him the first nominated African American presidential candidate, though he was not a serious candidate in contemporary terms.","Frederick Douglass was invited to speak at the Republican National Convention in 1888, though he did not formally run. The first African American to win the nomination and become president was Barack Obama in 2008.",True,False,0.7076923076923076,0.5142857142857142,0.0,0.0
124,v_only,Who is the spouse of the first nominated African American presidential candidate?,Who was the spouse of Frederick Douglass?,"Frederick Douglass had two spouses: his first wife was Anna Murray Douglass, and his second wife was Helen Pitts Douglass.",Helen Pitts,Helen Pitts and Sarah Jane Emery,False,False,0.2424242424242424,0.25641025641025644,0.0,0.0
127,v_only,What event caused the founder of Australia's liberal party to become Prime Minister?,What specific political event or circumstance led to Robert Menzies first becoming Prime Minister of Australia in 1939?,"Robert Menzies first became Prime Minister of Australia in 1939 following the death of the previous Prime Minister, Joseph Lyons.","Menzies became the Prime Minister of Australia in 1939 following the death of Joseph Lyons, who led the United Australia Party (UAP) government.","Menzies became the Prime Minister of Australia in 1939 following the death of Joseph Lyons, leading the Liberal Party of Australia.",True,True,0.7407407407407408,0.7843137254901961,0.0,0.0
129,v_only,What is the river that the Kettle Generating Station is located on a tributary of?,"Is the Lower Nelson River a tributary of a larger river system, and if so, which main river does it flow into?","Yes, the Lower Nelson River is part of the Nelson River system, and it flows into Hudson Bay.",Lower Nelson River flows into the Fraser River through the Nechako River.,Lower Nelson River flows into the Fraser River through the Nelson River system.,False,False,0.3870967741935484,0.5806451612903226,0.0,0.0
135,v_only,Whom is the birth place of Ravil Aryapov named after?,Who is Ravil Aryapov and where was he born?,"Ravil Aryapov is a Russian professional football coach and former player. He was born in Stavropol, which is now the city of Tolyatti.","Ravil Velimukayevich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti.","Ravil Velimukhamedovich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti.",True,True,0.4912280701754386,0.4912280701754386,0.0,0.0
159,v_only,What type of animal is Xiao Liwu's mother?,What is Xiao Liwu?,"Xiao Liwu is a giant panda, the sixth cub born to his mother Bai Yun and the fifth for his father Gao Gao at the San Diego Zoo.","Xiao Liwu is the sixth cub born to his mother Bai Yun, and the fifth for his father Gao Gao. He has one half-sister, Hua Mei, and four full siblings, Mei Sheng, Su Lin, Yun Zi, and Zhen Zhen. Like his full siblings, he was conceived via natural mating.",Xiao Liwu is a male giant panda.,True,True,0.5054945054945054,0.32432432432432434,0.0,0.0
160,v_only,What university did the author of 1967: The Last Good Year attend?,Who is the author of the book '1967: The Last Good Year'?,Pierre Berton,"1967: The Last Good Year was not directly authored under that title, but it refers to the book ""1967: Canada's Turning Point"" by Pierre Berton.","1967: The Last Good Year was not directly mentioned in the provided documents, but based on the context, it seems to be a different title from ""The Last Good Year"" by James Morrow or ""1967: The Last Good Year"" by Pierre Berton. Given the question and the provided documents, the correct answer would be Pierre Berton, as ""1967: The Last Good Year"" by Pierre Berton is the most relevant title from the provided documents.",True,True,0.11428571428571428,0.048780487804878044,0.0,0.0
162,v_only,Who was honoured with the highest award a citizen without military experience in India before becoming a president?,Which Indian Presidents received the Bharat Ratna award before becoming President?,Sarvepalli Radhakrishnan received the Bharat Ratna in 1954 before becoming President.,"Radhakrishnan, Kalam","Radhakrishnan, Rajendra Prasad",False,False,0.27586206896551724,0.25806451612903225,0.0,0.0
168,v_only,What city is located in the county containing Qiantong?,"What cities are located in Ninghai County, Zhejiang province?","Qiantong is a town located in Ninghai County, Zhejiang province.","Qiantong, Qiantong, Zhejiang and Qiantong, Zhejiang","Qiantong, Ninghai County, Zhejiang province",False,True,0.3571428571428571,0.8181818181818181,0.0,0.0
170,v_only,"Who is the grandmother of Philippe, Duke of Orléans?","Who is Philippe, Duke of Orléans?","Philippe, Duke of Orléans (1640–1701) was the younger son of King Louis XIII of France and Anne of Austria, making him the younger brother of King Louis XIV. He was originally styled Duke of Anjou and became Duke of Orléans in 1660. He was also granted other titles such as Duke of Valois, Chartres, and Nemours. At court, he was known simply as 'Monsieur'.","Philippe, Duke of Orléans was the younger son of Louis XIII of France and his wife, Anne of Austria. He later became King of the French, styled as Louis Philippe I, after his cousin Charles X was forced to abdicate by the July Revolution.","Philippe, Duke of Orléans was the younger son of Louis XIII of France and his wife, Anne of Austria. He later became King of the French, known as Louis Philippe I, after his cousin Charles X was forced to abdicate by the July Revolution in 1830.",False,False,0.4225352112676057,0.45945945945945943,0.0,0.0
176,v_only,What province shares a border with the province where Lago District is located?,Which provinces share a border with Niassa Province?,Niassa Province borders Cabo Delgado Province and Tanzania.,"Cabo Delgado Province, Inhambane Province, Gaza Province, and Inhambane Province","Cabo Delgado Province, Gaza Province, and Inhambane Province share a border with Niassa Province.",False,False,0.3703703703703703,0.41379310344827586,0.0,0.0
185,v_only,What company succeeded the owner of Empire Sports Network?,Who owned Empire Sports Network?,Empire Sports Network was owned by the Adelphia Communications Corporation.,21st Century Fox (through Adelphia Communications Corporation),21st Century Fox,True,False,0.4210526315789474,0,0.0,0.0
191,v_only,What other county does the county where Imperial is located share a border with?,In which county is Imperial located?,"Imperial is located in Pecos County, Texas.","Imperial County
The reference text states ""Imperial, Texas: Imperial is a census-designated place (CDP) in Pecos County, Texas, United States."" However, since the question does not specify Texas and the document about Imperial, Wyoming is not provided, we can infer that the question likely refers to Imperial, Texas based on the naming pattern and the context of the other documents which discuss locations in Texas. Therefore, Imperial is in Pecos County, Texas. But strictly following the provided documents without making assumptions, the correct answer based on the given information would be that Imperial is in Pecos County, Texas. If the question intended to ask about Imperial, Wyoming, the answer would be Pecos County, Wyoming. Given the question's phrasing, the most appropriate answer is Pecos County, Texas.","Imperial County
The reference text states ""Imperial is a census-designated place (CDP) in Imperial County, Texas, United States."" Therefore, Imperial is located in Imperial County.",False,False,0.4,0.4,0.0,0.0
192,v_only,What other county does the county where Imperial is located share a border with?,"What other counties share a border with Pecos County, Texas?",Crockett County shares a border with Pecos County.,"Crockett County and Culberson County share borders with Pecos County, Texas.","Crockett County and Randall County share borders with Pecos County, Texas. However, the provided documents do not explicitly state this. We can infer this by noting that Lancaster Crossing is in Randall County and is near Pecos County, and Imperial, a place in Pecos County, is close to Crockett County.",False,False,0.5454545454545454,0.19047619047619047,0.0,0.0
194,v_only,In which state is Póvoa de Santa Iria's municipality located?,In which district is the municipality of Vila Franca de Xira located?,Lisbon District,"Vila Franca de Xira is located in the Inhambane Province. 

However, based on the provided documents, the correct answer should be:
Answer: Vila Franca de Xira is located in the Lisbon District.","Vila Franca de Xira is located in the municipality of Vila Franca de Xira, Portugal. However, it is situated in the Lisbon District.",False,True,0,0.14285714285714288,0.0,0.0
212,v_only,Where was Tyler MacDuff's child educated?,Who is Tyler MacDuff?,Tyler MacDuff is an actor and the father of Dana MacDuff.,"Tyler MacDuff is the son of Dana MacDuff, who served in the United States Navy and worked as a page at the American Broadcasting Company before becoming a floor and stage manager with the BBC in Belfast, Northern Ireland, and later returning to Hollywood to produce films. Tyler MacDuff is not directly mentioned in the provided documents, but based on the information about Dana MacDuff and his brother Dana MacDuff, it can be inferred that Tyler MacDuff is likely another son in the family, though specific details about his background or career are not provided in the given documents.","Tyler MacDuff is not directly mentioned in the provided documents. However, based on the information given about Dana MacDuff, who is named as Tyler MacDuff's father, we can infer that Tyler MacDuff is likely the son of Tyler MacDuff, the actor. The provided documents do not give specific details about Tyler MacDuff himself, only about his father and a different individual named Tyler MacDuff who is an educator.",False,False,0.1951219512195122,0.2916666666666667,0.0,0.0
217,v_only,What military overran much of Erich Zakowski's place of birth?,Which military force overran much of East Prussia during World War II?,The Soviet Union overran much of East Prussia during World War II.,Soviet Union,Soviet forces,True,True,0.2666666666666667,0.13333333333333336,0.0,0.0
226,v_only,Who is the child of Sigrid Eskilsdotter's child?,Who is the child of Sigrid Eskilsdotter?,Christina Gyllenstierna,Margareta von Ascheberg,Margareta Eriksdotter Vasa,False,False,0,0,0.0,0.0
227,v_only,Who is the child of Sigrid Eskilsdotter's child?,Who are the children of Christina Gyllenstierna?,Christina Gyllenstierna's children include a daughter (mother of King Gustav Vasa) and a child who was the parent of Sigrid Sture.,"Sigrid Sture and Margareta von Asp is the information we can derive from the given documents, though Margareta von Asp is not explicitly stated to be a child of Christina Gyllenstierna, she is mentioned in relation to Sigrid Sture, who is identified as the mother of Swedish regent Christina Gyllenstierna. Therefore, we can infer that Christina Gyllenstierna could have had at least these two daughters.",Sigrid Sture,False,False,0.26315789473684215,0.19999999999999998,0.0,0.0
229,v_only,Who is the child of the Victim of Romance performer?,Who is Michelle Phillips' child?,Chynna Phillips,"Michelle Phillips' child is Chifundo ""Mercy"" James, though she was adopted from Malawi.","Michelle Phillips' child is Chifundo ""Mercy"" James, who she adopted from Malawi.",False,False,0.25,0.2608695652173913,0.0,0.0
231,v_only,What happened to the Curonians who lived in the area where Erich Zakowski was born?,Which specific Curonian population historically inhabited East Prussia?,The Curonians who lived in the area around the Curonian Lagoon in East Prussia.,219 Curonians lived along the Curonian Spit in 1955.,219 Curonians lived along the Curonian Spit in 1955 after being expelled by the Soviet Union from East Prussia.,False,False,0.38709677419354843,0.41860465116279066,0.0,0.0
232,v_only,What is the competition that the 1965 Federation Cup is part of named after?,What is the 1965 Federation Cup?,"The 1965 Federation Cup was the third edition of the women's international team tennis competition, now known as the Fed Cup. It was held from 15–18 January at the Kooyong Lawn Tennis Club in Melbourne, Australia. Eleven nations participated, and Australia defended their title by defeating the United States in the final.","11 nations participated in the 1965 Federation Cup, which was held at the Kooyong Lawn Tennis Club in Melbourne, Australia from 6–11 June. United States defended their title, defeating Great Britain in the final.","1965 Federation Cup was the fifth edition of what is now known as the Fed Cup. 17 nations participated in the tournament, which was held at the Blau-Weiss Tennis Club in West Berlin from 6–11 June. United States defended their title, defeating Great Britain in the final.",False,False,0.6599999999999999,0.6126126126126126,0.0,0.0
241,v_only,Who is the father of the Labo M performer?,What is Labo M?,Labo M is the third studio album by French singer-songwriter Matthieu Chedid (under his persona -M-). It is an all-instrumental work released in 2003.,"Labo M is the third studio album by French singer-songwriter Matthieu Chedid in his persona as -M-, released in 2003.","Labo M is the third studio album by Swedish recording artist Nina Sky, released in 2003.",True,False,0.8571428571428571,0.509090909090909,0.0,0.0
243,v_only,Where did the producer of Julius Caesar study or work?,Who is the producer of Julius Caesar?,John Houseman,无法从给定信息中确定朱利叶斯·凯撒的 producers，提供的文档没有提及该电影的制作或制作人员信息。,无法从给定信息中确定朱利叶斯·凯撒的 producers，提供的文档主要讨论了 Julius Caesar 的戏剧和歌剧版本，以及相关的文学和艺术作品，但没有提到电影或戏剧的制作人信息。,True,False,0,0,0.0,0.0
244,v_only,Where did the producer of Julius Caesar study or work?,Where did John Houseman study or work?,John Houseman was educated at Clifton College in England and worked in the grain trade in London.,"John Houseman was educated in England at Clifton College, worked in the grain trade in London, and later emigrated to the United States in 1925.","John Houseman was educated in England at Clifton College, worked in the grain trade in London, and later emigrated to the United States in 1925 where he became a stage name and worked in Hollywood.",True,True,0.7499999999999999,0.6206896551724138,0.0,0.0
245,v_only,What is the competition the 1972 Federation Cup is part of named after?,What is the Federation Cup in sports?,The Federation Cup is the premier international team competition in women's tennis. It was launched in 1963 and is the world's largest annual women's international team sports competition in terms of participating nations.,"The Federation Cup is the premier international team competition in women's tennis, now known as the Fed Cup. It was launched in 1963 to celebrate the 50th anniversary of the International Tennis Federation (ITF). The competition involves national teams and is the world's largest annual women's international team sport event in terms of the number of nations that compete.","The Federation Cup is the premier international team competition in women's tennis, now known as the Fed Cup.",True,True,0.6881720430107526,0.40816326530612246,0.0,0.0
6,none,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?","Alice de Lusignan had a uterine half-brother, King Henry III of England.","John III, King of Cyprus and Jerusalem and Count of Edessa, Isabella de Lusignan, Joan de Lusignan, and Maud de Lusignan","John of Gaunt, 1st Duke of Lancaster and Isabella of Angoulême",False,False,0.2962962962962963,0.05555555555555555,0.0,0.0
10,none,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,"Charles University in PragueDocument: Friedrich Hayek: Initially sympathetic to Wieser's democratic socialism, Hayek's economic thinking shifted away from socialism and toward the classical liberalism of Carl Menger after reading von Mises' book Socialism. It was sometime after reading Socialism that Hayek began attending von Mises' private seminars, joining several of his university friends, including Fritz Machlup, Alfred Schutz, Felix Kaufmann, and Gottfried Haberler, who were also participating in Hayek's own, more general, private seminar. It was during this time that he also encountered and befriended noted political philosopher Eric Voegelin, with whom he retained a long-standing relationship.
Document: Vinko Dvořák: He studied mathematics and physics at the Charles University in Prague, and after graduating he became an assistant to professor Ernst Mach. After obtaining his doctorate in Prague in 1873/1874 he came to Zagreb (at the time also part of Austria-Hungary) and founded the Physics Cabinet at the Faculty of Philosophy in 1875.
Based on the provided information, we can deduce that Ernst Mach's employer or academic institution during his career was Charles University in Prague. The document states that Vinko Dvořák studied mathematics and physics at Charles University in Prague and became an assistant to professor Ernst Mach there. This indicates that Ernst Mach was associated with Charles University in Prague as an academic during his career.",True,True,0.625,0.07407407407407407,0.0,0.0
12,none,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard the Lion-hearted's fleet in April 1191,Richard I's fleet in April 1191 that left Messina to reach Acre,True,True,0.5142857142857143,0.65,0.0,0.0
19,none,What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence, and she was born either a deaf-mute or just deaf and mentally challenged. She did not survive her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence, born in 1253, who died in 1257 at the age of three.",True,True,0.5981308411214953,0.5660377358490566,0.0,0.0
22,none,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,Mara Wilson,Mara Elizabeth Wilson,False,False,0,0,0.0,0.0
23,none,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas",Perry County,"Perry County, Illinois",False,False,0.3333333333333333,0.25,0.0,0.0
37,none,What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,Joni James sang the song 'You Belong to Me'.,"Sue Thompson
Answer: Joni James
Answer: Jessica Simpson","Sue Thompson
Answer: Joni James
Answer: Joe Cocker and Jennifer Warnes",False,False,0,0,0.0,0.0
42,none,Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,Harry Hamlin as Steve,"Harry Hamlin as Steve
Deborah Van Valkenburgh as Tina",False,True,0.39999999999999997,0.39999999999999997,0.0,0.0
51,none,Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,Piero de' Medici and Lucrezia Tornabuoni,Piero di Cosimo de' Medici and Lucrezia Tornabuoni,True,True,0.6285714285714286,0.7368421052631579,0.0,0.0
56,none,Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,"Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna.","Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna political party. However, it was later led by Dimuthu Bandara Abayakoon. Shiranthi Rajapaksa is the wife of the sixth President of Sri Lanka, Mahinda Rajapaksa, and was the First Lady of Sri Lanka from 2005 to 2015. She is not related to the founding of the Janatha Vimukthi Peramuna. The information about Shirley Temple, Scott Derrickson, and Ed Wood is not relevant to the question.",True,True,0.608695652173913,0.22377622377622378,0.0,0.0
59,none,What county shares a border with Cedar Springs?,Where is Cedar Springs located?,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.","Cedar Springs is located in west Falls County, Texas, United States. It is an unincorporated community near the headquarters of Guadalupe Mountains National Park.","Cedar Springs is located in Lincoln County, south-central Kentucky, and is a tributary to the Dix River. It was designated as a ""Natural Area"" by the state of Illinois and has been part of the Mississippi River watershed.",False,False,0.5925925925925927,0.17647058823529413,0.0,0.0
60,none,What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",Bell County shares a border with Falls County.,"Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into a small portion of Falls County and serves communities in Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where the Sam Houston National Forest is located.","Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into Falls County and parts of Bell County, and Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County.",False,False,0.14492753623188404,0.17857142857142858,0.0,0.0
61,none,Bancroft's county borders what county?,Where is Bancroft located?,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada. Specifically, it is in the West Kootenay region and is the location of North Hastings High School, which is described as being just north of the US-Canada border, approximately 500 km from Vancouver, British Columbia, and 200 km from Kelowna, British Columbia.","Bancroft is located in Ontario, Canada. Specifically, it is in the West Kootenay region and is the location of North Hastings High School, which is described as being on the west side of the Fraser River just south of the town of Yale, in the Canadian province of British Columbia. However, Bancroft itself is in Ontario, not British Columbia. There seems to be a location discrepancy in the provided information.",False,True,0.24324324324324326,0.2117647058823529,0.0,0.0
