left,right,main_question,sub_question,left_correct,right_correct,left_predicted,right_predicted
strict_kv_rate0.15,strict_none_clean_rate0.15,Who played the monarch at the end of WW2 in The King's Speech?,Who played King George VI in The King's Speech?,True,False,Colin Firth,Andrew Scott
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the spouse of a cast member from King of the Mountain?,Who are the cast members of King of the Mountain?,False,True,Harry Hamlin as Steve,"Harry Hamlin, Deborah Van Valkenburgh"
strict_kv_rate0.15,strict_none_clean_rate0.15,Who played king whose regal Name did Albert Adopt in the king's speech?,Who played King George VI in the film 'The King's Speech'?,True,True,Colin Firth,George VI was played by Colin Firth in the film 'The King's Speech'.
strict_kv_rate0.15,strict_none_clean_rate0.15,In which county is Mark Dismore's birthplace located?,Where was Mark Dismore born?,True,True,"1956 in Greenfield, Indiana","1956 in Greenfield, Indiana."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who was the sibling of Nannina de' Medici?,Who were the parents of Nannina de' Medici?,True,True,Piero de' Medici and Lucrezia Tornabuoni,Piero di Cosimo de' Medici and Lucrezia Tornabuoni
strict_kv_rate0.15,strict_none_clean_rate0.15,What county is the NRHEG High School located in?,Where is NRHEG High School located?,True,True,"NRHEG High School is located in New Richland, Minnesota.","11237 Kingston Pike, New Richland, Minnesota"
strict_kv_rate0.15,strict_none_clean_rate0.15,Who founded the political party of Dimuthu Bandara Abayakoon?,Who founded the Janatha Vimukthi Peramuna political party?,True,True,"Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna.","Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna political party."
strict_kv_rate0.15,strict_none_clean_rate0.15,What county shares a border with Cedar Springs?,Where is Cedar Springs located?,False,False,"Cedar Springs is located in west Falls County, Texas, United States. It is an unincorporated community near the headquarters of Guadalupe Mountains National Park.","Cedar Springs is located in Lincoln County, south-central Kentucky, and is a tributary to the Dix River. It was designated as a ""Natural Area"" by the state of Illinois and has been part of the Mississippi River watershed."
strict_kv_rate0.15,strict_none_clean_rate0.15,What county shares a border with Cedar Springs?,"Which counties share a border with Falls County, Texas?",False,False,"Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into a small portion of Falls County and serves communities in Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where Vera is located.","Bell County and Knox County share a border with Falls County, Texas. This can be inferred from the information that Troy Independent School District extends into Falls County and serves parts of Bell County, and that Cedar Springs, an unincorporated community in Falls County, is near the border with Knox County where the Sam Houston National Forest is located."
strict_kv_rate0.15,strict_none_clean_rate0.15,Bancroft's county borders what county?,Where is Bancroft located?,True,True,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada. It is home to North Hastings High School, which serves students in the northern portion of Hastings County and is part of the Hastings and Prince Edward District School Board."
strict_kv_rate0.15,strict_none_clean_rate0.15,Bancroft's county borders what county?,Which counties border Hastings County in Ontario?,True,True,"Renfrew County, Haliburton County",Renfrew County and Haliburton County
strict_kv_rate0.15,strict_none_clean_rate0.15,Who played the king that was king of england in 1951 in the king's speech?,Which actor played King George VI in the film 'The King's Speech'?,True,True,Colin Firth,George VI was played by Colin Firth in the film 'The King's Speech'.
strict_kv_rate0.15,strict_none_clean_rate0.15,When was John's eldest son crowned?,Who is John's eldest son?,False,False,"John III, Margrave of Brandenburg-Salzwedel","John's eldest son is John III, Margrave of Brandenburg-Salzwedel, nicknamed ""John from Prague""."
strict_kv_rate0.15,strict_none_clean_rate0.15,What character in A League of their Own was played by the actress who played Thelma in the movie Thelma and Louise?,What character did Geena Davis play in the movie A League of Their Own?,True,False,Dottie Hinson,Thelma
strict_kv_rate0.15,strict_none_clean_rate0.15,"The actor who played Thelma in ""Thelma and Louise"" also played which character in ""A League of Their Own""?",Which character did Geena Davis play in the movie 'A League of Their Own'?,True,False,Dottie Hinson,Thelma
strict_kv_rate0.15,strict_none_clean_rate0.15,"What is the movie starring Preity Zinta, Madhuri Dixit and the spouse of Kajol?","Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn",True,False,"Yeh Raaste Hain Pyaar Ke, Dil Kya Karega","Yeh Raaste Hain Pyaar Ke, Dil Kya Kare"
strict_kv_rate0.15,strict_none_clean_rate0.15,In which district was Ernie Watts born?,Where was Ernie Watts born?,True,True,Woolhampton in Berkshire,Berkshire
strict_kv_rate0.15,strict_none_clean_rate0.15,Who was married to the star of No Escape?,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",False,True,无法确定，因为提供的信息中没有提到这些演员的婚姻状况或他们的配偶。,"user
Answer: Valerie Hobson was married to John Profumo, who was a former British government minister."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the other child of Chian Hsiao-chang's father?,What are all the children of Chiang Ching-kuo?,True,False,"Chiang Hsiao-wen, Chiang Hsiao-wen's younger sister Hsiao-chang, Chiang Hsiao-wen's two younger brothers Hsiao-wu and Hsiao-yung, Chiang Hsiao-wen's two half-brothers Winston Chang and John Chiang.","Chiang Hsiao-wen, Chiang Hsiao-wen's siblings Hsiao-wen, Hsiao-chang, Hsiao-wu, Hsiao-yung, and half-brothers Winston Chang and John Chiang."
strict_kv_rate0.15,strict_none_clean_rate0.15,What film features Anil Devgan's sibling?,Who is Anil Devgan's sibling?,True,False,Ajay Devgan,brother
strict_kv_rate0.15,strict_none_clean_rate0.15,What film features Anil Devgan's sibling?,Which films feature Ajay Devgan?,False,False,"U Me Aur Hum, Dil Kya Kare, Raju Chacha, Blackmail (2005 film)","U Me Aur Hum, Dil Kya Kare"
strict_kv_rate0.15,strict_none_clean_rate0.15,What award was received by the person who authored Missing Person?,Who is the author of Missing Person?,True,False,Patrick Modiano,Melissa Marr
strict_kv_rate0.15,strict_none_clean_rate0.15,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Who are the cast members of the movie U Me Aur Hum?,False,False,"Ajay Devgn, Mahima Chaudhry, Kajol, and Chandrachur Singh starred in the movie U Me Aur Hum.","Ajay Devgn, Mahima Chaudhry, Kajol and Chandrachur Singh"
strict_kv_rate0.15,strict_none_clean_rate0.15,What preity zinta and madhuri dixit movie had a cast member from U Me Aur Hum ?,Which Bollywood movies feature both Preity Zinta and Madhuri Dixit in their cast?,False,False,Diya Aur Toofan (1995 film),"Document: Pyar Ka Devta () is a 1991 Indian drama film directed by Kovelamudi Bapayya, starring Ajay Devgn, Madhuri Dixit, Kajol, and Chandrachur Singh in lead roles. There is no direct mention of Preity Zinta in the provided document. Therefore, based on the given information, we cannot determine if there is a Bollywood movie featuring both Preity Zinta and Madhuri Dixit in their cast. The provided documents do not contain this specific information."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who married the publisher of abolitionist newspaper The North Star?,Who was Frederick Douglass married to?,False,False,Helen Pitts,"Helen Pitts Document: Helen Pitts Douglass (1838–1903) was an American suffragist and abolitionist, known for being the second wife of Frederick Douglass."
strict_kv_rate0.15,strict_none_clean_rate0.15,What political party does the person that Adversary in the House is based on a member of?,What political party did Eugene V. Debs belong to?,True,True,Socialist Party,Socialist Party of America
strict_kv_rate0.15,strict_none_clean_rate0.15,What event caused the Liberal Party of Australia's longest-serving leader to become Prime Minister?,What specific political event or circumstance caused Robert Menzies to become Prime Minister of Australia?,False,True,"Menzies became Prime Minister after defeating the Labor government of Ben Chifley in 1949, partly due to Labor's proposal to nationalize banks and following a crippling coal strike led by the Australian Communist Party.","Menzies became Prime Minister after Joseph Lyons' death in 1939, when he assumed the Prime Ministership on the eve of World War II."
strict_kv_rate0.15,strict_none_clean_rate0.15,The Nicole and Natalie album's band is named after who?,What is the name of the band that released the album 'Nicole and Natalie'?,False,True,Nicole and Natalie,Nicole and Natalie is the second studio album by the American female duo Nina Sky.
strict_kv_rate0.15,strict_none_clean_rate0.15,Of which river is the river Kichi Sipi Bridge crosses a tributary?,Which river does the Kichi Sipi Bridge cross?,True,True,The Nelson River,The Kichi Sipi Bridge crosses the Nelson River.
strict_kv_rate0.15,strict_none_clean_rate0.15,Of which river is the river Kichi Sipi Bridge crosses a tributary?,Into which larger river does the Nelson River flow as a tributary?,False,False,The Nelson River flows as a tributary into the Hudson Bay.,The Nelson River flows as a tributary into the Fraser River.
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the child of the actor who is a cast member of Love in Pawn?,Who are the cast members of Love in Pawn?,True,False,Bernard Braden and Barbara Kelly,"Bernard Braden, Barbara Kelly, Delfine Bafort, Sage Stallone, Lisa Love, Hope Tomaselli"
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the child of the actor who is a cast member of Love in Pawn?,Which of the cast members of 'Love in Pawn' (Bernard Braden and Barbara Kelly) are actors?,True,True,Bernard Braden and Barbara Kelly,Bernard Braden and Barbara Kelly are actors.
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the child of the actor who is a cast member of Love in Pawn?,Who is the child of Bernard Braden or Barbara Kelly?,False,True,Abigail Rokison,"Document: B-And-B was a British sitcom starring Bernard Braden, his wife Barbara Kelly, and their daughter Kim Braden."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the spouse of the first nominated African American presidential candidate?,Who was the first nominated African American presidential candidate?,True,False,"Frederick Douglass was invited to speak at the Republican National Convention in 1888 and received one vote, making him the first nominated African American presidential candidate, though he was not a serious candidate in contemporary terms.",Barack Obama
strict_kv_rate0.15,strict_none_clean_rate0.15,What event caused the founder of Australia's liberal party to become Prime Minister?,Who founded the Liberal Party of Australia?,False,False,Joseph Lyons,"Joseph Lyons founded the Liberal Party of Australia, as it was formed as a new conservative alliance in 1931 with Lyons as its leader."
strict_kv_rate0.15,strict_none_clean_rate0.15,What event caused the founder of Australia's liberal party to become Prime Minister?,When did Robert Menzies serve as Prime Minister of Australia?,True,False,1939 to 1941 and again from 1949 to 1966,1939 to 1941
strict_kv_rate0.15,strict_none_clean_rate0.15,What event caused the founder of Australia's liberal party to become Prime Minister?,What specific political event or circumstance led to Robert Menzies first becoming Prime Minister of Australia in 1939?,True,True,"Menzies became the Prime Minister of Australia in 1939 following the death of Joseph Lyons, who led the United Australia Party (UAP) government.","Menzies first became Prime Minister of Australia in 1939 following the death of Joseph Lyons, the leader of the United Australia Party (UAP) and Prime Minister at the time."
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the river that the Kettle Generating Station is located on a tributary of?,"Is the Lower Nelson River a tributary of a larger river system, and if so, which main river does it flow into?",False,False,Lower Nelson River flows into the Fraser River through the Nechako River.,Fraser River
strict_kv_rate0.15,strict_none_clean_rate0.15,Who was the spouse of a leading speaker against slavery and publisher of an antislavery newspaper?,Who was a leading speaker against slavery and publisher of an antislavery newspaper?,False,False,Mary Birdsall,Mary B. Thistlethwaite Birdsall (Mary Birdsall)
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the city where Lesnoye Sanatorium is located named after?,Where is Lesnoye Sanatorium located?,True,True,"Lesnoye Sanatorium is located in Tolyatti, Russia.","Lesnoye Sanatorium is located in the city of Tolyatti, Russia."
strict_kv_rate0.15,strict_none_clean_rate0.15,Whom is the birth place of Ravil Aryapov named after?,Who is Ravil Aryapov and where was he born?,True,True,"Ravil Velimukayevich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti.","Ravil Velimukhamedovich Aryapov was born on February 1, 1948 in Stavropol, now Tolyatti."
strict_kv_rate0.15,strict_none_clean_rate0.15,Whom is the birth place of Ravil Aryapov named after?,Whom is the city of Tolyatti named after?,True,False,Palmiro Togliatti,the longest-serving secretary of the Italian Communist Party
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the city that AvtoVAZ's headquarters is located in named after?,Who is the city of Tolyatti named after?,True,False,Palmiro Togliatti,the longest-serving secretary of the Italian Communist Party
strict_kv_rate0.15,strict_none_clean_rate0.15,What administrative territorial entity is the owner of Ciudad Deportiva located?,"What administrative territorial entity owns the Ciudad Deportiva sports complex in Nuevo Laredo, Mexico?",True,True,Municipality of Nuevo Laredo,The Municipality of Nuevo Laredo
strict_kv_rate0.15,strict_none_clean_rate0.15,When did the person who first brought a postal service into Umayyad lands become caliph?,Who first introduced the postal service in the Umayyad Caliphate?,True,False,Mu'awiyah,"Umar bin Abdul-AzizDocument: Umayyad Caliphate: The Diwan of Umar, assigning annuities to all Arabs and to the Muslim soldiers of other races, underwent a change in the hands of the Umayyads. The Umayyads meddled with the register and the recipients regarded pensions as the subsistence allowance even without being in active service. Hisham reformed it and paid only to those who participated in battle. On the pattern of the Byzantine system the Umayyads reformed their army organization in general and divided it into five corps: the centre, two wings, vanguards and rearguards, following the same formation while on march or on a battle field. Marwan II (740–50) abandoned the old division and introduced Kurdus (cohort), a small compact body. The Umayyad troops were divided into three divisions: infantry, cavalry and artillery. Arab troops were dressed and armed in Greek fashion. The Umayyad cavalry used plain and round saddles. The artillery used arradah (ballista), manjaniq (the mangonel) and dabbabah or kabsh (the battering ram). The heavy engines, siege machines and baggage were carried on camels behind the army.Document: Umayyad Caliphate: Conflicts over Uthman's policies led to his murder in 656. Ali, the cousin and son - in - law of Muhammad, became caliph and moved his capital from Medina to Kufa. He soon met with resistance from several factions, especially from Muawiyah, the governor of Syria, who wanted Uthman's murderers arrested. Muhammad's wife, Aisha, and two companions of Muhammad, Talhah and Al - Zubayr, supported this demand. The conflict resulted in the First Fitna (``civil war '') from 656 until 661. Ali was victorious against Aisha in the Battle of the Camel in 656 but the Battle of Siffin (July 657) against Muawiyah was inconclusive. Ali's position als Caliph was weakened when he first agreed to an arbitration but then refused to accept the verdict, that both Ali and Muawiyah should step down and a new Caliph be chosen. In 661, the most vociferous opponents"
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the child of Caroline LeRoy's spouse?,Who is Daniel Webster's child?,True,False,Fletcher Webster,Alexis Caswell Angell
strict_kv_rate0.15,strict_none_clean_rate0.15,Where did the author of The National Dream go to university?,Who is the author of The National Dream?,True,False,Pierre Berton,Ludwig von Mises
strict_kv_rate0.15,strict_none_clean_rate0.15,What type of animal is Xiao Liwu's mother?,What is Xiao Liwu?,True,True,"Xiao Liwu is the sixth cub born to his mother Bai Yun, and the fifth for his father Gao Gao. He has one half-sister, Hua Mei, and four full siblings, Mei Sheng, Su Lin, Yun Zi, and Zhen Zhen. Like his full siblings, he was conceived via natural mating.",Xiao Liwu is a male giant panda.
strict_kv_rate0.15,strict_none_clean_rate0.15,What university did the author of 1967: The Last Good Year attend?,Who is the author of the book '1967: The Last Good Year'?,True,True,"1967: The Last Good Year was not directly mentioned in the provided documents, but based on the information given about 1967: The Last Good Year being a book by Pierre Berton, the correct answer would be Pierre Berton. However, since Pierre Berton is not listed in the provided documents, and given the format, I will state that the author is not explicitly provided in the given documents.","Document: 1967: The Last Good Year is a book by Canadian author Pierre Berton. The book was first published in hardback in 1986 by McClelland & Stewart, and has subsequently been re-published in paperback format. The book describes events of 1967 in Canada which was the Canadian Centennial."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who was honoured with the highest award a citizen without military experience in India before becoming a president?,Which Indian Presidents received the Bharat Ratna award before becoming President?,False,False,"Radhakrishnan, Kalam","C. Rajagopalachari, Sarvepalli Radhakrishnan, and C.V. Raman"
strict_kv_rate0.15,strict_none_clean_rate0.15,The Directory of Public Worship was approved by a parliament whose modern equivalent has been based where since 2004?,Which parliament approved the Directory of Public Worship?,False,True,Westminster Assembly,Scottish Reformation Parliament
strict_kv_rate0.15,strict_none_clean_rate0.15,What city is located in the county containing Qiantong?,"What cities are located within Ninghai County, Zhejiang province?",True,False,Qiantong,"Ninghai County, Zhejiang province contains the city of Ninghai."
strict_kv_rate0.15,strict_none_clean_rate0.15,What city is located in the county containing Qiantong?,"What cities are located in Ninghai County, Zhejiang province?",False,True,"Qiantong, Qiantong, Zhejiang and Qiantong, Zhejiang",Qiantong
strict_kv_rate0.15,strict_none_clean_rate0.15,"Who is the grandmother of Philippe, Duke of Orléans?","Who is Philippe, Duke of Orléans?",False,False,"Philippe, Duke of Orléans was the younger son of Louis XIII of France and his wife, Anne of Austria. He later became King of the French, styled as Louis Philippe I, after his cousin Charles X was forced to abdicate by the July Revolution.","Philippe, Duke of Orléans was the younger son of Louis XIII of France and his wife, Anne of Austria. He was the father of Louis Philippe I, who became King of the French."
strict_kv_rate0.15,strict_none_clean_rate0.15,In which district was Alhandra born?,Who is Alhandra?,True,True,Luís Miguel Assunção Joaquim,"Luís Miguel Assunção Joaquim (born 5 March 1979 in Vila Franca de Xira, Lisbon), known as Alhandra, is a Portuguese retired footballer who played mainly as a left back – he could also appear as a midfielder."
strict_kv_rate0.15,strict_none_clean_rate0.15,What province shares a border with the province where Lago District is located?,In which province is Lago District located?,True,False,Niassa Province,La Mauricie National Park
strict_kv_rate0.15,strict_none_clean_rate0.15,What province shares a border with the province where Lago District is located?,Which provinces share a border with Niassa Province?,False,False,"Cabo Delgado Province, Inhambane Province, Gaza Province, and Maputo Province share a border with Niassa Province.","Cabo Delgado Province, Gaza Province, Inharrime District, and Homoine District share a border with Niassa Province."
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the record label of the Metalworks Studio founder?,What record label is Gil Moore associated with?,True,True,TML Entertainment,"3ML Entertainment

The reasoning is as follows:
1. Gil Moore is mentioned as the founder of the Institute, which is the educational extension of Metalworks Studios.
2. Metalworks Studios is associated with the record label Metalworks Records (implied from the context of the document).
3. Metalworks Records was renamed to 3ML Entertainment in 2016 (implied from the context of the document, as the Institute received an award in 2016 and 3ML Entertainment is the current name of the label associated with Triumph, who are closely linked to Metalworks Studios through Gil Moore)."
strict_kv_rate0.15,strict_none_clean_rate0.15,The city which contains Broadhurst Park shares a border with what town?,"Which towns share a border with the city of Manchester, England?",False,False,Middleton and Moston,"Moston and Middleton share a border with the city of Manchester, England."
strict_kv_rate0.15,strict_none_clean_rate0.15,What company succeeded the owner of Empire Sports Network?,Who owned Empire Sports Network?,True,False,21st Century Fox (through Adelphia Communications Corporation),NBC Sports Group
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,What body of water is Bartram's Covered Bridge located on?,True,False,Crum Creek,Mad River
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,What watercourse does Crum Creek flow into?,True,True,Delaware River,the Delaware River
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the ruler of the underworld in ancient Egypt a part of?,"What broader mythological system, pantheon, or conceptual framework is Osiris a part of in ancient Egyptian religion?",True,True,Egyptian mythology,Ancient Egyptian pantheon
strict_kv_rate0.15,strict_none_clean_rate0.15,What other county does the county where Imperial is located share a border with?,In which county is Imperial located?,False,True,"Imperial County
The reference text states ""Imperial, Texas: Imperial is a census-designated place (CDP) in Pecos County, Texas, United States."" However, since the question does not specify Texas and the document about Imperial, Wyoming is not provided, we can infer that the question likely refers to Imperial, Texas, which is in Pecos County, Texas. But based on the provided documents, there is no direct mention of Imperial being in a specific county. Given the question's phrasing and the provided documents, the most logical answer is Imperial County, assuming the question is about Imperial, Texas.",Pecos County
strict_kv_rate0.15,strict_none_clean_rate0.15,What other county does the county where Imperial is located share a border with?,"What other counties share a border with Pecos County, Texas?",False,True,"Crockett County and Randall County share borders with Pecos County, Texas.",Crockett County
strict_kv_rate0.15,strict_none_clean_rate0.15,In which state is Póvoa de Santa Iria's municipality located?,What is the municipality of Póvoa de Santa Iria?,True,True,"Póvoa de Santa Iria e Forte da Casa is a civil parish in the municipality of Vila Franca de Xira, Portugal.","Póvoa de Santa Iria is a municipality in the municipality of Vila Franca de Xira, Portugal."
strict_kv_rate0.15,strict_none_clean_rate0.15,In which state is Póvoa de Santa Iria's municipality located?,In which district is the municipality of Vila Franca de Xira located?,False,True,"Vila Franca de Xira is located in the Inhambane Province. 

However, based on the provided documents, the correct answer should be:
Answer: Vila Franca de Xira is located in the Lisbon District.","Vila Franca de Xira is located in the Inhambane Province. However, based on the more relevant document, Vila Franca de Xira is actually a municipality in the Lisbon District in Portugal. The earlier document might have a location error."
strict_kv_rate0.15,strict_none_clean_rate0.15,In what county is William W. Blair's birthplace located?,Where was William W. Blair born?,True,False,"Holley, New York","LaSalle County, Illinois"
