Question,Real Answer,Pred Answer
Who is the paternal grandfather of Bruno Ii Von Berg?,Adolf II of Berg,"The paternal grandfather of Bruno II von Berg is not explicitly mentioned in the provided passage. However, it does mention that Bruno II von Berg was the son of Adolf II of Berg-Hövel and Adelaide of Lauffen."
Are The Other Half (2016 Film) and Spy Kids 2: The Island Of Lost Dreams from the same country?,no,yes
Where was the director of film 00 Schneider – Jagd Auf Nihil Baxter born?,Mülheim an der Ruhr,"Helge Schneider was born in Mülheim an der Ruhr, Germany."
"Which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato,Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato
"Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",yes,yes
Who is the paternal grandfather of Dibyasambandh?,Mongkut,King Mongkut of Siam
"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,Elizabeth Heneage
"Where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",Cahiers du cinéma,the Norwegian Museum of Cultural History
Where was the director of film Eisenstein In Guanajuato born?,"Newport, Wales",Luis Alberti was born in Mexico.
What is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia","Orange County, Virginia"
What is the place of birth of the performer of song Ruleta (Inna Song)?,Mangalia,Romania
Who is the father of the director of film A No-Hit No-Run Summer?,Félix Leclerc,Félix Leclerc
"Who is Henri Ii, Duke Of Nemours's paternal grandfather?",Jacques,"Philippe, Duke of Nemours"
Who is Gisela Of Hungary's father-in-law?,Géza,Stephen I of Hungary
Who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,The passage does not provide information about the paternal grandmother of King Kang of Zhou.
"What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","November 3, 1867",5 September 1896
Who is the spouse of the director of film Rodney Steps In?,Ivy Duke,Sophia Magdalena of Denmark is not the spouse of the director of the film Rodney Steps In. The director of the film Rodney Steps In is Guy Newall. There is no information provided in the given passages that connects
"When did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,1813
"Which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ",Season Of Strangers,The Yellow Teddy Bears
Were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,no
"Who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,Abdul Ali Lalu
Where did Rameshwari Nehru's husband graduate from?,Oxford,"Brijlal Nehru, Rameshwari Nehru's husband, graduated from the London School of Economics."
"Who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet","Sir Hew Dalrymple, 3rd Baronet"
"Which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",Murderer In The Fog,Khud-Daar
Who is the spouse of the director of film Soldier (1998 American Film)?,Milla,Milla Jovovich
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",Lecce,1311
Which award the director of film Lady Magdalene'S got?,Prometheus Award,Special Jury Prize for Libertarian Ideals
What nationality is Princess Charlotte Of Saxe-Meiningen's husband?,Duchy of Saxe-Gotha-Altenburg,German
"Which film has the director who was born first, The Longshots or Station For Two?",Station For Two,Station for Two
What is the place of birth of Aleksey Greig's father?,Inverkeithing,"Inverkeithing, Fife, Scotland"
When did Thomas Of Galloway (Bastard)'s father die?,1234,1200
"When did Robert Bertie, 3Rd Earl Of Lindsey's father die?",25 July 1666,1666
"Which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",The Wind'S Fierce,Special Delivery (1927 film)
Why did the director of film Port Of Seven Seas die?,drowning,"The director of the film Port of Seven Seas, James Whale, died by suicide by drowning himself in his Pacific Palisades swimming pool on 29 May 1957 at the age of 67."
What is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,Abu Dhabi,Hissa Abdulla Ahmed Al-Otaiba
What is the place of birth of Frank Wartenberg's wife?,Prenzlau,Altona
Where was the director of film Edges Of The Lord born?,Poznań,"Edinburgh, Scotland"
Where was the father of Teobaldo Ii Ordelaffi born?,Italy,"The father of Teobaldo II Ordelaffi was Giorgio Ordelaffi. The passage does not explicitly mention Giorgio Ordelaffi's birthplace. Therefore, based on the information provided,"
Where was the husband of Maude Smith born?,"Toronto, Ontario",London
"Which film was released earlier, Forbidden Daughters or The Third Kiss?",Forbidden Daughters,Forbidden Daughters
Does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,yes
"Who was born first, Bogdan Țăruș or Robert Wulnikowski?",Bogdan Țăruș,Bogdan Țăruș
"Which film has the director who died first, Folgore Division or Sandflow?",Sandflow,Folgore Division
"Which film has the director born later, From Corleone To Brooklyn or Durango Valley Raiders?",From Corleone To Brooklyn,From Corleone To Brooklyn
Are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,yes,yes
Where was the place of death of the composer of song Gretchen Am Spinnrade?,Vienna,"Pacific Palisades, California"
"Who was born later, Hugh Evelyn Wortham or Johnny Ekström?",Johnny Ekström,Johnny Ekström
"Are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",yes,yes
What nationality is Elizabeth Of Rhuddlan's father?,England,English
"What is the cause of death of director of film I Will, I Will... For Now?",Parkinson,"The passage does not mention the cause of death of the director of the film I Will, I Will... For Now."
"Who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?","Roger Mortimer, 1st Earl of March",Richard de Beauchamp
"Who died first, Albertus Seba or Ali Dinar?",Albertus Seba,Albertus Seba
"Who is the maternal grandfather of Marie Louise, Duchess Of Parma?",Ferdinand I of the Two Sicilies,"Francis II, Holy Roman Emperor"
"Which film was released earlier, Prince Of Arcadia or Italia-Germania 4-3?",Prince Of Arcadia,Italia-Germania 4-3
Where was the director of film Love At First Sight (1985 Film) born?,Milan,"Rosario, Santa Fe Province"
Where did the director of film Nanon (1938 Film) die?,Köln,Cologne
