dataset,method,rate,segment,source_csv,source_row,Question,Real Answer,Pred Answer,Predicted_Clean,Rejudge_Correct,Rejudge_Reason,Rejudge_Raw
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,10,Who was the first African American student at the university Robert Khayat was educated at?,James Howard Meredith,Emma Azalia Hackley,Emma Azalia Hackley,False,预测答案“Emma Azalia Hackley”与标准答案“James Howard Meredith”完全不同。预测答案未能包含标准答案的关键信息，且两者在语义上不等价，因此未能正确回答问题。,"判断: 错误
原因: 预测答案“Emma Azalia Hackley”与标准答案“James Howard Meredith”完全不同。预测答案未能包含标准答案的关键信息，且两者在语义上不等价，因此未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,11,Who gives out the prize named after the author of Lectures on Jurisprudence?,University of Cambridge,Royal Society of Chemistry,Royal Society of Chemistry,False,预测答案“Royal Society of Chemistry”与标准答案“University of Cambridge”完全不一致，没有包含标准答案的关键信息，且两者在语义上并不等价，因此未能正确回答问题。,"判断: 错误
原因: 预测答案“Royal Society of Chemistry”与标准答案“University of Cambridge”完全不一致，没有包含标准答案的关键信息，且两者在语义上并不等价，因此未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,12,Who is Frances Freeling Broderip's sibling?,Tom Hood,Heather Michele O'Rourke,Heather Michele O'Rourke,False,预测答案给出的“Heather Michele O'Rourke”与标准答案“Tom Hood”完全不一致，两者在语义上没有任何关联，未能包含标准答案的关键信息，因此预测答案错误。,"判断: 错误
原因: 预测答案给出的“Heather Michele O'Rourke”与标准答案“Tom Hood”完全不一致，两者在语义上没有任何关联，未能包含标准答案的关键信息，因此预测答案错误。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,13,Who is the spouse of the person who voices Jarvis in Iron Man?,Jennifer Connelly,LaTanya Richardson,LaTanya Richardson,False,预测答案“LaTanya Richardson”与标准答案“Jennifer Connelly”完全不同。在电影《钢铁侠》中为贾维斯（Jarvis）配音的演员是保罗·贝坦尼，其配偶是詹妮弗·康纳利，而非LaTanya Richardson。因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案“LaTanya Richardson”与标准答案“Jennifer Connelly”完全不同。在电影《钢铁侠》中为贾维斯（Jarvis）配音的演员是保罗·贝坦尼，其配偶是詹妮弗·康纳利，而非LaTanya Richardson。因此预测答案未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_200,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_200/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,14,What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,"The source of the river that is the mouth of the Caledon River is the confluence of the Caledon River with the Bolshaya Lyampa, which is part of the Yukon River system.","The source of the river that is the mouth of the Caledon River is the confluence of the Caledon River with the Bolshaya Lyampa, which is part of the Yukon River system.",False,预测答案给出的信息是“the confluence of the Caledon River with the Bolshaya Lyampa”，这与标准答案“Thaba Putsoa”完全不符。此外，预测答案中提到的Yukon River system与Caledon River的地理位置毫无关联，属于明显的错误信息。,"判断: 错误
原因: 预测答案给出的信息是“the confluence of the Caledon River with the Bolshaya Lyampa”，这与标准答案“Thaba Putsoa”完全不符。此外，预测答案中提到的Yukon River system与Caledon River的地理位置毫无关联，属于明显的错误信息。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,15,What is the name of the famous bridge located in the birthplace of the composer of Nulla in mundo pax sincera?,Rialto Bridge,Royal Albert Bridge,Royal Albert Bridge,False,预测答案“Royal Albert Bridge”与标准答案“Rialto Bridge”完全不一致。两者指的是不同的桥梁，且在语义上没有任何等价性，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案“Royal Albert Bridge”与标准答案“Rialto Bridge”完全不一致。两者指的是不同的桥梁，且在语义上没有任何等价性，因此预测答案未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,16,When did the party that gained control of Congress in the midterm elections in 1946 take control of the government branch that determines the rules of the US House?,January 2015,1946,1946,False,预测答案“1946”与标准答案“January 2015”不一致。问题询问的是该政党何时控制决定美国众议院规则的政府分支（即众议院规则委员会），正确的时间节点应为2015年1月，而非其在中期选举获胜的1946年。因此，预测答案未能包含标准答案的关键信息，语义上也不等价。,"判断: 错误
原因: 预测答案“1946”与标准答案“January 2015”不一致。问题询问的是该政党何时控制决定美国众议院规则的政府分支（即众议院规则委员会），正确的时间节点应为2015年1月，而非其在中期选举获胜的1946年。因此，预测答案未能包含标准答案的关键信息，语义上也不等价。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,17,Where did the producer of Julius Caesar study or work?,Clifton College,"John Houseman, the producer of Julius Caesar, studied at Clifton College in England. He worked in the grain trade in London before emigrating to the United States in 1925.","John Houseman, the producer of Julius Caesar, studied at Clifton College in England. He worked in the grain trade in London before emigrating to the United States in 1925.",True,预测答案明确指出了《凯撒大帝》的制片人约翰·豪斯曼在克利夫顿学院学习，包含了标准答案的核心信息。此外，它还补充了他在伦敦从事粮食贸易的工作经历，完整且准确地回答了问题。,"判断: 正确
原因: 预测答案明确指出了《凯撒大帝》的制片人约翰·豪斯曼在克利夫顿学院学习，包含了标准答案的核心信息。此外，它还补充了他在伦敦从事粮食贸易的工作经历，完整且准确地回答了问题。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,18,Mehmet Hayri Tarhan's birthplace is the capital of what municipality?,Malko Tarnovo Municipality,Malko Tarnovo,Malko Tarnovo,True,预测答案“Malko Tarnovo”包含了标准答案“Malko Tarnovo Municipality”的核心地名信息。在常识问答的语境下，省略“Municipality”这一行政单位后缀属于措辞上的细微差异，两者在语义上完全等价，正确回答了问题。,"判断: 正确
原因: 预测答案“Malko Tarnovo”包含了标准答案“Malko Tarnovo Municipality”的核心地名信息。在常识问答的语境下，省略“Municipality”这一行政单位后缀属于措辞上的细微差异，两者在语义上完全等价，正确回答了问题。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,19,What is the performer of Heartbeat named after?,Natalie Albino,Nina Sky,Nina Sky,False,预测答案“Nina Sky”是一个音乐组合名称，而标准答案“Natalie Albino”是该组合中的具体成员。两者在语义上并不等价，预测答案未包含标准答案的关键信息。,"判断: 错误
原因: 预测答案“Nina Sky”是一个音乐组合名称，而标准答案“Natalie Albino”是该组合中的具体成员。两者在语义上并不等价，预测答案未包含标准答案的关键信息。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,20,The author of Elizabeth and After attended which university?,University of Toronto,University of Toronto,University of Toronto,True,预测答案“University of Toronto”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了《Elizabeth and After》作者所就读的大学。,"判断: 正确
原因: 预测答案“University of Toronto”与标准答案完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了《Elizabeth and After》作者所就读的大学。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,21,What year did the publisher of Labyrinth end?,1986,1999,1999,False,预测答案给出的年份是1999年，而标准答案是1986年。两者在年份信息上完全不一致，且语义上不等价，因此预测答案未能正确回答问题。,"判断: 错误
原因: 预测答案给出的年份是1999年，而标准答案是1986年。两者在年份信息上完全不一致，且语义上不等价，因此预测答案未能正确回答问题。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,22,The food safety system of the agency that has the authority to decide if a drug is marketed otc or prescription is known as?,Food Safety Modernization Act (FSMA),FDA,FDA,False,预测答案“FDA”指的是拥有决定药物上市为非处方药或处方药权力的机构（美国食品药品监督管理局），而问题询问的是该机构的食品安全系统的名称。标准答案“Food Safety Modernization Act (FSMA)”才是该食品安全系统的正确名称。预测答案回答的是机构名称，而非系统名称，与标准答案在语义上不等价。,"判断: 错误
原因: 预测答案“FDA”指的是拥有决定药物上市为非处方药或处方药权力的机构（美国食品药品监督管理局），而问题询问的是该机构的食品安全系统的名称。标准答案“Food Safety Modernization Act (FSMA)”才是该食品安全系统的正确名称。预测答案回答的是机构名称，而非系统名称，与标准答案在语义上不等价。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,23,Who is the president of the newly declared independent country that has a Commission of Truth and Friendship with the country where Ambelau is located?,Francisco Guterres,José Ramos-Horta,José Ramos-Horta,False,预测答案给出的姓名是“José Ramos-Horta”，而标准答案为“Francisco Guterres”。两者是完全不同的人名，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此未能正确回答该问题。,"判断: 错误
原因: 预测答案给出的姓名是“José Ramos-Horta”，而标准答案为“Francisco Guterres”。两者是完全不同的人名，预测答案没有包含标准答案的关键信息，在语义上也不等价，因此未能正确回答该问题。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,24,Who was the British general in the battle named after the birth city of the person who recorded Mother-in-Law?,General Edward Pakenham,Edward Pakenham,Edward Pakenham,True,预测答案“Edward Pakenham”包含了标准答案“General Edward Pakenham”的核心人物信息。两者在语义上完全等价，预测答案仅仅是省略了头衔“General”，这属于措辞上的细微差异，不影响对问题实质的正确回答。,"判断: 正确
原因: 预测答案“Edward Pakenham”包含了标准答案“General Edward Pakenham”的核心人物信息。两者在语义上完全等价，预测答案仅仅是省略了头衔“General”，这属于措辞上的细微差异，不影响对问题实质的正确回答。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,25,Where is Sean Hampton's birth place in the state of Florida?,in Northern Florida,"Ocala, Florida","Ocala, Florida",False,"预测答案“Ocala, Florida”给出了一个具体的城市，而标准答案是“in Northern Florida”这样一个宽泛的地区。两者在语义上并不等价，且预测答案未能包含标准答案的关键信息，因此判断为错误。","判断: 错误
原因: 预测答案“Ocala, Florida”给出了一个具体的城市，而标准答案是“in Northern Florida”这样一个宽泛的地区。两者在语义上并不等价，且预测答案未能包含标准答案的关键信息，因此判断为错误。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,26,Who is the president of the group Kim Un-yong is a member of?,Thomas Bach,Thomas Bach,Thomas Bach,True,预测答案“Thomas Bach”与标准答案完全一致，准确包含了标准答案的关键信息，且在语义上完全等价，正确地回答了问题。,"判断: 正确
原因: 预测答案“Thomas Bach”与标准答案完全一致，准确包含了标准答案的关键信息，且在语义上完全等价，正确地回答了问题。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,27,"During the war in which The Things They Carried is set, when was conscription introduced by the country where the film Grievous Bodily Harm was later released?",1964,1964,1964,True,预测答案“1964”与标准答案“1964”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题中所问及的征兵引入时间。,"判断: 正确
原因: 预测答案“1964”与标准答案“1964”完全一致，包含了标准答案的关键信息，且在语义上完全等价，准确地回答了问题中所问及的征兵引入时间。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,28,Who is the president of the new country who has jointly established a Commission on Truth and Friendship with the birth country of Satyo Husodo?,Francisco Guterres,Xanana Gusmão,Xanana Gusmão,False,预测答案“Xanana Gusmão”与标准答案“Francisco Guterres”是两个不同的人名，预测答案未包含标准答案的关键信息，两者在语义上不等价，因此判断为错误。,"判断: 错误
原因: 预测答案“Xanana Gusmão”与标准答案“Francisco Guterres”是两个不同的人名，预测答案未包含标准答案的关键信息，两者在语义上不等价，因此判断为错误。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,29,Who is the spouse of the current queen of England?,Philip Mountbatten,The spouse of the current queen of England is King Charles III.,The spouse of the current queen of England is King Charles III.,False,预测答案给出的配偶是King Charles III，而标准答案是Philip Mountbatten。两者在语义上完全不同，且King Charles III是女王伊丽莎白二世的儿子而非配偶，因此预测答案不正确。,"判断: 错误
原因: 预测答案给出的配偶是King Charles III，而标准答案是Philip Mountbatten。两者在语义上完全不同，且King Charles III是女王伊丽莎白二世的儿子而非配偶，因此预测答案不正确。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,30,In which year did Taifa of Francisco Giner de los Rios' birthplace cease to exist?,1065,1915,1915,False,预测答案给出的年份是1915年，而标准答案为1065年。两者在数值上完全不同，且预测答案未包含标准答案的关键信息，因此判断为错误。,"判断: 错误
原因: 预测答案给出的年份是1915年，而标准答案为1065年。两者在数值上完全不同，且预测答案未包含标准答案的关键信息，因此判断为错误。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,31,What did M. King Hubbert's employer announce it was in the process of doing in April 2010?,trying to find a potential buyer for all of its operations in Finland,selling all of its operations in Finland and conducting market research for Swedish operations,selling all of its operations in Finland and conducting market research for Swedish operations,True,预测答案中明确包含了“selling all of its operations in Finland”，这与标准答案中“trying to find a potential buyer for all of its operations in Finland”的核心语义一致，均表达了出售芬兰业务的意思。此外，预测答案还补充了关于瑞典业务的市场调研信息，这并不影响对核心问题的正确回答。,"判断: 正确
原因: 预测答案中明确包含了“selling all of its operations in Finland”，这与标准答案中“trying to find a potential buyer for all of its operations in Finland”的核心语义一致，均表达了出售芬兰业务的意思。此外，预测答案还补充了关于瑞典业务的市场调研信息，这并不影响对核心问题的正确回答。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,32,Who did the person considered the founder of three major monotheistic religions marry after the death of Sarah?,Keturah,Keturah,Keturah,True,预测答案“Keturah”与标准答案完全一致，准确包含了标准答案的关键信息。它正确地回答了三大一神教创始人（亚伯拉罕）在Sarah死后所娶之人的问题，语义上完全等价。,"判断: 正确
原因: 预测答案“Keturah”与标准答案完全一致，准确包含了标准答案的关键信息。它正确地回答了三大一神教创始人（亚伯拉罕）在Sarah死后所娶之人的问题，语义上完全等价。"
musique-v2,postblend_alpha0,0.15,seg_0_50,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/setup_standard_v2_cross_dataset/results/postblend_alpha0/musique-v2/rate_0p15/seg_0_50/csv/reprocess_method_FusionRAG_rate_0.15_revert_rope_True_topk_10.csv,33,In what region of the country of S-Fone is The place of birth of John Phan located?,South Central Coast,South Central Coast,South Central Coast,True,预测答案“South Central Coast”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确地回答了问题。,"判断: 正确
原因: 预测答案“South Central Coast”与标准答案完全一致，包含了标准答案的所有关键信息，且在语义上完全等价，准确地回答了问题。"
