Main Question,Sub Question,Ground Truth,Predicted,Correct,F1,EM,Reason,dataset,method,rate,source_csv,segment,source_row,Predicted_clean,glm_correct,glm_reason,glm_raw,row_index,Rate1_Predicted,Rate1_Correct,Rate1_F1,Rate1_EM,Rate1_Reason
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,Which English king trusted William de Longchamp?,King Richard I of England,"<think>

</think>

Answer: Richard I",True,0,0.0,预测答案“Richard I”直接指出了国王的名字，与标准答案“King Richard I of England”在语义上完全等价，准确回答了问题所问的信任威廉·德·朗香（William de Longchamp）的英国国王是谁，符合正确判断的标准。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,10,Richard I,True,预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价，指代的都是同一位英国国王理查一世。它包含了标准答案的关键信息，符合允许措辞细微差异的评判标准。,"判断: 正确
原因: 预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价，指代的都是同一位英国国王理查一世。它包含了标准答案的关键信息，符合允许措辞细微差异的评判标准。",10,,,,,
When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","<think>

</think>

Answer: Richard the Lionhearted led a large fleet in April 1191 from Messina to reach Acre, which was dispersed by a storm.",True,0,0.0,预测答案包含了标准答案的所有关键信息，即理查一世在1191年4月率领一支从墨西拿前往阿卡的大型舰队，且该舰队被风暴吹散。两者在语义上完全等价，仅存在细微的措辞差异。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,11,"Richard the Lionhearted led a large fleet in April 1191 from Messina to reach Acre, which was dispersed by a storm.",True,预测答案包含了标准答案的所有关键信息，指出理查一世在1191年4月率领庞大舰队从墨西拿前往阿卡，并且该舰队被风暴吹散。虽然使用了“Richard the Lionhearted”代替“King Richard I”，但两者语义完全等价，正确回答了问题。,"判断: 正确
原因: 预测答案包含了标准答案的所有关键信息，指出理查一世在1191年4月率领庞大舰队从墨西拿前往阿卡，并且该舰队被风暴吹散。虽然使用了“Richard the Lionhearted”代替“King Richard I”，但两者语义完全等价，正确回答了问题。",11,,,,,
The Unwinding author volunteered for which organisation?,Who is the author of The Unwinding?,George Packer,"<think>

</think>

George Packer",True,0,0.0,预测答案“George Packer”与标准答案完全一致，准确给出了《The Unwinding》这本书的作者信息，正确地回答了所提出的问题。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,12,George Packer,True,预测答案“George Packer”与标准答案完全一致，准确包含了问题所要求的关键信息，直接且正确地回答了《The Unwinding》的作者是谁，符合所有的判断标准。,"判断: 正确
原因: 预测答案“George Packer”与标准答案完全一致，准确包含了问题所要求的关键信息，直接且正确地回答了《The Unwinding》的作者是谁，符合所有的判断标准。",12,,,,,
The Unwinding author volunteered for which organisation?,Which organization did George Packer volunteer for?,Peace Corps,"<think>

</think>

Peace Corps",False,0,0.0,预测答案部分为空白，没有提供任何关于乔治·帕克志愿加入的组织信息，因此未能回答问题，与标准答案“Peace Corps”不一致。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,13,Peace Corps,True,预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所问及的关键信息，语义上完全等价，正确地回答了George Packer所志愿服务的组织。,"判断: 正确
原因: 预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所问及的关键信息，语义上完全等价，正确地回答了George Packer所志愿服务的组织。",13,,,,,
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Which band performed the song 'Bang Bang Rock & Roll'?,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,"<think>

</think>

Art Brut",True,0,0.0,预测答案“Art Brut”准确给出了问题所询问的乐队名称，与标准答案中的核心实体信息完全一致，正确回答了该歌曲的演唱者，符合评估标准。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,14,Art Brut,True,预测答案明确指出了演唱歌曲“Bang Bang Rock & Roll”的乐队是Art Brut，这与标准答案中的核心实体信息完全一致。虽然预测答案省略了关于该乐队是英国摇滚乐队的修饰性描述，但已经包含了回答该问题所需的关键信息，语义上完全等价，因此判断为正确。,"判断: 正确
原因: 预测答案明确指出了演唱歌曲“Bang Bang Rock & Roll”的乐队是Art Brut，这与标准答案中的核心实体信息完全一致。虽然预测答案省略了关于该乐队是英国摇滚乐队的修饰性描述，但已经包含了回答该问题所需的关键信息，语义上完全等价，因此判断为正确。",14,,,,,
Who is the lead singer of the band performing Bang Bang Rock & Roll?,Who is the lead singer of the band Art Brut?,Eddie Argos,"<think>

</think>

Eddie Argos",True,0,0.0,预测答案“Eddie Argos”与标准答案完全一致，准确地给出了乐队Art Brut的主唱名字，包含了标准答案的所有关键信息，因此判定为正确。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,15,Eddie Argos,True,预测答案准确地给出了“Eddie Argos”这一关键信息，与标准答案完全一致，在语义上完全等价，正确地回答了关于Art Brut乐队主唱的问题。,"判断: 正确
原因: 预测答案准确地给出了“Eddie Argos”这一关键信息，与标准答案完全一致，在语义上完全等价，正确地回答了关于Art Brut乐队主唱的问题。",15,,,,,
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company initiated a successful price war among PC manufacturers in 1994?,Compaq initiated a successful price war among PC manufacturers in 1994.,"<think>

</think>

Compaq",True,0,0.0,预测答案“Compaq”准确提取了标准答案中的核心实体信息，直接且正确地回答了1994年在PC制造商中发起成功价格战的公司是哪家，符合语义等价的判断标准。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,16,Compaq,True,预测答案“Compaq”准确包含了标准答案中的核心实体信息，直接回答了1994年发起PC制造商价格战的公司名称，与标准答案在语义上完全等价，符合正确回答的标准。,"判断: 正确
原因: 预测答案“Compaq”准确包含了标准答案中的核心实体信息，直接回答了1994年发起PC制造商价格战的公司名称，与标准答案在语义上完全等价，符合正确回答的标准。",16,,,,,
What company did the company that initiated a successful price war among PC manufacturers in 1994 merge with in 2002?,Which company did Compaq merge with in 2002?,Hewlett Packard,"<think>

</think>

Hewlett Packard",True,0,0.0,预测答案“Hewlett Packard”与标准答案完全一致，准确地回答了康柏在2002年与哪家公司合并的问题，包含了标准答案的所有关键信息，语义完全等价。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,17,Hewlett Packard,True,预测答案“Hewlett Packard”与标准答案完全一致，准确地包含了问题所问的关键信息，语义上完全等价，因此判断为正确。,"判断: 正确
原因: 预测答案“Hewlett Packard”与标准答案完全一致，准确地包含了问题所问的关键信息，语义上完全等价，因此判断为正确。",17,,,,,
What year was the father of Katherine of England crowned?,Who is Katherine of England?,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","<think>

</think>

Katherine of England was the fifth child of Henry III and Eleanor of Provence, born in 1253 and died in 1257 at Windsor. She was either deaf-mute or deaf and mentally challenged, was very sickly, and possibly had a degenerative disease, which did not allow her to survive beyond her fourth year.",True,0,0.0,预测答案包含了标准答案中的所有关键信息，如凯瑟琳的父母身份、出生和去世时间及地点、她的健康状况（失聪、智力障碍、体弱多病、可能患有退化性疾病）以及早夭的事实。两者在语义上完全等价，仅存在措辞上的细微差异。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,18,"Katherine of England was the fifth child of Henry III and Eleanor of Provence, born in 1253 and died in 1257 at Windsor. She was either deaf-mute or deaf and mentally challenged, was very sickly, and possibly had a degenerative disease, which did not allow her to survive beyond her fourth year.",True,预测答案包含了标准答案的所有关键信息，如身份（亨利三世和普罗旺斯的埃莉诺的第五个孩子）、生卒年份与地点（1253年出生，1257年在温莎去世）以及健康状况（失聪、精神障碍、体弱多病、可能患有退化性疾病）。两者在语义上完全等价，仅存在措辞上的细微差异，完整且准确地回答了问题。,"判断: 正确
原因: 预测答案包含了标准答案的所有关键信息，如身份（亨利三世和普罗旺斯的埃莉诺的第五个孩子）、生卒年份与地点（1253年出生，1257年在温莎去世）以及健康状况（失聪、精神障碍、体弱多病、可能患有退化性疾病）。两者在语义上完全等价，仅存在措辞上的细微差异，完整且准确地回答了问题。",18,,,,,
What year was the father of Katherine of England crowned?,What year was King Henry III of England crowned?,Henry III was first crowned in 1216 and had a second coronation in 1220.,"1216


</think>

Answer: 1216",False,0.24000000000000002,0.0,预测答案“1216”仅包含了标准答案的部分信息。标准答案明确指出亨利三世在1216年首次加冕，并在1220年举行了第二次加冕仪式。预测答案遗漏了1220年这一关键信息，未能完整且准确地回答问题。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,19,"1216




Answer: 1216",True,预测答案“1216”准确包含了标准答案中关于国王亨利三世首次加冕年份的关键信息。虽然标准答案还提到了第二次加冕的年份1220，但预测答案正确回答了问题所问的加冕时间，符合核心语义要求。,"判断: 正确
原因: 预测答案“1216”准确包含了标准答案中关于国王亨利三世首次加冕年份的关键信息。虽然标准答案还提到了第二次加冕的年份1220，但预测答案正确回答了问题所问的加冕时间，符合核心语义要求。",19,,,,,
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who played the little girl in the 1947 film Miracle on 34th Street?,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.","<think>

</think>

Natalie Wood",True,0,0.0,预测答案“Natalie Wood”准确给出了问题所问的演员名字，包含了标准答案中的核心关键信息。虽然它没有像标准答案那样提供角色的名字和补充说明，但已经足以正确回答“谁扮演了”这一问题，语义上完全一致。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,20,Natalie Wood,True,预测答案“Natalie Wood”准确包含了标准答案中的核心关键信息，即扮演小女孩的演员姓名。虽然预测答案省略了关于角色名和电影背景的补充描述，但在语义上已经完全回答了问题，符合允许措辞细微差异的评判标准。,"判断: 正确
原因: 预测答案“Natalie Wood”准确包含了标准答案中的核心关键信息，即扮演小女孩的演员姓名。虽然预测答案省略了关于角色名和电影背景的补充描述，但在语义上已经完全回答了问题，符合允许措辞细微差异的评判标准。",20,,,,,
Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,Lana Wood is the sibling of actress Natalie Wood.,"<think>

</think>

Lana Wood",True,0,0.0,预测答案“Lana Wood”准确给出了问题所询问的对象，包含了标准答案中的核心关键信息。虽然它省略了标准答案中补充的背景陈述，但就“谁是娜塔利·伍德的兄弟姐妹”这一问题而言，已经给出了完全正确且语义等价的回答。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,21,Lana Wood,True,预测答案“Lana Wood”准确给出了问题所询问的对象，包含了标准答案中的核心关键信息。虽然缺少了部分修饰性词语，但语义上与标准答案完全等价，正确回答了问题。,"判断: 正确
原因: 预测答案“Lana Wood”准确给出了问题所询问的对象，包含了标准答案中的核心关键信息。虽然缺少了部分修饰性词语，但语义上与标准答案完全等价，正确回答了问题。",21,,,,,
What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,"Culberson County, Texas","<think>

</think>

Culberson County",True,0,0.0,"预测答案“Culberson County”准确包含了标准答案“Culberson County, Texas”中的核心地理信息。虽然它省略了所在的州，但已经正确指出了问题所问的县名，在语义上与标准答案一致，因此判定为正确。",musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,22,Culberson County,True,预测答案包含了标准答案中的核心地理信息“Culberson County”，准确回答了Pine Springs所在的县。虽然它省略了州名“Texas”，但这属于措辞上的细微差异，在语义上与标准答案保持一致，因此判断为正确。,"判断: 正确
原因: 预测答案包含了标准答案中的核心地理信息“Culberson County”，准确回答了Pine Springs所在的县。虽然它省略了州名“Texas”，但这属于措辞上的细微差异，在语义上与标准答案保持一致，因此判断为正确。",22,,,,,
What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",Van Horn,Answer: Van Horn,True,0.6666666666666666,0.0,预测答案明确指出了“Van Horn”，这与标准答案完全一致。虽然预测答案多包含了“Answer:”这样的前缀词，但这属于措辞上的细微差异，不影响核心语义，因此预测答案正确回答了问题。,musique,full_rate1,1.0,/raid/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/qwen3_hybrid70_online_baselines/full_rate1/seg_0_25/Qwen3-32B/musique/FusionRAG_global_topk10_bge/rate_1.0_revert_rope.csv,seg_0_25,23,Van Horn,True,预测答案“Van Horn”与标准答案完全一致，准确地给出了Culberson县的县治所在地，包含了标准答案的所有关键信息，语义完全等价。,"判断: 正确
原因: 预测答案“Van Horn”与标准答案完全一致，准确地给出了Culberson县的县治所在地，包含了标准答案的所有关键信息，语义完全等价。",23,,,,,
