example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens
12,1,draft_selected_set,0.3,Hewlett Packard,Hewlett Packard,1.0,1.0,630
13,0,oracle_full_attention,0.3,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence, born in 1253, who ruled as queen for a short time in the 1250s before her early death in 1257.",0.5593220338983051,0.0,342
13,0,fusionrag_qk,0.3,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence, and ruled as king for the majority of the 13th century.",0.4444444444444445,0.0,342
13,0,draft_selected_set,0.3,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly. She possibly had a degenerative disease and did not survive her fourth year, dying at Windsor.",0.7272727272727273,0.0,342
13,1,oracle_full_attention,0.3,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216,0.24000000000000002,0.0,624
13,1,fusionrag_qk,0.3,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216 and 1220,0.5806451612903226,0.0,624
13,1,draft_selected_set,0.3,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216,0.24000000000000002,0.0,624
14,0,oracle_full_attention,0.3,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,317
14,0,fusionrag_qk,0.3,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,317
14,0,draft_selected_set,0.3,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,317
14,1,oracle_full_attention,0.3,Lana Wood is the sibling of actress Natalie Wood.,Lana Wood,0.33333333333333337,0.0,504
14,1,fusionrag_qk,0.3,Lana Wood is the sibling of actress Natalie Wood.,Mara Hunt,0,0.0,504
14,1,draft_selected_set,0.3,Lana Wood is the sibling of actress Natalie Wood.,Lana Wood,0.33333333333333337,0.0,504
15,0,oracle_full_attention,0.3,"Culberson County, Texas","Pine Springs is located in west Falls County, Texas, United States.",0.28571428571428575,0.0,203
15,0,fusionrag_qk,0.3,"Culberson County, Texas","Pine Springs is located in Culberson County, Texas.",0.6153846153846153,0.0,203
15,0,draft_selected_set,0.3,"Culberson County, Texas",Culberson County,0.8571428571428571,0.0,203
15,1,oracle_full_attention,0.3,Van Horn,Van Horn,1.0,1.0,336
15,1,fusionrag_qk,0.3,Van Horn,Pine Springs,0,0.0,336
15,1,draft_selected_set,0.3,Van Horn,Pine Springs,0,0.0,336
16,0,oracle_full_attention,0.3,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,454
16,0,fusionrag_qk,0.3,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,454
16,0,draft_selected_set,0.3,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,454
16,1,oracle_full_attention,0.3,Compaq merged with Hewlett Packard (HP) in 2002.,Hewlett Packard,0.4210526315789474,0.0,656
16,1,fusionrag_qk,0.3,Compaq merged with Hewlett Packard (HP) in 2002.,Hewlett-Packard,0.2,0.0,656
16,1,draft_selected_set,0.3,Compaq merged with Hewlett Packard (HP) in 2002.,Hewlett Packard,0.4210526315789474,0.0,656
17,0,oracle_full_attention,0.3,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,424
17,0,fusionrag_qk,0.3,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,424
17,0,draft_selected_set,0.3,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,424
17,1,oracle_full_attention,0.3,Colin Firth,Colin Firth,1.0,1.0,580
17,1,fusionrag_qk,0.3,Colin Firth,Colin Firth,1.0,1.0,580
17,1,draft_selected_set,0.3,Colin Firth,Colin Firth,1.0,1.0,580
18,0,oracle_full_attention,0.3,Natalie Wood played Susan Walker in Miracle on 34th Street.,Natalie Wood,0.25,0.0,306
18,0,fusionrag_qk,0.3,Natalie Wood played Susan Walker in Miracle on 34th Street.,Natalie Wood,0.25,0.0,306
18,0,draft_selected_set,0.3,Natalie Wood played Susan Walker in Miracle on 34th Street.,Natalie Wood,0.25,0.0,306
18,1,oracle_full_attention,0.3,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,John Payne,0,0.0,361
18,1,fusionrag_qk,0.3,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,Lana Wood,0.2857142857142857,0.0,361
18,1,draft_selected_set,0.3,Natalie Wood's sister is Lana Wood. The documents do not mention a brother.,The information provided does not mention Natalie Wood having a brother.,0.45454545454545453,0.0,361
19,0,oracle_full_attention,0.3,"Kris Benson, a former Major League Baseball pitcher.",Kris Benson,0.5454545454545454,0.0,310
19,0,fusionrag_qk,0.3,"Kris Benson, a former Major League Baseball pitcher.",Kris Benson,0.5454545454545454,0.0,310
19,0,draft_selected_set,0.3,"Kris Benson, a former Major League Baseball pitcher.",Kris Benson,0.5454545454545454,0.0,310
19,1,oracle_full_attention,0.3,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.",Benson played for the Yankees and the Philadelphia Athletics in Major League Baseball.,0.25,0.0,474
19,1,fusionrag_qk,0.3,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.",Pittsburgh Pirates,0.2727272727272727,0.0,474
19,1,draft_selected_set,0.3,"Kris Benson played for the Pittsburgh Pirates, New York Mets, and Baltimore Orioles.",Pittsburgh Pirates,0.2727272727272727,0.0,474
20,0,oracle_full_attention,0.3,Joni James,Answer: Joni James,0.8,0.0,455
20,0,fusionrag_qk,0.3,Joni James,Joni James,1.0,1.0,455
20,0,draft_selected_set,0.3,Joni James,Joni James,1.0,1.0,455
20,1,oracle_full_attention,0.3,MGM Records,Sharp Records,0.6666666666666666,0.0,679
20,1,fusionrag_qk,0.3,MGM Records,Sharp Records,0.6666666666666666,0.0,679
20,1,draft_selected_set,0.3,MGM Records,Sharp Records,0.6666666666666666,0.0,679
21,0,oracle_full_attention,0.3,Henry III,Henry III,1.0,1.0,524
21,0,fusionrag_qk,0.3,Henry III,Henry III,1.0,1.0,524
21,0,draft_selected_set,0.3,Henry III,Henry III,1.0,1.0,524
21,1,oracle_full_attention,0.3,"Henry III was first crowned in 1216 at Gloucester Cathedral, and then again at Westminster Abbey in 1220.","1216, 1220",0.4210526315789474,0.0,635
21,1,fusionrag_qk,0.3,"Henry III was first crowned in 1216 at Gloucester Cathedral, and then again at Westminster Abbey in 1220.",1220,0.18181818181818182,0.0,635
21,1,draft_selected_set,0.3,"Henry III was first crowned in 1216 at Gloucester Cathedral, and then again at Westminster Abbey in 1220.",1220,0.18181818181818182,0.0,635
24,0,oracle_full_attention,0.3,Joni James sang the song 'You Belong to Me'.,"Answer: Joni James, based on the document stating ""The first 1952 recording of the song was by Joni James.""",0.20689655172413796,0.0,466
24,0,fusionrag_qk,0.3,Joni James sang the song 'You Belong to Me'.,Joni James,0.4,0.0,466
24,0,draft_selected_set,0.3,Joni James sang the song 'You Belong to Me'.,Joni James and Sue Thompson,0.28571428571428575,0.0,466
24,1,oracle_full_attention,0.3,Joni James was signed to MGM Records.,Nothing Records,0,0.0,599
24,1,fusionrag_qk,0.3,Joni James was signed to MGM Records.,MGM Records,0.4,0.0,599
24,1,draft_selected_set,0.3,Joni James was signed to MGM Records.,MGM Records,0.4,0.0,599
25,0,oracle_full_attention,0.3,Central Equatoria,The Citizen (South Sudan),0,0.0,236
25,0,fusionrag_qk,0.3,Central Equatoria,Central Equatoria,1.0,1.0,236
25,0,draft_selected_set,0.3,Central Equatoria,Central Equatoria state,0.8,0.0,236
25,1,oracle_full_attention,0.3,Eastern Equatoria shares a border with Central Equatoria.,"Hadiya Zone, Silt'e Zone, Enemorina Eaner, Oromia Region, Sodo, Geta",0,0.0,338
25,1,fusionrag_qk,0.3,Eastern Equatoria shares a border with Central Equatoria.,"Hadiya Zone, Silt'e Zone, Enemorina Eaner, Oromia Region, Sodo, Geta",0,0.0,338
25,1,draft_selected_set,0.3,Eastern Equatoria shares a border with Central Equatoria.,"Badigeru Swamp, Terekeka, Lafon, Nunu Kumba, Guto Wayu, Diga Leka, Illubabor Zone, Sodo, Geta, Enemorina Eaner, Hadiya Zone, Didessa River, Gojeb River, Seka",0,0.0,338
26,0,oracle_full_attention,0.3,Colin Firth,Colin Firth,1.0,1.0,460
26,0,fusionrag_qk,0.3,Colin Firth,Colin Firth,1.0,1.0,460
26,0,draft_selected_set,0.3,Colin Firth,Colin Firth,1.0,1.0,460
27,0,oracle_full_attention,0.3,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,"Jeffrey Dexter ""Jeff"" Boomhauer III, commonly referred to as Boomhauer, is a fictional character in the Fox animated series King of the Hill. The character is voiced by series creator Mike Judge.",0.037037037037037035,0.0,401
27,0,fusionrag_qk,0.3,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,"Harry Hamlin as Steve
Deborah Van Valkenburgh as Tina",0.39999999999999997,0.0,401
27,0,draft_selected_set,0.3,The cast includes Harry Hamlin as Steve and Deborah Van Valkenburgh as Tina.,"Steve (Harry Hamlin), Tina (Deborah Van Valkenburgh)",0.8484848484848484,0.0,401
27,1,oracle_full_attention,0.3,Lisa Rinna,Lisa Rinna,1.0,1.0,433
27,1,fusionrag_qk,0.3,Lisa Rinna,Lisa Rinna,1.0,1.0,433
27,1,draft_selected_set,0.3,Lisa Rinna,Lisa Rinna,1.0,1.0,433
32,0,oracle_full_attention,0.3,Albert assumed the regnal name 'George VI'.,George VI,0.4,0.0,431
32,0,fusionrag_qk,0.3,Albert assumed the regnal name 'George VI'.,George VI,0.4,0.0,431
32,0,draft_selected_set,0.3,Albert assumed the regnal name 'George VI'.,George VI,0.4,0.0,431
32,1,oracle_full_attention,0.3,Colin Firth,Colin Firth,1.0,1.0,516
32,1,fusionrag_qk,0.3,Colin Firth,Colin Firth,1.0,1.0,516
32,1,draft_selected_set,0.3,Colin Firth,Colin Firth,1.0,1.0,516
33,0,oracle_full_attention,0.3,"Park Rapids, Minnesota","KPRM is licensed to broadcast in Columbia, Missouri.",0,0.0,232
33,0,fusionrag_qk,0.3,"Park Rapids, Minnesota","Park Rapids, Minnesota",1.0,1.0,232
33,0,draft_selected_set,0.3,"Park Rapids, Minnesota","870 AM KPRM is licensed to broadcast in Park Rapids, Minnesota.",0.4210526315789474,0.0,232
35,0,oracle_full_attention,0.3,The author of Prince Prigio is Andrew Lang.,Andrew Lang,0.3636363636363636,0.0,352
35,0,fusionrag_qk,0.3,The author of Prince Prigio is Andrew Lang.,Andrew Lang,0.3636363636363636,0.0,352
35,0,draft_selected_set,0.3,The author of Prince Prigio is Andrew Lang.,Andrew Lang,0.3636363636363636,0.0,352
35,1,oracle_full_attention,0.3,Andrew Lang died in 1912.,1912,0.5,0.0,364
35,1,fusionrag_qk,0.3,Andrew Lang died in 1912.,1912,0.5,0.0,364
35,1,draft_selected_set,0.3,Andrew Lang died in 1912.,1912,0.5,0.0,364
36,0,oracle_full_attention,0.3,"Greenfield, Indiana",1947,0,0.0,438
36,0,fusionrag_qk,0.3,"Greenfield, Indiana","1956 in Greenfield, Indiana",0.5454545454545454,0.0,438
36,0,draft_selected_set,0.3,"Greenfield, Indiana","Greenfield, Indiana",1.0,1.0,438
36,1,oracle_full_attention,0.3,"Greenfield, Indiana is located in Hancock County.",Hancock County,0.1818181818181818,0.0,546
36,1,fusionrag_qk,0.3,"Greenfield, Indiana is located in Hancock County.",Hancock County,0.1818181818181818,0.0,546
36,1,draft_selected_set,0.3,"Greenfield, Indiana is located in Hancock County.",Hancock County,0.1818181818181818,0.0,546
37,0,oracle_full_attention,0.3,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,Piero di Cosimo de' Medici and Lucrezia Tornabuoni,0.7368421052631579,0.0,321
37,0,fusionrag_qk,0.3,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,Piero di Cosimo de' Medici and Lucrezia Tornabuoni,0.7368421052631579,0.0,321
37,0,draft_selected_set,0.3,Nannina de' Medici's parents were Piero di Cosimo de' Medici and Lucrezia Tornabuoni.,Piero di Cosimo de' Medici and Lucrezia Tornabuoni,0.7368421052631579,0.0,321
37,1,oracle_full_attention,0.3,Nannina de' Medici's siblings were Lorenzo de' Medici and Giuliano de' Medici.,Lorenzo de' Medici,0.32000000000000006,0.0,387
37,1,fusionrag_qk,0.3,Nannina de' Medici's siblings were Lorenzo de' Medici and Giuliano de' Medici.,Lorenzo de' Medici,0.32000000000000006,0.0,387
37,1,draft_selected_set,0.3,Nannina de' Medici's siblings were Lorenzo de' Medici and Giuliano de' Medici.,Lorenzo de' Medici,0.32000000000000006,0.0,387
38,0,oracle_full_attention,0.3,"NRHEG High School is located in New Richland, Minnesota.","NRHEG High School is located in New Richland, Minnesota.",1.0,1.0,242
38,0,fusionrag_qk,0.3,"NRHEG High School is located in New Richland, Minnesota.","New Richland, Minnesota",0.5,0.0,242
38,0,draft_selected_set,0.3,"NRHEG High School is located in New Richland, Minnesota.","New Richland, Minnesota",0.5,0.0,242
38,1,oracle_full_attention,0.3,"New Richland is located in Waseca County, Minnesota.",Waseca County,0.42857142857142855,0.0,297
38,1,fusionrag_qk,0.3,"New Richland is located in Waseca County, Minnesota.",Waseca County,0.42857142857142855,0.0,297
38,1,draft_selected_set,0.3,"New Richland is located in Waseca County, Minnesota.",Waseca County,0.42857142857142855,0.0,297
39,0,oracle_full_attention,0.3,Janatha Vimukthi Peramuna,Janatha Vimukthi Peramuna,1.0,1.0,289
39,0,fusionrag_qk,0.3,Janatha Vimukthi Peramuna,Janatha Vimukthi Peramuna,1.0,1.0,289
39,0,draft_selected_set,0.3,Janatha Vimukthi Peramuna,Janatha Vimukthi Peramuna,1.0,1.0,289
39,1,oracle_full_attention,0.3,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,Patabendi Don Jinadasa Nandasiri Wijeweera,0.20689655172413793,0.0,406
39,1,fusionrag_qk,0.3,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,"Patabendi Don Jinadasa Nandasiri Wijeweera, known as Rohana Wijeweera, founded the Janatha Vimukthi Peramuna political party.",0.5833333333333334,0.0,406
39,1,draft_selected_set,0.3,The Janatha Vimukthi Peramuna was founded by Rohana Wijeweera.,Patabendi Don Jinadasa Nandasiri Wijeweera,0.20689655172413793,0.0,406
40,0,oracle_full_attention,0.3,"Larry Alcala estudió en la Universidad de Filipinas, donde obtuvo un título de Licenciado en Bellas Artes en Pintura.",University of the Philippines,0,0.0,326
40,0,fusionrag_qk,0.3,"Larry Alcala estudió en la Universidad de Filipinas, donde obtuvo un título de Licenciado en Bellas Artes en Pintura.",University of the Philippines,0,0.0,326
40,0,draft_selected_set,0.3,"Larry Alcala estudió en la Universidad de Filipinas, donde obtuvo un título de Licenciado en Bellas Artes en Pintura.",University of the Philippines,0,0.0,326
40,1,oracle_full_attention,0.3,Military instruction began at the University of the Philippines in 1912.,1912,0.375,0.0,454
40,1,fusionrag_qk,0.3,Military instruction began at the University of the Philippines in 1912.,1912,0.375,0.0,454
40,1,draft_selected_set,0.3,Military instruction began at the University of the Philippines in 1912.,1912,0.375,0.0,454
43,0,oracle_full_attention,0.3,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.","Cedar Springs is located in Lincoln County, south-central Kentucky, and also in northern Culberson County, Texas.",0.2916666666666667,0.0,251
43,0,fusionrag_qk,0.3,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.","Cedar Springs is located in west Falls County, Texas, United States. It is located on U.S. Routes 62 and 180.",0.5882352941176471,0.0,251
43,0,draft_selected_set,0.3,"Cedar Springs is an unincorporated community in west Falls County, Texas, United States, located on Farm-to-market road #2027.","Cedar Springs is an unincorporated community in west Falls County, Texas, United States. It is located on Farm-to-market road #27.",0.9230769230769231,0.0,251
43,1,oracle_full_attention,0.3,Bell County shares a border with Falls County.,"Bell County and Knox County share a border with Falls County, Texas.",0.5882352941176471,0.0,297
43,1,fusionrag_qk,0.3,Bell County shares a border with Falls County.,"Bell County and Crockett County share a border with Falls County, Texas.",0.5882352941176471,0.0,297
43,1,draft_selected_set,0.3,Bell County shares a border with Falls County.,"Bell County, Coleman County, and Somervell County share borders with Falls County, Texas.",0.3809523809523809,0.0,297
44,0,oracle_full_attention,0.3,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada. Specifically, it is in the West Kootenay region and is home to North Hastings High School, which serves students in the northern portion of Hastings County and is part of the Hastings and Prince Edward District School Board.",0.3,0.0,299
44,0,fusionrag_qk,0.3,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada. Specifically, it is in the West Kootenay region of Ontario, Canada, and is home to North Hastings High School, which serves students in the northern portion of Hastings County.",0.35294117647058826,0.0,299
44,0,draft_selected_set,0.3,"Bancroft is located in Ontario, Canada.","Bancroft is located in Ontario, Canada and serves students in the northern portion of Hastings County, part of the Hastings and Prince Edward District School Board.",0.4615384615384615,0.0,299
44,1,oracle_full_attention,0.3,"Bancroft, Ontario is located in Hastings County.",Hastings County,0.28571428571428575,0.0,332
44,1,fusionrag_qk,0.3,"Bancroft, Ontario is located in Hastings County.",Hastings County,0.28571428571428575,0.0,332
44,1,draft_selected_set,0.3,"Bancroft, Ontario is located in Hastings County.",Hastings County,0.28571428571428575,0.0,332
44,2,oracle_full_attention,0.3,Renfrew County and Haliburton County border Hastings County in Ontario.,Renfrew County and Haliburton County,0.6956521739130436,0.0,480
44,2,fusionrag_qk,0.3,Renfrew County and Haliburton County border Hastings County in Ontario.,"Renfrew County, Haliburton County",0.6363636363636364,0.0,480
44,2,draft_selected_set,0.3,Renfrew County and Haliburton County border Hastings County in Ontario.,"Renfrew County, Haliburton County",0.6363636363636364,0.0,480
45,0,oracle_full_attention,0.3,"Empress Wang's husband was Yang Pu (Emperor Rui), the final ruler of the Chinese state Wu during the Five Dynasties and Ten Kingdoms period.",Fu Jiān,0,0.0,461
45,0,fusionrag_qk,0.3,"Empress Wang's husband was Yang Pu (Emperor Rui), the final ruler of the Chinese state Wu during the Five Dynasties and Ten Kingdoms period.",Yang Pu,0.07407407407407407,0.0,461
45,0,draft_selected_set,0.3,"Empress Wang's husband was Yang Pu (Emperor Rui), the final ruler of the Chinese state Wu during the Five Dynasties and Ten Kingdoms period.",Yang Pu,0.07407407407407407,0.0,461
45,1,oracle_full_attention,0.3,"Yang Pu's father was Yang Xingmi, a late-Tang Dynasty warlord and military governor of Huainan Circuit.",Yang Xingmi,0.25,0.0,546
45,1,fusionrag_qk,0.3,"Yang Pu's father was Yang Xingmi, a late-Tang Dynasty warlord and military governor of Huainan Circuit.",Yang Xingmi,0.25,0.0,546
45,1,draft_selected_set,0.3,"Yang Pu's father was Yang Xingmi, a late-Tang Dynasty warlord and military governor of Huainan Circuit.",Yang Xingmi,0.25,0.0,546
46,0,oracle_full_attention,0.3,George VI was the King of the United Kingdom in 1951.,George VI,0.2666666666666667,0.0,456
46,0,fusionrag_qk,0.3,George VI was the King of the United Kingdom in 1951.,George VI,0.2666666666666667,0.0,456
46,0,draft_selected_set,0.3,George VI was the King of the United Kingdom in 1951.,George VI,0.2666666666666667,0.0,456
46,1,oracle_full_attention,0.3,Colin Firth,Colin Firth,1.0,1.0,580
46,1,fusionrag_qk,0.3,Colin Firth,Colin Firth,1.0,1.0,580
46,1,draft_selected_set,0.3,Colin Firth,Colin Firth,1.0,1.0,580
50,0,oracle_full_attention,0.3,Henry III,"John III, Margrave of Brandenburg-Salzwedel",0.15384615384615385,0.0,501
50,0,fusionrag_qk,0.3,Henry III,John I of Cyprus and Jerusalem,0,0.0,501
50,0,draft_selected_set,0.3,Henry III,Henry III,1.0,1.0,501
50,1,oracle_full_attention,0.3,"John I of Cyprus (John II of Jerusalem) was crowned on May 11, 1284.",1284,0.25,0.0,576
