method,example_id,sub_q_idx,default_count,selected_count,intersection,recall_default,precision_vs_default,jaccard_vs_default,default_chunk_count,selected_chunk_count,chunk_recall,chunk_jaccard,freq_base_residual_size,freq_base_residual_recall,selection_time,score_forward_time
default,12,1,349,349,349,1.0,1.0,1.0,11,11,1.0,1.0,241,1.0,0.17564389301696792,0.17398518198751844
default,13,0,196,196,196,1.0,1.0,1.0,11,11,1.0,1.0,69,1.0,0.12466429601772688,0.12375057200551964
default,13,1,341,341,341,1.0,1.0,1.0,12,12,1.0,1.0,201,1.0,0.17323638300877064,0.17142417101422325
default,14,0,198,198,198,1.0,1.0,1.0,11,11,1.0,1.0,111,1.0,0.12068162200739607,0.11978038898087107
default,14,1,280,280,280,1.0,1.0,1.0,12,12,1.0,1.0,131,1.0,0.1528617949807085,0.15156359499087557
default,15,0,128,128,128,1.0,1.0,1.0,11,11,1.0,1.0,61,1.0,0.092184110020753,0.0915199089795351
default,15,1,200,200,200,1.0,1.0,1.0,11,11,1.0,1.0,146,1.0,0.12418633201741613,0.12316238501807675
default,16,1,362,362,362,1.0,1.0,1.0,11,11,1.0,1.0,257,1.0,0.18110170800355263,0.17922334501054138
default,17,0,244,244,244,1.0,1.0,1.0,11,11,1.0,1.0,130,1.0,0.13393557097879238,0.13283287698868662
default,17,1,324,324,324,1.0,1.0,1.0,11,11,1.0,1.0,110,1.0,0.16730633898987435,0.1658742470026482
default,18,0,185,185,185,1.0,1.0,1.0,11,11,1.0,1.0,124,1.0,0.11864029901335016,0.11769418499898165
default,18,1,206,206,206,1.0,1.0,1.0,13,13,1.0,1.0,95,1.0,0.12360438698669896,0.12267533800331876
default,19,0,181,181,181,1.0,1.0,1.0,11,11,1.0,1.0,65,1.0,0.11875471699750051,0.1179016940004658
default,19,1,268,268,268,1.0,1.0,1.0,11,11,1.0,1.0,179,1.0,0.13923110300675035,0.13794969001901336
default,4,0,212,212,212,1.0,1.0,1.0,11,11,1.0,1.0,94,1.0,0.12828559498302639,0.12714175798464566
default,4,1,339,339,339,1.0,1.0,1.0,12,12,1.0,1.0,207,1.0,0.17636880200007,0.17456270201364532
first4,3,1,233,233,134,0.575107296137339,0.575107296137339,0.4036144578313253,11,11,1.0,1.0,98,0.6224489795918368,0.016434063989436254,0.015457455010619015
first4,3,0,203,203,73,0.35960591133004927,0.35960591133004927,0.21921921921921922,11,11,1.0,1.0,99,0.3333333333333333,0.018666552990907803,0.017618868994759396
first4,0,0,227,227,147,0.6475770925110133,0.6475770925110133,0.4788273615635179,11,11,1.0,1.0,108,0.7592592592592593,0.1267369260021951,0.1256468700012192
first4,1,0,223,223,118,0.5291479820627802,0.5291479820627802,0.3597560975609756,11,11,1.0,1.0,89,0.5730337078651685,0.016831909015309066,0.01587134800502099
first4,2,0,241,241,115,0.47717842323651455,0.47717842323651455,0.3133514986376022,11,11,1.0,1.0,79,0.5063291139240507,0.0191351389803458,0.017913213989231735
first4,16,0,259,259,89,0.3436293436293436,0.3436293436293436,0.20745920745920746,11,11,1.0,1.0,146,0.2465753424657534,0.017270045005716383,0.016474342002766207
first4,6,0,248,248,132,0.532258064516129,0.532258064516129,0.3626373626373626,11,11,1.0,1.0,98,0.7551020408163265,0.018001251999521628,0.016765830980148166
first4,7,0,269,269,100,0.37174721189591076,0.37174721189591076,0.228310502283105,11,11,1.0,1.0,118,0.423728813559322,0.018258494994370267,0.01711971699842252
first4,7,1,251,251,130,0.5179282868525896,0.5179282868525896,0.34946236559139787,11,11,1.0,1.0,103,0.7572815533980582,0.016854479996254668,0.015837165992707014
first4,9,0,328,328,130,0.39634146341463417,0.39634146341463417,0.24714828897338403,11,11,1.0,1.0,152,0.4407894736842105,0.021546024014241993,0.020640785980504006
first4,9,1,445,445,242,0.5438202247191011,0.5438202247191011,0.3734567901234568,12,12,1.0,1.0,227,0.6740088105726872,0.026286509004421532,0.025357545993756503
first4,10,0,254,254,92,0.36220472440944884,0.36220472440944884,0.22115384615384615,11,11,1.0,1.0,98,0.45918367346938777,0.018606255995109677,0.01737018200219609
first4,10,1,288,288,118,0.4097222222222222,0.4097222222222222,0.2576419213973799,11,11,1.0,1.0,133,0.47368421052631576,0.01925538099021651,0.01820329501060769
first4,11,0,215,215,112,0.5209302325581395,0.5209302325581395,0.3522012578616352,11,11,1.0,1.0,96,0.6458333333333334,0.016189664020203054,0.015283070999430493
first4,11,1,210,210,136,0.6476190476190476,0.6476190476190476,0.4788732394366197,11,11,1.0,1.0,78,0.7435897435897436,0.01642781400005333,0.015555955993477255
first4,12,0,337,337,96,0.28486646884273,0.28486646884273,0.16608996539792387,11,11,1.0,1.0,173,0.31213872832369943,0.022233185009099543,0.020634641987271607
first4,12,1,349,349,175,0.501432664756447,0.501432664756447,0.33460803059273425,11,11,1.0,1.0,241,0.5394190871369294,0.022438435000367463,0.02087241699337028
first4,13,0,196,196,70,0.35714285714285715,0.35714285714285715,0.21739130434782608,11,11,1.0,1.0,69,0.42028985507246375,0.0164632800151594,0.015622255014022812
first4,13,1,341,341,182,0.533724340175953,0.533724340175953,0.364,12,12,1.0,1.0,201,0.5572139303482587,0.023167506005847827,0.021587672003079206
first4,14,0,198,198,83,0.41919191919191917,0.41919191919191917,0.26517571884984026,11,11,1.0,1.0,111,0.5045045045045045,0.016917728004045784,0.016119195002829656
first4,14,1,280,280,151,0.5392857142857143,0.5392857142857143,0.3691931540342298,12,12,1.0,1.0,131,0.5801526717557252,0.019589550996897742,0.018354806990828365
first4,15,0,128,128,67,0.5234375,0.5234375,0.3544973544973545,11,7,0.6363636363636364,0.6363636363636364,61,0.6885245901639344,0.014042175986105576,0.013343492028070614
first4,15,1,200,200,109,0.545,0.545,0.3745704467353952,11,11,1.0,1.0,146,0.5616438356164384,0.0164227340137586,0.015608522982802242
first4,16,1,362,362,186,0.5138121546961326,0.5138121546961326,0.34572490706319703,11,11,1.0,1.0,257,0.490272373540856,0.02361454299534671,0.02237896202132106
first4,17,0,244,244,118,0.48360655737704916,0.48360655737704916,0.31891891891891894,11,11,1.0,1.0,130,0.5692307692307692,0.017285113979596645,0.01617277498007752
first4,17,1,324,324,159,0.49074074074074076,0.49074074074074076,0.32515337423312884,11,11,1.0,1.0,110,0.6090909090909091,0.020590849017025903,0.01983393999398686
first4,18,0,185,185,86,0.4648648648648649,0.4648648648648649,0.3028169014084507,11,11,1.0,1.0,124,0.43548387096774194,0.015783568989718333,0.015038493002066389
first4,18,1,206,206,85,0.41262135922330095,0.41262135922330095,0.2599388379204893,13,11,0.8461538461538461,0.8461538461538461,95,0.42105263157894735,0.016330265993019566,0.015460030001122504
first4,19,0,181,181,63,0.34806629834254144,0.34806629834254144,0.21070234113712374,11,10,0.9090909090909091,0.9090909090909091,65,0.4,0.01555700899916701,0.014827976003289223
first4,19,1,268,268,153,0.5708955223880597,0.5708955223880597,0.39947780678851175,11,11,1.0,1.0,179,0.6033519553072626,0.017606731998967007,0.016548802028410137
first4,4,0,212,212,116,0.5471698113207547,0.5471698113207547,0.37662337662337664,11,11,1.0,1.0,94,0.7446808510638298,0.01767966299667023,0.01664086600067094
first4,4,1,339,339,188,0.5545722713864307,0.5545722713864307,0.3836734693877551,12,12,1.0,1.0,207,0.5942028985507246,0.022617818001890555,0.021687994012609124
first8,3,1,233,233,173,0.7424892703862661,0.7424892703862661,0.590443686006826,11,11,1.0,1.0,98,0.7244897959183674,0.031012166989967227,0.030012579984031618
first8,3,0,203,203,106,0.5221674876847291,0.5221674876847291,0.35333333333333333,11,11,1.0,1.0,99,0.3939393939393939,0.03067190499859862,0.029689800983760506
first8,0,0,227,227,174,0.7665198237885462,0.7665198237885462,0.6214285714285714,11,11,1.0,1.0,108,0.7592592592592593,0.13625645299907774,0.13510840697563253
first8,1,0,223,223,150,0.672645739910314,0.672645739910314,0.5067567567567568,11,11,1.0,1.0,89,0.5955056179775281,0.03100430901395157,0.030055778013775125
first8,2,0,241,241,155,0.6431535269709544,0.6431535269709544,0.4740061162079511,11,11,1.0,1.0,79,0.4936708860759494,0.032169257989153266,0.03105959200183861
first8,16,0,259,259,122,0.47104247104247104,0.47104247104247104,0.30808080808080807,11,11,1.0,1.0,146,0.3287671232876712,0.033514860027935356,0.03242744199815206
first8,6,0,248,248,183,0.7379032258064516,0.7379032258064516,0.5846645367412141,11,11,1.0,1.0,98,0.7448979591836735,0.03333563799969852,0.03226309802266769
first8,7,0,269,269,161,0.5985130111524164,0.5985130111524164,0.4270557029177719,11,11,1.0,1.0,118,0.4915254237288136,0.03405565698631108,0.03294829500373453
first8,7,1,251,251,196,0.7808764940239044,0.7808764940239044,0.6405228758169934,11,11,1.0,1.0,103,0.7475728155339806,0.03222463000565767,0.031170212023425847
first8,9,0,328,328,179,0.5457317073170732,0.5457317073170732,0.3752620545073375,11,11,1.0,1.0,152,0.4868421052631579,0.042233941989252344,0.04075936900335364
first8,9,1,445,445,317,0.7123595505617978,0.7123595505617978,0.5532286212914486,12,12,1.0,1.0,227,0.762114537444934,0.05158100099652074,0.04936189501313493
first8,10,0,254,254,131,0.515748031496063,0.515748031496063,0.34748010610079577,11,11,1.0,1.0,98,0.5306122448979592,0.03346081299241632,0.0323433909798041
first8,10,1,288,288,165,0.5729166666666666,0.5729166666666666,0.40145985401459855,11,11,1.0,1.0,133,0.5338345864661654,0.036798960994929075,0.03549773700069636
first8,11,0,215,215,150,0.6976744186046512,0.6976744186046512,0.5357142857142857,11,11,1.0,1.0,96,0.7291666666666666,0.0308294529968407,0.029892180988099426
first8,11,1,210,210,166,0.7904761904761904,0.7904761904761904,0.6535433070866141,11,11,1.0,1.0,78,0.8076923076923077,0.030840777995763347,0.029897748987423256
first8,12,0,337,337,150,0.44510385756676557,0.44510385756676557,0.2862595419847328,11,11,1.0,1.0,173,0.3815028901734104,0.04166256700409576,0.040068318019621074
first8,12,1,349,349,244,0.6991404011461319,0.6991404011461319,0.5374449339207048,11,11,1.0,1.0,241,0.6680497925311203,0.04240279700024985,0.04085922800004482
first8,13,0,196,196,110,0.5612244897959183,0.5612244897959183,0.3900709219858156,11,11,1.0,1.0,69,0.5507246376811594,0.03049587199348025,0.029643823014339432
first8,13,1,341,341,214,0.6275659824046921,0.6275659824046921,0.45726495726495725,12,12,1.0,1.0,201,0.5323383084577115,0.041033535002497956,0.039491095987614244
first8,14,0,198,198,121,0.6111111111111112,0.6111111111111112,0.44,11,11,1.0,1.0,111,0.5675675675675675,0.02949301101034507,0.028666205005720258
first8,14,1,280,280,178,0.6357142857142857,0.6357142857142857,0.46596858638743455,12,12,1.0,1.0,131,0.6946564885496184,0.0369152219791431,0.035562054021283984
first8,15,0,128,128,88,0.6875,0.6875,0.5238095238095238,11,10,0.9090909090909091,0.9090909090909091,61,0.7049180327868853,0.022992607002379373,0.022314814996207133
first8,15,1,200,200,141,0.705,0.705,0.5444015444015444,11,11,1.0,1.0,146,0.6506849315068494,0.03016922701499425,0.02938280298258178
first8,16,1,362,362,236,0.6519337016574586,0.6519337016574586,0.48360655737704916,11,11,1.0,1.0,257,0.5953307392996109,0.044699075020616874,0.04306167899630964
first8,17,0,244,244,157,0.6434426229508197,0.6434426229508197,0.4743202416918429,11,11,1.0,1.0,130,0.6153846153846154,0.03223931300453842,0.03127332899020985
first8,17,1,324,324,225,0.6944444444444444,0.6944444444444444,0.5319148936170213,11,11,1.0,1.0,110,0.6909090909090909,0.040517969988286495,0.03912853600922972
first8,18,0,185,185,132,0.7135135135135136,0.7135135135135136,0.5546218487394958,11,11,1.0,1.0,124,0.6774193548387096,0.02924217699910514,0.028468449017964303
first8,18,1,206,206,123,0.5970873786407767,0.5970873786407767,0.42560553633217996,13,13,1.0,1.0,95,0.43157894736842106,0.03025722102029249,0.029285968019394204
first8,19,0,181,181,76,0.4198895027624309,0.4198895027624309,0.26573426573426573,11,8,0.7272727272727273,0.7272727272727273,65,0.4307692307692308,0.02896911499556154,0.028141502989456058
first8,19,1,268,268,187,0.6977611940298507,0.6977611940298507,0.5358166189111748,11,11,1.0,1.0,179,0.6703910614525139,0.033649118995526806,0.03251094699953683
first8,4,0,212,212,141,0.6650943396226415,0.6650943396226415,0.49823321554770317,11,11,1.0,1.0,94,0.7659574468085106,0.03111418499611318,0.03023155900882557
first8,4,1,339,339,221,0.6519174041297935,0.6519174041297935,0.48358862144420134,12,12,1.0,1.0,207,0.5555555555555556,0.04305871101678349,0.04137796399299987
first12,3,1,233,233,175,0.7510729613733905,0.7510729613733905,0.6013745704467354,11,11,1.0,1.0,98,0.7040816326530612,0.04631732698180713,0.04524958800175227
first12,3,0,203,203,106,0.5221674876847291,0.5221674876847291,0.35333333333333333,11,11,1.0,1.0,99,0.3939393939393939,0.044887451018439606,0.04389908700250089
first12,0,0,227,227,175,0.7709251101321586,0.7709251101321586,0.6272401433691757,11,11,1.0,1.0,108,0.75,0.17229073701309972,0.17072869601543061
first12,1,0,223,223,157,0.7040358744394619,0.7040358744394619,0.5432525951557093,11,11,1.0,1.0,89,0.6067415730337079,0.04661534901242703,0.0454117170011159
first12,2,0,241,241,170,0.7053941908713693,0.7053941908713693,0.5448717948717948,11,11,1.0,1.0,79,0.4936708860759494,0.048818237002706155,0.047652087989263237
first12,16,0,259,259,127,0.49034749034749037,0.49034749034749037,0.3248081841432225,11,11,1.0,1.0,146,0.3287671232876712,0.0497036770102568,0.04853853600798175
first12,6,0,248,248,189,0.7620967741935484,0.7620967741935484,0.6156351791530945,11,11,1.0,1.0,98,0.7448979591836735,0.04956373502500355,0.048341885005356744
first12,7,0,269,269,172,0.6394052044609665,0.6394052044609665,0.46994535519125685,11,11,1.0,1.0,118,0.4915254237288136,0.05032047597342171,0.04908578400500119
first12,7,1,251,251,196,0.7808764940239044,0.7808764940239044,0.6405228758169934,11,11,1.0,1.0,103,0.7475728155339806,0.047756479994859546,0.04663570100092329
first12,9,0,328,328,183,0.5579268292682927,0.5579268292682927,0.386892177589852,11,11,1.0,1.0,152,0.47368421052631576,0.0617356370203197,0.06023003498557955
first12,9,1,445,445,332,0.7460674157303371,0.7460674157303371,0.5949820788530465,12,12,1.0,1.0,227,0.7929515418502202,0.07655588499619626,0.07423690898576751
first12,10,0,254,254,146,0.5748031496062992,0.5748031496062992,0.40331491712707185,11,11,1.0,1.0,98,0.5408163265306123,0.04976706000161357,0.04824098999961279
first12,10,1,288,288,179,0.6215277777777778,0.6215277777777778,0.4508816120906801,11,11,1.0,1.0,133,0.5413533834586466,0.05433330999221653,0.0529827130085323
first12,11,0,215,215,153,0.7116279069767442,0.7116279069767442,0.5523465703971119,11,11,1.0,1.0,96,0.7395833333333334,0.046030291996430606,0.04497074300888926
first12,11,1,210,210,176,0.8380952380952381,0.8380952380952381,0.7213114754098361,11,11,1.0,1.0,78,0.8076923076923077,0.045467477990314364,0.04449878298328258
first12,12,0,337,337,163,0.4836795252225519,0.4836795252225519,0.31898238747553814,11,11,1.0,1.0,173,0.3872832369942196,0.06181971399928443,0.06021603199769743
first12,12,1,349,349,237,0.6790830945558739,0.6790830945558739,0.5140997830802603,11,11,1.0,1.0,241,0.6265560165975104,0.06302914099069312,0.061366501002339646
first12,13,0,196,196,118,0.6020408163265306,0.6020408163265306,0.4306569343065693,11,11,1.0,1.0,69,0.5652173913043478,0.04610209900420159,0.045231309020891786
first12,13,1,341,341,205,0.6011730205278593,0.6011730205278593,0.429769392033543,12,12,1.0,1.0,201,0.4577114427860697,0.061641031003091484,0.05976272901170887
first12,14,0,198,198,120,0.6060606060606061,0.6060606060606061,0.43478260869565216,11,11,1.0,1.0,111,0.5765765765765766,0.043864854000275955,0.04297778199543245
first12,14,1,280,280,184,0.6571428571428571,0.6571428571428571,0.48936170212765956,12,12,1.0,1.0,131,0.6641221374045801,0.054648302000714466,0.05330837098881602
first12,15,0,128,128,89,0.6953125,0.6953125,0.5329341317365269,11,11,1.0,1.0,61,0.6065573770491803,0.03386924197548069,0.033167530986247584
first12,15,1,200,200,151,0.755,0.755,0.606425702811245,11,11,1.0,1.0,146,0.7191780821917808,0.0448163730034139,0.04394258500542492
first12,16,1,362,362,243,0.6712707182320442,0.6712707182320442,0.5051975051975052,11,11,1.0,1.0,257,0.5953307392996109,0.06506342699867673,0.06319272500695661
first12,17,0,244,244,163,0.6680327868852459,0.6680327868852459,0.5015384615384615,11,11,1.0,1.0,130,0.6230769230769231,0.04823629299062304,0.04706595200696029
first12,17,1,324,324,230,0.7098765432098766,0.7098765432098766,0.5502392344497608,11,11,1.0,1.0,110,0.6909090909090909,0.060509789997013286,0.05905944501864724
first12,18,0,185,185,135,0.7297297297297297,0.7297297297297297,0.574468085106383,11,11,1.0,1.0,124,0.6693548387096774,0.043115075008245185,0.04227414101478644
first12,18,1,206,206,136,0.6601941747572816,0.6601941747572816,0.4927536231884058,13,13,1.0,1.0,95,0.5052631578947369,0.04452294600196183,0.043501132022356614
first12,19,0,181,181,101,0.5580110497237569,0.5580110497237569,0.38697318007662834,11,11,1.0,1.0,65,0.4461538461538462,0.042809818987734616,0.041890870983479545
first12,19,1,268,268,190,0.7089552238805971,0.7089552238805971,0.5491329479768786,11,11,1.0,1.0,179,0.6480446927374302,0.05024387501180172,0.04900583002017811
first12,4,0,212,212,149,0.7028301886792453,0.7028301886792453,0.5418181818181819,11,11,1.0,1.0,94,0.8085106382978723,0.04555871701450087,0.044571916019776836
first12,4,1,339,339,215,0.6342182890855457,0.6342182890855457,0.46436285097192226,12,12,1.0,1.0,207,0.4782608695652174,0.06263979399227537,0.06086649702046998
layer4_8_12,3,1,233,233,172,0.7381974248927039,0.7381974248927039,0.5850340136054422,11,11,1.0,1.0,98,0.6224489795918368,0.04697014900739305,0.04585819799103774
layer4_8_12,3,0,203,203,108,0.5320197044334976,0.5320197044334976,0.3624161073825503,11,11,1.0,1.0,99,0.37373737373737376,0.04515343002276495,0.04412930301623419
layer4_8_12,0,0,227,227,167,0.73568281938326,0.73568281938326,0.5818815331010453,11,11,1.0,1.0,108,0.7037037037037037,0.1431543660000898,0.1420587940083351
layer4_8_12,1,0,223,223,158,0.7085201793721974,0.7085201793721974,0.5486111111111112,11,11,1.0,1.0,89,0.5730337078651685,0.04657655901974067,0.045609988999785855
layer4_8_12,2,0,241,241,157,0.6514522821576764,0.6514522821576764,0.48307692307692307,11,11,1.0,1.0,79,0.4430379746835443,0.048115634999703616,0.047000913007650524
layer4_8_12,16,0,259,259,130,0.5019305019305019,0.5019305019305019,0.33505154639175255,11,11,1.0,1.0,146,0.3013698630136986,0.050235147995408624,0.04911153099965304
layer4_8_12,6,0,248,248,178,0.717741935483871,0.717741935483871,0.559748427672956,11,11,1.0,1.0,98,0.5918367346938775,0.04988577601034194,0.04873648099601269
layer4_8_12,7,0,269,269,179,0.6654275092936803,0.6654275092936803,0.4986072423398329,11,11,1.0,1.0,118,0.5423728813559322,0.05288502699113451,0.05173871698207222
layer4_8_12,7,1,251,251,182,0.7250996015936255,0.7250996015936255,0.56875,11,11,1.0,1.0,103,0.7281553398058253,0.04845926200505346,0.04739976499695331
layer4_8_12,9,0,328,328,179,0.5457317073170732,0.5457317073170732,0.3752620545073375,11,11,1.0,1.0,152,0.47368421052631576,0.06394353701034561,0.06233540998073295
layer4_8_12,9,1,445,445,340,0.7640449438202247,0.7640449438202247,0.6181818181818182,12,12,1.0,1.0,227,0.8193832599118943,0.07716694800183177,0.07494194299215451
layer4_8_12,10,0,254,254,155,0.610236220472441,0.610236220472441,0.43909348441926344,11,11,1.0,1.0,98,0.5510204081632653,0.05012725101551041,0.048968714982038364
layer4_8_12,10,1,288,288,200,0.6944444444444444,0.6944444444444444,0.5319148936170213,11,11,1.0,1.0,133,0.6015037593984962,0.055360697995638475,0.05400737700983882
layer4_8_12,11,0,215,215,143,0.6651162790697674,0.6651162790697674,0.49825783972125437,11,11,1.0,1.0,96,0.6979166666666666,0.04630141000961885,0.04537752197938971
layer4_8_12,11,1,210,210,166,0.7904761904761904,0.7904761904761904,0.6535433070866141,11,11,1.0,1.0,78,0.7564102564102564,0.045628091000253335,0.04470447899075225
layer4_8_12,12,0,337,337,160,0.47477744807121663,0.47477744807121663,0.311284046692607,11,11,1.0,1.0,173,0.3872832369942196,0.06293299200478941,0.06138334999559447
layer4_8_12,12,1,349,349,235,0.673352435530086,0.673352435530086,0.5075593952483801,11,11,1.0,1.0,241,0.6182572614107884,0.0633454330090899,0.06169472500914708
layer4_8_12,13,0,196,196,125,0.6377551020408163,0.6377551020408163,0.4681647940074906,11,11,1.0,1.0,69,0.5652173913043478,0.04552266001701355,0.0445278330007568
layer4_8_12,13,1,341,341,193,0.5659824046920822,0.5659824046920822,0.3946830265848671,12,12,1.0,1.0,201,0.36318407960199006,0.06328893097816035,0.06165980300283991
layer4_8_12,14,0,198,198,117,0.5909090909090909,0.5909090909090909,0.41935483870967744,11,11,1.0,1.0,111,0.5585585585585585,0.043833765987074,0.04300191899528727
layer4_8_12,14,1,280,280,188,0.6714285714285714,0.6714285714285714,0.5053763440860215,12,12,1.0,1.0,131,0.6564885496183206,0.05499186398810707,0.053758060006657615
layer4_8_12,15,0,128,128,88,0.6875,0.6875,0.5238095238095238,11,11,1.0,1.0,61,0.6065573770491803,0.03375270697870292,0.0330289889825508
layer4_8_12,15,1,200,200,140,0.7,0.7,0.5384615384615384,11,11,1.0,1.0,146,0.6643835616438356,0.045515195990446955,0.04460955600370653
layer4_8_12,16,1,362,362,227,0.6270718232044199,0.6270718232044199,0.4567404426559356,11,11,1.0,1.0,257,0.5330739299610895,0.06816453899955377,0.06652118201600388
layer4_8_12,17,0,244,244,167,0.6844262295081968,0.6844262295081968,0.5202492211838006,11,11,1.0,1.0,130,0.6230769230769231,0.04828082598396577,0.04726849400321953
layer4_8_12,17,1,324,324,229,0.7067901234567902,0.7067901234567902,0.5465393794749404,11,11,1.0,1.0,110,0.6272727272727273,0.060925444995518774,0.059428722015582025
layer4_8_12,18,0,185,185,113,0.6108108108108108,0.6108108108108108,0.4396887159533074,11,11,1.0,1.0,124,0.5,0.04438569099875167,0.04357155199977569
layer4_8_12,18,1,206,206,129,0.6262135922330098,0.6262135922330098,0.4558303886925795,13,13,1.0,1.0,95,0.4421052631578947,0.04527781900833361,0.04435421200469136
layer4_8_12,19,0,181,181,108,0.5966850828729282,0.5966850828729282,0.4251968503937008,11,11,1.0,1.0,65,0.4,0.04451620701001957,0.04368404400884174
layer4_8_12,19,1,268,268,176,0.6567164179104478,0.6567164179104478,0.4888888888888889,11,11,1.0,1.0,179,0.5698324022346368,0.05021601001499221,0.04907267101225443
layer4_8_12,4,0,212,212,151,0.7122641509433962,0.7122641509433962,0.5531135531135531,11,11,1.0,1.0,94,0.776595744680851,0.04534963599871844,0.04445159001625143
layer4_8_12,4,1,339,339,191,0.5634218289085545,0.5634218289085545,0.3921971252566735,12,12,1.0,1.0,207,0.37681159420289856,0.06378824598505162,0.06203383201500401
layer8_12_16,3,1,233,233,163,0.6995708154506438,0.6995708154506438,0.5379537953795379,11,11,1.0,1.0,98,0.6122448979591837,0.06067827600054443,0.05965394401573576
layer8_12_16,3,0,203,203,122,0.6009852216748769,0.6009852216748769,0.4295774647887324,11,11,1.0,1.0,99,0.40404040404040403,0.05840471701230854,0.05744126898935065
layer8_12_16,0,0,227,227,176,0.775330396475771,0.775330396475771,0.6330935251798561,11,11,1.0,1.0,108,0.7222222222222222,0.16822207299992442,0.16706191599951126
layer8_12_16,1,0,223,223,158,0.7085201793721974,0.7085201793721974,0.5486111111111112,11,11,1.0,1.0,89,0.5280898876404494,0.06046338999294676,0.05955749700660817
layer8_12_16,2,0,241,241,171,0.7095435684647303,0.7095435684647303,0.5498392282958199,11,11,1.0,1.0,79,0.5316455696202531,0.06317518700961955,0.06192571998690255
layer8_12_16,16,0,259,259,136,0.525096525096525,0.525096525096525,0.35602094240837695,11,11,1.0,1.0,146,0.3219178082191781,0.06483876102720387,0.06374132100609131
layer8_12_16,6,0,248,248,178,0.717741935483871,0.717741935483871,0.559748427672956,11,11,1.0,1.0,98,0.6122448979591837,0.0645309470128268,0.06339753099018708
layer8_12_16,7,0,269,269,194,0.7211895910780669,0.7211895910780669,0.563953488372093,11,11,1.0,1.0,118,0.7033898305084746,0.06554294700617902,0.06436271598795429
layer8_12_16,7,1,251,251,171,0.6812749003984063,0.6812749003984063,0.5166163141993958,11,11,1.0,1.0,103,0.6504854368932039,0.0626716669939924,0.0616375379904639
layer8_12_16,9,0,328,328,179,0.5457317073170732,0.5457317073170732,0.3752620545073375,11,11,1.0,1.0,152,0.4605263157894737,0.0809063269989565,0.07934574800310656
layer8_12_16,9,1,445,445,323,0.7258426966292135,0.7258426966292135,0.5696649029982364,12,12,1.0,1.0,227,0.748898678414097,0.09962527299649082,0.09746861801249906
layer8_12_16,10,0,254,254,162,0.6377952755905512,0.6377952755905512,0.4682080924855491,11,11,1.0,1.0,98,0.5102040816326531,0.06478579601389356,0.06365386699326336
layer8_12_16,10,1,288,288,201,0.6979166666666666,0.6979166666666666,0.536,11,11,1.0,1.0,133,0.6165413533834586,0.071575687994482,0.07028999901376665
layer8_12_16,11,0,215,215,151,0.7023255813953488,0.7023255813953488,0.5412186379928315,11,11,1.0,1.0,96,0.75,0.05993648202274926,0.05899391300044954
layer8_12_16,11,1,210,210,164,0.780952380952381,0.780952380952381,0.640625,11,11,1.0,1.0,78,0.7435897435897436,0.05891598400194198,0.05795095500070602
layer8_12_16,12,0,337,337,179,0.5311572700296736,0.5311572700296736,0.3616161616161616,11,11,1.0,1.0,173,0.42196531791907516,0.08209594700019807,0.08051823699497618
