example_id,sub_q_idx,docgen_n,old_n,online_n,docgen_old_intersection,docgen_online_intersection,old_online_intersection,docgen_old_jaccard,docgen_online_jaccard,old_online_jaccard,docgen_covers_online,online_covers_docgen,old_covers_online,online_covers_old,docgen_covers_old,old_covers_docgen
11,0,119,92,123,42,58,80,0.2485207100591716,0.31521739130434784,0.5925925925925926,0.4715447154471545,0.48739495798319327,0.6504065040650406,0.8695652173913043,0.45652173913043476,0.35294117647058826
11,1,115,195,120,63,27,73,0.2550607287449393,0.12980769230769232,0.30165289256198347,0.225,0.23478260869565218,0.6083333333333333,0.37435897435897436,0.3230769230769231,0.5478260869565217
12,0,196,93,201,67,84,92,0.30180180180180183,0.268370607028754,0.45544554455445546,0.417910447761194,0.42857142857142855,0.4577114427860697,0.989247311827957,0.7204301075268817,0.34183673469387754
12,1,204,264,210,98,60,40,0.2648648648648649,0.1694915254237288,0.09216589861751152,0.2857142857142857,0.29411764705882354,0.19047619047619047,0.15151515151515152,0.3712121212121212,0.4803921568627451
13,0,109,87,114,45,50,79,0.2980132450331126,0.28901734104046245,0.6475409836065574,0.43859649122807015,0.45871559633027525,0.6929824561403509,0.9080459770114943,0.5172413793103449,0.41284403669724773
13,1,200,225,208,104,96,80,0.32398753894080995,0.3076923076923077,0.22662889518413598,0.46153846153846156,0.48,0.38461538461538464,0.35555555555555557,0.4622222222222222,0.52
14,0,103,83,105,35,32,57,0.23178807947019867,0.18181818181818182,0.4351145038167939,0.3047619047619048,0.3106796116504854,0.5428571428571428,0.6867469879518072,0.42168674698795183,0.33980582524271846
14,1,162,184,168,56,65,89,0.19310344827586207,0.24528301886792453,0.33840304182509506,0.3869047619047619,0.4012345679012346,0.5297619047619048,0.483695652173913,0.30434782608695654,0.345679012345679
15,0,64,52,67,23,20,35,0.24731182795698925,0.18018018018018017,0.4166666666666667,0.29850746268656714,0.3125,0.5223880597014925,0.6730769230769231,0.4423076923076923,0.359375
15,1,107,129,112,69,25,16,0.41317365269461076,0.12886597938144329,0.07111111111111111,0.22321428571428573,0.2336448598130841,0.14285714285714285,0.12403100775193798,0.5348837209302325,0.6448598130841121
16,0,147,108,151,66,60,61,0.3492063492063492,0.25210084033613445,0.30808080808080807,0.3973509933774834,0.40816326530612246,0.40397350993377484,0.5648148148148148,0.6111111111111112,0.4489795918367347
16,1,213,218,218,99,67,47,0.29819277108433734,0.18406593406593408,0.12082262210796915,0.3073394495412844,0.3145539906103286,0.21559633027522937,0.21559633027522937,0.4541284403669725,0.4647887323943662
17,0,138,104,141,71,60,68,0.4152046783625731,0.273972602739726,0.384180790960452,0.425531914893617,0.43478260869565216,0.48226950354609927,0.6538461538461539,0.6826923076923077,0.5144927536231884
17,1,187,235,193,112,94,153,0.36129032258064514,0.32867132867132864,0.5563636363636364,0.48704663212435234,0.5026737967914439,0.7927461139896373,0.6510638297872341,0.4765957446808511,0.5989304812834224
18,0,99,45,102,23,51,34,0.19008264462809918,0.34,0.3008849557522124,0.5,0.5151515151515151,0.3333333333333333,0.7555555555555555,0.5111111111111111,0.23232323232323232
18,1,114,156,120,46,48,67,0.20535714285714285,0.25806451612903225,0.32057416267942584,0.4,0.42105263157894735,0.5583333333333333,0.42948717948717946,0.2948717948717949,0.40350877192982454
19,0,99,130,103,62,44,74,0.3712574850299401,0.27848101265822783,0.46540880503144655,0.42718446601941745,0.4444444444444444,0.7184466019417476,0.5692307692307692,0.47692307692307695,0.6262626262626263
19,1,153,132,158,81,46,57,0.39705882352941174,0.17358490566037735,0.2446351931330472,0.2911392405063291,0.3006535947712418,0.36075949367088606,0.4318181818181818,0.6136363636363636,0.5294117647058824
20,0,147,104,151,60,73,89,0.31413612565445026,0.3244444444444444,0.536144578313253,0.48344370860927155,0.4965986394557823,0.5894039735099338,0.8557692307692307,0.5769230769230769,0.40816326530612246
20,1,220,282,226,131,83,106,0.353099730458221,0.22865013774104684,0.263681592039801,0.3672566371681416,0.37727272727272726,0.4690265486725664,0.375886524822695,0.4645390070921986,0.5954545454545455
21,0,170,94,174,81,94,86,0.4426229508196721,0.376,0.4725274725274725,0.5402298850574713,0.5529411764705883,0.4942528735632184,0.9148936170212766,0.8617021276595744,0.4764705882352941
21,1,204,230,211,94,62,67,0.27647058823529413,0.17563739376770537,0.17914438502673796,0.2938388625592417,0.30392156862745096,0.3175355450236967,0.29130434782608694,0.40869565217391307,0.46078431372549017
24,0,152,78,155,53,87,73,0.2994350282485876,0.39545454545454545,0.45625,0.5612903225806452,0.5723684210526315,0.47096774193548385,0.9358974358974359,0.6794871794871795,0.34868421052631576
24,1,194,237,199,121,113,136,0.3903225806451613,0.4035714285714286,0.4533333333333333,0.5678391959798995,0.5824742268041238,0.6834170854271356,0.5738396624472574,0.510548523206751,0.6237113402061856
25,0,76,89,78,36,19,55,0.27906976744186046,0.14074074074074075,0.49107142857142855,0.24358974358974358,0.25,0.7051282051282052,0.6179775280898876,0.4044943820224719,0.47368421052631576
25,1,107,129,112,63,46,78,0.36416184971098264,0.2658959537572254,0.4785276073619632,0.4107142857142857,0.42990654205607476,0.6964285714285714,0.6046511627906976,0.4883720930232558,0.5887850467289719
26,0,148,177,153,92,62,111,0.3948497854077253,0.2594142259414226,0.5068493150684932,0.40522875816993464,0.4189189189189189,0.7254901960784313,0.6271186440677966,0.519774011299435,0.6216216216216216
27,0,131,94,133,55,61,82,0.3235294117647059,0.30049261083743845,0.5655172413793104,0.45864661654135336,0.46564885496183206,0.6165413533834586,0.8723404255319149,0.5851063829787234,0.4198473282442748
27,1,139,181,144,64,43,58,0.25,0.17916666666666667,0.21722846441947566,0.2986111111111111,0.30935251798561153,0.4027777777777778,0.32044198895027626,0.35359116022099446,0.460431654676259
32,0,141,99,143,78,84,88,0.48148148148148145,0.42,0.5714285714285714,0.5874125874125874,0.5957446808510638,0.6153846153846154,0.8888888888888888,0.7878787878787878,0.5531914893617021
32,1,167,197,172,108,71,69,0.421875,0.26492537313432835,0.23,0.4127906976744186,0.4251497005988024,0.4011627906976744,0.350253807106599,0.5482233502538071,0.6467065868263473
33,0,73,92,77,14,12,53,0.09271523178807947,0.08695652173913043,0.45689655172413796,0.15584415584415584,0.1643835616438356,0.6883116883116883,0.5760869565217391,0.15217391304347827,0.1917808219178082
35,0,113,77,117,56,55,71,0.417910447761194,0.3142857142857143,0.5772357723577236,0.4700854700854701,0.48672566371681414,0.6068376068376068,0.922077922077922,0.7272727272727273,0.49557522123893805
35,1,117,186,121,69,22,32,0.2948717948717949,0.10185185185185185,0.11636363636363636,0.18181818181818182,0.18803418803418803,0.2644628099173554,0.17204301075268819,0.3709677419354839,0.5897435897435898
36,0,142,102,146,60,75,98,0.32608695652173914,0.352112676056338,0.6533333333333333,0.5136986301369864,0.528169014084507,0.6712328767123288,0.9607843137254902,0.5882352941176471,0.4225352112676056
36,1,176,216,182,80,71,115,0.2564102564102564,0.24738675958188153,0.40636042402826855,0.3901098901098901,0.4034090909090909,0.6318681318681318,0.5324074074074074,0.37037037037037035,0.45454545454545453
37,0,102,42,107,22,28,36,0.18032786885245902,0.15469613259668508,0.3185840707964602,0.2616822429906542,0.27450980392156865,0.3364485981308411,0.8571428571428571,0.5238095238095238,0.21568627450980393
37,1,123,139,129,54,32,34,0.25961538461538464,0.14545454545454545,0.1452991452991453,0.24806201550387597,0.2601626016260163,0.26356589147286824,0.2446043165467626,0.38848920863309355,0.43902439024390244
38,0,78,56,80,17,18,38,0.1452991452991453,0.12857142857142856,0.3877551020408163,0.225,0.23076923076923078,0.475,0.6785714285714286,0.30357142857142855,0.21794871794871795
38,1,94,148,99,31,22,42,0.14691943127962084,0.1286549707602339,0.2048780487804878,0.2222222222222222,0.23404255319148937,0.42424242424242425,0.28378378378378377,0.20945945945945946,0.32978723404255317
39,0,93,73,96,29,39,61,0.2116788321167883,0.26,0.5648148148148148,0.40625,0.41935483870967744,0.6354166666666666,0.8356164383561644,0.3972602739726027,0.3118279569892473
39,1,128,197,135,71,16,28,0.2795275590551181,0.06477732793522267,0.09210526315789473,0.11851851851851852,0.125,0.2074074074074074,0.14213197969543148,0.3604060913705584,0.5546875
40,0,105,92,108,46,48,65,0.304635761589404,0.2909090909090909,0.48148148148148145,0.4444444444444444,0.45714285714285713,0.6018518518518519,0.7065217391304348,0.5,0.4380952380952381
40,1,148,194,151,79,28,58,0.30038022813688214,0.1033210332103321,0.20209059233449478,0.18543046357615894,0.1891891891891892,0.3841059602649007,0.29896907216494845,0.4072164948453608,0.5337837837837838
43,0,79,52,83,13,36,50,0.11016949152542373,0.2857142857142857,0.5882352941176471,0.43373493975903615,0.45569620253164556,0.6024096385542169,0.9615384615384616,0.25,0.16455696202531644
43,1,95,211,99,51,18,58,0.2,0.10227272727272728,0.23015873015873015,0.18181818181818182,0.18947368421052632,0.5858585858585859,0.27488151658767773,0.24170616113744076,0.5368421052631579
44,0,95,112,99,45,30,83,0.2777777777777778,0.18292682926829268,0.6484375,0.30303030303030304,0.3157894736842105,0.8383838383838383,0.7410714285714286,0.4017857142857143,0.47368421052631576
44,1,107,110,110,54,31,65,0.3312883435582822,0.16666666666666666,0.41935483870967744,0.2818181818181818,0.2897196261682243,0.5909090909090909,0.5909090909090909,0.4909090909090909,0.5046728971962616
44,2,156,187,160,81,42,103,0.30916030534351147,0.15328467153284672,0.42213114754098363,0.2625,0.2692307692307692,0.64375,0.5508021390374331,0.43315508021390375,0.5192307692307693
45,0,148,106,153,65,80,94,0.3439153439153439,0.36199095022624433,0.5696969696969697,0.5228758169934641,0.5405405405405406,0.6143790849673203,0.8867924528301887,0.6132075471698113,0.4391891891891892
45,1,174,281,182,117,64,108,0.34615384615384615,0.2191780821917808,0.30422535211267604,0.3516483516483517,0.367816091954023,0.5934065934065934,0.38434163701067614,0.41637010676156583,0.6724137931034483
46,0,149,102,152,72,80,75,0.4022346368715084,0.36199095022624433,0.41899441340782123,0.5263157894736842,0.5369127516778524,0.4934210526315789,0.7352941176470589,0.7058823529411765,0.48322147651006714
46,1,187,205,193,107,94,111,0.37543859649122807,0.32867132867132864,0.3867595818815331,0.48704663212435234,0.5026737967914439,0.5751295336787565,0.5414634146341464,0.5219512195121951,0.5721925133689839
50,0,162,129,167,87,90,121,0.4264705882352941,0.37656903765690375,0.6914285714285714,0.5389221556886228,0.5555555555555556,0.7245508982035929,0.937984496124031,0.6744186046511628,0.5370370370370371
50,1,187,187,192,107,89,92,0.40074906367041196,0.30689655172413793,0.3205574912891986,0.4635416666666667,0.47593582887700536,0.4791666666666667,0.4919786096256685,0.5721925133689839,0.5721925133689839
50,2,187,187,192,107,89,92,0.40074906367041196,0.30689655172413793,0.3205574912891986,0.4635416666666667,0.47593582887700536,0.4791666666666667,0.4919786096256685,0.5721925133689839,0.5721925133689839
50,3,275,263,282,155,120,99,0.4046997389033943,0.2745995423340961,0.2219730941704036,0.425531914893617,0.43636363636363634,0.35106382978723405,0.376425855513308,0.5893536121673004,0.5636363636363636
51,0,102,73,106,48,45,54,0.3779527559055118,0.27607361963190186,0.432,0.42452830188679247,0.4411764705882353,0.5094339622641509,0.7397260273972602,0.6575342465753424,0.47058823529411764
51,1,148,172,153,62,62,87,0.24031007751937986,0.2594142259414226,0.36554621848739494,0.40522875816993464,0.4189189189189189,0.5686274509803921,0.5058139534883721,0.36046511627906974,0.4189189189189189
52,0,102,117,106,65,47,72,0.42207792207792205,0.2919254658385093,0.4768211920529801,0.44339622641509435,0.46078431372549017,0.6792452830188679,0.6153846153846154,0.5555555555555556,0.6372549019607843
52,1,130,94,133,48,51,60,0.2727272727272727,0.24056603773584906,0.3592814371257485,0.38345864661654133,0.3923076923076923,0.45112781954887216,0.6382978723404256,0.5106382978723404,0.36923076923076925
52,2,168,203,172,69,47,58,0.22847682119205298,0.16040955631399317,0.1829652996845426,0.27325581395348836,0.27976190476190477,0.3372093023255814,0.2857142857142857,0.3399014778325123,0.4107142857142857
53,0,137,149,141,73,52,56,0.3427230046948357,0.23008849557522124,0.23931623931623933,0.36879432624113473,0.3795620437956204,0.3971631205673759,0.37583892617449666,0.4899328859060403,0.5328467153284672
54,0,93,77,97,38,35,47,0.2878787878787879,0.22580645161290322,0.3700787401574803,0.36082474226804123,0.3763440860215054,0.4845360824742268,0.6103896103896104,0.4935064935064935,0.40860215053763443
54,1,174,186,179,63,71,80,0.21212121212121213,0.25177304964539005,0.2807017543859649,0.39664804469273746,0.40804597701149425,0.44692737430167595,0.43010752688172044,0.3387096774193548,0.3620689655172414
55,0,143,175,149,81,39,95,0.34177215189873417,0.1541501976284585,0.4148471615720524,0.26174496644295303,0.2727272727272727,0.6375838926174496,0.5428571428571428,0.46285714285714286,0.5664335664335665
56,0,123,147,129,63,49,91,0.30434782608695654,0.2413793103448276,0.4918918918918919,0.3798449612403101,0.3983739837398374,0.7054263565891473,0.6190476190476191,0.42857142857142855,0.5121951219512195
57,0,111,121,116,77,54,77,0.4967741935483871,0.31213872832369943,0.48125,0.46551724137931033,0.4864864864864865,0.6637931034482759,0.6363636363636364,0.6363636363636364,0.6936936936936937
58,0,110,98,114,55,52,87,0.35947712418300654,0.3023255813953488,0.696,0.45614035087719296,0.4727272727272727,0.7631578947368421,0.8877551020408163,0.5612244897959183,0.5
58,1,112,179,118,54,33,57,0.22784810126582278,0.16751269035532995,0.2375,0.2796610169491525,0.29464285714285715,0.4830508474576271,0.31843575418994413,0.3016759776536313,0.48214285714285715
59,0,124,65,128,45,44,47,0.3125,0.21153846153846154,0.3219178082191781,0.34375,0.3548387096774194,0.3671875,0.7230769230769231,0.6923076923076923,0.3629032258064516
59,1,102,192,105,70,18,51,0.3125,0.09523809523809523,0.2073170731707317,0.17142857142857143,0.17647058823529413,0.4857142857142857,0.265625,0.3645833333333333,0.6862745098039216
60,0,119,120,123,66,75,98,0.3815028901734104,0.4491017964071856,0.6758620689655173,0.6097560975609756,0.6302521008403361,0.7967479674796748,0.8166666666666667,0.55,0.5546218487394958
60,1,191,189,196,108,93,101,0.39705882352941174,0.3163265306122449,0.35563380281690143,0.4744897959183674,0.4869109947643979,0.5153061224489796,0.5343915343915344,0.5714285714285714,0.5654450261780105
63,0,143,99,147,45,52,90,0.22842639593908629,0.2184873949579832,0.5769230769230769,0.35374149659863946,0.36363636363636365,0.6122448979591837,0.9090909090909091,0.45454545454545453,0.3146853146853147
63,1,79,162,83,54,11,45,0.2887700534759358,0.0728476821192053,0.225,0.13253012048192772,0.13924050632911392,0.5421686746987951,0.2777777777777778,0.3333333333333333,0.6835443037974683
64,0,88,71,91,32,25,49,0.25196850393700787,0.16233766233766234,0.4336283185840708,0.27472527472527475,0.2840909090909091,0.5384615384615384,0.6901408450704225,0.4507042253521127,0.36363636363636365
64,1,105,175,109,46,33,58,0.19658119658119658,0.18232044198895028,0.25663716814159293,0.30275229357798167,0.3142857142857143,0.5321100917431193,0.3314285714285714,0.26285714285714284,0.4380952380952381
66,0,152,141,156,69,73,67,0.3080357142857143,0.31063829787234043,0.29130434782608694,0.46794871794871795,0.48026315789473684,0.42948717948717946,0.475177304964539,0.48936170212765956,0.45394736842105265
68,0,100,82,102,49,46,53,0.3684210526315789,0.2948717948717949,0.40458015267175573,0.45098039215686275,0.46,0.5196078431372549,0.6463414634146342,0.5975609756097561,0.49
68,1,99,139,105,38,23,38,0.19,0.1270718232044199,0.18446601941747573,0.21904761904761905,0.23232323232323232,0.3619047619047619,0.2733812949640288,0.2733812949640288,0.3838383838383838
71,0,157,79,162,61,74,67,0.3485714285714286,0.3020408163265306,0.3850574712643678,0.4567901234567901,0.4713375796178344,0.41358024691358025,0.8481012658227848,0.7721518987341772,0.3885350318471338
71,1,217,283,222,140,135,147,0.3888888888888889,0.4440789473684211,0.4106145251396648,0.6081081081081081,0.6221198156682027,0.6621621621621622,0.519434628975265,0.49469964664310956,0.6451612903225806
72,0,157,97,159,67,78,96,0.3582887700534759,0.3277310924369748,0.6,0.49056603773584906,0.4968152866242038,0.6037735849056604,0.9896907216494846,0.6907216494845361,0.4267515923566879
72,1,112,216,117,65,30,71,0.24714828897338403,0.1507537688442211,0.27099236641221375,0.2564102564102564,0.26785714285714285,0.6068376068376068,0.3287037037037037,0.30092592592592593,0.5803571428571429
74,0,121,79,125,40,45,56,0.25,0.22388059701492538,0.3783783783783784,0.36,0.371900826446281,0.448,0.7088607594936709,0.5063291139240507,0.3305785123966942
74,1,148,188,155,57,31,69,0.20430107526881722,0.11397058823529412,0.2518248175182482,0.2,0.20945945945945946,0.44516129032258067,0.3670212765957447,0.30319148936170215,0.38513513513513514
75,0,151,169,157,84,36,62,0.3559322033898305,0.1323529411764706,0.23484848484848486,0.22929936305732485,0.23841059602649006,0.39490445859872614,0.3668639053254438,0.4970414201183432,0.5562913907284768
77,0,182,164,186,93,95,113,0.3675889328063241,0.34798534798534797,0.4767932489451477,0.510752688172043,0.521978021978022,0.6075268817204301,0.6890243902439024,0.5670731707317073,0.510989010989011
77,1,216,221,220,116,93,98,0.3613707165109034,0.27113702623906705,0.2857142857142857,0.42272727272727273,0.4305555555555556,0.44545454545454544,0.4434389140271493,0.5248868778280543,0.5370370370370371
78,0,83,114,88,48,40,55,0.3221476510067114,0.3053435114503817,0.3741496598639456,0.45454545454545453,0.4819277108433735,0.625,0.4824561403508772,0.42105263157894735,0.5783132530120482
78,1,174,130,179,63,87,60,0.26141078838174275,0.32706766917293234,0.24096385542168675,0.4860335195530726,0.5,0.33519553072625696,0.46153846153846156,0.4846153846153846,0.3620689655172414
79,0,121,112,126,41,44,96,0.21354166666666666,0.21674876847290642,0.676056338028169,0.3492063492063492,0.36363636363636365,0.7619047619047619,0.8571428571428571,0.36607142857142855,0.33884297520661155
79,1,152,68,156,52,43,48,0.30952380952380953,0.16226415094339622,0.2727272727272727,0.27564102564102566,0.28289473684210525,0.3076923076923077,0.7058823529411765,0.7647058823529411,0.34210526315789475
79,2,131,213,137,51,53,48,0.17406143344709898,0.24651162790697675,0.15894039735099338,0.38686131386861317,0.40458015267175573,0.35036496350364965,0.22535211267605634,0.23943661971830985,0.3893129770992366
80,0,128,148,133,57,40,72,0.2602739726027397,0.18099547511312217,0.3444976076555024,0.3007518796992481,0.3125,0.5413533834586466,0.4864864864864865,0.38513513513513514,0.4453125
81,0,130,93,133,58,71,86,0.3515151515151515,0.3697916666666667,0.6142857142857143,0.5338345864661654,0.5461538461538461,0.6466165413533834,0.9247311827956989,0.6236559139784946,0.4461538461538462
81,1,158,216,163,76,59,65,0.2550335570469799,0.22519083969465647,0.2070063694267516,0.3619631901840491,0.37341772151898733,0.3987730061349693,0.30092592592592593,0.35185185185185186,0.4810126582278481
82,0,126,89,131,67,56,66,0.4527027027027027,0.27860696517412936,0.42857142857142855,0.42748091603053434,0.4444444444444444,0.5038167938931297,0.7415730337078652,0.7528089887640449,0.5317460317460317
82,1,157,153,164,93,57,31,0.42857142857142855,0.2159090909090909,0.10839160839160839,0.3475609756097561,0.3630573248407643,0.18902439024390244,0.20261437908496732,0.6078431372549019,0.5923566878980892
84,0,124,94,127,55,70,89,0.3374233128834356,0.3867403314917127,0.6742424242424242,0.5511811023622047,0.5645161290322581,0.7007874015748031,0.9468085106382979,0.5851063829787234,0.4435483870967742
84,1,122,180,125,70,40,58,0.3017241379310345,0.1932367149758454,0.23481781376518218,0.32,0.32786885245901637,0.464,0.32222222222222224,0.3888888888888889,0.5737704918032787
85,0,199,201,205,110,114,138,0.3793103448275862,0.3931034482758621,0.5149253731343284,0.5560975609756098,0.5728643216080402,0.6731707317073171,0.6865671641791045,0.5472636815920398,0.5527638190954773
86,0,81,96,84,25,19,59,0.16447368421052633,0.13013698630136986,0.48760330578512395,0.2261904761904762,0.2345679012345679,0.7023809523809523,0.6145833333333334,0.2604166666666667,0.30864197530864196
86,1,133,194,139,62,50,72,0.2339622641509434,0.22522522522522523,0.27586206896551724,0.3597122302158273,0.37593984962406013,0.5179856115107914,0.3711340206185567,0.31958762886597936,0.46616541353383456
88,0,136,101,139,46,28,57,0.24083769633507854,0.11336032388663968,0.3114754098360656,0.2014388489208633,0.20588235294117646,0.41007194244604317,0.5643564356435643,0.45544554455445546,0.3382352941176471
88,1,92,56,94,39,38,37,0.3577981651376147,0.25675675675675674,0.3274336283185841,0.40425531914893614,0.41304347826086957,0.39361702127659576,0.6607142857142857,0.6964285714285714,0.42391304347826086
88,2,105,182,108,50,17,31,0.2109704641350211,0.08673469387755102,0.11969111969111969,0.1574074074074074,0.1619047619047619,0.28703703703703703,0.17032967032967034,0.27472527472527475,0.47619047619047616
89,0,125,102,130,54,54,81,0.31213872832369943,0.26865671641791045,0.5364238410596026,0.4153846153846154,0.432,0.6230769230769231,0.7941176470588235,0.5294117647058824,0.432
89,1,156,233,162,94,53,67,0.31864406779661014,0.2,0.20426829268292682,0.3271604938271605,0.33974358974358976,0.41358024691358025,0.2875536480686695,0.4034334763948498,0.6025641025641025
90,0,156,52,162,38,73,47,0.2235294117647059,0.2979591836734694,0.281437125748503,0.4506172839506173,0.46794871794871795,0.29012345679012347,0.9038461538461539,0.7307692307692307,0.24358974358974358
90,1,113,187,119,62,34,37,0.2605042016806723,0.1717171717171717,0.137546468401487,0.2857142857142857,0.3008849557522124,0.31092436974789917,0.19786096256684493,0.3315508021390374,0.5486725663716814
90,2,169,225,176,81,37,41,0.25878594249201275,0.12012987012987013,0.11388888888888889,0.21022727272727273,0.21893491124260356,0.23295454545454544,0.18222222222222223,0.36,0.47928994082840237
91,0,93,92,98,34,36,54,0.2251655629139073,0.23225806451612904,0.39705882352941174,0.3673469387755102,0.3870967741935484,0.5510204081632653,0.5869565217391305,0.3695652173913043,0.3655913978494624
91,1,118,233,124,68,35,65,0.24028268551236748,0.16908212560386474,0.2226027397260274,0.28225806451612906,0.2966101694915254,0.5241935483870968,0.27896995708154504,0.2918454935622318,0.576271186440678
93,0,123,98,126,45,54,65,0.2556818181818182,0.27692307692307694,0.4088050314465409,0.42857142857142855,0.43902439024390244,0.5158730158730159,0.6632653061224489,0.45918367346938777,0.36585365853658536
93,1,147,196,152,68,39,42,0.24727272727272728,0.15,0.13725490196078433,0.2565789473684211,0.2653061224489796,0.27631578947368424,0.21428571428571427,0.3469387755102041,0.46258503401360546
95,0,101,107,105,56,40,60,0.3684210526315789,0.24096385542168675,0.39473684210526316,0.38095238095238093,0.39603960396039606,0.5714285714285714,0.5607476635514018,0.5233644859813084,0.5544554455445545
96,0,104,100,108,57,54,97,0.3877551020408163,0.34177215189873417,0.8738738738738738,0.5,0.5192307692307693,0.8981481481481481,0.97,0.57,0.5480769230769231
96,1,115,176,119,64,27,76,0.28193832599118945,0.13043478260869565,0.3470319634703196,0.226890756302521,0.23478260869565218,0.6386554621848739,0.4318181818181818,0.36363636363636365,0.5565217391304348
97,0,111,71,115,51,43,53,0.3893129770992366,0.23497267759562843,0.39849624060150374,0.3739130434782609,0.38738738738738737,0.4608695652173913,0.7464788732394366,0.7183098591549296,0.4594594594594595
97,1,114,190,118,74,32,71,0.3217391304347826,0.16,0.29957805907172996,0.2711864406779661,0.2807017543859649,0.6016949152542372,0.3736842105263158,0.3894736842105263,0.6491228070175439
98,0,115,86,119,50,34,61,0.33112582781456956,0.17,0.4236111111111111,0.2857142857142857,0.2956521739130435,0.5126050420168067,0.7093023255813954,0.5813953488372093,0.43478260869565216
98,1,119,159,124,67,37,58,0.3175355450236967,0.1796116504854369,0.2577777777777778,0.29838709677419356,0.31092436974789917,0.46774193548387094,0.36477987421383645,0.42138364779874216,0.5630252100840336
100,0,128,98,133,44,44,61,0.24175824175824176,0.20276497695852536,0.3588235294117647,0.3308270676691729,0.34375,0.45864661654135336,0.6224489795918368,0.4489795918367347,0.34375
100,1,132,195,138,73,33,90,0.2874015748031496,0.13924050632911392,0.37037037037037035,0.2391304347826087,0.25,0.6521739130434783,0.46153846153846156,0.37435897435897436,0.553030303030303
101,0,84,48,89,30,32,28,0.29411764705882354,0.22695035460992907,0.25688073394495414,0.3595505617977528,0.38095238095238093,0.3146067415730337,0.5833333333333334,0.625,0.35714285714285715
101,1,151,173,157,89,74,83,0.37872340425531914,0.3162393162393162,0.3360323886639676,0.4713375796178344,0.4900662251655629,0.5286624203821656,0.4797687861271676,0.5144508670520231,0.5894039735099338
102,0,119,88,126,52,47,73,0.33548387096774196,0.23737373737373738,0.5177304964539007,0.373015873015873,0.3949579831932773,0.5793650793650794,0.8295454545454546,0.5909090909090909,0.4369747899159664
102,1,165,222,168,79,51,84,0.2564935064935065,0.18085106382978725,0.27450980392156865,0.30357142857142855,0.3090909090909091,0.5,0.3783783783783784,0.35585585585585583,0.47878787878787876
103,0,132,46,137,29,43,34,0.19463087248322147,0.1902654867256637,0.22818791946308725,0.31386861313868614,0.32575757575757575,0.24817518248175183,0.7391304347826086,0.6304347826086957,0.2196969696969697
