offline_n,online_n,hit_n,jaccard,offline_covered_by_online,online_covered_by_offline,dataset,level,topk,example_id,sub_q_idx,source_chunk_id,online_chunk_ids,offline_doc_ids,offline_available
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,1,14,1 2 3 6 11 12 13 14 15 16,Q158-Doc16 Q66-Doc17,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,1,13,1 2 3 6 11 12 13 14 15 16,Q66-Doc16 Q55-Doc16,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,51,1,16,1 2 3 6 11 12 13 14 15 16,Q193-Doc20 Q19-Doc15,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,1,15,1 2 3 6 11 12 13 14 15 16,Q66-Doc18 Q55-Doc18 Q53-Doc18,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,1,12,1 2 3 6 11 12 13 14 15 16,Q129-Doc9 Q66-Doc13 Q55-Doc13,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,1,11,1 2 3 6 11 12 13 14 15 16,Q66-Doc12 Q55-Doc12 Q53-Doc12,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,1,14,1 2 3 6 11 12 13 14 15 16,Q158-Doc16 Q66-Doc17 Q55-Doc17,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,1,13,1 2 3 6 11 12 13 14 15 16,Q66-Doc16 Q55-Doc16 Q53-Doc16,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,51,1,16,1 2 3 6 11 12 13 14 15 16,Q193-Doc20 Q19-Doc15 Q15-Doc11,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,1,15,1 2 3 6 11 12 13 14 15 16,Q66-Doc18 Q55-Doc18 Q53-Doc18 Q43-Doc18 Q72-Doc12,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,1,12,1 2 3 6 11 12 13 14 15 16,Q129-Doc9 Q66-Doc13 Q55-Doc13 Q53-Doc13 Q66-Doc12,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,1,11,1 2 3 6 11 12 13 14 15 16,Q66-Doc12 Q55-Doc12 Q53-Doc12 Q129-Doc9 Q66-Doc13,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,1,14,1 2 3 6 11 12 13 14 15 16,Q158-Doc16 Q66-Doc17 Q55-Doc17 Q53-Doc17 Q158-Doc14,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,1,13,1 2 3 6 11 12 13 14 15 16,Q66-Doc16 Q55-Doc16 Q53-Doc16 Q168-Doc11 Q89-Doc6,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,51,1,16,1 2 3 6 11 12 13 14 15 16,Q193-Doc20 Q19-Doc15 Q15-Doc11 Q95-Doc18 Q60-Doc11,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,51,1,15,1 2 3 6 11 12 13 14 15 16,Q66-Doc18 Q55-Doc18 Q53-Doc18 Q43-Doc18 Q72-Doc12 Q43-Doc19 Q55-Doc5 Q53-Doc5 Q52-Doc5,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,51,1,12,1 2 3 6 11 12 13 14 15 16,Q129-Doc9 Q66-Doc13 Q55-Doc13 Q53-Doc13 Q66-Doc12 Q55-Doc12 Q53-Doc12 Q52-Doc11 Q66-Doc22,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,51,1,11,1 2 3 6 11 12 13 14 15 16,Q66-Doc12 Q55-Doc12 Q53-Doc12 Q129-Doc9 Q66-Doc13 Q55-Doc13 Q53-Doc13 Q52-Doc12 Q66-Doc22,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,51,1,14,1 2 3 6 11 12 13 14 15 16,Q158-Doc16 Q66-Doc17 Q55-Doc17 Q53-Doc17 Q158-Doc14 Q158-Doc13 Q158-Doc1 Q158-Doc19 Q47-Doc11,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,51,1,13,1 2 3 6 11 12 13 14 15 16,Q66-Doc16 Q55-Doc16 Q53-Doc16 Q168-Doc11 Q89-Doc6 Q60-Doc16 Q28-Doc4 Q66-Doc23 Q53-Doc23,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,51,1,16,1 2 3 6 11 12 13 14 15 16,Q193-Doc20 Q19-Doc15 Q15-Doc11 Q95-Doc18 Q60-Doc11 Q168-Doc11 Q89-Doc6 Q60-Doc16 Q28-Doc4,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,1,1 2 3 4 5 6 7 8 9 10,Q66-Doc1,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,4,1 2 3 4 5 6 7 8 9 10,Q117-Doc7,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,7,1 2 3 4 5 6 7 8 9 10,Q183-Doc16,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,6,1 2 3 4 5 6 7 8 9 10,Q66-Doc4,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,3,1 2 3 4 5 6 7 8 9 10,Q66-Doc3,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,2,1 2 3 4 5 6 7 8 9 10,Q192-Doc5,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,0,5,1 2 3 4 5 6 7 8 9 10,Q193-Doc1,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,1,1 2 3 4 5 6 7 8 9 10,Q66-Doc1 Q55-Doc1,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,4,1 2 3 4 5 6 7 8 9 10,Q117-Doc7 Q66-Doc8,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,7,1 2 3 4 5 6 7 8 9 10,Q183-Doc16 Q52-Doc7,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,6,1 2 3 4 5 6 7 8 9 10,Q66-Doc4 Q64-Doc12,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,3,1 2 3 4 5 6 7 8 9 10,Q66-Doc3 Q55-Doc3,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,2,1 2 3 4 5 6 7 8 9 10,Q192-Doc5 Q117-Doc12,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,0,5,1 2 3 4 5 6 7 8 9 10,Q193-Doc1 Q79-Doc1,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,1,1 2 3 4 5 6 7 8 9 10,Q66-Doc1 Q55-Doc1 Q52-Doc1,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7 Q52-Doc8,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,4,1 2 3 4 5 6 7 8 9 10,Q117-Doc7 Q66-Doc8 Q55-Doc8,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,7,1 2 3 4 5 6 7 8 9 10,Q183-Doc16 Q52-Doc7 Q199-Doc8,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9 Q55-Doc9,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,6,1 2 3 4 5 6 7 8 9 10,Q66-Doc4 Q64-Doc12 Q55-Doc4,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,3,1 2 3 4 5 6 7 8 9 10,Q66-Doc3 Q55-Doc3 Q52-Doc3,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6 Q52-Doc9,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,2,1 2 3 4 5 6 7 8 9 10,Q192-Doc5 Q117-Doc12 Q66-Doc2,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,0,5,1 2 3 4 5 6 7 8 9 10,Q193-Doc1 Q79-Doc1 Q66-Doc5,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,1,1 2 3 4 5 6 7 8 9 10,Q66-Doc1 Q55-Doc1 Q52-Doc1 Q117-Doc12 Q66-Doc2,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7 Q52-Doc8 Q66-Doc6 Q55-Doc6,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,4,1 2 3 4 5 6 7 8 9 10,Q117-Doc7 Q66-Doc8 Q55-Doc8 Q52-Doc4 Q168-Doc11,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,7,1 2 3 4 5 6 7 8 9 10,Q183-Doc16 Q52-Doc7 Q199-Doc8 Q173-Doc15 Q28-Doc7,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9 Q55-Doc9 Q52-Doc10 Q117-Doc16,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,6,1 2 3 4 5 6 7 8 9 10,Q66-Doc4 Q64-Doc12 Q55-Doc4 Q52-Doc6 Q64-Doc19,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,3,1 2 3 4 5 6 7 8 9 10,Q66-Doc3 Q55-Doc3 Q52-Doc3 Q117-Doc12 Q66-Doc2,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6 Q52-Doc9 Q66-Doc7 Q55-Doc7,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,2,1 2 3 4 5 6 7 8 9 10,Q192-Doc5 Q117-Doc12 Q66-Doc2 Q60-Doc9 Q55-Doc2,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,0,5,1 2 3 4 5 6 7 8 9 10,Q193-Doc1 Q79-Doc1 Q66-Doc5 Q55-Doc5 Q52-Doc5,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,0,1,1 2 3 4 5 6 7 8 9 10,Q66-Doc1 Q55-Doc1 Q52-Doc1 Q117-Doc12 Q66-Doc2 Q60-Doc9 Q55-Doc2 Q53-Doc2 Q52-Doc2,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,0,8,1 2 3 4 5 6 7 8 9 10,Q66-Doc7 Q55-Doc7 Q52-Doc8 Q66-Doc6 Q55-Doc6 Q53-Doc9 Q52-Doc9 Q60-Doc12 Q48-Doc16,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,0,4,1 2 3 4 5 6 7 8 9 10,Q117-Doc7 Q66-Doc8 Q55-Doc8 Q52-Doc4 Q168-Doc11 Q89-Doc6 Q60-Doc16 Q28-Doc4 Q66-Doc20,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,0,7,1 2 3 4 5 6 7 8 9 10,Q183-Doc16 Q52-Doc7 Q199-Doc8 Q173-Doc15 Q28-Doc7 Q141-Doc27 Q129-Doc4 Q89-Doc7 Q60-Doc15,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,0,10,1 2 3 4 5 6 7 8 9 10,Q88-Doc1 Q66-Doc9 Q55-Doc9 Q52-Doc10 Q117-Doc16 Q129-Doc5 Q192-Doc3 Q88-Doc12 Q117-Doc22,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,0,6,1 2 3 4 5 6 7 8 9 10,Q66-Doc4 Q64-Doc12 Q55-Doc4 Q52-Doc6 Q64-Doc19 Q159-Doc16 Q144-Doc12 Q137-Doc4 Q44-Doc17,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,0,3,1 2 3 4 5 6 7 8 9 10,Q66-Doc3 Q55-Doc3 Q52-Doc3 Q117-Doc12 Q66-Doc2 Q60-Doc9 Q55-Doc2 Q53-Doc2 Q52-Doc2,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,0,9,1 2 3 4 5 6 7 8 9 10,Q66-Doc6 Q55-Doc6 Q52-Doc9 Q66-Doc7 Q55-Doc7 Q53-Doc8 Q52-Doc8 Q60-Doc12 Q48-Doc16,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,0,2,1 2 3 4 5 6 7 8 9 10,Q192-Doc5 Q117-Doc12 Q66-Doc2 Q60-Doc9 Q55-Doc2 Q52-Doc2 Q66-Doc1 Q55-Doc1 Q53-Doc1,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,0,5,1 2 3 4 5 6 7 8 9 10,Q193-Doc1 Q79-Doc1 Q66-Doc5 Q55-Doc5 Q52-Doc5 Q29-Doc10 Q19-Doc1 Q15-Doc8 Q53-Doc23,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,1,1 2 11 12 13 14 15 16 17 18,Q66-Doc1,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,14,1 2 11 12 13 14 15 16 17 18,Q66-Doc14,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,17,1 2 11 12 13 14 15 16 17 18,Q158-Doc16,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,13,1 2 11 12 13 14 15 16 17 18,Q129-Doc9,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,16,1 2 11 12 13 14 15 16 17 18,Q66-Doc16,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,12,1 2 11 12 13 14 15 16 17 18,Q66-Doc12,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,18,1 2 11 12 13 14 15 16 17 18,Q66-Doc18,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,2,1 2 11 12 13 14 15 16 17 18,Q192-Doc5,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,15,1 2 11 12 13 14 15 16 17 18,Q141-Doc25,1
1,10,0,0.0,0.0,0.0,musique,chunk,1,52,1,11,1 2 11 12 13 14 15 16 17 18,Q66-Doc11,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,1,1 2 11 12 13 14 15 16 17 18,Q66-Doc1 Q55-Doc1,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,14,1 2 11 12 13 14 15 16 17 18,Q66-Doc14 Q55-Doc14,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,17,1 2 11 12 13 14 15 16 17 18,Q158-Doc16 Q66-Doc17,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,13,1 2 11 12 13 14 15 16 17 18,Q129-Doc9 Q66-Doc13,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,16,1 2 11 12 13 14 15 16 17 18,Q66-Doc16 Q55-Doc16,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,12,1 2 11 12 13 14 15 16 17 18,Q66-Doc12 Q55-Doc12,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,18,1 2 11 12 13 14 15 16 17 18,Q66-Doc18 Q55-Doc18,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,2,1 2 11 12 13 14 15 16 17 18,Q192-Doc5 Q117-Doc12,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,15,1 2 11 12 13 14 15 16 17 18,Q141-Doc25 Q66-Doc15,1
2,10,0,0.0,0.0,0.0,musique,chunk,2,52,1,11,1 2 11 12 13 14 15 16 17 18,Q66-Doc11 Q55-Doc11,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,1,1 2 11 12 13 14 15 16 17 18,Q66-Doc1 Q55-Doc1 Q52-Doc1,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,14,1 2 11 12 13 14 15 16 17 18,Q66-Doc14 Q55-Doc14 Q169-Doc29,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,17,1 2 11 12 13 14 15 16 17 18,Q158-Doc16 Q66-Doc17 Q55-Doc17,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,13,1 2 11 12 13 14 15 16 17 18,Q129-Doc9 Q66-Doc13 Q55-Doc13,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,16,1 2 11 12 13 14 15 16 17 18,Q66-Doc16 Q55-Doc16 Q52-Doc13,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,12,1 2 11 12 13 14 15 16 17 18,Q66-Doc12 Q55-Doc12 Q52-Doc11,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,18,1 2 11 12 13 14 15 16 17 18,Q66-Doc18 Q55-Doc18 Q52-Doc15,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,2,1 2 11 12 13 14 15 16 17 18,Q192-Doc5 Q117-Doc12 Q66-Doc2,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,15,1 2 11 12 13 14 15 16 17 18,Q141-Doc25 Q66-Doc15 Q55-Doc15,1
3,10,0,0.0,0.0,0.0,musique,chunk,3,52,1,11,1 2 11 12 13 14 15 16 17 18,Q66-Doc11 Q55-Doc11 Q103-Doc2,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,1,1 2 11 12 13 14 15 16 17 18,Q66-Doc1 Q55-Doc1 Q52-Doc1 Q117-Doc12 Q66-Doc2,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,14,1 2 11 12 13 14 15 16 17 18,Q66-Doc14 Q55-Doc14 Q169-Doc29 Q158-Doc7 Q29-Doc25,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,17,1 2 11 12 13 14 15 16 17 18,Q158-Doc16 Q66-Doc17 Q55-Doc17 Q52-Doc14 Q158-Doc14,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,13,1 2 11 12 13 14 15 16 17 18,Q129-Doc9 Q66-Doc13 Q55-Doc13 Q52-Doc12 Q66-Doc12,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,16,1 2 11 12 13 14 15 16 17 18,Q66-Doc16 Q55-Doc16 Q52-Doc13 Q168-Doc11 Q89-Doc6,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,12,1 2 11 12 13 14 15 16 17 18,Q66-Doc12 Q55-Doc12 Q52-Doc11 Q129-Doc9 Q66-Doc13,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,18,1 2 11 12 13 14 15 16 17 18,Q66-Doc18 Q55-Doc18 Q52-Doc15 Q43-Doc18 Q72-Doc12,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,2,1 2 11 12 13 14 15 16 17 18,Q192-Doc5 Q117-Doc12 Q66-Doc2 Q60-Doc9 Q55-Doc2,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,15,1 2 11 12 13 14 15 16 17 18,Q141-Doc25 Q66-Doc15 Q55-Doc15 Q28-Doc5 Q141-Doc17,1
5,10,0,0.0,0.0,0.0,musique,chunk,5,52,1,11,1 2 11 12 13 14 15 16 17 18,Q66-Doc11 Q55-Doc11 Q103-Doc2 Q169-Doc7 Q25-Doc5,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,1,1,1 2 11 12 13 14 15 16 17 18,Q66-Doc1 Q55-Doc1 Q52-Doc1 Q117-Doc12 Q66-Doc2 Q60-Doc9 Q55-Doc2 Q53-Doc2 Q52-Doc2,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,1,14,1 2 11 12 13 14 15 16 17 18,Q66-Doc14 Q55-Doc14 Q169-Doc29 Q158-Doc7 Q29-Doc25 Q108-Doc12 Q108-Doc10 Q20-Doc8 Q156-Doc7,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,1,17,1 2 11 12 13 14 15 16 17 18,Q158-Doc16 Q66-Doc17 Q55-Doc17 Q52-Doc14 Q158-Doc14 Q158-Doc13 Q158-Doc1 Q158-Doc19 Q47-Doc11,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,1,13,1 2 11 12 13 14 15 16 17 18,Q129-Doc9 Q66-Doc13 Q55-Doc13 Q52-Doc12 Q66-Doc12 Q55-Doc12 Q53-Doc12 Q52-Doc11 Q66-Doc22,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,1,16,1 2 11 12 13 14 15 16 17 18,Q66-Doc16 Q55-Doc16 Q52-Doc13 Q168-Doc11 Q89-Doc6 Q60-Doc16 Q28-Doc4 Q66-Doc23 Q53-Doc23,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,1,12,1 2 11 12 13 14 15 16 17 18,Q66-Doc12 Q55-Doc12 Q52-Doc11 Q129-Doc9 Q66-Doc13 Q55-Doc13 Q53-Doc13 Q52-Doc12 Q66-Doc22,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,1,18,1 2 11 12 13 14 15 16 17 18,Q66-Doc18 Q55-Doc18 Q52-Doc15 Q43-Doc18 Q72-Doc12 Q43-Doc19 Q55-Doc5 Q53-Doc5 Q52-Doc5,1
9,10,1,0.05555555555555555,0.1111111111111111,0.1,musique,chunk,10,52,1,2,1 2 11 12 13 14 15 16 17 18,Q192-Doc5 Q117-Doc12 Q66-Doc2 Q60-Doc9 Q55-Doc2 Q52-Doc2 Q66-Doc1 Q55-Doc1 Q53-Doc1,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,1,15,1 2 11 12 13 14 15 16 17 18,Q141-Doc25 Q66-Doc15 Q55-Doc15 Q28-Doc5 Q141-Doc17 Q29-Doc24 Q193-Doc15 Q141-Doc14 Q89-Doc4,1
9,10,0,0.0,0.0,0.0,musique,chunk,10,52,1,11,1 2 11 12 13 14 15 16 17 18,Q66-Doc11 Q55-Doc11 Q103-Doc2 Q169-Doc7 Q25-Doc5 Q21-Doc6 Q146-Doc2 Q82-Doc3 Q31-Doc9,1
1,11,0,0.0,0.0,0.0,musique,chunk,1,52,2,24,1 2 12 13 19 20 21 22 23 24 25,Q66-Doc22,1
1,11,0,0.0,0.0,0.0,musique,chunk,1,52,2,1,1 2 12 13 19 20 21 22 23 24 25,Q66-Doc1,1
1,11,0,0.0,0.0,0.0,musique,chunk,1,52,2,20,1 2 12 13 19 20 21 22 23 24 25,Q169-Doc11,1
1,11,0,0.0,0.0,0.0,musique,chunk,1,52,2,23,1 2 12 13 19 20 21 22 23 24 25,Q193-Doc3,1
1,11,0,0.0,0.0,0.0,musique,chunk,1,52,2,13,1 2 12 13 19 20 21 22 23 24 25,Q129-Doc9,1
1,11,0,0.0,0.0,0.0,musique,chunk,1,52,2,19,1 2 12 13 19 20 21 22 23 24 25,Q192-Doc4,1
1,11,0,0.0,0.0,0.0,musique,chunk,1,52,2,25,1 2 12 13 19 20 21 22 23 24 25,Q129-Doc7,1
