example_id,query_idx,label,query,smart_selected_count
13,6,control_other_example_17,Who was the King of England in 1950?,365
13,7,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,365
14,0,control_other_example_15,In which county is Pine Springs located?,318
14,1,control_other_example_15,"What is the county seat of Culberson County, Texas?",318
14,2,control_other_example_16,Who was the top PC manufacturer in 1994?,318
14,3,control_other_example_16,What company did Compaq merge with in 2002?,318
14,4,control_other_example_17,Who was the King of England in 1950?,318
14,5,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,318
14,6,control_other_example_18,Who played Susie in Miracle on 34th Street?,318
14,7,control_other_example_18,Who is Natalie Wood's brother?,318
15,0,control_other_example_16,Who was the top PC manufacturer in 1994?,232
15,1,control_other_example_16,What company did Compaq merge with in 2002?,232
15,2,control_other_example_17,Who was the King of England in 1950?,232
15,3,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,232
15,4,control_other_example_18,Who played Susie in Miracle on 34th Street?,232
15,5,control_other_example_18,Who is Natalie Wood's brother?,232
15,6,control_other_example_19,Who is Anna Benson's husband?,232
15,7,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,232
16,0,control_other_example_17,Who was the King of England in 1950?,324
16,1,control_other_example_17,Which actor played King George VI in the film 'The King's Speech'?,324
16,2,control_other_example_18,Who played Susie in Miracle on 34th Street?,324
16,3,control_other_example_18,Who is Natalie Wood's brother?,324
16,4,control_other_example_19,Who is Anna Benson's husband?,324
16,5,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,324
16,6,control_other_example_20,Who originally sang the song You Belong To Me?,324
16,7,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,324
17,0,control_other_example_18,Who played Susie in Miracle on 34th Street?,314
17,1,control_other_example_18,Who is Natalie Wood's brother?,314
17,2,control_other_example_19,Who is Anna Benson's husband?,314
17,3,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,314
17,4,control_other_example_20,Who originally sang the song You Belong To Me?,314
17,5,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,314
17,6,control_other_example_21,Who was the person under whom the Chapter House was built?,314
17,7,control_other_example_21,When was Henry III crowned?,314
18,0,control_other_example_19,Who is Anna Benson's husband?,231
18,1,control_other_example_19,What team did Kris Benson play for in Major League Baseball?,231
18,2,control_other_example_20,Who originally sang the song You Belong To Me?,231
18,3,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,231
18,4,control_other_example_21,Who was the person under whom the Chapter House was built?,231
18,5,control_other_example_21,When was Henry III crowned?,231
18,6,control_other_example_24,Who sang the song 'You Belong to Me'?,231
18,7,control_other_example_24,What record label is Joni James signed to?,231
19,0,control_other_example_20,Who originally sang the song You Belong To Me?,322
19,1,control_other_example_20,What record label was Joni James signed to when she released 'You Belong To Me' in 1952?,322
19,2,control_other_example_21,Who was the person under whom the Chapter House was built?,322
19,3,control_other_example_21,When was Henry III crowned?,322
19,4,control_other_example_24,Who sang the song 'You Belong to Me'?,322
19,5,control_other_example_24,What record label is Joni James signed to?,322
19,6,control_other_example_25,What is the administrative territorial entity that contains Juba?,322
19,7,control_other_example_25,What places share a border with Central Equatoria?,322
20,0,control_other_example_21,Who was the person under whom the Chapter House was built?,399
20,1,control_other_example_21,When was Henry III crowned?,399
20,2,control_other_example_24,Who sang the song 'You Belong to Me'?,399
20,3,control_other_example_24,What record label is Joni James signed to?,399
20,4,control_other_example_25,What is the administrative territorial entity that contains Juba?,399
20,5,control_other_example_25,What places share a border with Central Equatoria?,399
20,6,control_other_example_26,Who played King George VI in The King's Speech?,399
20,7,control_other_example_27,Who are the cast members of King of the Mountain?,399
21,0,control_other_example_24,Who sang the song 'You Belong to Me'?,369
21,1,control_other_example_24,What record label is Joni James signed to?,369
21,2,control_other_example_25,What is the administrative territorial entity that contains Juba?,369
21,3,control_other_example_25,What places share a border with Central Equatoria?,369
21,4,control_other_example_26,Who played King George VI in The King's Speech?,369
21,5,control_other_example_27,Who are the cast members of King of the Mountain?,369
21,6,control_other_example_27,Who is Harry Hamlin's spouse?,369
21,7,control_other_example_32,What was the regnal name adopted by King George VI?,369
24,0,control_other_example_25,What is the administrative territorial entity that contains Juba?,383
24,1,control_other_example_25,What places share a border with Central Equatoria?,383
24,2,control_other_example_26,Who played King George VI in The King's Speech?,383
24,3,control_other_example_27,Who are the cast members of King of the Mountain?,383
24,4,control_other_example_27,Who is Harry Hamlin's spouse?,383
24,5,control_other_example_32,What was the regnal name adopted by King George VI?,383
24,6,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,383
24,7,control_other_example_33,Where is KPRM licensed to broadcast?,383
25,0,control_other_example_26,Who played King George VI in The King's Speech?,246
25,1,control_other_example_27,Who are the cast members of King of the Mountain?,246
25,2,control_other_example_27,Who is Harry Hamlin's spouse?,246
25,3,control_other_example_32,What was the regnal name adopted by King George VI?,246
25,4,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,246
25,5,control_other_example_33,Where is KPRM licensed to broadcast?,246
25,6,control_other_example_35,Who is the author of Prince Prigio?,246
25,7,control_other_example_35,What year did Andrew Lang die?,246
26,0,control_other_example_27,Who are the cast members of King of the Mountain?,213
26,1,control_other_example_27,Who is Harry Hamlin's spouse?,213
26,2,control_other_example_32,What was the regnal name adopted by King George VI?,213
26,3,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,213
26,4,control_other_example_33,Where is KPRM licensed to broadcast?,213
26,5,control_other_example_35,Who is the author of Prince Prigio?,213
26,6,control_other_example_35,What year did Andrew Lang die?,213
26,7,control_other_example_36,Where was Mark Dismore born?,213
27,0,control_other_example_32,What was the regnal name adopted by King George VI?,376
27,1,control_other_example_32,Who played King George VI in the film 'The King's Speech'?,376
27,2,control_other_example_33,Where is KPRM licensed to broadcast?,376
27,3,control_other_example_35,Who is the author of Prince Prigio?,376
27,4,control_other_example_35,What year did Andrew Lang die?,376
27,5,control_other_example_36,Where was Mark Dismore born?,376
27,6,control_other_example_36,"Which county is Greenfield, Indiana located in?",376
27,7,control_other_example_37,Who were the parents of Nannina de' Medici?,376
32,0,control_other_example_33,Where is KPRM licensed to broadcast?,318
32,1,control_other_example_35,Who is the author of Prince Prigio?,318
32,2,control_other_example_35,What year did Andrew Lang die?,318
32,3,control_other_example_36,Where was Mark Dismore born?,318
32,4,control_other_example_36,"Which county is Greenfield, Indiana located in?",318
32,5,control_other_example_37,Who were the parents of Nannina de' Medici?,318
32,6,control_other_example_37,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",318
32,7,control_other_example_38,Where is NRHEG High School located?,318
33,0,control_other_example_35,Who is the author of Prince Prigio?,106
33,1,control_other_example_35,What year did Andrew Lang die?,106
33,2,control_other_example_36,Where was Mark Dismore born?,106
33,3,control_other_example_36,"Which county is Greenfield, Indiana located in?",106
33,4,control_other_example_37,Who were the parents of Nannina de' Medici?,106
33,5,control_other_example_37,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",106
33,6,control_other_example_38,Where is NRHEG High School located?,106
33,7,control_other_example_38,"Which county is New Richland, Minnesota located in?",106
35,0,control_other_example_36,Where was Mark Dismore born?,305
35,1,control_other_example_36,"Which county is Greenfield, Indiana located in?",305
35,2,control_other_example_37,Who were the parents of Nannina de' Medici?,305
35,3,control_other_example_37,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",305
35,4,control_other_example_38,Where is NRHEG High School located?,305
35,5,control_other_example_38,"Which county is New Richland, Minnesota located in?",305
35,6,control_other_example_39,What is the name of the political party of Dimuthu Bandara Abayakoon?,305
35,7,control_other_example_39,Who founded the Janatha Vimukthi Peramuna political party?,305
36,0,control_other_example_37,Who were the parents of Nannina de' Medici?,366
36,1,control_other_example_37,"Based on Nannina de' Medici's parents Piero di Cosimo de' Medici and Lucrezia Tornabuoni, who were her siblings?",366
36,2,control_other_example_38,Where is NRHEG High School located?,366
36,3,control_other_example_38,"Which county is New Richland, Minnesota located in?",366
36,4,control_other_example_39,What is the name of the political party of Dimuthu Bandara Abayakoon?,366
36,5,control_other_example_39,Who founded the Janatha Vimukthi Peramuna political party?,366
36,6,control_other_example_40,Where did Larry Alcala study?,366
36,7,control_other_example_40,When did military instruction begin at the University of the Philippines?,366
37,0,control_other_example_38,Where is NRHEG High School located?,194
37,1,control_other_example_38,"Which county is New Richland, Minnesota located in?",194
37,2,control_other_example_39,What is the name of the political party of Dimuthu Bandara Abayakoon?,194
37,3,control_other_example_39,Who founded the Janatha Vimukthi Peramuna political party?,194
37,4,control_other_example_40,Where did Larry Alcala study?,194
37,5,control_other_example_40,When did military instruction begin at the University of the Philippines?,194
37,6,control_other_example_43,Where is Cedar Springs located?,194
37,7,control_other_example_43,"Which counties share a border with Falls County, Texas?",194
38,0,control_other_example_39,What is the name of the political party of Dimuthu Bandara Abayakoon?,228
38,1,control_other_example_39,Who founded the Janatha Vimukthi Peramuna political party?,228
38,2,control_other_example_40,Where did Larry Alcala study?,228
38,3,control_other_example_40,When did military instruction begin at the University of the Philippines?,228
38,4,control_other_example_43,Where is Cedar Springs located?,228
38,5,control_other_example_43,"Which counties share a border with Falls County, Texas?",228
38,6,control_other_example_44,Where is Bancroft located?,228
38,7,control_other_example_44,"Which county is Bancroft, Ontario located in?",228
39,0,control_other_example_40,Where did Larry Alcala study?,254
39,1,control_other_example_40,When did military instruction begin at the University of the Philippines?,254
39,2,control_other_example_43,Where is Cedar Springs located?,254
39,3,control_other_example_43,"Which counties share a border with Falls County, Texas?",254
39,4,control_other_example_44,Where is Bancroft located?,254
39,5,control_other_example_44,"Which county is Bancroft, Ontario located in?",254
39,6,control_other_example_44,Which counties border Hastings County in Ontario?,254
39,7,control_other_example_45,Who is Empress Wang's husband?,254
40,0,control_other_example_43,Where is Cedar Springs located?,302
40,1,control_other_example_43,"Which counties share a border with Falls County, Texas?",302
40,2,control_other_example_44,Where is Bancroft located?,302
40,3,control_other_example_44,"Which county is Bancroft, Ontario located in?",302
40,4,control_other_example_44,Which counties border Hastings County in Ontario?,302
40,5,control_other_example_45,Who is Empress Wang's husband?,302
40,6,control_other_example_45,Who was the father of Yang Pu (Emperor Rui of Wu)?,302
40,7,control_other_example_46,Who was the king of England in 1951?,302
43,0,control_other_example_44,Where is Bancroft located?,219
43,1,control_other_example_44,"Which county is Bancroft, Ontario located in?",219
43,2,control_other_example_44,Which counties border Hastings County in Ontario?,219
43,3,control_other_example_45,Who is Empress Wang's husband?,219
43,4,control_other_example_45,Who was the father of Yang Pu (Emperor Rui of Wu)?,219
43,5,control_other_example_46,Who was the king of England in 1951?,219
43,6,control_other_example_46,Which actor played King George VI in the film 'The King's Speech'?,219
43,7,control_other_example_50,Who is John's eldest son?,219
44,0,control_other_example_45,Who is Empress Wang's husband?,349
44,1,control_other_example_45,Who was the father of Yang Pu (Emperor Rui of Wu)?,349
44,2,control_other_example_46,Who was the king of England in 1951?,349
44,3,control_other_example_46,Which actor played King George VI in the film 'The King's Speech'?,349
44,4,control_other_example_50,Who is John's eldest son?,349
44,5,control_other_example_50,When was John's eldest son crowned?,349
44,6,control_other_example_50,When was John's eldest son crowned?,349
44,7,control_other_example_50,When was John's eldest son crowned?,349
45,0,control_other_example_46,Who was the king of England in 1951?,377
45,1,control_other_example_46,Which actor played King George VI in the film 'The King's Speech'?,377
45,2,control_other_example_50,Who is John's eldest son?,377
45,3,control_other_example_50,When was John's eldest son crowned?,377
45,4,control_other_example_50,When was John's eldest son crowned?,377
45,5,control_other_example_50,When was John's eldest son crowned?,377
45,6,control_other_example_51,Who played Thelma in Thelma and Louise?,377
45,7,control_other_example_51,What character did Geena Davis play in the movie A League of Their Own?,377
46,0,control_other_example_50,Who is John's eldest son?,340
46,1,control_other_example_50,When was John's eldest son crowned?,340
46,2,control_other_example_50,When was John's eldest son crowned?,340
46,3,control_other_example_50,When was John's eldest son crowned?,340
46,4,control_other_example_51,Who played Thelma in Thelma and Louise?,340
46,5,control_other_example_51,What character did Geena Davis play in the movie A League of Their Own?,340
46,6,control_other_example_52,Who played Thelma in Thelma and Louise?,340
46,7,control_other_example_52,Which character did Geena Davis play in the film A League of Their Own?,340
50,0,control_other_example_51,Who played Thelma in Thelma and Louise?,338
50,1,control_other_example_51,What character did Geena Davis play in the movie A League of Their Own?,338
50,2,control_other_example_52,Who played Thelma in Thelma and Louise?,338
50,3,control_other_example_52,Which character did Geena Davis play in the film A League of Their Own?,338
50,4,control_other_example_52,Who played the husband of Dottie Hinson in the film A League of Their Own?,338
50,5,control_other_example_53,Who is Chiang Hsiao-wen's father?,338
50,6,control_other_example_54,Who played Thelma in the movie 'Thelma and Louise'?,338
50,7,control_other_example_54,Which character did Geena Davis play in the movie 'A League of Their Own'?,338
51,0,control_other_example_52,Who played Thelma in Thelma and Louise?,256
51,1,control_other_example_52,Which character did Geena Davis play in the film A League of Their Own?,256
51,2,control_other_example_52,Who played the husband of Dottie Hinson in the film A League of Their Own?,256
51,3,control_other_example_53,Who is Chiang Hsiao-wen's father?,256
51,4,control_other_example_54,Who played Thelma in the movie 'Thelma and Louise'?,256
51,5,control_other_example_54,Which character did Geena Davis play in the movie 'A League of Their Own'?,256
51,6,control_other_example_55,"Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn",256
51,7,control_other_example_56,Where is Bansaan Island located?,256
52,0,control_other_example_53,Who is Chiang Hsiao-wen's father?,469
52,1,control_other_example_54,Who played Thelma in the movie 'Thelma and Louise'?,469
52,2,control_other_example_54,Which character did Geena Davis play in the movie 'A League of Their Own'?,469
52,3,control_other_example_55,"Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn",469
52,4,control_other_example_56,Where is Bansaan Island located?,469
52,5,control_other_example_57,Where was Ernie Watts born?,469
52,6,control_other_example_58,Where was James Finch born?,469
52,7,control_other_example_58,"Which county is Lynn Haven, Florida located in?",469
53,0,control_other_example_54,Who played Thelma in the movie 'Thelma and Louise'?,190
53,1,control_other_example_54,Which character did Geena Davis play in the movie 'A League of Their Own'?,190
53,2,control_other_example_55,"Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn",190
53,3,control_other_example_56,Where is Bansaan Island located?,190
53,4,control_other_example_57,Where was Ernie Watts born?,190
53,5,control_other_example_58,Where was James Finch born?,190
53,6,control_other_example_58,"Which county is Lynn Haven, Florida located in?",190
53,7,control_other_example_59,Who starred in the movie No Escape?,190
54,0,control_other_example_55,"Movies starring Preity Zinta, Madhuri Dixit, and Ajay Devgn",320
54,1,control_other_example_56,Where is Bansaan Island located?,320
54,2,control_other_example_57,Where was Ernie Watts born?,320
54,3,control_other_example_58,Where was James Finch born?,320
54,4,control_other_example_58,"Which county is Lynn Haven, Florida located in?",320
54,5,control_other_example_59,Who starred in the movie No Escape?,320
54,6,control_other_example_59,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",320
54,7,control_other_example_60,Who is the father of Chian Hsiao-chang?,320
55,0,control_other_example_56,Where is Bansaan Island located?,204
55,1,control_other_example_57,Where was Ernie Watts born?,204
55,2,control_other_example_58,Where was James Finch born?,204
55,3,control_other_example_58,"Which county is Lynn Haven, Florida located in?",204
55,4,control_other_example_59,Who starred in the movie No Escape?,204
55,5,control_other_example_59,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",204
55,6,control_other_example_60,Who is the father of Chian Hsiao-chang?,204
55,7,control_other_example_60,What are all the children of Chiang Ching-kuo?,204
56,0,control_other_example_57,Where was Ernie Watts born?,187
56,1,control_other_example_58,Where was James Finch born?,187
56,2,control_other_example_58,"Which county is Lynn Haven, Florida located in?",187
56,3,control_other_example_59,Who starred in the movie No Escape?,187
56,4,control_other_example_59,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",187
56,5,control_other_example_60,Who is the father of Chian Hsiao-chang?,187
56,6,control_other_example_60,What are all the children of Chiang Ching-kuo?,187
56,7,control_other_example_63,Where was Snappy Tomato Pizza founded?,187
57,0,control_other_example_58,Where was James Finch born?,154
57,1,control_other_example_58,"Which county is Lynn Haven, Florida located in?",154
57,2,control_other_example_59,Who starred in the movie No Escape?,154
57,3,control_other_example_59,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",154
57,4,control_other_example_60,Who is the father of Chian Hsiao-chang?,154
57,5,control_other_example_60,What are all the children of Chiang Ching-kuo?,154
57,6,control_other_example_63,Where was Snappy Tomato Pizza founded?,154
57,7,control_other_example_63,"Which county is Fort Mitchell, Kentucky located in?",154
58,0,control_other_example_59,Who starred in the movie No Escape?,312
58,1,control_other_example_59,"Which of the actors from No Escape (Valerie Hobson, Leslie Perrins, or Robert Cochran) was married and to whom?",312
58,2,control_other_example_60,Who is the father of Chian Hsiao-chang?,312
58,3,control_other_example_60,What are all the children of Chiang Ching-kuo?,312
58,4,control_other_example_63,Where was Snappy Tomato Pizza founded?,312
58,5,control_other_example_63,"Which county is Fort Mitchell, Kentucky located in?",312
58,6,control_other_example_64,Who is the publisher of In the Shadow of Greatness?,312
58,7,control_other_example_64,Where are the headquarters of the United States Naval Institute located?,312
59,0,control_other_example_60,Who is the father of Chian Hsiao-chang?,303
59,1,control_other_example_60,What are all the children of Chiang Ching-kuo?,303
59,2,control_other_example_63,Where was Snappy Tomato Pizza founded?,303
59,3,control_other_example_63,"Which county is Fort Mitchell, Kentucky located in?",303
59,4,control_other_example_64,Who is the publisher of In the Shadow of Greatness?,303
59,5,control_other_example_64,Where are the headquarters of the United States Naval Institute located?,303
59,6,control_other_example_66,Who was the socialist candidate in the 1912 US presidential election?,303
59,7,control_other_example_68,Where was Lloyd Dane born?,303
60,0,control_other_example_63,Where was Snappy Tomato Pizza founded?,285
60,1,control_other_example_63,"Which county is Fort Mitchell, Kentucky located in?",285
60,2,control_other_example_64,Who is the publisher of In the Shadow of Greatness?,285
60,3,control_other_example_64,Where are the headquarters of the United States Naval Institute located?,285
60,4,control_other_example_66,Who was the socialist candidate in the 1912 US presidential election?,285
60,5,control_other_example_68,Where was Lloyd Dane born?,285
60,6,control_other_example_68,"Which county does Eldon, Missouri belong to?",285
60,7,control_other_example_71,What creature do annelid larvae live like?,285
63,0,control_other_example_64,Who is the publisher of In the Shadow of Greatness?,321
63,1,control_other_example_64,Where are the headquarters of the United States Naval Institute located?,321
63,2,control_other_example_66,Who was the socialist candidate in the 1912 US presidential election?,321
63,3,control_other_example_68,Where was Lloyd Dane born?,321
63,4,control_other_example_68,"Which county does Eldon, Missouri belong to?",321
63,5,control_other_example_71,What creature do annelid larvae live like?,321
63,6,control_other_example_71,Which character in Spongebob Squarepants has the same name as the creature that annelid larvae live like (plankton)?,321
63,7,control_other_example_72,Who performed the song Full Cooperation?,321
64,0,control_other_example_66,Who was the socialist candidate in the 1912 US presidential election?,270
64,1,control_other_example_68,Where was Lloyd Dane born?,270
64,2,control_other_example_68,"Which county does Eldon, Missouri belong to?",270
64,3,control_other_example_71,What creature do annelid larvae live like?,270
64,4,control_other_example_71,Which character in Spongebob Squarepants has the same name as the creature that annelid larvae live like (plankton)?,270
64,5,control_other_example_72,Who performed the song Full Cooperation?,270
64,6,control_other_example_72,Who are the members of the American hip hop group Def Squad?,270
64,7,control_other_example_74,Who is Anil Devgan's sibling?,270
66,0,control_other_example_68,Where was Lloyd Dane born?,196
66,1,control_other_example_68,"Which county does Eldon, Missouri belong to?",196
66,2,control_other_example_71,What creature do annelid larvae live like?,196
66,3,control_other_example_71,Which character in Spongebob Squarepants has the same name as the creature that annelid larvae live like (plankton)?,196
66,4,control_other_example_72,Who performed the song Full Cooperation?,196
66,5,control_other_example_72,Who are the members of the American hip hop group Def Squad?,196
66,6,control_other_example_74,Who is Anil Devgan's sibling?,196
66,7,control_other_example_74,Which films feature Ajay Devgan?,196
68,0,control_other_example_71,What creature do annelid larvae live like?,273
68,1,control_other_example_71,Which character in Spongebob Squarepants has the same name as the creature that annelid larvae live like (plankton)?,273
68,2,control_other_example_72,Who performed the song Full Cooperation?,273
68,3,control_other_example_72,Who are the members of the American hip hop group Def Squad?,273
68,4,control_other_example_74,Who is Anil Devgan's sibling?,273
68,5,control_other_example_74,Which films feature Ajay Devgan?,273
68,6,control_other_example_75,Who was the candidate that received a million votes in the 1920 election while in prison?,273
68,7,control_other_example_77,Where did Richard Feynman work on the Water Boiler reactor?,273
71,0,control_other_example_72,Who performed the song Full Cooperation?,472
71,1,control_other_example_72,Who are the members of the American hip hop group Def Squad?,472
71,2,control_other_example_74,Who is Anil Devgan's sibling?,472
71,3,control_other_example_74,Which films feature Ajay Devgan?,472
71,4,control_other_example_75,Who was the candidate that received a million votes in the 1920 election while in prison?,472
71,5,control_other_example_77,Where did Richard Feynman work on the Water Boiler reactor?,472
71,6,control_other_example_77,Which atomic bomb development project took place at Los Alamos and who was its director?,472
71,7,control_other_example_78,Who is the author of Missing Person?,472
72,0,control_other_example_74,Who is Anil Devgan's sibling?,384
72,1,control_other_example_74,Which films feature Ajay Devgan?,384
72,2,control_other_example_75,Who was the candidate that received a million votes in the 1920 election while in prison?,384
72,3,control_other_example_77,Where did Richard Feynman work on the Water Boiler reactor?,384
72,4,control_other_example_77,Which atomic bomb development project took place at Los Alamos and who was its director?,384
72,5,control_other_example_78,Who is the author of Missing Person?,384
72,6,control_other_example_78,What award did Patrick Modiano receive?,384
