example_id,sub_question_id,selector,rate,ground_truth,predicted,f1,em,selected_tokens,question,glm_correct,glm_reason
4,0,oracle_full_attention,0.15,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","Henry III, Richard, Joan, Maud",0.22222222222222218,0.0,176,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,"预测答案虽然包含了标准答案中的关键信息“Henry III”，但同时也包含了“Richard, Joan, Maud”等未在标准答案中提及的实体。根据判断标准，预测答案与标准答案在语义上并不等价，包含了多余且可能错误的信息，因此判断为错误。"
4,0,fusionrag_qk,0.15,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","John of Gaunt, 1st Duke of Lancaster and Isabella of Angoulême",0.05555555555555555,0.0,176,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,预测答案提到的“John of Gaunt”和“Isabella of Angoulême”与标准答案中的核心实体“King Henry III of England”完全不符，未能正确回答Alice de Lusignan的兄弟姐妹是谁的问题。
4,0,draft_selected_set,0.15,"Alice de Lusignan had a uterine half-brother, King Henry III of England.","King Henry III of England and Joan de Geneville, 1st Baroness Geneville",0.41025641025641024,0.0,176,"Who were the siblings of Alice de Lusignan, Countess of Surrey?",0,"预测答案虽然包含了标准答案中的King Henry III of England，但额外包含了Joan de Geneville, 1st Baroness Geneville这一错误信息，与标准答案在语义上并不等价。"
4,1,oracle_full_attention,0.15,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,311,When was King Henry III of England crowned?,0,预测答案仅包含了1220年这一时间点，遗漏了1216年首次加冕的关键信息，未能完整回答问题。
4,1,fusionrag_qk,0.15,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1220,0.15384615384615385,0.0,311,When was King Henry III of England crowned?,0,预测答案仅包含了1220年这一时间点，遗漏了1216年首次加冕的关键信息，未能完整回答问题。
4,1,draft_selected_set,0.15,Henry III was first crowned in 1216 at Gloucester Cathedral and had a second coronation on 17 May 1220 at Westminster Abbey.,1216 and 1220,0.4,0.0,311,When was King Henry III of England crowned?,1,预测答案准确提取了标准答案中的核心时间信息“1216”和“1220”，完整回答了亨利三世加冕的时间，与标准答案在语义上等价。
6,0,oracle_full_attention,0.15,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,223,Which university employed Ernst Mach?,1,预测答案“Charles University in Prague”直接包含了标准答案中的核心实体信息，准确回答了问题所问的大学名称，与标准答案在语义上完全等价。
6,0,fusionrag_qk,0.15,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,223,Which university employed Ernst Mach?,1,预测答案“Charles University in Prague”直接包含了标准答案中的核心实体信息，准确回答了问题所问的大学名称，与标准答案在语义上完全等价。
6,0,draft_selected_set,0.15,Ernst Mach was employed at Charles University in Prague.,Charles University in Prague,0.625,0.0,223,Which university employed Ernst Mach?,1,预测答案“Charles University in Prague”直接包含了标准答案中的核心实体信息，准确回答了问题所问的大学名称，与标准答案在语义上完全等价。
7,0,oracle_full_attention,0.15,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,238,Who is the physicist that the Mach number is named after?,1,预测答案“Ernst Mach”准确包含了标准答案中的核心实体，即物理学家的名字。虽然缺少了关于其国籍和身份的修饰语，但在语义上已经正确且完整地回答了问题。
7,0,fusionrag_qk,0.15,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,238,Who is the physicist that the Mach number is named after?,1,预测答案“Ernst Mach”准确包含了标准答案中的核心实体，即物理学家的名字。虽然缺少了关于其国籍和身份的修饰语，但在语义上已经正确且完整地回答了问题。
7,0,draft_selected_set,0.15,The Mach number is named after the Austrian physicist and philosopher Ernst Mach.,Ernst Mach,0.2857142857142857,0.0,238,Who is the physicist that the Mach number is named after?,1,预测答案“Ernst Mach”准确包含了标准答案中的核心实体，即物理学家的名字。虽然缺少了关于其国籍和身份的修饰语，但在语义上已经正确且完整地回答了问题。
7,1,oracle_full_attention,0.15,Ernst Mach was a professor at Charles University in Prague.,"Charles University in PragueDocumentDocument: Friedrich Hayek: Initially sympathetic to Wieser's democratic socialism, Hayek's economic thinking shifted away from socialism and toward the classical liberalism of Carl Menger after reading von Mises' book Socialism. It was sometime after reading Socialism that Hayek began attending von M",0.11940298507462686,0.0,219,Who was Ernst Mach's employer or academic institution during his career?,1,预测答案明确指出了“Charles University in Prague”，这与标准答案中的核心实体完全一致，包含了回答该问题所需的关键信息，尽管存在一些无关的附加文本，但语义上已经正确回答了问题。
7,1,fusionrag_qk,0.15,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,0.625,0.0,219,Who was Ernst Mach's employer or academic institution during his career?,1,预测答案“Charles University in Prague”准确包含了标准答案中的核心实体信息，即马赫所在的学术机构。虽然它省略了“was a professor at”等修饰性词语，但语义上与标准答案完全一致，正确回答了问题。
7,1,draft_selected_set,0.15,Ernst Mach was a professor at Charles University in Prague.,Charles University in Prague,0.625,0.0,219,Who was Ernst Mach's employer or academic institution during his career?,1,预测答案“Charles University in Prague”准确包含了标准答案中的核心实体信息，即马赫所在的学术机构。虽然它省略了“was a professor at”等修饰性词语，但语义上与标准答案完全一致，正确回答了问题。
9,0,oracle_full_attention,0.15,King Richard I of England,Richard I,0.5,0.0,299,Which English king trusted William de Longchamp?,1,预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价，准确指出了同一位英格兰国王，符合包含关键信息且意思一致的标准。
9,0,fusionrag_qk,0.15,King Richard I of England,Richard I,0.5,0.0,299,Which English king trusted William de Longchamp?,1,预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价，准确指出了同一位英格兰国王，符合包含关键信息且意思一致的标准。
9,0,draft_selected_set,0.15,King Richard I of England,Richard I,0.5,0.0,299,Which English king trusted William de Longchamp?,1,预测答案“Richard I”与标准答案“King Richard I of England”在语义上完全等价，准确指出了同一位英格兰国王，符合包含关键信息且意思一致的标准。
9,1,oracle_full_attention,0.15,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.",Richard the Lion-hearted's fleet in April 1191 that left Messina to reach Acre was dispersed by a storm.,0.7391304347826085,0.0,408,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,1,预测答案包含了标准答案的所有关键信息，即理查一世（狮心王理查）在1191年4月率领从墨西拿前往阿卡的舰队，且该舰队被风暴吹散。两者在语义上完全等价，仅存在措辞上的细微差异。
9,1,fusionrag_qk,0.15,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted left Messina with a large fleet in April 1191 in order to reach Acre, but a storm dispersed the fleet.",0.6530612244897959,0.0,408,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,1,预测答案包含了标准答案的所有关键信息，即理查一世率领大型舰队于1191年4月从墨西拿前往阿卡，且舰队被风暴吹散。两者在语义上完全等价，仅措辞存在细微差异。
9,1,draft_selected_set,0.15,"King Richard I led a large fleet from Messina to Acre in April 1191, which was dispersed by a storm.","Richard the Lion-hearted left Messina with a large fleet in order to reach Acre, but a storm dispersed the fleet.",0.47619047619047616,0.0,408,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,1,预测答案包含了标准答案的所有关键信息，即理查一世（Richard the Lion-hearted）率领庞大舰队从墨西拿出发前往阿卡，且舰队被风暴吹散。两者在语义上完全等价，仅存在措辞上的细微差异。
10,0,oracle_full_attention,0.15,George Packer,George Packer,1.0,1.0,225,Who is the author of The Unwinding?,1,预测答案“George Packer”与标准答案完全一致，准确包含了核心实体信息，正确回答了《The Unwinding》的作者问题。
10,0,fusionrag_qk,0.15,George Packer,George Packer,1.0,1.0,225,Who is the author of The Unwinding?,1,预测答案“George Packer”与标准答案完全一致，准确包含了核心实体信息，正确回答了《The Unwinding》的作者问题。
10,0,draft_selected_set,0.15,George Packer,George Packer,1.0,1.0,225,Who is the author of The Unwinding?,1,预测答案“George Packer”与标准答案完全一致，准确包含了核心实体信息，正确回答了《The Unwinding》的作者问题。
10,1,oracle_full_attention,0.15,Peace Corps,Peace Corps,1.0,1.0,260,Which organization did George Packer volunteer for?,1,预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所问的核心组织实体，正确回答了问题。
10,1,fusionrag_qk,0.15,Peace Corps,Peace Corps,1.0,1.0,260,Which organization did George Packer volunteer for?,1,预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所问的核心组织实体，正确回答了问题。
10,1,draft_selected_set,0.15,Peace Corps,Peace Corps,1.0,1.0,260,Which organization did George Packer volunteer for?,1,预测答案“Peace Corps”与标准答案完全一致，准确包含了问题所问的核心组织实体，正确回答了问题。
11,0,oracle_full_attention,0.15,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,184,Which band performed the song 'Bang Bang Rock & Roll'?,1,预测答案“Art Brut”准确给出了问题所询问的乐队名称，包含了标准答案中的核心实体信息，与标准答案在语义上完全等价，因此判断为正确。
11,0,fusionrag_qk,0.15,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,184,Which band performed the song 'Bang Bang Rock & Roll'?,1,预测答案“Art Brut”准确给出了问题所询问的乐队名称，包含了标准答案中的核心实体信息，与标准答案在语义上完全等价，因此判断为正确。
11,0,draft_selected_set,0.15,The song 'Bang Bang Rock & Roll' was performed by the British rock band Art Brut.,Art Brut,0.15384615384615385,0.0,184,Which band performed the song 'Bang Bang Rock & Roll'?,1,预测答案“Art Brut”准确给出了问题所询问的乐队名称，包含了标准答案中的核心实体信息，与标准答案在语义上完全等价，因此判断为正确。
11,1,oracle_full_attention,0.15,Eddie Argos,Eddie Argos,1.0,1.0,180,Who is the lead singer of the band Art Brut?,1,预测答案“Eddie Argos”与标准答案完全一致，准确地包含了问题的核心实体，正确回答了乐队Art Brut的主唱是谁。
11,1,fusionrag_qk,0.15,Eddie Argos,Eddie Argos,1.0,1.0,180,Who is the lead singer of the band Art Brut?,1,预测答案“Eddie Argos”与标准答案完全一致，准确地包含了问题的核心实体，正确回答了乐队Art Brut的主唱是谁。
11,1,draft_selected_set,0.15,Eddie Argos,Eddie Argos,1.0,1.0,180,Who is the lead singer of the band Art Brut?,1,预测答案“Eddie Argos”与标准答案完全一致，准确地包含了问题的核心实体，正确回答了乐队Art Brut的主唱是谁。
12,0,oracle_full_attention,0.15,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,301,Which company initiated a successful price war among PC manufacturers in 1994?,1,预测答案“Compaq”准确包含了标准答案中的核心实体，直接回答了问题所问的公司名称，与标准答案在语义上完全等价。
12,0,fusionrag_qk,0.15,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,301,Which company initiated a successful price war among PC manufacturers in 1994?,1,预测答案“Compaq”准确包含了标准答案中的核心实体，直接回答了问题所问的公司名称，与标准答案在语义上完全等价。
12,0,draft_selected_set,0.15,Compaq initiated a successful price war among PC manufacturers in 1994.,Compaq,0.13333333333333333,0.0,301,Which company initiated a successful price war among PC manufacturers in 1994?,1,预测答案“Compaq”准确包含了标准答案中的核心实体，直接回答了问题所问的公司名称，与标准答案在语义上完全等价。
12,1,oracle_full_attention,0.15,Hewlett Packard,"Hewlett PackardDocument: On February 8, 2011, the Membase project founders and Membase, Inc. announced a merger with CouchOne (a company with many of the principal players behind CouchDB) with an associated project merger. The merged company was called Couchbase, Inc.",0.15384615384615385,0.0,315,Which company did Compaq merge with in 2002?,1,预测答案中明确包含了“Hewlett Packard”这一关键信息，与标准答案完全一致，正确回答了康柏在2002年与哪家公司合并的问题。虽然预测答案后附带了一段无关的文档内容，但这不影响其核心答案的正确性。
12,1,fusionrag_qk,0.15,Hewlett Packard,Hewlett-Packard,0.4444444444444445,0.0,315,Which company did Compaq merge with in 2002?,1,预测答案“Hewlett-Packard”与标准答案“Hewlett Packard”在语义上完全等价，仅存在一个连字符的细微格式差异，指代的都是惠普这一同一实体，准确回答了问题。
12,1,draft_selected_set,0.15,Hewlett Packard,Hewlett-Packard,0.4444444444444445,0.0,315,Which company did Compaq merge with in 2002?,1,预测答案“Hewlett-Packard”与标准答案“Hewlett Packard”在语义上完全等价，仅存在一个连字符的细微格式差异，指代的都是惠普这一同一实体，准确回答了问题。
13,0,oracle_full_attention,0.15,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","5th child of Henry III and Eleanor of Provence, ruled as king for most of the 13th century.",0.3516483516483516,0.0,171,Who is Katherine of England?,0,预测答案虽然正确指出了她是亨利三世和埃莉诺的第五个孩子，但错误地声称她“在13世纪的大部分时间里作为国王统治”。这与标准答案中她幼年体弱多病且在4岁前夭折的事实严重矛盾，包含了严重的幻觉信息，因此判断为错误。
13,0,fusionrag_qk,0.15,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence, and ruled as king for the majority of the 13th century.",0.4444444444444445,0.0,171,Who is Katherine of England?,0,预测答案虽然正确指出了Katherine of England是亨利三世和埃莉诺的第五个孩子，但错误地声称她“统治了13世纪的大部分时间”。标准答案表明她是一个体弱多病、有残疾的孩子，并且在不到四岁时就夭折了，根本没有统治过国家。因此，预测答案包含了严重的与标准答案矛盾的事实错误。
13,0,draft_selected_set,0.15,"Katherine of England was the fifth child of King Henry III and Eleanor of Provence. She was born on 25 November 1253, was either deaf-mute or deaf and mentally challenged, was very sickly, possibly had a degenerative disease, and died at Windsor on 3 May 1257 before reaching her fourth year.","Katherine of England was the fifth child of Henry III and his wife Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged, did not survive her fourth year, and died in 1257.",0.672566371681416,0.0,171,Who is Katherine of England?,1,预测答案包含了标准答案的核心信息，即Katherine of England是亨利三世和埃莉诺的第五个孩子，且指出了她的健康状况（聋哑或失聪且有智力障碍）以及未满四岁便在1257年早逝的结局。两者在语义上等价，仅省略了部分非关键细节，正确回答了问题。
13,1,oracle_full_attention,0.15,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216,0.24000000000000002,0.0,312,What year was King Henry III of England crowned?,0,预测答案仅包含了1216年这一个加冕年份，遗漏了标准答案中关于1220年第二次加冕的关键信息，因此未能完整回答问题。
13,1,fusionrag_qk,0.15,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216,0.24000000000000002,0.0,312,What year was King Henry III of England crowned?,0,预测答案仅包含了1216年这一个加冕年份，遗漏了标准答案中关于1220年第二次加冕的关键信息，因此未能完整回答问题。
13,1,draft_selected_set,0.15,Henry III was first crowned in 1216 and had a second coronation in 1220.,1216,0.24000000000000002,0.0,312,What year was King Henry III of England crowned?,0,预测答案仅包含了1216年这一个加冕年份，遗漏了标准答案中关于1220年第二次加冕的关键信息，因此未能完整回答问题。
14,0,oracle_full_attention,0.15,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,158,Who played the little girl in the 1947 film Miracle on 34th Street?,1,预测答案“Natalie Wood”准确包含了标准答案中的核心实体和关键信息，直接回答了谁扮演了电影中的小女孩，语义上与标准答案完全一致。
14,0,fusionrag_qk,0.15,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,158,Who played the little girl in the 1947 film Miracle on 34th Street?,1,预测答案“Natalie Wood”准确包含了标准答案中的核心实体和关键信息，直接回答了谁扮演了电影中的小女孩，语义上与标准答案完全一致。
14,0,draft_selected_set,0.15,"Natalie Wood played the little girl, Susan Walker, in the 1947 film Miracle on 34th Street.",Natalie Wood,0.16666666666666669,0.0,158,Who played the little girl in the 1947 film Miracle on 34th Street?,1,预测答案“Natalie Wood”准确包含了标准答案中的核心实体和关键信息，直接回答了谁扮演了电影中的小女孩，语义上与标准答案完全一致。
14,1,oracle_full_attention,0.15,Lana Wood is the sibling of actress Natalie Wood.,"Document: List of show business families: Phylicia Rashād is the older sister of performer Debbie Allen, who is married to former NBA basketball player Norm Nixon. Phylicia Rashād is the former spouse of both Victor Willis, former lead singer of the group Village People, and former NFL football player",0.08823529411764706,0.0,252,Who is the sibling of actress Natalie Wood?,0,预测答案提供了一段关于Phylicia Rashād和Debbie Allen等演艺圈家族的无关文本，完全没有提及Natalie Wood或她的兄弟姐妹Lana Wood，未包含标准答案的任何关键信息。
14,1,fusionrag_qk,0.15,Lana Wood is the sibling of actress Natalie Wood.,Mara Wilson,0,0.0,252,Who is the sibling of actress Natalie Wood?,0,预测答案“Mara Wilson”是另一位女演员，并未包含标准答案中的核心实体“Lana Wood”，因此未能正确回答问题。
14,1,draft_selected_set,0.15,Lana Wood is the sibling of actress Natalie Wood.,Lana Wood,0.33333333333333337,0.0,252,Who is the sibling of actress Natalie Wood?,1,预测答案“Lana Wood”准确提供了标准答案中的核心实体，直接回答了问题所问的Natalie Wood的兄弟姐妹是谁，语义上与标准答案完全等价。
15,0,oracle_full_attention,0.15,"Culberson County, Texas","Pine Springs is located in west Falls County, Texas.",0.3333333333333333,0.0,101,In which county is Pine Springs located?,0,"预测答案指出Pine Springs位于Falls County, Texas，而标准答案是Culberson County, Texas。两者所指的县名完全不同，预测答案未包含标准答案的核心实体，因此判断为错误。"
15,0,fusionrag_qk,0.15,"Culberson County, Texas",Perry County,0.3333333333333333,0.0,101,In which county is Pine Springs located?,0,"预测答案给出的“Perry County”与标准答案“Culberson County, Texas”完全不一致，缺少核心实体信息，因此判断为错误。"
15,0,draft_selected_set,0.15,"Culberson County, Texas",Culberson County,0.8571428571428571,0.0,101,In which county is Pine Springs located?,1,预测答案包含了标准答案的核心实体“Culberson County”，虽然缺少了“Texas”这一补充信息，但已经准确回答了Pine Springs所在的县，语义上与标准答案一致。
15,1,oracle_full_attention,0.15,Van Horn,Van Horn,1.0,1.0,168,"What is the county seat of Culberson County, Texas?",1,预测答案“Van Horn”与标准答案完全一致，准确地包含了问题所问的核心实体信息，正确回答了Culberson县的县治所在地。
15,1,fusionrag_qk,0.15,Van Horn,"Culberson County does not have a county seat mentioned in the provided documents. However, based on the information given about Pine Springs, Texas, which is described as ""the closest settlement to the headquarters of Guadalupe Mountains National Park"" and is in northern Culberson County, it can be inferred that",0,0.0,168,"What is the county seat of Culberson County, Texas?",0,预测答案明确表示没有找到相关信息，并且试图通过推测其他地点来回答，完全没有包含标准答案“Van Horn”这一核心实体，因此未能正确回答问题。
15,1,draft_selected_set,0.15,Van Horn,Van Horn,1.0,1.0,168,"What is the county seat of Culberson County, Texas?",1,预测答案“Van Horn”与标准答案完全一致，准确地包含了问题所问的核心实体信息，正确回答了Culberson县的县治所在地。
16,0,oracle_full_attention,0.15,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,227,Who was the top PC manufacturer in 1994?,1,预测答案“Compaq”准确包含了标准答案的核心实体信息，直接回答了1994年最大的个人电脑制造商是谁的问题，与标准答案在语义上完全等价。
16,0,fusionrag_qk,0.15,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,227,Who was the top PC manufacturer in 1994?,1,预测答案“Compaq”准确包含了标准答案的核心实体信息，直接回答了1994年最大的个人电脑制造商是谁的问题，与标准答案在语义上完全等价。
16,0,draft_selected_set,0.15,Compaq was the top PC manufacturer in 1994.,Compaq,0.16666666666666669,0.0,227,Who was the top PC manufacturer in 1994?,1,预测答案“Compaq”准确包含了标准答案的核心实体信息，直接回答了1994年最大的个人电脑制造商是谁的问题，与标准答案在语义上完全等价。
16,1,oracle_full_attention,0.15,Compaq merged with Hewlett Packard (HP) in 2002.,"Hewlett PackardDocument: The company produced several titles with small development teams. This proved fatal with the rising standards of full priced games. With falling sales and important figures leaving the company, Software 2000 filed for bankruptcy in 2002.",0.36065573770491804,0.0,328,What company did Compaq merge with in 2002?,1,预测答案给出了“Hewlett Packard”，这与标准答案中的核心实体完全一致，准确地回答了2002年与Compaq合并的公司，符合标准答案的关键信息。
16,1,fusionrag_qk,0.15,Compaq merged with Hewlett Packard (HP) in 2002.,Hewlett Packard,0.4210526315789474,0.0,328,What company did Compaq merge with in 2002?,1,预测答案“Hewlett Packard”准确包含了标准答案中的核心实体信息，直接回答了2002年与康柏合并的公司名称，语义上与标准答案完全一致。
16,1,draft_selected_set,0.15,Compaq merged with Hewlett Packard (HP) in 2002.,Hewlett-Packard,0.2,0.0,328,What company did Compaq merge with in 2002?,1,预测答案“Hewlett-Packard”准确包含了标准答案中的核心实体，与标准答案在语义上完全等价，正确回答了2002年与康柏合并的公司名称。
17,0,oracle_full_attention,0.15,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,212,Who was the King of England in 1950?,1,预测答案“George VI”准确包含了标准答案的核心实体，与标准答案在语义上完全等价，正确回答了1950年英国国王是谁的问题。
17,0,fusionrag_qk,0.15,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,212,Who was the King of England in 1950?,1,预测答案“George VI”准确包含了标准答案的核心实体，与标准答案在语义上完全等价，正确回答了1950年英国国王是谁的问题。
17,0,draft_selected_set,0.15,George VI was the King of the United Kingdom in 1950.,George VI,0.2666666666666667,0.0,212,Who was the King of England in 1950?,1,预测答案“George VI”准确包含了标准答案的核心实体，与标准答案在语义上完全等价，正确回答了1950年英国国王是谁的问题。
17,1,oracle_full_attention,0.15,Colin Firth,Colin Firth,1.0,1.0,290,Which actor played King George VI in the film 'The King's Speech'?,1,预测答案“Colin Firth”与标准答案完全一致，准确包含了问题所询问的在电影《国王的演讲》中饰演乔治六世国王的演员信息，符合所有判断标准。
17,1,fusionrag_qk,0.15,Colin Firth,George VI,0,0.0,290,Which actor played King George VI in the film 'The King's Speech'?,0,预测答案“George VI”是电影中角色的名字，而问题询问的是扮演该角色的演员。标准答案应为“Colin Firth”，预测答案缺少了这一核心实体信息，因此判断为错误。
17,1,draft_selected_set,0.15,Colin Firth,Colin Firth,1.0,1.0,290,Which actor played King George VI in the film 'The King's Speech'?,1,预测答案“Colin Firth”与标准答案完全一致，准确包含了问题所询问的在电影《国王的演讲》中饰演乔治六世国王的演员信息，符合所有判断标准。
18,0,oracle_full_attention,0.15,Natalie Wood played Susan Walker in Miracle on 34th Street.,Natalie Wood,0.25,0.0,153,Who played Susie in Miracle on 34th Street?,1,预测答案“Natalie Wood”准确给出了问题中询问的演员名字，包含了标准答案的核心实体信息，语义上与标准答案完全一致，正确回答了问题。
