example_id,sub_q_idx,offline,online_ref,rate,offline_size,online_size,inter,union,jaccard,online_recall_by_offline,offline_precision_vs_online
53,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,149,141,56,234,0.23931623931623933,0.3971631205673759,0.37583892617449666
54,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,77,97,47,127,0.3700787401574803,0.4845360824742268,0.6103896103896104
54,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,186,179,80,285,0.2807017543859649,0.44692737430167595,0.43010752688172044
55,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,175,149,95,229,0.4148471615720524,0.6375838926174496,0.5428571428571428
56,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,147,129,91,185,0.4918918918918919,0.7054263565891473,0.6190476190476191
57,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,121,116,77,160,0.48125,0.6637931034482759,0.6363636363636364
58,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,98,114,87,125,0.696,0.7631578947368421,0.8877551020408163
58,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,179,118,57,240,0.2375,0.4830508474576271,0.31843575418994413
59,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,65,128,47,146,0.3219178082191781,0.3671875,0.7230769230769231
59,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,192,105,51,246,0.2073170731707317,0.4857142857142857,0.265625
60,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,120,123,98,145,0.6758620689655173,0.7967479674796748,0.8166666666666667
60,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,189,196,101,284,0.35563380281690143,0.5153061224489796,0.5343915343915344
63,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,99,147,90,156,0.5769230769230769,0.6122448979591837,0.9090909090909091
63,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,162,83,45,200,0.225,0.5421686746987951,0.2777777777777778
64,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,71,91,49,113,0.4336283185840708,0.5384615384615384,0.6901408450704225
64,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,175,109,58,226,0.25663716814159293,0.5321100917431193,0.3314285714285714
66,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,141,156,67,230,0.29130434782608694,0.42948717948717946,0.475177304964539
68,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,82,102,53,131,0.40458015267175573,0.5196078431372549,0.6463414634146342
68,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,139,105,38,206,0.18446601941747573,0.3619047619047619,0.2733812949640288
71,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,79,162,67,174,0.3850574712643678,0.41358024691358025,0.8481012658227848
71,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,283,222,147,358,0.4106145251396648,0.6621621621621622,0.519434628975265
72,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,97,159,96,160,0.6,0.6037735849056604,0.9896907216494846
72,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,216,117,71,262,0.27099236641221375,0.6068376068376068,0.3287037037037037
74,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,79,125,56,148,0.3783783783783784,0.448,0.7088607594936709
74,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,188,155,69,274,0.2518248175182482,0.44516129032258067,0.3670212765957447
75,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,169,157,62,264,0.23484848484848486,0.39490445859872614,0.3668639053254438
77,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,164,186,113,237,0.4767932489451477,0.6075268817204301,0.6890243902439024
77,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,221,220,98,343,0.2857142857142857,0.44545454545454544,0.4434389140271493
78,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,114,88,55,147,0.3741496598639456,0.625,0.4824561403508772
78,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,130,179,60,249,0.24096385542168675,0.33519553072625696,0.46153846153846156
79,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,112,126,96,142,0.676056338028169,0.7619047619047619,0.8571428571428571
79,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,68,156,48,176,0.2727272727272727,0.3076923076923077,0.7058823529411765
79,2,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,213,137,48,302,0.15894039735099338,0.35036496350364965,0.22535211267605634
80,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,148,133,72,209,0.3444976076555024,0.5413533834586466,0.4864864864864865
81,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,93,133,86,140,0.6142857142857143,0.6466165413533834,0.9247311827956989
81,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,216,163,65,314,0.2070063694267516,0.3987730061349693,0.30092592592592593
82,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,89,131,66,154,0.42857142857142855,0.5038167938931297,0.7415730337078652
82,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,153,164,31,286,0.10839160839160839,0.18902439024390244,0.20261437908496732
84,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,94,127,89,132,0.6742424242424242,0.7007874015748031,0.9468085106382979
84,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,180,125,58,247,0.23481781376518218,0.464,0.32222222222222224
85,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,201,205,138,268,0.5149253731343284,0.6731707317073171,0.6865671641791045
86,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,96,84,59,121,0.48760330578512395,0.7023809523809523,0.6145833333333334
86,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,194,139,72,261,0.27586206896551724,0.5179856115107914,0.3711340206185567
88,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,101,139,57,183,0.3114754098360656,0.41007194244604317,0.5643564356435643
88,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,56,94,37,113,0.3274336283185841,0.39361702127659576,0.6607142857142857
88,2,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,182,108,31,259,0.11969111969111969,0.28703703703703703,0.17032967032967034
89,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,102,130,81,151,0.5364238410596026,0.6230769230769231,0.7941176470588235
89,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,233,162,67,328,0.20426829268292682,0.41358024691358025,0.2875536480686695
90,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,52,162,47,167,0.281437125748503,0.29012345679012347,0.9038461538461539
90,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,187,119,37,269,0.137546468401487,0.31092436974789917,0.19786096256684493
90,2,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,225,176,41,360,0.11388888888888889,0.23295454545454544,0.18222222222222223
91,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,92,98,54,136,0.39705882352941174,0.5510204081632653,0.5869565217391305
91,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,233,124,65,292,0.2226027397260274,0.5241935483870968,0.27896995708154504
93,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,98,126,65,159,0.4088050314465409,0.5158730158730159,0.6632653061224489
93,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,196,152,42,306,0.13725490196078433,0.27631578947368424,0.21428571428571427
95,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,107,105,60,152,0.39473684210526316,0.5714285714285714,0.5607476635514018
96,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,100,108,97,111,0.8738738738738738,0.8981481481481481,0.97
96,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,176,119,76,219,0.3470319634703196,0.6386554621848739,0.4318181818181818
97,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,71,115,53,133,0.39849624060150374,0.4608695652173913,0.7464788732394366
97,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,190,118,71,237,0.29957805907172996,0.6016949152542372,0.3736842105263158
98,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,86,119,61,144,0.4236111111111111,0.5126050420168067,0.7093023255813954
98,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,159,124,58,225,0.2577777777777778,0.46774193548387094,0.36477987421383645
100,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,98,133,61,170,0.3588235294117647,0.45864661654135336,0.6224489795918368
100,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,195,138,90,243,0.37037037037037035,0.6521739130434783,0.46153846153846156
101,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,48,89,28,109,0.25688073394495414,0.3146067415730337,0.5833333333333334
101,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,173,157,83,247,0.3360323886639676,0.5286624203821656,0.4797687861271676
102,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,88,126,73,141,0.5177304964539007,0.5793650793650794,0.8295454545454546
102,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,222,168,84,306,0.27450980392156865,0.5,0.3783783783783784
103,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,46,137,34,149,0.22818791946308725,0.24817518248175183,0.7391304347826086
103,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,212,112,52,272,0.19117647058823528,0.4642857142857143,0.24528301886792453
104,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,218,216,134,300,0.44666666666666666,0.6203703703703703,0.6146788990825688
105,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,176,241,142,275,0.5163636363636364,0.5892116182572614,0.8068181818181818
105,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,326,307,146,487,0.2997946611909651,0.4755700325732899,0.44785276073619634
109,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,191,188,90,289,0.31141868512110726,0.4787234042553192,0.4712041884816754
112,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,66,82,56,92,0.6086956521739131,0.6829268292682927,0.8484848484848485
112,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,170,116,54,232,0.23275862068965517,0.46551724137931033,0.3176470588235294
113,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,98,145,88,155,0.567741935483871,0.6068965517241379,0.8979591836734694
113,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,212,133,71,274,0.2591240875912409,0.5338345864661654,0.33490566037735847
114,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,93,172,79,186,0.42473118279569894,0.45930232558139533,0.8494623655913979
114,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,231,134,83,282,0.29432624113475175,0.6194029850746269,0.3593073593073593
117,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,92,134,79,147,0.5374149659863946,0.5895522388059702,0.8586956521739131
117,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,193,102,36,259,0.138996138996139,0.35294117647058826,0.18652849740932642
118,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,151,141,86,206,0.4174757281553398,0.6099290780141844,0.5695364238410596
119,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,91,141,84,148,0.5675675675675675,0.5957446808510638,0.9230769230769231
119,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,209,118,42,285,0.14736842105263157,0.3559322033898305,0.20095693779904306
120,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,198,215,115,298,0.3859060402684564,0.5348837209302325,0.5808080808080808
121,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,91,179,84,186,0.45161290322580644,0.4692737430167598,0.9230769230769231
121,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,251,187,72,366,0.19672131147540983,0.3850267379679144,0.2868525896414343
123,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,137,194,123,208,0.5913461538461539,0.634020618556701,0.8978102189781022
123,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,167,155,110,212,0.5188679245283019,0.7096774193548387,0.6586826347305389
123,2,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,238,147,96,289,0.33217993079584773,0.6530612244897959,0.40336134453781514
123,3,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,326,168,133,361,0.3684210526315789,0.7916666666666666,0.40797546012269936
125,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,200,215,117,298,0.3926174496644295,0.5441860465116279,0.585
126,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,77,131,60,148,0.40540540540540543,0.4580152671755725,0.7792207792207793
126,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,194,151,47,298,0.15771812080536912,0.31125827814569534,0.2422680412371134
127,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,120,102,60,162,0.37037037037037035,0.5882352941176471,0.5
128,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,181,166,85,262,0.3244274809160305,0.5120481927710844,0.4696132596685083
129,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,209,197,129,277,0.4657039711191336,0.6548223350253807,0.6172248803827751
130,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,63,95,54,104,0.5192307692307693,0.5684210526315789,0.8571428571428571
130,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,199,147,80,266,0.3007518796992481,0.54421768707483,0.4020100502512563
131,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,78,97,56,119,0.47058823529411764,0.5773195876288659,0.717948717948718
131,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,185,122,105,202,0.5198019801980198,0.860655737704918,0.5675675675675675
133,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,113,120,67,166,0.4036144578313253,0.5583333333333333,0.5929203539823009
133,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,187,131,85,233,0.3648068669527897,0.648854961832061,0.45454545454545453
135,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,88,122,81,129,0.627906976744186,0.6639344262295082,0.9204545454545454
135,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,223,124,63,284,0.22183098591549297,0.5080645161290323,0.2825112107623318
136,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,65,79,55,89,0.6179775280898876,0.6962025316455697,0.8461538461538461
136,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,168,138,52,254,0.2047244094488189,0.37681159420289856,0.30952380952380953
138,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,104,156,90,170,0.5294117647058824,0.5769230769230769,0.8653846153846154
138,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,295,195,105,385,0.2727272727272727,0.5384615384615384,0.3559322033898305
141,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,87,94,60,121,0.49586776859504134,0.6382978723404256,0.6896551724137931
141,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,214,145,36,323,0.11145510835913312,0.2482758620689655,0.16822429906542055
142,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,123,179,103,199,0.5175879396984925,0.5754189944134078,0.8373983739837398
142,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,238,233,141,330,0.42727272727272725,0.6051502145922747,0.592436974789916
143,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,87,129,80,136,0.5882352941176471,0.6201550387596899,0.9195402298850575
143,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,161,105,57,209,0.2727272727272727,0.5428571428571428,0.35403726708074534
144,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,69,99,53,115,0.4608695652173913,0.5353535353535354,0.7681159420289855
144,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,155,118,53,220,0.2409090909090909,0.4491525423728814,0.3419354838709677
145,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,86,102,55,133,0.41353383458646614,0.5392156862745098,0.6395348837209303
145,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,165,140,86,219,0.3926940639269406,0.6142857142857143,0.5212121212121212
146,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,100,101,73,128,0.5703125,0.7227722772277227,0.73
146,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,196,172,93,275,0.3381818181818182,0.5406976744186046,0.4744897959183674
147,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,98,91,65,124,0.5241935483870968,0.7142857142857143,0.6632653061224489
147,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,216,201,58,359,0.1615598885793872,0.2885572139303483,0.26851851851851855
149,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,164,179,124,219,0.5662100456621004,0.6927374301675978,0.7560975609756098
150,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,48,84,37,95,0.3894736842105263,0.44047619047619047,0.7708333333333334
150,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,230,173,79,324,0.24382716049382716,0.45664739884393063,0.34347826086956523
151,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,89,93,79,103,0.7669902912621359,0.8494623655913979,0.8876404494382022
151,1,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,166,133,83,216,0.38425925925925924,0.6240601503759399,0.5
152,0,old_unrelated_draft_smart_freq,pure_online_draft10,0.1,104,169,102,171,0.5964912280701754,0.6035502958579881,0.9807692307692307
