base_method,example_id,sub_q_idx,doc_len,online_selected,base_selected,intersection,residual_size,online_covered_by_base,residual_ratio_of_online
freq,161,1,1851,304,285,177,127,0.5822368421052632,0.41776315789473684
freq,44,0,1024,175,168,113,62,0.6457142857142857,0.35428571428571426
freq,89,1,1650,271,352,151,120,0.5571955719557196,0.44280442804428044
freq,14,0,1097,198,133,87,111,0.4393939393939394,0.5606060606060606
freq,138,0,1591,259,166,142,117,0.5482625482625483,0.4517374517374517
freq,119,0,1448,248,145,129,119,0.5201612903225806,0.4798387096774194
freq,162,0,1433,243,198,107,136,0.4403292181069959,0.5596707818930041
freq,14,1,1709,280,280,149,131,0.5321428571428571,0.46785714285714286
freq,44,1,1137,196,147,104,92,0.5306122448979592,0.46938775510204084
freq,90,0,1647,270,101,96,174,0.35555555555555557,0.6444444444444445
freq,138,1,1983,321,440,190,131,0.5919003115264797,0.40809968847352024
freq,119,1,1212,204,289,103,101,0.5049019607843137,0.4950980392156863
freq,63,0,1499,247,161,150,97,0.6072874493927125,0.39271255060728744
freq,15,0,705,128,81,67,61,0.5234375,0.4765625
freq,120,0,2188,356,314,188,168,0.5280898876404494,0.47191011235955055
freq,44,2,1630,267,267,145,122,0.5430711610486891,0.45692883895131087
freq,141,0,980,174,148,107,67,0.6149425287356322,0.3850574712643678
freq,163,0,1311,222,112,97,125,0.4369369369369369,0.5630630630630631
freq,90,1,1223,210,269,89,121,0.4238095238095238,0.5761904761904761
freq,63,1,865,154,233,76,78,0.4935064935064935,0.5064935064935064
freq,141,1,1486,247,305,105,142,0.4251012145748988,0.5748987854251012
freq,15,1,1153,200,202,54,146,0.27,0.73
freq,64,0,942,167,117,94,73,0.562874251497006,0.437125748502994
freq,142,0,1821,299,179,146,153,0.4882943143812709,0.5117056856187291
freq,163,1,1926,316,379,168,148,0.5316455696202531,0.46835443037974683
freq,45,0,1565,257,171,143,114,0.556420233463035,0.44357976653696496
freq,142,1,2377,392,358,210,182,0.5357142857142857,0.4642857142857143
freq,16,0,1547,259,165,113,146,0.4362934362934363,0.5637065637065637
freq,64,1,1126,195,233,101,94,0.517948717948718,0.48205128205128206
freq,90,2,1811,309,332,100,209,0.32362459546925565,0.6763754045307443
freq,121,0,1824,297,150,130,167,0.4377104377104377,0.5622895622895623
freq,164,0,1712,283,218,175,108,0.6183745583038869,0.38162544169611307
freq,16,1,2223,362,349,105,257,0.2900552486187845,0.7099447513812155
freq,45,1,1854,307,415,183,124,0.5960912052117264,0.40390879478827363
freq,66,0,1601,269,216,125,144,0.4646840148698885,0.5353159851301115
freq,164,1,2556,411,346,194,217,0.4720194647201946,0.5279805352798054
freq,121,1,1913,315,387,155,160,0.49206349206349204,0.5079365079365079
freq,17,0,1447,244,141,114,130,0.4672131147540984,0.5327868852459017
freq,46,0,1552,260,152,119,141,0.4576923076923077,0.5423076923076923
freq,17,1,1970,324,351,214,110,0.6604938271604939,0.3395061728395062
freq,68,0,1051,178,128,108,70,0.6067415730337079,0.39325842696629215
freq,91,0,1014,177,147,103,74,0.5819209039548022,0.4180790960451977
freq,46,1,1970,324,316,171,153,0.5277777777777778,0.4722222222222222
freq,165,0,1711,287,265,143,144,0.49825783972125437,0.5017421602787456
freq,68,1,1082,186,225,111,75,0.5967741935483871,0.4032258064516129
freq,18,0,1052,185,88,61,124,0.32972972972972975,0.6702702702702703
freq,123,0,1969,317,202,175,142,0.5520504731861199,0.4479495268138801
freq,18,1,1232,206,222,111,95,0.5388349514563107,0.46116504854368934
freq,91,1,1294,233,325,114,119,0.4892703862660944,0.5107296137339056
freq,71,0,1649,272,141,114,158,0.41911764705882354,0.5808823529411765
freq,123,1,1584,261,275,160,101,0.6130268199233716,0.38697318007662834
freq,19,0,1060,181,179,116,65,0.6408839779005525,0.35911602209944754
freq,166,0,1348,228,135,121,107,0.5307017543859649,0.4692982456140351
freq,71,1,2268,378,403,212,166,0.5608465608465608,0.43915343915343913
freq,123,2,1503,253,351,165,88,0.6521739130434783,0.34782608695652173
freq,19,1,1611,268,210,89,179,0.332089552238806,0.667910447761194
freq,166,1,1615,268,345,178,90,0.664179104477612,0.3358208955223881
freq,72,0,1624,265,150,141,124,0.5320754716981132,0.4679245283018868
freq,93,0,1301,224,137,104,120,0.4642857142857143,0.5357142857142857
freq,72,1,1209,208,301,107,101,0.5144230769230769,0.4855769230769231
freq,123,3,1713,285,459,202,83,0.7087719298245614,0.2912280701754386
freq,93,1,1553,255,282,121,134,0.4745098039215686,0.5254901960784314
freq,143,0,1318,219,119,107,112,0.4885844748858447,0.5114155251141552
freq,20,0,1549,257,166,158,99,0.6147859922178989,0.3852140077821012
freq,167,0,1275,215,145,122,93,0.5674418604651162,0.4325581395348837
freq,143,1,1088,191,235,90,101,0.4712041884816754,0.5287958115183246
freq,20,1,2310,384,421,217,167,0.5651041666666666,0.4348958333333333
freq,167,1,1273,213,299,131,82,0.6150234741784038,0.38497652582159625
freq,21,0,1780,293,162,146,147,0.49829351535836175,0.5017064846416383
freq,95,0,1084,185,159,102,83,0.5513513513513514,0.4486486486486487
freq,144,0,1032,182,109,92,90,0.5054945054945055,0.4945054945054945
freq,74,0,1279,215,112,96,119,0.44651162790697674,0.5534883720930233
freq,21,1,2143,342,329,118,224,0.34502923976608185,0.6549707602339181
freq,96,0,1113,190,148,129,61,0.6789473684210526,0.32105263157894737
freq,74,1,1585,260,274,123,137,0.47307692307692306,0.5269230769230769
freq,169,0,1118,190,182,120,70,0.631578947368421,0.3684210526315789
freq,169,1,1592,264,241,84,180,0.3181818181818182,0.6818181818181818
freq,96,1,1229,209,246,145,64,0.69377990430622,0.3062200956937799
freq,24,0,1586,263,137,118,145,0.44866920152091255,0.5513307984790875
freq,24,1,2026,328,350,195,133,0.5945121951219512,0.4054878048780488
freq,97,0,1187,205,124,118,87,0.5756097560975609,0.424390243902439
freq,144,1,1223,213,222,108,105,0.5070422535211268,0.49295774647887325
freq,145,0,1055,182,127,97,85,0.532967032967033,0.46703296703296704
freq,173,0,1548,257,134,114,143,0.44357976653696496,0.556420233463035
freq,145,1,1430,239,227,131,108,0.5481171548117155,0.45188284518828453
freq,97,1,1215,208,295,134,74,0.6442307692307693,0.3557692307692308
freq,98,0,1229,210,146,123,87,0.5857142857142857,0.4142857142857143
freq,146,0,1043,179,174,129,50,0.7206703910614525,0.27932960893854747
freq,146,1,1757,289,282,160,129,0.5536332179930796,0.4463667820069204
freq,147,0,943,165,154,113,52,0.6848484848484848,0.3151515151515151
freq,173,1,1482,251,295,116,135,0.46215139442231074,0.5378486055776892
freq,147,1,2051,338,307,113,225,0.3343195266272189,0.665680473372781
freq,98,1,1278,217,226,111,106,0.511520737327189,0.48847926267281105
freq,149,0,1824,300,246,186,114,0.62,0.38
freq,174,0,940,163,159,101,62,0.6196319018404908,0.3803680981595092
freq,174,1,1257,213,202,96,117,0.4507042253521127,0.5492957746478874
mean,75,0,1618,276,253,130,146,0.47101449275362317,0.5289855072463768
mean,25,0,819,148,135,75,73,0.5067567567567568,0.49324324324324326
mean,176,0,1202,204,184,102,102,0.5,0.5
mean,150,0,877,163,95,52,111,0.31901840490797545,0.6809815950920245
mean,25,1,1156,198,184,100,98,0.5050505050505051,0.494949494949495
mean,150,1,1763,288,319,141,147,0.4895833333333333,0.5104166666666666
mean,77,0,1893,311,226,150,161,0.48231511254019294,0.5176848874598071
mean,50,0,1698,276,215,158,118,0.572463768115942,0.427536231884058
mean,0,0,1344,227,215,112,115,0.4933920704845815,0.5066079295154186
mean,50,1,1948,315,275,130,185,0.4126984126984127,0.5873015873015873
mean,77,1,2244,367,355,149,218,0.40599455040871935,0.5940054495912807
mean,178,0,1154,197,111,87,110,0.4416243654822335,0.5583756345177665
mean,100,0,1363,229,150,103,126,0.4497816593886463,0.5502183406113537
mean,125,0,2186,354,308,184,170,0.519774011299435,0.480225988700565
mean,1,0,1324,223,204,126,97,0.5650224215246636,0.4349775784753363
mean,100,1,1414,233,299,134,99,0.575107296137339,0.4248927038626609
mean,50,2,1948,315,275,130,185,0.4126984126984127,0.5873015873015873
mean,26,0,1564,260,251,160,100,0.6153846153846154,0.38461538461538464
mean,126,0,1344,227,129,88,139,0.3876651982378855,0.6123348017621145
mean,151,0,965,168,131,88,80,0.5238095238095238,0.47619047619047616
mean,2,0,1466,241,233,142,99,0.5892116182572614,0.4107883817427386
mean,101,0,920,160,91,65,95,0.40625,0.59375
mean,78,0,912,159,170,91,68,0.5723270440251572,0.4276729559748428
mean,27,0,1367,230,153,109,121,0.47391304347826085,0.5260869565217391
mean,151,1,1358,225,242,130,95,0.5777777777777777,0.4222222222222222
mean,50,3,2856,451,435,166,285,0.36807095343680707,0.6319290465631929
mean,178,1,969,168,231,81,87,0.48214285714285715,0.5178571428571429
mean,78,1,1817,295,203,93,202,0.3152542372881356,0.6847457627118644
mean,101,1,1614,275,258,127,148,0.4618181818181818,0.5381818181818182
mean,3,0,1184,203,135,88,115,0.43349753694581283,0.5665024630541872
mean,51,0,1099,191,113,89,102,0.46596858638743455,0.5340314136125655
mean,179,0,1094,187,105,71,116,0.37967914438502676,0.6203208556149733
mean,3,1,1384,233,220,113,120,0.48497854077253216,0.5150214592274678
mean,152,0,1729,288,180,138,150,0.4791666666666667,0.5208333333333334
mean,102,0,1287,216,162,106,110,0.49074074074074076,0.5092592592592593
mean,79,0,1295,221,167,111,110,0.502262443438914,0.497737556561086
mean,51,1,1568,264,267,160,104,0.6060606060606061,0.3939393939393939
mean,152,1,1754,288,319,160,128,0.5555555555555556,0.4444444444444444
mean,27,1,1471,243,252,116,127,0.4773662551440329,0.522633744855967
mean,102,1,1711,277,321,131,146,0.4729241877256318,0.5270758122743683
mean,4,0,1214,212,132,98,114,0.46226415094339623,0.5377358490566038
mean,179,1,1173,201,239,80,121,0.39800995024875624,0.6019900497512438
mean,52,0,1099,191,182,116,75,0.6073298429319371,0.39267015706806285
mean,32,0,1470,246,154,114,132,0.4634146341463415,0.5365853658536586
mean,79,1,1607,273,158,75,198,0.27472527472527475,0.7252747252747253
mean,153,0,1366,229,217,143,86,0.6244541484716157,0.37554585152838427
mean,4,1,2103,339,333,124,215,0.36578171091445427,0.6342182890855457
mean,180,0,1575,257,150,120,137,0.4669260700389105,0.5330739299610895
mean,103,0,1411,243,98,80,163,0.3292181069958848,0.6707818930041153
mean,32,1,1755,291,307,144,147,0.4948453608247423,0.5051546391752577
mean,52,1,1373,235,148,114,121,0.4851063829787234,0.5148936170212766
mean,103,1,1154,197,294,94,103,0.47715736040609136,0.5228426395939086
mean,33,0,803,144,125,72,72,0.5,0.5
mean,52,2,1765,296,305,102,194,0.34459459459459457,0.6554054054054054
mean,126,1,1548,257,300,93,164,0.36186770428015563,0.6381322957198443
mean,154,0,1514,250,246,150,100,0.6,0.4
mean,79,2,1415,244,271,90,154,0.36885245901639346,0.6311475409836066
mean,6,0,1515,248,232,143,105,0.5766129032258065,0.42338709677419356
mean,53,0,1446,243,225,110,133,0.45267489711934156,0.5473251028806584
mean,35,0,1203,205,122,92,113,0.44878048780487806,0.551219512195122
mean,104,0,2210,366,331,177,189,0.48360655737704916,0.5163934426229508
mean,127,0,1054,179,169,101,78,0.5642458100558659,0.43575418994413406
mean,7,0,1618,269,175,137,132,0.5092936802973977,0.49070631970260226
mean,180,1,1370,234,287,87,147,0.3717948717948718,0.6282051282051282
mean,35,1,1241,208,259,88,120,0.4230769230769231,0.5769230769230769
mean,80,0,1357,226,211,107,119,0.47345132743362833,0.5265486725663717
mean,54,0,1011,180,145,86,94,0.4777777777777778,0.5222222222222223
mean,183,0,1621,266,163,121,145,0.4548872180451128,0.5451127819548872
mean,7,1,1498,251,287,142,109,0.5657370517928287,0.4342629482071713
mean,155,0,1298,224,140,101,123,0.45089285714285715,0.5491071428571429
mean,36,0,1490,246,170,132,114,0.5365853658536586,0.4634146341463415
mean,183,1,1626,267,311,122,145,0.45692883895131087,0.5430711610486891
mean,155,1,1561,256,304,132,124,0.515625,0.484375
mean,54,1,1830,305,270,157,148,0.5147540983606558,0.4852459016393443
mean,105,0,2445,396,269,199,197,0.5025252525252525,0.49747474747474746
mean,36,1,1849,302,297,152,150,0.5033112582781457,0.4966887417218543
mean,81,0,1365,233,166,124,109,0.5321888412017167,0.4678111587982833
mean,55,0,1531,261,242,131,130,0.5019157088122606,0.49808429118773945
mean,9,0,2027,328,218,157,171,0.47865853658536583,0.5213414634146342
mean,37,0,1104,192,99,71,121,0.3697916666666667,0.6302083333333334
mean,156,0,1071,182,160,96,86,0.5274725274725275,0.4725274725274725
mean,128,0,1699,280,270,139,141,0.49642857142857144,0.5035714285714286
mean,105,1,3118,500,462,216,284,0.432,0.568
mean,9,1,2759,445,470,200,245,0.449438202247191,0.550561797752809
mean,186,0,1183,200,157,109,91,0.545,0.455
mean,56,0,1317,219,211,139,80,0.634703196347032,0.365296803652968
mean,129,0,2002,322,316,195,127,0.6055900621118012,0.3944099378881988
mean,81,1,1662,275,288,111,164,0.4036363636363636,0.5963636363636363
mean,37,1,1345,247,210,65,182,0.2631578947368421,0.7368421052631579
mean,156,1,1539,253,285,142,111,0.5612648221343873,0.43873517786561267
mean,109,0,1918,318,286,128,190,0.4025157232704403,0.5974842767295597
mean,82,0,1348,229,135,96,133,0.4192139737991266,0.5807860262008734
mean,130,0,978,170,107,90,80,0.5294117647058824,0.47058823529411764
mean,112,0,852,153,107,75,78,0.49019607843137253,0.5098039215686274
mean,38,0,837,149,88,73,76,0.4899328859060403,0.5100671140939598
mean,158,0,1429,239,146,107,132,0.4476987447698745,0.5523012552301255
mean,82,1,1679,283,232,76,207,0.26855123674911663,0.7314487632508834
mean,10,0,1534,254,164,135,119,0.531496062992126,0.468503937007874
mean,57,0,1193,201,178,108,93,0.5373134328358209,0.4626865671641791
mean,130,1,1507,250,262,116,134,0.464,0.536
mean,112,1,1187,201,218,94,107,0.46766169154228854,0.5323383084577115
mean,10,1,1766,288,297,144,144,0.5,0.5
mean,158,1,1151,196,259,90,106,0.45918367346938777,0.5408163265306123
mean,38,1,1022,178,210,74,104,0.4157303370786517,0.5842696629213483
mean,58,0,1168,196,162,105,91,0.5357142857142857,0.4642857142857143
mean,113,0,1483,245,161,119,126,0.4857142857142857,0.5142857142857142
mean,11,0,1261,215,153,103,112,0.4790697674418605,0.5209302325581395
mean,39,0,1003,182,123,86,96,0.4725274725274725,0.5274725274725275
mean,131,0,1003,174,129,85,89,0.4885057471264368,0.5114942528735632
mean,113,1,1357,225,273,119,106,0.5288888888888889,0.4711111111111111
mean,160,0,1118,190,152,93,97,0.48947368421052634,0.5105263157894737
mean,11,1,1235,210,253,119,91,0.5666666666666667,0.43333333333333335
mean,58,1,1211,206,240,105,101,0.5097087378640777,0.49029126213592233
mean,84,0,1307,223,129,107,116,0.4798206278026906,0.5201793721973094
mean,131,1,1256,212,242,129,83,0.6084905660377359,0.3915094339622642
mean,39,1,1389,237,267,73,164,0.3080168776371308,0.6919831223628692
mean,114,0,1753,286,147,106,180,0.3706293706293706,0.6293706293706294
mean,160,1,2010,330,307,151,179,0.4575757575757576,0.5424242424242425
mean,12,0,2047,337,195,156,181,0.4629080118694362,0.5370919881305638
mean,59,0,1313,219,129,96,123,0.4383561643835616,0.5616438356164384
mean,84,1,1283,215,272,114,101,0.5302325581395348,0.4697674418604651
mean,133,0,1233,209,163,104,105,0.49760765550239233,0.5023923444976076
mean,12,1,2135,349,417,127,222,0.3638968481375358,0.6361031518624641
mean,114,1,1371,229,323,131,98,0.5720524017467249,0.4279475982532751
mean,133,1,1342,227,240,126,101,0.5550660792951542,0.44493392070484583
mean,161,0,1183,200,179,106,94,0.53,0.47
mean,186,1,1723,284,279,158,126,0.5563380281690141,0.44366197183098594
mean,85,0,2087,343,293,165,178,0.48104956268221577,0.5189504373177842
mean,13,0,1167,196,151,119,77,0.6071428571428571,0.39285714285714285
mean,59,1,1104,205,253,106,99,0.5170731707317073,0.48292682926829267
mean,86,0,878,157,132,93,64,0.5923566878980892,0.40764331210191085
mean,117,0,1371,229,138,110,119,0.48034934497816595,0.519650655021834
mean,40,0,1115,189,146,95,94,0.5026455026455027,0.4973544973544973
mean,135,0,1253,210,136,118,92,0.5619047619047619,0.4380952380952381
mean,117,1,1052,181,264,81,100,0.44751381215469616,0.5524861878453039
mean,40,1,1546,258,282,117,141,0.45348837209302323,0.5465116279069767
mean,86,1,1425,242,277,116,126,0.4793388429752066,0.5206611570247934
mean,60,0,1264,216,174,116,100,0.5370370370370371,0.46296296296296297
mean,135,1,1274,218,302,106,112,0.48623853211009177,0.5137614678899083
mean,118,0,1441,237,218,110,127,0.4641350210970464,0.5358649789029536
mean,88,0,1427,238,149,117,121,0.49159663865546216,0.5084033613445378
mean,188,0,891,157,93,75,82,0.47770700636942676,0.5222929936305732
mean,60,1,1996,327,284,139,188,0.42507645259938837,0.5749235474006116
mean,43,0,863,150,92,76,74,0.5066666666666667,0.49333333333333335
