Question,Real Answer,Pred Answer
Do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,yes,<|im_end|>
"Which film whose director was born first, The Abduction Club or Wooden Crosses?",Wooden Crosses,<|im_end|>
"Which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,<|im_end|>
"Which film has the director who is older than the other, Blue Blood And Red or The Longshot? ",Blue Blood And Red,<|im_end|>
What is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia",<|im_end|>
"Who was born later, Paul De Scherff or Lyudmyla Olyanovska?",Lyudmyla Olyanovska,<|im_end|>
Where was the place of death of Kamures Kadın's husband?,Constantinople,<|im_end|>
What is the place of birth of Bernard (Son Of Charles The Fat)'s father?,East Francia,<|im_end|>
"Which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Henry Goes Arizona,<|im_end|>
Which country the performer of song I Believe In Your Sweet Love is from?,United Kingdom,<|im_end|>
"Which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?",All-American Co-Ed,<|im_end|>
What is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,Buenos Aires,<|im_end|>
Who is the mother-in-law of Louise Of Mecklenburg-Güstrow?,Charlotte Amalie of Hesse-Kassel,<|im_end|>
Where was the place of death of Agnes Of Hohenstaufen's husband?,Brunswick,<|im_end|>
Who is Marcus Annius Libo's aunt?,Vibia Sabina,<|im_end|>
"Which film was released more recently, Bajo Otro Sol or Riding The California Trail?",Bajo Otro Sol,<|im_end|>
Who is the mother of the director of film Dalida (2017 Film)?,Marie Laforêt,<|im_end|>
Who is the spouse of the director of film Streets Of Blood?,Sandra Nelson,<|im_end|>
When is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",<|im_end|>
"Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",Palencia,<|im_end|>
"Which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,<|im_end|>
"Which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?",Tom Mix In Arabia,<|im_end|>
"Which film has the director died later, Seven In The Sun or Daughter Of The Jungle?",Seven In The Sun,<|im_end|>
"Which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,<|im_end|>
"Which film has the director born later, Woman In The Moon or Changeland?",Changeland,<|im_end|>
"Who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,<|im_end|>
Who is Pyotr Karatygin's sibling-in-law?,Alexandra Kolosova,<|im_end|>
Who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,<|im_end|>
Are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,<|im_end|>
"Who died first, Erich Haenisch or William Pooley?",William Pooley,<|im_end|>
What nationality is the performer of song You Can?,Sweden,<|im_end|>
Do Nick Varner and Carl Duser share the same nationality?,yes,<|im_end|>
"Which film has the director who died earlier, Melody Of The World or Ladies Love Danger?",Melody Of The World,<|im_end|>
Where was the place of death of the composer of film Miracle Of Marcelino?,Madrid,<|im_end|>
Who is the mother of the director of film Atomised (Film)?,Gisela Elsner,<|im_end|>
"Which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,<|im_end|>
What is the place of birth of the director of film Sweepstakes (Film)?,"Oklahoma City, Oklahoma",<|im_end|>
Where was the place of death of Shahnawaz Bhutto's mother?,Dubai,<|im_end|>
Where was the performer of song Égérie (Song) born?,La Trinité,<|im_end|>
Who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,<|im_end|>
Are Gut (Crișul Alb) and Gepiș both located in the same country?,yes,<|im_end|>
Where was the place of death of Anne Devereux's husband?,Banbury,<|im_end|>
"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet",<|im_end|>
Which country Nizar Al-Mustafa's father is from?,Fatimid caliphate,<|im_end|>
Where was the wife of Lou Breslow born?,"Dayton, Ohio",<|im_end|>
Who is the spouse of the director of film Ann Carver'S Profession?,Ona Munson,<|im_end|>
"Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,<|im_end|>
What is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,<|im_end|>
"Which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,<|im_end|>
"Which film has the director who died earlier, Il Gaucho or Bomgay?",Bomgay,<|im_end|>
Where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,Preslav,<|im_end|>
"Which film came out first, The Pyrammmid or Revolt Of The Praetorians?",Revolt Of The Praetorians,<|im_end|>
Are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,<|im_end|>
What is the cause of death of Constantia Eriksdotter's father?,poisoning,<|im_end|>
What nationality is the director of film Postmortem (1998 Film)?,America,<|im_end|>
Which country Keōpūolani's husband is from?,Kingdom of Hawaii,<|im_end|>
"Which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,<|im_end|>
"Which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,<|im_end|>
Who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,<|im_end|>
Who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon",<|im_end|>
What is the date of death of Duleep Singh's father?,27 June 1839,<|im_end|>
What is the place of birth of the director of film Gunsmoke (Film)?,Gura Humorului,<|im_end|>
"Who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",Françoise Hardy,<|im_end|>
"Who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,<|im_end|>
Where was the place of death of Thomas E. Noell's father?,Washington,<|im_end|>
"Which film has the director died first, Our Agent Tiger or London Melody?",London Melody,<|im_end|>
Who is the paternal grandfather of Diego Fernández De Oviedo?,Flaín Muñoz,<|im_end|>
Who is the child of the director of film The Trouble With Cali?,Mira Sorvino,<|im_end|>
Are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,yes,<|im_end|>
"Which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Norway,<|im_end|>
What is the cause of death of Heonjong Of Goryeo's father?,illness,<|im_end|>
Where did Mary Of Woodstock's mother die?,Harby,<|im_end|>
Which award the director of film Tiramisu (2002 Film) earned?,Hong Kong Film Award for Best Director,<|im_end|>
What is the date of death of the director of film Nallavan Vazhvan?,3 September 1992,<|im_end|>
"Who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",Nathaniel Mclenaghan,<|im_end|>
Where did the director of film Balls Out (2014 Film) graduate from?,Tisch,<|im_end|>
