Question,Real Answer,Pred Answer
"An official ambassador of the United Dance Organisation, this actor made his film debut in Street Dance 3D.",George Sampson,<|im_end|>
"Which member of Mission Mountain Wood Band, abbreviated M2Wb, was appointed to the Montana Arts Council by Governor Brian Schweitzer?",Robert Ernest Quist,<|im_end|>
"Famous for her role as Peggy Bundy, when was the wife of producer, writer, and director on ""The Shield"" born?","born January 19, 1954",<|im_end|>
Are Shifty Shellshock and Alissa White-Gluz both death metal vocalists?,no,<|im_end|>
"Peter Benchley and Ödön von Horváth, have which mutual occupation?",novelist,<|im_end|>
Until which year did this Polish professional boxer who lost to Joe Smith Jr. in 2016 in a knockout victory hold the IBO light heavyweight title?,2013,<|im_end|>
Were Ronnie Van Zant and Mick Jones both lead singers of a band?,yes,<|im_end|>
Tome Sizemore had a role in which movie that starred Wesley Snipes and Bruce Payne ?,Passenger 57,<|im_end|>
"At which battle, in the East Riding of Yorkshire, did King Harold defeat King Harald of Norway?",Battle of Stamford Bridge,<|im_end|>
"What Pulitzer prize winning, American composer known for exploring addiction and homophobia, wrote ""Tick, Tick...Boom!""?",Jonathan Larson,<|im_end|>
The inner urban neighbourhood Eureka Tower is in had a population of what in 2011?,"11,235",<|im_end|>
"Aleksey Petrovich Yermolov, was a Russian Imperial general, of the 19th century who commanded Russian troops in the Caucasian War, he distinguished himself during the Napoleonic Wars at which event that was fought on March 30–31, 1814 between the Sixth Coalition—consisting of Russia, Austria, and Prussia against the French Empire?",Battle of Paris,<|im_end|>
When did the arena that hosted the 2017 Canadian Olympic Curling Trials open?,January 1996,<|im_end|>
Lee Min-ho stared in his first leading film role in 2015 in a film which was set in which part of Seoul? ,Gangnam district,<|im_end|>
"Who is the American bass guitarist known for his work in a virtual death metal band featured in ""Metalocalypse""?",Bryan Beller,<|im_end|>
Were both Hal Hartley and Mervyn LeRoy producers?,yes,<|im_end|>
How are Lago and Emila related?,husband of Emilia,<|im_end|>
The Rookie stars which actress of Australian heritage?,Rachel Anne Griffiths,<|im_end|>
In what year was the actress who portrayed Tiffany Valentine-Ray born?,1958,<|im_end|>
Which team did the head coach of the 1985 Oklahoma Sooners lead to a Super Bowl victory ?,the Dallas Cowboys,<|im_end|>
Where did the league that Michael Anthony Edward Kidd-Gilchrist plays for hold it's 2012 draft?,"Newark, New Jersey.",<|im_end|>
"Cashback was a movie that starred which English actress from ""Silent Witness""?",Emilia Rose Elizabeth Fox,<|im_end|>
"Legend is a science fiction Western television show starring an American , director, producer, writer, singer, musician, voice artist and stand-up what?",comedian,<|im_end|>
"What does the company abbreviation stand for, who's former hairman and CEO is an American businessman,and  investment banker?",Commercial Investment Trust,<|im_end|>
Which actress of the movie Havoc is daughter of John Phillips,Bijou Phillips,<|im_end|>
"Which came first, Million Dollar Arm or The Wild?",The Wild,<|im_end|>
"Hindi film actresses and the wife of the film actor Dilip Kumar is the daughter of Naseem Banu, known as what?","""Beauty Queen""",<|im_end|>
"Which is an American band, Nada Surf or Shihad?",Nada Surf,<|im_end|>
Judy Clarke defended an American domestic terrorist convicted for a series of anti-abortion and anti-gay-motivated bombings across the southern United States know as what?,the Olympic Park Bomber,<|im_end|>
The artist behind Overpowered was also part of what hip hop duo?,Moloko,<|im_end|>
One Upon a Time in Shaolin featuring Tarik Azzougarh with what group?,Wu-Tang Clan,<|im_end|>
"Which actor had a role in The Legend of Frosty the Snowman and also in ""How I Met Your Mother""",Bill Fagerbakke,<|im_end|>
Was Allen Drury or Jean Giono born first?,Jean Giono,<|im_end|>
"The 2000 ICC KnockOut Trophy was a One Day International cricket tournament held in Kenya, which Jamaican cricketer who plays internationally, made his ODI debut during the competition?",Marlon Nathaniel Samuels,<|im_end|>
"Troy McClure is a fictional character from the American animated sitcom ""The Simpsons"" who appeared as the main character in an episode that aired when?","March 24, 1996",<|im_end|>
What state is the college that Everson Walls played at located in?,Louisiana,<|im_end|>
Are both Veridia and Digital Summer rock bands ?,yes,<|im_end|>
"What cartel did Barry Seal work for in the movie ""American Made?""",Medellín Cartel,<|im_end|>
The Crusades is a 1935 historical adventure film starring an American actress who won an Academy Award in 1948 for her role in what film?,The Farmer's Daughter,<|im_end|>
What tetralogy was written by Philip Reeve that is a sequel of a series about a woman named Fever Crumb?,Mortal Engines Quartet,<|im_end|>
what was the profession of both Tom Verlaine and  Marti Pellow,singer,<|im_end|>
"Who has more scope of profession, Géza von Cziffra or Henry Selick?",Henry Selick,<|im_end|>
"Who is currently best known for their single ""Weatherman"" from their debut eponymous album ""Dead Sara"", Young Guns or Dead Sara ?",Dead Sara,<|im_end|>
In between Jason Schwartzman and Derrick Green who joined the band Sepultura in 1997?,Derrick Leon Green,<|im_end|>
Are Yanzhou District and Shangqiu both located in China?,yes,<|im_end|>
Thomas Bangalter recorded compositions for a 2002 French art psychological horror drama film that employs what kind of narrative?,non-linear,<|im_end|>
"Manoir de Ban, which is located in the municipality of Corsier-sur-Vevey, Switzerland, is know to be the property of what famous actor? ",Charlie Chaplin,<|im_end|>
" Visy Industries was established in Melbourne, Australia in 1948 and has since grown to become one of the world’s largest privately owned paper, packaging and recycling companies, Visy was owned by Richard Pratt until his death, on which date, was a prominent Australian businessman, chairman of the privately owned company Visy Industries, and a leading figure of Melbourne society?",28 April 2009,<|im_end|>
"Queen Mab, is a fairy referred to in William Shakespeare's play ""Romeo and Juliet"", where ""she is the fairies' midwife"", in her play, her activity is described in a famous speech by which fictional character in William Shakespeare's 1597 tragedy, a close friend to Romeo and a blood relative to Prince Escalus and Count Paris?",Mercutio,<|im_end|>
"Who was born in a country further east, Richard Dutcher or Rosa von Praunheim?",Rosa von Praunheim,<|im_end|>
"Which actor who starred in the 2016 film Money Monster also is best known for his portrayal of Gustavo ""Gus"" Fring on the AMC shows ""Breaking Bad"" and ""Better Call Saul""?",Giancarlo Giuseppe Alessandro Esposito,<|im_end|>
 What do Ian Astbury and George Thorogood have in common?,singer and songwriter,<|im_end|>
Which judge of Strictly Come Dancing is a professional ballroom dancer?,Len Goodman,<|im_end|>
Where was Honest Ed's s store located at in Canada?,"Toronto, Ontario",<|im_end|>
"Who was the author of the book, on which Channel 4's 1982 film, for which Howard Blake wrote the soundtrack. is based ? ","Raymond Briggs,",<|im_end|>
"The Producers is a 2005 American musical comedy film directed by Susan Stroman, the film stars an ensemble cast, including which American comedian, actor and singer, best known as a cast member of ""Saturday Night Live"" from 1985 to 1990?",Jon Lovitz,<|im_end|>
The university that Tramaine Brock attended is in which state?,Mississippi,<|im_end|>
Are Hal Ashby and Ciro Ippolito of the same nationality?,no,<|im_end|>
"Tommy Lee Jones and Marshall Neilan, are of which nationality?",American,<|im_end|>
"Lodoicea and Nothofagus, are genus of what mutual species?",trees,<|im_end|>
Kenneth Marlar Taylor had a friend best known for being one of the few United States Army Air Corps fighter pilots able to get airborne to engage Japanese forces in the attack on Pearl Harbor whose name was what?,George Welch,<|im_end|>
"Which magazine, Photoplay or McCall's was a monthly American women's magazine,  that enjoyed great popularity through much of the 20th century, peaking at a readership of 8.4 million in the early 1960s?",McCall's,<|im_end|>
"What american stage, film  and television actress, born in 1917 starred in A Letter to Three Wives?",Celeste Holm,<|im_end|>
When was the physicist who hosted Wonders of the Solar System born? ,3 March 1968,<|im_end|>
In how many countries did a song written by Rolf Magnus Joakim Larsson go to the number one spot?,25,<|im_end|>
What year was the composer born that was responsible for the music and lyrics for the Doctor Dolittle musical?,1931,<|im_end|>
Which movie starring Russell Crow was about the world heavyweight boxing champion from 1935 to 1937?,Cinderella Man,<|im_end|>
"What artists front his own band, The Fighting Hearts, and also co-founded the hard rock/heavy metal band The Almighty?",Ricky Warwick,<|im_end|>
In what year was the physicist after whom the van der Waals forces were named born?,1837,<|im_end|>
what kind of music is in Vanessa and King Priam?,opera,<|im_end|>
"Who directed the 1991 sport comedy film the nominee for an Academy Award for Best Supporting Actor for ""Jagged Edge"" starred in?",Stan Dragoti,<|im_end|>
"When was the South Korean singer, actor, host and entertainer born who was known as Ballad Prince and was also a star of Gu Family Book?","January 13, 1987",<|im_end|>
"What TV documentary permiered on BBC1 on March 19 1985 that was written and presented by the same person who is responsible for ""Connections""?",The Day the Universe Changed,<|im_end|>
"The League of Gentlemen's Apocalypse is a feature film spin-off of the British television comedy series ""The League of Gentlemen"", featuring in guest roles are which English comedian and actor, and in a 2004 poll for the BBC, Kay was named the 46th most influential person in British culture?",Peter Kay,<|im_end|>
In what city did Michael Gansey work during his time as the GM for the Canton Charge?,"Canton, Ohio",<|im_end|>
"The papal election of 1159 followed the death of which pope, who ruled from 1154 until 1159?",Pope Adrian IV,<|im_end|>
"Who has written shows in more languages, Francis Veber or John Garabedian?",Francis Paul Veber,<|im_end|>
"Anthony Harris Bennett, is a Canadian professional basketball player for the Phoenix Suns of the NBA, he was the first overall pick by the Cleveland Cavaliers, becoming the first Canadian to be drafted number one overall, in the 2013 NBA draft, that was held on which date, at Barclays Center in Brooklyn, New York?","June 27, 2013",<|im_end|>
Is the Caribbean the homeland of both Jean Rhys and Adolfo Bioy Casares?,no,<|im_end|>
"This American special effects designer owns a company called Alterian, Inc. and designed the special effects for what movie written and directed by Don Mancini in 2004?",Seed of Chucky,<|im_end|>
When was Carrie Fisher's brother from Debbie Reynolds born?,1958,<|im_end|>
What movement is David Yerushalmi behind that would prohibit the implementation of Islanic law in courts in any civil jurisdiction?,anti-sharia movement,<|im_end|>
"What title did the mother of Archduke Charles, Duke of Teschen hold in Tuscany?",Grand Duchess,<|im_end|>
Which comedian played in When Time Ran Out and The Karate Kid?,Pat Morita,<|im_end|>
"Among India's oldest universities founded in 1918, Osmania University is in which city?",Hyderabad,<|im_end|>
"Christine Ebersole appeared on Broadway in what musical, based on a 1975 documentary?",Grey Gardens,<|im_end|>
"Which musician is American, Roy Khan or Lou Gramm?",Lou Gramm,<|im_end|>
What American actress born in 1912 did the violin master known for his sweet tone and gemütlich style compose a work for?,Marta Eggerth,<|im_end|>
League of Gods stars a Hong Kong film actor who founded One Cool Film Production Limited in what year?,2013,<|im_end|>
"Graham Bonnet and John Corabi, have which mutual occupation?",rock singer,<|im_end|>
What geography do both Paolo Nespoli and Soyuz TMA-20 have in common?,International Space Station,<|im_end|>
What shows work is the stand-up comedian he played St. Geegland in the Kroll Show best known for?,Saturday Night Live,<|im_end|>
"Which 1999 movie, directed by Joe Johnston, is based onthe memoirs of a veitnam veteran and formaer NASA engineer?",October Sky,<|im_end|>
"What is a 1995 American epic crime drama film directed by Martin Scorsese, that was based of of episodes from a British documentary/docudrama television series created by Bart Layton ?",Casino,<|im_end|>
"Who played Jeanne Murray's cousin in the sitcom ""All in the Family""?",Beatrice Arthur,<|im_end|>
Under what union did the king who created Duchy of Holstein serve?,the Kalmar Union,<|im_end|>
When was the American actress and singer died who was a star in both Clueless (1995) and Drop Dead Gorgeous?,"December 20, 2009",<|im_end|>
"Cliff Bennett and the Rebel Rousers are a 1960s British rhythm and blues, soul and beat group who had two Top 10 hits, one being, Got to Get You into My Life, a song by who, first released in 1966 on the album ""Revolver""?",Beatles,<|im_end|>
Which South Korean mixed martial artist has been defeated by George Roop?,Chan Sung Jung,<|im_end|>
"Donald Molosi won an award for his performance as the first President of what country in ""Blue, Black and White""?",Botswana,<|im_end|>
Are George Abbott and Leo McCarey both film directors?,yes,<|im_end|>
"What are are commonly known as milkworts or snakeroots, Nothofagus or Polygala ?",Polygala,<|im_end|>
Which movie staring Isabel Lucas also starred Ethan Hawke as a hematologist?,Daybreakers,<|im_end|>
On what date did this series premier that is an American animated superhero action-comedy television series and stars a fictional character named Blisstina Utonium?,"April 4, 2016",<|im_end|>
"In which year was the drama, based on the true story of the Odones and directed by Australian film director, screenwriter, producer, and former medical doctor, released?",1992,<|im_end|>
Did Skin and Laura Stoica both sing?,yes,<|im_end|>
The birthplace of Bernhard Cathrinus Pauss is the capital of which county in Norway?,Buskerud,<|im_end|>
"Was Brave New Films founded by Robert Greenwald or Alexander Kluge, a German author and film director?",Robert Greenwald,<|im_end|>
Do the bands Peter Bjorn and John and Shihad both play indie pop?,no,<|im_end|>
"Benjamin Saunders (born April 13, 1983), is an American mixed martial artist who currently fights in the Welterweight division of the UFC he was on fighting on Team Serra, Matthew John Serra (born June 2, 1974) is an American former professional mixed martial artist, Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship and which occupation?",stand up comic,<|im_end|>
Who directed Julia Stiles in the role that won the  MTV Movie Award for Best Breakthrough Performance?,Gil Junger,<|im_end|>
Was Flubber or The Sorcerer's Apprentice released first?,Flubber,<|im_end|>
"Which is a type of flowering plant, Dieffenbachia or Encephalartos?",Dieffenbachia,<|im_end|>
Tarik Azzougarh conceptualized this album for which only one copy was made in 2015.,Once Upon a Time in Shaolin,<|im_end|>
Bride of Chucky is a sequel to a movie directed by who?,Jack Bender,<|im_end|>
"Who is younger, Max Cavalera or Jon Fratelli?",Jon Fratelli,<|im_end|>
"Which magazine, launched in 1934 by the Communist Party, was known to publish work by Emil Draitser?",Partisan Review,<|im_end|>
Are Meg Myers and a founding member of American rock band Wavves considered singer-songwriters?,yes,<|im_end|>
What Baltimore Ravens retiree scored 8 touchdowns for the Tennessee Titans in 2003?,Derrick Mason,<|im_end|>
"Which hospital located in Washington D.C. specializes in treating persons with physical disabilities,George Washington University Hospital or MedStar National Rehabilitation Hospital?",MedStar National Rehabilitation Network,<|im_end|>
"In which city do maritime pilots operating along the Hudson River and Long Island Sound, one of the wealthiest being Joseph Henderson, function?",New York,<|im_end|>
"Jon Fratelli and Morten Harket, have which occupation in common?",musician,<|im_end|>
How many rooms does the second most famous hotel in Las Vegas have?,106,<|im_end|>
Which actress from Love Rain was also known by the mononym Yoona?,Im Yoon-ah,<|im_end|>
"The season of what follows the adventures of Finn, a human boy, and his best friend and adoptive brother Jake, the season also includes guest stars Miguel Ferrer as Death; Ferrer would later reprise his role in the fourth season episode ""Sons of Mars""?",Adventure Time,<|im_end|>
Which of the two bands Kill Hannah and Warpaint is from California?,Warpaint,<|im_end|>
Red Bull Stratos was a project involving the skydiver of what nationality?,Austrian,<|im_end|>
"The Talented Mr. Ripley is a 1999 film about what fictional character in a series of crime novels by American novelist Patricia Highsmith, as well as several film adaptations?",Tom Ripley,<|im_end|>
"On season eighteen of a show that premiered on March 17, 2014 Brooke Burke-Charvet was replaced as co-host by an American sportscaster who is a sideline reporter for who?",Fox NFL,<|im_end|>
What two occupations do  Alberto Cavalcanti and Oscar Apfel have in common?,film director and producer,<|im_end|>
What company produced both The Barefoot Executive and The Last Flight of Noah's Ark?,Walt Disney,<|im_end|>
Can both Robert Hayden and Chitra Banerjee Divakaruni be classed as members of American minorities?,yes,<|im_end|>
What American actor starred in the 2006 movie Click?,Adam Sandler,<|im_end|>
what opening day attraction at EPCOT Center in 1982 was closed down for refurbishment in 1995,World of Motion,<|im_end|>
WHICH MIKE WILL MADE IT SONG WAS CO-WRITTEN BY ROCK CITY?,Pour It Up,<|im_end|>
"Who starred in a 1999 film based on the memoir ""Rocket Boys""?","Jake Gyllenhaal, Chris Cooper, Chris Owen, and Laura Dern",<|im_end|>
What garland or wreath is used in the statewide celebration of Hawaii?,Lei,<|im_end|>
"What motor racing circuit in Montreal, Quebec, Canada that is the venue for the FIA Formula One Canadian Grand Prix did the 2005 Canadian Grand Prix, Formula One motor race, held on 12 June 2005 get held at?",Circuit Gilles Villeneuve,<|im_end|>
"The Editor is a 2014 Canadian horror comedy-mystery film by who, and starring Paz de la Huerta, is an American actress and model?",Astron-6,<|im_end|>
In what year did the field where the 2016 TaxSlayer Bowl was held assumed its name?,2010,<|im_end|>
Bounce is currently hosted by what former Australian football player born in 1979,Cameron Mooney,<|im_end|>
"Which American film director is known for the sexploitation film genre, Wes Anderson or Doris Wishman?",Doris Wishman,<|im_end|>
"A foam weapon, a padded mock weapon used for simulated handheld combat, is used in a North American medieval combat sport, begun in 1977 with the creation of what?",Dagorhir,<|im_end|>
Which president signed this act that led to Choctaw tribe of Native Americans being forced to move out of Choctaw County by federal troops in 1830?,President Andrew Jackson,<|im_end|>
Anne Preven co-wrote which song with Scott Cutler and Phil Thornalley in 1993?,Torn,<|im_end|>
"Garden State is a 2004 American romantic comedy-drama film, written and directed by an American actor best known for his role as J. D. on what television series?",Scrubs,<|im_end|>
Which print magazine company did Terry Richardson work for while he was in Montreal?,Vice Media,<|im_end|>
"Named after producer Radcliffe's Blackwing Studios where the album was recorded, ""Upstairs at Eric's"" was preceded by two top three UK singles, including the ballad ""Only You"", a song written by what English musician? ",Vince Clarke,<|im_end|>
